阿胶,白芍,当归,防风,僵蚕
阿胶,泡参,生地,麦冬,女贞子,旱莲草,桑寄生
艾叶,香附,吴茱萸,肉桂,当归,川芎,白芍,地黄,黄芪,续断
南香附子,酒浸,醋浸,盐汤浸,童便浸,日焙干,北艾叶,研烂,筛去灰,醋浸,当归,川芎,白芍,熟地
艾叶,去枝,香附,用醋,以石罐煮一昼夜,捣烂为饼,吴茱萸,大川芎,白芍,黄芪,当归,续断,生地,肉桂
白术,生黄耆,龙骨,牡蛎,生地,生杭芍,海螵蛸,茜草,续断
香附,鹿茸,阿胶,紫河车,白芍,当归,牛膝,川牛膝,北沙参,没药,天冬,破故子,桂圆肉,茯苓,黄柏,龟板,锁阳,杜仲,秦艽,鳖甲,艾叶,白薇,元胡,山萸肉,鹿尾,枸杞子,鸡冠花,黄芪,乳香,赤石脂,鹿角胶,菟丝子,肉苁蓉,鸡血藤,桑寄生,琥珀,甘草,人参,乌药,丝棉,血余炭,白术,西红花,地黄,砂仁,沉香,酸枣仁,续断,陈皮,橘红,川芎,泽泻,黄芩,青蒿,远志,肉豆蔻,藁本,红花,柴胡,木香,苏叶,熟地,丹参
酒地,圆肉,当归,白术,川芎,石菖蒲,茯神,远志,酸枣仁,黄芪,白芍,党参,甘草
黄连,当归身,麦冬,茯苓,甘草,朱砂,冰片
黄连,朱砂,酒生地黄,酒当归身,甘草
生地,拌酒蒸晒,当归身,白芍,白术,饭上蒸晒,陈皮,黄芩,续断,杜仲,麦冬
益母草,取净末,当归身,川芎,生地,白芍,壳砂,白术,黄芩,人参,阿胶
白术,陈皮,砂仁,茯苓,当归身,藿香
熟地,地黄,白芍,当归,川芎,人参,白术,茯苓,甘草,益母草,黄芩,牛膝,橘红,沉香,木香,砂仁,琥珀
熟地,地黄,白芍,当归,川芎,人参,白术,茯苓,甘草,益母草,黄芩,牛膝,橘红,沉香,木香,砂仁,琥珀
白芍,山药,当归,熟地,麦冬,甘草,丹皮,北沙参
熟地,川芎,白芍,当归,人参,白术,陈皮,半夏
当归,白芍,熟地,白术,人参,干姜,茯苓,肉桂
当归,白术,小茴羊藿,大腹皮,黄芪,川芎,甘草
人参,白术,茯苓,当归,川芎,白芍,熟地,甘草
党参,白术,茯苓,甘草,当归,白芍,川芎,熟地
当归,川芎,白芍,怀熟地,人参,白术,茯苓,甘草,香附,盐,醋,酒,阿胶,益母膏
