雄黄,"两,片,g,钱半"
疥虾蟆,个
公鸡,只
陈壁土,两
榴皮,g
把,None
刺猬皮,个
去红筋,None
银粉霜,None
仙鹤草,g
玄明粉,g
松香脂,两
用上半截,None
骨碎补,None
紫草,"g,None,两"
白垩,克
龙骨,"分,斤,两,g"
红屯,g
石决明,"克,两"
去黄连,None
白花蛇舌草,g
明沙参,g
金银花,"两,g,None,克,钱"
滇鸡血藤膏粉,g
山药肉,g
蒲黄,"两5钱,kg,两,克,g,None,分"
松叶,斤
蒲公英,g
人参,"g,两,钱,None,克,斤,千克,分,钱半,两半"
裹,None
轻粉,"两,钱,克,分"
橘核,g
二百两,两
炒稻芽,两
炙香附,g
盐水制,份
乌梢蛇,"两,None,g"
神曲,"两,克,None,钱半,g"
炒黄连,分
炙桑白皮,g
侧柏叶,"g,钱半,克,斤"
谷芽,"克,g"
地龙,"g,None,克,钱,份"
绵黄耆,None
羚羊粉,"两,克"
鼠妇虫,合
苍耳子,g
旋覆花,"g,两"
蒺藜,"两,None,双,克,g"
诃黎勒皮,两半
川乌,"两,g,克,钱"
麻油,克
蕤仁,双
鲮鲤甲,克
蓖麻子,两
饭上蒸过,None
鹿角胶,"g,两"
热地,克
炙黄芪,g
鲤鱼肉,克
钩藤,"g,克"
沉香,"g,两,钱,两6钱,None,分,克"
半童便浸,None
分作,份
紫参,两
砂锅煮烂,None
苦参,"两,g,克"
汁俱春浸,None
盐泥固济,None
血竭,"两,钱,g,None"
黄精,"g,两"
取鹿角胶,斤
硫黄,克
艾叶炭,"两,g"
都惏藤,None
甘菊花,"克,两"
卷柏,两
胡桐泪,两
莨菪,斤
月中采上半截白梗,None
酒干再添,None
大风子,两
朝东墙头草,None
淮乌,钱
白芍,"g,两,克,钱,None,两5钱,两6钱,kg,两3钱,分,斤"
麦芽,"两,g,克"
大青盐,两
鱼腥草,g
白葵花,克
地肤子,两
面,克
角沉香,钱
竹茹,"g,钱"
生延胡,两
栀子,"两,克,g,None,分"
木防己,g
鸡血藤,"g,两,两5钱,None"
干姜,"两,钱,两半,克,斤,～9克,g,片,None,分,两2钱半"
北楂肉,g
赤芍,"两,None,kg,克,g,钱半,钱5分,分"
琐阳,None
马蔺根,分
陈皮,"g,两,克,钱,斤,None,分,千克,钱半"
白羊膻,斤
桑白皮,"两,g,钱,None"
煎取汁,毫升
米酒,ml
乌梅,"两,g,克,钱"
油盐,None
生黄芩,"None,克"
阿胶,"克,g,两,None,两5钱,钱,钱5分,两6钱,千克,分,两半"
绞取汁,合
酒洗,两
犀角屑,两
郁金,"两,克,g"
阴干,None
石菖蒲,"两2钱,两,钱,g,节,克"
小胡麻,"钱,None,g,克"
六一散,克
铜绿,两
土,None
香油,g
白竭,g
清油,两
葡萄干,克
秋浸,None
炒车前,两8钱
地骨白皮,斤
使君子,"两,g"
蕲艾叶,两
麦饭石,克
紫苏茎叶,握
何首乌,"钱,两,克,g,None"
取起晒干,None
蜂蜡,"两,钱,克"
代赭石,g
松子仁,克
乳鹿,None
火麻仁,"克,g,两"
蚕蜕纸,None
莲须,克
九晒,None
北沙参,"g,两,克"
炒没药,g
川贝,"钱,两2钱,两,分,克"
北五味子,None
虎骨,g
楠,钱
焦艾,克
藜芦,斤
童便浸,"两,None,分,克"
红泽兰,克
醋淬,None
栀子仁,两
又加南烧酒,千克
白英,两
儿茶,g
金樱子,"克,钱"
白全参,两
生灵脂,两
龟申,None
清炙甘草,g
钩藤钩,两
淡豆豉,"合,None,两,升"
制僵蚕,g
淫羊藿,"g,两半"
土茯苓,"克,g"
麦糵,两
上肉桂,两5钱
用好醋浸,克
天麻,"两,克,g,钱半,钱,分"
充蔚子,g
生白芍,"斤,两,克,g"
乌豆衣,克
番砂,钱
水煮透,None
窠,None
逍遥散加丹皮,None
青皮,"两,两5钱,克,None,g,钱半,钱"
炒地榆,g
川芎?,两
冰糖,g
牛黄,"两,分"
虎胫骨,两
榆树枝,g
胡桃,None
赤石脂,"g,两,钱,分,千克,克"
咀片,None
猪肝,两
猪胰,克
王不留行,g
芎?,"分,两,钱半"
再入姜,None
焰消,None
百草霜,钱
槐枝,斤
金箔,片
西砂仁,"钱5分,两,克"
蜂蜜,"克,g"
荆芥,"两,钱,g,None,分,克,钱5分"
锻石膏,g
尖双仁,"两半,None"
紫菀,"g,分"
黄毛鹿茸,两
樟丹,"两,g,克"
密陀僧,"克,两"
无灰陈酒同煮,None
炒乳香,g
厚朴,"两,钱,None,g,分,克,两半"
酒浸,"两,None,分,克"
焦艾叶,g
鹿胎,"具,None"
制没药,"斤,两,钱,g"
蛇蜕,条
浮小麦,石
藏红花,"两2钱,两,克,钱"
枣叶,斤
北柴胡,None
豹骨,两
蜈蚣,"钱,条,g"
蜜甘草,g
14,None
薤白,None
川归身,两
香附米,"两,分,斤,克"
瓜蒌,"两,g,钱"
连渣同香附晒干,None
硇砂,"None,g"
米泔水浸洗,None
红糖,g
云茯苓,g
吴茱萸,"g,两,钱,两7钱,千克,分,克,None,钱半,斤"
蚌粉,None
木香,"g,两,克,钱5分,两6钱,钱,None,分,两半,钱半"
捣成饼,两
石斛,"克,g"
阳起石,克
代赭,两
乌鸡,"只,g"
共煎制,None
白盐,斤
鸡肝,两
防风,"钱,两,g,None,克,钱5分,分,两半"
藿香叶,两
桑甲,斤
鸡蛋,"只,个"
另杵,None
土元,"g,份,None"
龙葵根,克
虎口长,寸
制半夏,g
又淬入姜汁中,None
合欢皮,g
半醋浸,None
柴胡,"g,两,钱,克,分,两7钱,None"
烧灰存性,None
川牛膝,"g,两,钱,克,斤"
当归身,"None,两,克,g,钱"
滤干,None
狗脊,"两,钱"
山楂,"克,g"
%五倍子末,g
冲服,None
脐心作窍,None
