雄黄,"克,g,钱,两,分,None,钱5分,千克,钱半"
炭火簇烧令烟尽,None
去滓,克
茜草笼,g
净没药,克
蓝实,两
炒升麻,g
龙骨,"-25克,钱,None,两,克,分,g"
冰片,"克,g,两,钱,分,None,厘,字"
蝎,个
犀角,"克,钱,分"
鲜蔗汁,None
掠去沫,分
烊化阿胶,g
马兜铃,两
赤者石,g
紫诃车,g
继木,"克,g"
白芨,"钱,两,g,克,None"
煅瓦楞子,g
川乌头,"两,钱5分"
薏苡,钱半
赤勺,g
天南星,"None,g,克,钱,两,两半"
日夜,None
肉浓汁,None
生地,"钱,斤8两,None,克,g,升,两,千克,重,斤,分"
以好醋浸,None
麻油半合,None
琥珀,"两,克,None,g,钱"
炒栀,两5钱
土榆炭,g
百寿大梅,g
生蒲黄,"kg,克,g"
水浸,None
净黄连,钱
侧柏炭,"千克,斤,g,None"
菊花,"g,钱,两,None,分,克"
猪膏,斤
淡竹叶,"g,克,握,升"
阴阳硫黄,None
附,寸
石三棱,两
糯米,"两半,克,两,None"
炒地榆,g
茵陈蒿,"钱,g,钱5分,两"
黛蛤散,"克,钱,g"
生草梢,钱
川乌尖,个
钗石斛,钱
槲寄生,g
酒曲,钱
蜡梅花,g
胆南星,"g,钱5分,钱,两,分,None"
密陀僧,"两,None,g"
生白芨,g
大白芍,g
田三粉,g
辛荑,g
白附子,"钱,钱半,分,克,两,钱5分,g,两半"
灯笼草,g
牛胆汁和,None
炒苁蓉,g
生杭芍,克
黄栀,g
泽兰,"g,钱5分,钱,两"
焦山栀,g
黄芩心,克
赤石脂,"两,克,g,钱,分"
茅香,握
广三七粉,g
千金子,两
地锦草,"两,g"
蟾酥,"g,钱,分,None"
童子尿,ml
铁树叶,斤
小胡麻,"g,两半"
杜木鳖,None
一枝黄花,g
地骨皮,"两,克,钱,g,None"
醋浸,分
生山药,"克,g"
苇,g
楮子,升
炙绵芪,g
白芨粉,"-15克,g"
软滑石,None
炙鸡金,g
如无青色者,None
黑豆,"None,粒,两"
入一青竹筒内,None
姜皮,钱
无名异,"两,None"
又用盐,份
五味子,"g,克,斤,两,分,钱,枚,粒,个"
煮,克
草果,"钱,两,分,None"
麻黄根,g
碧芦皮,两
一处拌匀,None
大赤金箔,张
牛蒡子,"克,g,钱,None"
泽泻,"克,None,g,两,钱5分,两5钱,分"
果黄,g
蔚金,对
生绵纹,两
川楝子,"克,g,None,两"
牛蒡子钱半,None
荷叶,"千克,g,两,None,分"
白槿花,g
海螺角,g
涂生姜汁,None
薄荷脑,分
元寸,g
生首乌,g
虎粪,None
柳枝,None
醋,斤
脑水杨醋,g
急性子,钱
茵芋,"两,None,分"
制赤首乌,钱5分
天冬,"两,None,克,斤,钱,g,分"
萎仁,克
准山药,两
陈风,None
芙蓉根,g
侧柏叶炭,"克,g"
角刺,两
石榴皮,克
炒蒲黄,"克,g,升"
蛇含石,None
旱连草,g
去皴皮,两
桃枝,None
生白术,g
大川乌,None
三桠苦,g
芜荑,"两,None,钱"
陈桉炭,g
生槐角,"kg,g"
棕榈,"斤,克,g,两,None"
炙乌贼骨,g
芦荟钱半,None
楮实子,克
岗稔根,g
姜汁,None
与硇砂用醋,升
艾叶,"克,钱,None,g,两"
黄明胶,"克,钱"
莲子,"粒,g,两,克,None,钱"
用酒,升
路路通,g
柏子仁,"g,克,升,钱,分,两"
线香,钱
薄荷,"克,g,None,两,钱"
诃子,"None,g,两,克,钱"
雅黄连,g
蚂蚁花,钱
马牙消,"克,钱,两,分"
代石,g
蛤蛤,枚
饭党,两
蒺藜,"克,两,None"
巴戟天,"克,g,钱,两6钱,分,两"
地龙,"g,None,钱"
生赤首乌,钱5分
生龙脑,克
青橘,None
甘菊花,"克,分,两"
苏木,"None,g"
黑栀,"钱,克"
蔓荆子,"两,g"
大豆,克
真合州补骨脂,斤
山豆根,"g,两,克,None,分"
桔梗,"两,钱,克,g,两5钱,斤,分,None,两半"
紫贝齿,两
没药,"None,两,钱,分,g,克"
白胶香,None
西洋参,g
双花炭,钱
炒知母,克
乌喙,None
红毛大戟,None
宿姜,克
低榆,g
鹿茸草,g
微炒,None
生白芍,"斤8两,克,g,钱"
香菜子,钱
伏龙肝,"克,斤,g,两,份"
桦皮,克
菜苋,克
地脉,两
熟艾,克
老红花,g
白锡,钱
附子,"分,克,两,g,None,钱"
常山,"钱半,钱,None,两"
慎火草,升
益母草,"钱,克,g,两"
杏仁,"None,克,g,斤,两,粒,钱,-7枚,两半,分"
土马鬃,两
山萸药,g
野台参,克
莲房,g
赤小豆,"分,克,None,两,g"
松香,"两,g,斤4两,None"
三棱,"两,g,None,克,斤"
秦艽,"克,None,g,钱,两"
附片,g
香附末,g
生芍,钱
瓜萎,g
侧柏,"克,g"
炙龟板,g
生在大黄,-10克
生五倍子,两
天蓼木,两
血余炭,"克,g,两"
川羌,"None,g,钱,两,克,分"
刮去毛切片,None
木壳,g
粉牡丹皮,g
怀生地,两
白及根,g
入搏饭内煨熟,None
米泔浸,斤
银石器内杵细,None
蝼蛄,分
乳香,"None,两,钱,钱5分,分,g,克,钱半"
银珠,g
徐长卿,g
干蝎,"两,分"
炒槐花白头翁,g
穿心莲,g
黄连,"克,钱,斤8两,None,g,千克,两,分,石"
藿香叶,"分,两"
炒五灵脂,g
五倍子,"两,克,g,钱"
猪脂,升
生党参,g
茯神,"钱半,钱,克,两,g,分,None"
山栀仁,分
木蝴蝶,g
焦栀,g
旱莲萆,g
露蜂房,"两,钱,g"
高良姜,"g,两,分,None"
苦参炭,g
虎头骨,两
嫩松香,g
鲜石斛,克
巴豆,"两半,枚,两,分,钱,None,粒"
