生地,丹参,益母草,海螵蛸,茜草,旱莲草,炒蕲艾
白茅根,龙骨,牡蛎,生三七粉,白芨粉,生在大黄,藕节
铁树叶,鲜荷叶,侧柏叶,大蓟,生地炭,荷叶炭,棕榈,橘络,石斛,甘草,陈皮,丹皮,生地,浙贝,黄芩,百合,川木通,香墨
荷叶,石斛,大小蓟,香墨,甘草,白芍,丹皮,侧柏炭,.黄芩,百合,栀子,陈皮,棕榈,川贝,生地,干克,竹茹
当归,生地,香附,地榆,茯苓,泽泻,黄连,山萸肉,灯心草
白芨,白蔹,乌鱼骨,紫参,黄芩,龙骨
白蔹,白芨,白芷,碧芦皮
白术,人参,茯苓,黄芪,山药,百合,甘草,前胡,柴胡
白芷,熟干地黄,当归,白蔹,川芎,花椒,附子,甘草
百合,生熟地,玄参,地骨皮,川贝,兜铃,当归,紫菀,白芍,北沙参,麦冬,桔梗,甘草
生地黄汁,生姜汁,黄牛乳,藕汁,胡桃仁,干柿,大枣,清酒,黄明胶,秦艽末,杏仁,双仁
侧柏叶,干姜,艾叶,党参,白术,甘草,阿胶,田三七末
槐角,当归,生地,黄芩,黄柏,侧柏叶,枳壳,地榆,荆芥,防风,黄连,川芎,干姜,乌梅
五倍子,白芷,石灰,堇泥
乳香,没药,川羌,紫苏,细辛,乌药,麝香半字,蛇含石,厚桂,白芷,降香,当归,苏木,檀香,龙骨,天南星,硫黄,寄生尾,花蕊石
人参,甘草,茯苓,白术,黄芪,砂仁
人参,生地,黄芪,山药,白芍,阿胶,茯神,草灰
苍术,陈皮,黄柏,黄连,连翘,黄芩
苍术,地榆
生地,龟板,石膏,龙齿,石斛,天花粉,丹皮,羚羊粉,北沙参,白芍
侧柏叶,人参,荆芥
赤芍,当归,附子&lt;炮裂,黄芩,白术,甘草,阿胶,生干地黄
夏枯草,槐花,连翘,粉甘草,西红花,金银花
大黄,郁金子,降香,三七,当归,牛膝
黄芪,通草,茯苓,干姜,葛根,桑根白皮,牛蒡根,生干地黄,地骨皮,忍冬,月采枝茎叶,阴干,湿加,薏苡仁,菝瘛,麦冬,玉竹
生地,当归尾,黄酒
当归,黄芩,牡蛎,赤芍,防风,龙骨,陈皮,蛇床子,白芷,黄芪,川芎,生地,升麻,甘草
多年老石灰,血竭,松香,浸于凉水内,昼夜,乳香,没药
生地,白芷,白芍,川芎,当归,蒲黄,阿胶,小蓟根
生地炭,当归,黄芩,地榆,生栀子,生白芍,升麻,炒槐花,侧柏炭,乌梅,生阿胶,芥穗,黄连
白芍,当归,荆芥
黄芪,当归,茯苓,丹皮
狗脊,白矾,血竭
黄连,槐花,苍术,甘草,白术,厚朴,枳壳,陈皮,藿香,当归
防风,秦艽,当归,川芎,生地,白芍,赤苓,连翘,槟榔,甘草,栀子,地榆,枳壳,槐角,白芷,苍术
