雄黄,"钱,钱3分,克,分,g,千克,None,两,石"
神僸,两
去水,None
鸡骨草,g
甘草流浸膏,ml
维生素B,g
先姜汁,None
丹参,"克,g,钱,None,石,两半,两,两1分,分"
鲜生姜,None
扁豆子,钱
过罗,None
全瓜篓,g
焦山楂,g
地栗粉,两
牛薏子,升
锁阳,"钱,g,两2钱,两"
苯佐卡因,g
使君子,"个,枚,两,钱,None"
另研,None
明参,g
又以盐水浸,None
天竺子,g
水梨汁,杯
嫩鹿茸,克
去苗,None
川贝,"克,两,None,g,钱,两2钱,-10g,两5钱,分,斤8两,～9克,石,重,钱5分,斤"
北五味子,"None,g"
金蝎,g
黑铅,"None,块"
牛黄,"钱,g,分,克,None,字,两,钱5分"
料酒葱姜,None
核桃,个
猪脊,g
赤鲤鱼鳞,两
一半生用,None
金樱子,"g,钱,石,两,克"
六十,两
炒酸枣仁,g
贡白术,g
白芜荑,两
羊胫炭,两
石枣,两
焦木,g
煅,None
生代赭石,g
红藤,"石,g,None"
炙穿山甲,克
石灰,None
鲜橘叶,克
球为度,None
令姜汁干尽,None
摊铫内,None
加白硼砂,钱
橄榄,"石,g,枚"
待茱萸焦即住火,None
芎?,"两,分,钱半,两1分,两半,None,钱"
焰消,"克,None,两"
百草霜,"两,None,克,钱"
槐枝,"斤,两,None"
白糖,"两,两半"
白矾灰,"两,分"
以水飞,两
紫菀,"克,两5钱,kg,两,None,g,分,千克"
赤饧,合
鲜佩兰,g
制没药,"克,g"
谷芽,"g,None,克"
放冷,"两,None"
枸妃子,g
瓜蒌,"克,钱,None,两,g,个"
黑山栀,"两,None,g"
用腊月黄牛胆酿,None
硇砂,"克,None,两,分,钱,钱半,钱5分"
海南沉香,g
吴茱萸,"克,两,g,None,钱,分,升,两半"
南花粉,g
锦地罗,两
同厚朴,None
净枣仁,g
于净地上铺纸,重
川泽泻,None
马兰,g
生姜汁炙,两
生米壳,斤8两
防风,"两,钱,两2钱,克,None,分,g,两半,两1分,钱5分,钱半,两5钱"
钳出,None
分为小块,None
罂粟,"两,克,g,None"
青风藤,"两,g"
柳木椎研,两
姜制半夏,None
山桂,None
楮白皮,None
棘蒺藜,g
球,None
炒令黄黑色,None
炙僵蚕,g
米黄为度,None
黑木耳,None
莳萝子,两
先煎,None
大腹皮,"两,None,g,克,钱,钱5分,枚"
荷叶蒂,个
空青,克
干蜗牛,枚
覆花,"两,g"
汉防己茯苓,克
生甘蜡,g
沸汤浸一昼夜,None
以土内窨定罐子,None
莲根,钱
粳米,"g,-2两,克,-60g,None,合,撮"
草蔻,"克,钱,g,分,两半,两,枚,两2钱"
藿菜,克
炒紧黄色,None
雪水,None
半地骨牛皮,g
水煮半日,None
扁豆衣,克
佛手,"g,分,None"
研如糊,两
赤马蹄屑,分
入南星末调,None
枯明矾,g
人乳,"克,合"
北梗,克
以麻缠定,None
蒜白,斤
熟干地黄,"两,克,分,两半,None,两7钱半"
饴糖,钱
荠芥,g
榴皮,g
土茯苓,"g,钱"
槐角子,"斤,克,钱"
鬼针草,g
明雄黄,"钱,两,克,g"
桑葚子,g
候干烧令稍赤,None
五不留行,g
人坎炁,条
红大戟,"两,克,None,分,钱,斤"
川芎I,g
杀风桔,g
过夜不必守之,None
生石硫磺,g
生川草乌,g
大虾蟆,个
好灵砂,分
净米泔水洗,None
用柳木槌搅,克
锉半寸长,None
翻转入炉,None
京墨,克
蛤蚧,"对,g,None,克"
蛀竹虫屎,g
飞净黄丹,g
真阿胶,钱
炙款冬花,g
虎帐,g
[方源]古方,None
炙橘红,g
俱取入炉甘石内为妙,None
桃杏仁,g
细率,g
白牵牛,"克,两"
川黄,两
法制半夏,"钱,克"
樗白皮,"钱半,None"
