雄黄,"钱,钱3分,克,分,g,千克,None,两,石"
重洗,None
初以炭火,斤
樟脑,"钱,两,g,None"
牛蒡子,"None,克,两,g,钱,分"
味同烧,None
银杜仲,两
用瓷器纳入前药内,None
千粒油,g
制乳没香,g
川楝子,"两,g,石,钱半,钱,克,None"
二陈汤加麻黄,None
梅冰片,分
荷叶,"g,克"
清夏,"钱,None,两"
胖大海,"None,g"
煮干,None
涂生姜汁,"克,None"
去虫,None
天灵盖,升
煎沸取起,None
柳枝,"斤,节,两,None"
萆解,g
急性子,"克,钱,g"
茵芋,"分,两"
再煎透为度,None
蜜麻黄,g
鲜白芦根,g
醋炒艾叶,钱
萎仁,克
桃叶,把
川蜈蚣,条
酒,"ml,None"
角刺,分
石榴皮,克
烧盐,两
九一丹,两
海粉,"None,两,克"
香蔓,钱
黄泥涂封,None
须,None
同煮水尽,None
生白术,"钱,g"
大川乌,None
狗胆,"个,枚"
取黑者炒,合
芜荑,"两,钱半,合,钱"
棕榈,"钱,分,g,两,克"
枣皮钱半,None
有干姜,None
楮实子,"克,两,斗"
带皮苓,钱
哈蚧,g
姜汁,"钱,茶匙,g,升"
刘奇奴,g
白药子,"分,钱"
取末,两
蛇胆,None
人工竺黄,None
随汤煮干,克
鹿角,"两,克"
莲子,"钱,克,两,g,斤,升"
葛粉,两
竹沥夏,g
路路通,"g,个"
用桔梗,None
柏子仁,"克,分,g,两,两半,合,钱,None"
大豆黄,枚
糯米半合,None
生杜蛎,g
千葛,克
马牙消,"克,分,两,钱"
芎?末,分
伸筋草,"g,克"
细墨,钱
麦,None
京枣,两
生龙脑,"分,两"
地偷,None
苏木,"钱,分,克,两"
瓜萎仁,克
蔓荆子,"g,分,None,两,钱,两半,升"
真山羊血,钱
上沉香,钱
红参须,g
烧令通赤,None
紫贝齿,"g,None"
没药,"钱,克,g,None,分,两,两2钱,份,两5钱,钱半"
黄雄鸡肠,具
哈士蟆,两
白胶香,"g,分,None,两"
僵蚕钱半,None
西洋参,"g,None"
新鲜大力子根,克
乌喙,两
金荞麦,None
赤者杀人,两
炙地龙,g
川楝皮,g
荔枝核,"g,两"
味后下,方
制白术,g
玛瑙石,g
柠檬酸,钱7分
川姜活,g
生干地黄,"两,分,None,斤,克"
常山,"g,两,None,克"
冬白术,两
煎浓汁,碗
竹刀破击肠杂,None
赤金箔,张
苦参根,g
真新绛钱半,None
东白薇,"None,钱"
以碗,个
桂府腻白滑石,克
熟硫黄,钱
净连翘,g
赤小豆,"克,两,g,钱,None"
松香,"克,分,钱,斤,两"
三棱,"两,克,～15克,g,分,钱,None,斤,两半"
净坎气,条
附片,"克,g,钱"
生芍,斤
瓜萎,g
炙龟板,g
山羊睾具,付
将石飞,None
黄雌鸡,只
将炉甘石煅红,None
川羌,"两,钱,None,分,两5钱,克,g,石,两半,份"
白豆蔻,"克,钱,两,None,g"
壁虎,g
分作,份
晋矾,None
浮小麦,"g,None,克"
玫瑰花,"g,克"
成炼钟乳,克
蝼蛄,"枚,个,克"
瓦片盖之,None
拔尽毛,None
蓝子,两
紫花,g
用款冬花,None
枯矾末,None
去矾,克
徐长卿,g
去红娘子,个
藿香叶,"分,两,克"
马勃,"g,None"
猪脂,"两,斤半"
味同捣,None
茯神,"None,克,分,g,两,钱,钱半,铢"
山栀仁,"克,两,g"
川楝白皮,克
可用麝香,克
干蟾皮,钱
酸石榴皮,两
又入水同捣,None
德夏,g
以瓦盖顶,None
制白附子,g
白芨片,g
细川连,None
搅晾冷,None
作饼子,两
蔓荆,"None,g"
墨旱莲,"两,两半,g"
白葡萄干,g
乌海,两
次日蒸透晒干,None
白姜,"两,None"
生五灵脂,g
黄松节,None
剖麦冬,None
不用甘草,None
菊花炭,钱
？,"两,g"
焙蜈蚣,g
兜铃,"两,克"
并烧,None
须慢火,None
去莱菔,None
光明砂,"两,克"
匙,None
玄参,"克,两,g,钱,kg,钱5分,None,分,寸"
白鸡冠花,"克,g"
风化朴消,克
磁石,"克,g,None,两,两半,分"
化橘红,"钱,g,两,None,克"
良姜,"钱,两,克,None,两1分"
三仙饮,钱
桑寄生,"克,g,None,两,两5钱,钱,两半"
莪木,g
小块,None
冬虫夏草,g
盐麸子,None
降香片,g
生茅术,两
淡干姜,g
芡实,"克,g,None,钱半,两,升,钱"
生灵脂,两
火煅起金花,None
深色鼓子花,斤
拣令净,None
枸杞茯苓,g
桑叶,"None,g,钱,两2钱,克,两"
马齿矾,分
黄芩素,None
滤干,None
蛇蜕皮,"分,条,两"
生白矾,"None,g"
金佗僧,钱
用麻线缠定,None
女贞子,"克,g,两"
天竺蓝,g
洛粉,两
腊月内取黄牛胆汁和为剂,None
净前子,克
生犀尖,钱
生蛤壳,g
乌蔹莓,g
再用水,碗
搅晾温,None
炙苏子,g
杭菊花,g
檀香,"g,两,克,钱,两半,分,None"
薏苡仁,"克,g,钱,两,斤,-40克,None,石,分,合,升"
雄雀粪,两
乳没药,g
薄片切,None
竹茹,"g,克,两5钱,钱,None,两,分,握"
磺石,克
刚服,g
次皂汁,None
瓜仁,钱
屈头鸡,g
鲜生地,"g,None"
山药代粳米,None
昌蒲,g
麝香,"钱,分,None,字,两,克,g,厘,钱半,分5厘,钱匕,方"
为末,None
故纸,"钱,克,g"
儿荼,g
珍珠,"分,钱,克,None,g,两"
紫苑,"g,分"
鸡苏,两
共为细粉对入,克
龟膏,克
锉如指面大,斤
大苗爪草,g
香橼,克
活乌鸦翎,寸2分
乱发,"两,团,克"
真山药,钱
细茶,"两,钱"
紫花地丁,g
白茯,None
白糯米,斤
白茅根,"克,g,石,两,升,握,None"
以童便浸透炼熟,None
芜花,两
蜜,"None,两,升,合"
竹沥膏,钱
朱砂,"钱5分,钱,分,克,两,钱2分,g,None,两半"
紫菀茸,"克,分"
禹余粮,"两,None"
桔梗尾钱半,None
诃梨勒皮,两
半夏,"None,两,克,g,钱,斤,钱5分,分,个,钱半,片,钱3分,～9克,两半,升,枚,石"
明粉,钱
郁李仁,"两,g,分,两半"
八角茴,钱
黑丑,"两,钱,克,g,None,两半,分,斤"
炙马钱子,g
马鞭草,"g,分"
如带血者,None
黑矾,"两,斤,g,钱"
全蝎虫,只
先用枳壳,两
安息香,"两,钱,克,g"
制茅术,钱
紫川朴,两
炒菜菔子,g
草,None
陈茶,千克
续断,"两,钱,克,g,钱半,钱5分,None,分,两5钱"
筋,None
川皮消,斤
以皂角水浸一日,克
炙鳖甲,g
僵蚕,"两,克,钱,g,两2钱,～12克,条,None,分,钱半,个,两5钱"
火消,钱
细柏末,钱
生栀子,g
覆盆子,"g,克,两1分,两,分,两半"
败棕,克
炙麻茸,g
人参末,两5钱
五灵脂,"克,斤,g,None,钱,两,份"
火上煨焙,None
去白留黄,None
生羌活,两
生明矾,克
干荷叶蒂,None
狐肝,具
顶血竭,g
地骨皮,"分,克,两,g,None,钱,石"
炒令香起方得,两
卜子,None
四香,钱
木猪苓,克
栀子仁,"两,None,克,分,钱"
钩藤后下,g
人乳拌晒,None
黄瓜,分
竹叶,"钱,g,两,None,克,升"
煮水干为度,None
用生姜自然汁作饼子,两半
活乌背鲫鱼,个
蜈蚣,"条,克,两,分,g,None,钱,个"
川厚朴,"钱,None,克"
青木香,"两,g,克,钱"
黄豆炭,钱
粉甘草,"g,克,两,钱"
此三味锉碎,克
包在精猪肉内煨过,None
红娘子,"None,枚"
圆白半夏,None
干蓝,合
小麦糵,两
养,None
粳米半合,None
郁金,"两,钱,克,None,g,石,钱半,分,个"
旱莲草,"克,g"
黄苍,g
姜制厚朴,两
把,None
生为末,None
绯帛灰,钱
以好醋淬之,None
龙骨,"克,None,g,钱,两,两半,分,两1分,钱5分"
蜗牛壳,None
刀豆,g
明沙参,g
金银花,"克,None,钱,g,钱5分,分,两,-30克"
男性头发,g
法制消,None
蒲黄,"克,g,两,钱,None,方"
半夏曲,"克,两,None,两半,钱"
黄柏提取物,g
绿茶,"g,None"
神曲,"克,None,斤,两,g,分,钱,两半"
千年健,g
黄皮根,g
出在乌鲁木齐,钱
炙全蝎,g
炒牛蒡子,g
棕衣,g
瓦松,g
生犀屑,分
炭火内烧黑存性,None
蒺藜,"克,两,g,None,两1分,片,分,两5钱"
川乌,"两,克,None,g,钱"
杏仁香精,ml
经霜桑叶,克
宿姜,两
蓖麻子,"两,g,None,个,克"
肉豆蔻霜,钱
广香,g
者并作,None
沉香,"钱,两,None,g,克,分,钱半"
杜牛膝,两
全丝瓜,～15克
血竭,"钱5分,克,钱,g,None,两,钱半,分,两5钱"
菝葜,g
黄精,"克,g,钱"
戈半夏,钱
生芪,g
同朴煮,None
昆黄芪,克
腊肉骨,钱
朱砂面,钱
猫瓜草,g
大青盐,"钱,克,两,None"
根止汗,分
锦帛,钱
地肤子,"g,两,两1分,钱,克"
面,两
韭菜子,"g,两半,两"
白梅花,g
石膏,"g,None,钱,克,两,两半,千克,分"
木防己,g
鸡血藤,"克,g,None,两"
青葙子,"两,克"
皂,"两,克"
味和作一处,None
桑白皮,"两,克,钱,None,g,分,钱5分,斤"
川附片,两
乌梅,"个,克,两,分,None,g,升,钱半,枚"
非鼠粪也,钱
干木瓜,两
炒全瓜蒌,g
阴干,两
小胡麻,"g,两,两1分,钱,克"
去芦梗净,两
生麻黄,g
紫蔻仁,钱
倾汁作一处,None
大瓦盆盖覆周围,克
豆卷,g
真珠末,"两,分"
甘草,"两,None,克,g,分,钱半,千克,斤,钱,两半,斤8两,石,～6克,寸,份,两1分,两6钱"
仙灵皮,两
去明粉,g
物盖,None
天花粉,"两,克,g,分,钱,None"
三仙,"钱,两"
代赭石,"克,g,None,石,两半,钱"
.肉桂,克
杵为末,None
甜瓜子,钱
北沙参,"g,克,钱,两"
蒺黎子,升
猫人参,g
虎骨,"钱,克,两"
取汁浸米,None
藜芦,"两,g"
河水,碗
金礞石,"两,g"
白英,g
羊脂,斤
儿茶,"None,钱,g,分,克"
r白芷,g
小窍子,None
山楂,"g,克,两,None,钱,分,钱半"
芥子气,ml
淮膝,"钱半,g"
建莲心,克
制僵蚕,钱
鲜茅根,g
麦糵,"斤,两,分"
桑条东枝,两
白滑石,None
提麦冬,钱
使君子仁,两
用出阴气,None
广皮红,克
炒防风,"g,钱半"
杵头糠,克
荜茇,"两,分,钱,None,g,克"
蛰虫,g
羚羊骨,石
藿梗,两
子姜,g
不,None
川归,"克,None,两"
清酒,"ml,升"
一半用牙皂煎汁浸,None
肥知母,"g,None"
盔沉香,钱
楝条,None
胆南星,"钱,两,两1钱,克,两5钱,g,None,～6克,石,分,枚"
怀牛膝,"克,g"
尖双仁,"粒,None,分,两半"
败龟,两
不蛀皂角,两
麻黄浸膏,g
大川乌头,两
厚朴,"None,g,克,两5钱,斤,两,钱,两1分,两半,钱半,分,钱5分"
净地龙,g
天门冬末,两
沉香或肉桂,None
朴消,"克,钱,两,None"
瓜蒌仁霜,g
冬瓜皮,"钱,斤,克"
香附米,"两,钱,克,None"
火麻仁,"g,升,两"
球成晒干,None
蓝叶,"两,两半"
云茯苓,"克,g"
木香,"分,两,克,钱,g,None"
本荆草,g
水蛭粉,g
冬麻子,升
铅霜,"两,分"
阳起石,"克,两,两半"
滤去滓,None
草川乌,g
昆布海带,None
干全蝎,枚
食油,g
白盐,克
赤石脂川椒,None
潞参,g
防己,"钱,两,克,g,None,分,钱半"
厚朴花,克
生麦门冬,"升,两"
研极细,None
干柿,枚
柴胡,"克,钱,～9克,None,两,分,g,升,石,两半"
川牛膝,"克,钱,g,None,-120克,两"
辛荑,"g,None"
狗脊,"g,钱,分,两,克"
净菊花,两
余,两
紫蒜,None
牙皂肉,None
地萹蓄,两
狗骨,"g,None"
海桐皮,"两,g,钱"
制附片,g
切片焙干,None
或加旋复花,克
板蓝根,"None,g,克,两"
藿香,"两,钱5分,None,钱,钱半,g,克,石,分,两半"
取出放阴地上,None
生甘草,"钱,分,克,钱半,两,None,g,寸"
柳酸,g
白杏仁,"g,钱"
远志流浸膏,ml
焦槟榔,克
白山药,克
石决明,"g,克,None,两"
鲜鹿茸,None
银石铫内慢火煮,None
石碱,None
蛤蚧粉,g
豉心,合
瑞龙脑,g
甘草煎汤,克
肺风草,g
白槟榔,"两半,斤"
酒蒸,克
酒地,钱
老鹿角,g
生硼砂,两
黑枣,g
炒黑香附米,g
不用生姜,None
东壁土,g
神金,张
三七粉,g
只取半夏,None
炒竹茹,钱
半夏备,克
礞石,"克,g"
尼泊金,分
与北五味子同炒干燥,None
芦甘石,钱
度,"None,两"
麻子仁,"分,克"
再用生姜自然汁于银盂中浸一昼夜,None
细生地,g
穿山甲,"克,g,片,两,钱,None,两2钱半,分"
淘净,两
血蝎,g
生荷叶,克
芦巴子,None
猪身前蹄扇骨,g
生山楂,"g,克"
焦黄柏,钱
芒硝,"斤,两,g"
代赭五,g
上梅片,g
蚕布,克
炒地龙,g
牛子,"钱,None"
西滑石,两
烧酒,斤
海风藤,"钱,g,双,两"
京半夏,g
黄药子,"kg,克,g,钱"
黄牛角腮,两
生半仁,g
三七面,g
红花,"g,None,克,钱,两,分,钱半,份,钱5分"
淡木瓜,两
麻绒,g
微焙,None
杨梅香精,ml
蛀竹屑,分
制川朴,g
略去白,None
白面,"钱,两,None"
葛花,"钱,克"
生川军,"克,g"
青黛,"g,钱,None,两,克,石,钱半"
四,"两,个"
桑根白皮,"克,两,分,两半"
飞过枯矾,两
鹤虱,"两,g,None"
用砂钵捣烂,None
生明没药,克
于白术,钱
芦根汁,杯
草乌,"两,个,克,None,分,g"
泽兰叶,"g,两,钱,克"
丁香皮,"克,两"
三七,"钱,克,g,两5钱"
黄牛乳,升
去炭尽,克
枳椇子,克
加生龙骨,钱
和匀成饼,None
去芦净,两
真豆砂,钱
葫荽子,合
独活,"钱,两,克,None,g,两半,两1分,分,-15克,钱半,两5钱"
尖槟榔,分
葵花心,g
桃条,None
枣子,None
草决明,"None,克,g,两,两1分,分"
于加减复脉汤内去麻仁,None
切作片,"None,克"
两细辛,两
甘草浸膏,g
维生素C,g
用竹沥浸拌,None
抱木茯神,None
人指甲,None
夏枯草,"None,克,钱,g"
菖辅,g
栗子黄,克
炒令烟尽,None
莲须,"g,克,两"
金钱草,"g,钱,克"
棕菩皮,g
合欢花,克
又晒,None
白丁香,"None,克,两,分,两半,钱半"
桂技,分
生猪脂油,两
栝蒌实,克
和粗皮捣令细,None
石,g
朱砂末,钱半
防其皮破血走,None
娑罗子,g
楝木皮,None
贝母粉,g
羊胆干膏,g
麸炒黄,克
米酒,ml
麦芽粉,两
附子,"个,两,克,g,分,两半,None,钱,钱半,枚,两3分,两1分,-3钱,只,铢"
水龙骨,钱
西砂仁,"克,钱"
黑磁石,克
半枝莲,"克,g"
决明,g
豆油,g
忍冬,"钱半,两"
荆芥,"None,克,千克,两,g,分,钱"
来年莲蓬,None
川贝末,g
乌贼鱼骨,两
澄,None
取粉,两
每个切作,片
牡蛎灰,None
五加皮,"g,两,克,两5钱,None"
柳蚛屑,斤
鲜泽膝,g
志子,g
陈皮流浸膏,ml
象皮,"钱,两,None,g"
冲服生赫石,g
生姜汁,"升,毫升,合,滴"
荷蒂,枚
莲心肉,钱
面针,g
京元参,None
莲心,"两,g,枚,钱"
五谷虫,"分,None,两,钱"
牛胆,两
山药,"分,克,两,钱,g,钱半,两半,斤,铢,None,升,钱5分"
鲫鱼,"克,头,寸,个"
天竺黄,"钱,两2钱,两,克,分,g,只"
葛苎,钱
鱼脂草,g
蟾酥,"g,钱,两,None"
二陈汤加炒山栀,None
拣参,克
藿香梗,钱
川当归,"g,None,两"
炒胡麻,g
姜汁浸,None
.川芎,g
海螵蛸,"克,g,两,铢,钱"
阔叶十大功劳,g
韭白,"斤,克"
雪梨,g
山萸,"克,None,g"
去瓶子,寸
肉苁蓉,"None,克,两,g,石,分,两5钱"
阳证用,克
焦枳壳,None
煮,None
风化消,"克,None"
黑牵牛,"两,钱,克,None"
瓜荽,g
以透为度,None
杜仲,"两,None,钱,克,g,钱半,铢,两5钱"
川槿皮,克
泽泻醇浸膏,g
如有缝以泥补之,None
雄猪左悬蹄甲,个
羚羊角屑,"克,两,分,两半"
苏叶,"克,g,None,两,石,两5钱,钱"
制桑皮,钱
白附,"钱,g"
香附,"None,克,两,钱,分,g,斤,钱半,份,两半"
木瓜干,None
苏子,"钱,克,g,千克,两,None,钱5分,升"
萆薢,"克,g,两,钱半,分"
浮萍草,"钱,g"
胡连,"分,克,g,两,钱"
麝香半字,None
乌韭,g
鸬鹚粪,None
仙茅,"g,两"
另兑龙涎香,钱
淡附片,g
将半夏银石器内,None
草龙脑,两
别捣,None
候冷,None
黄芪,"克,分,两,g,钱,None,两半,-2钱,钱5分"
大辰砂,克
生川鸟,g
川贝母流浸膏,ml
捞起控干,None
去却壳,None
白头翁,"g,两,克"
翟麦,g
老葱胡,个
去汗,None
用米醋淬,None
炒子芩,g
六月雪,g
合桃肉,枚
苯甲酸,钱8分
寄奴,None
萎皮,g
新罗白附子,两
生栀,钱
淬醋中,None
酒黄芩,"g,克,钱"
炒槐花,克
水洗过,None
雄蚕蛾,"两,钱,两2钱"
鲜枇杷叶,斤
为细粉,None
马齿苋,g
明乳香,两
南芎,钱
牛七,g
景天,两
煅瓦楞子,g
羚羊角粉,g
铁精,"分,两"
川黄柏,"钱半,g,两"
羊蹄花,两
北柴胡,"g,克,None"
陈皂角,钱
当归尾,"克,g,钱"
选洁白者,None
山楂米,两
射干片,g
兰花草,g
苍术,"克,分,None,两,钱,g,钱3分,-15克,两半,斤"
生苡米,g
红曲,"g,None,钱"
活白凤仙梗,克
胆矾,"分,两,钱"
鱼脑石,克
芸苔子,"g,两"
不鳞,None
又以火消末滚在泥球上,None
南枣,克
青葱管,g
白苓,None
蝎稍,个
陈金汁,None
牙皂角,钱
焦楂曲,g
焦三仙,"两,g,钱"
架火将球放炭火上炼,None
甜瓜蒂,"钱,分,枚,个,两"
用甘草汤炮,None
枯研,钱
赤勺,g
蛇蜕,"g,寸,分,钱,None,个,条"
瓜蒌皮,"两,g,None,克,石,钱"
红雪,两
同于银石器内,None
发团,两
炒苍耳子,g
射干,"克,g,两,None,分"
干胭脂,None
白蔹,"克,g,两,None,钱,分"
贯众,"g,克,两"
紫苏,"克,两,None,g,钱,分,两半,斤"
炙令微焦,None
炙桑草,g
小生地,钱
龙脑半字,None
透骨草,"钱,g"
藁本,"克,g,None,分,钱,两"
鹅不食草,"g,None,钱,两"
煮汁,None
椒,"两半,分"
乳香珠,g
西血珀,块
萆,克
左右,克
猴子枣,g
倾出胆汁相和,None
复时,None
半寸截,None
芝麻同炒变色,None
京豉,两
不用菊花,None
诃子皮,"克,分"
胡蜣螂,个
罗参,克
炒补骨脂,钱
分别用童便,None
澄去浊滓,None
生巴仁,两
姜夏,g
酒黄连,两
用细泥固济,None
候匀热便杵为末,None
枯矾,"两,钱,克,g,分,None"
生地黄汁,"合,升,毫升"
露桃花,None
大蛤蟆,个
炒二丑,克
沙苑子,"克,g,两"
前胡,"g,两,分,克,钱,None,石,钱半,两半,钱5分"
放干,None
翻白草,None
霜桑叶,g
处入银锅中,None
地榆提取物,g
山檀,克
白灵丹,钱
切作片子,"两,None,斤"
北参,分
竹沥,"两,g,None"
茯苓,"两,None,克,g,分,钱,两5钱,两半,钱半,钱5分,两1分"
京牛黄,克
用火消,两
拣玄参,None
巧八丈,双
原寸香,g
虎杖,"g,钱"
银丝草,两
琥珀末,"克,None"
苦楝根,两
浆水,升
钩藤钩,克
桃枝,"两,节,斤"
苏叶五叶,None
申刻火将完,None
米醋浸,两
皂荚刺,None
醋炒香附子,g
栗楔,两
人中白,"克,钱,None"
蜜陀僧,None
藕粉,None
苣胜子,合
纸包,两
乌头,"克,两,None,钱,分"
半边莲,g
再炒令干,None
猪后蹄垂甲,None
槟榔,"None,克,分,两,斤,g,个,钱半,枚,钱,钱5分,两5钱"
甜藤,两
木瓜,"g,两,None,钱半,克,-18克,钱,分"
石楠叶,"克,两"
在坑内烧红,克
生竹茹,两
榉树菌子,两
鱼腹草,g
干山药,"克,两"
桑枝,"两,斤,g,厘,钱,克"
足用,钱
生五味子,斤8两
龟板,"两,钱,克,g,None,个"
蟾蜍,"枚,两,个"
龙脑薄荷叶,斤
和匀,None
蚕砂,g
硫黄末,两
制马钱子,g
炮附子,"克,g"
紫河车,"g,克,个,钱"
在腹内,None
土瓜根,两
净蝉衣,g
真蒲黄,两
伽楠香,"分,克"
防葵,两
地黄,"g,两,克,钱,None"
姜炙厚朴,克
将矾,None
川贝目,g
搅数,None
水浸一二日,克
瓜蒌实,g
净全蝎,None
败酱草,"克,g"
.麝香净肉,两
生硫黄,两
灸甘草,g
莪术,"两,克,钱,～15克,None,g,分,斤,两5钱"
月者,None
白当归,分
炒延胡,两
脑香,两
爵床,None
柏子油,斤
海马,g
马勃拳大者,None
金丝水蛭,钱半
水煮令芽出,None
上盖瓦片,None
鸦胆子,"g,粒"
涂虎骨上,None
果仁,两
枯黄芩,"两,克"
生没药,g
炙北耆,None
桃仁,"g,钱,None,两,克,枚,粒,分,个,钱5分,份,两5钱"
用南星,None
细茶叶,g
大麦蘖面,克
双仁,"克,None"
熟苍术,None
黄明胶,两
水浸同炒燥,None
山植,None
以蜜炒黄耆,两
白鲜皮,"分,g,钱,两"
连翘,"None,钱,两,g,克,分"
蛇六谷,克
以炭火,斤
再入铅粉,两
猪茯苓,克
黄鱼齿,分
香薷,"钱半,克,钱,分,None"
勿经水,None
井泉石,"钱,None"
令惩炀用,两半
再用生姜自然汁搜成饼子,None
锉片晒干,斤
螟蚣僵蚕,None
枳壳,"None,克,g,两,钱,两半,斤,石,分,两5钱,钱半"
再将好酒,千克
降香,"克,g,两,钱"
大豆卷,"g,克"
猪胆,个
冷水浸洗,None
酸枣仁,"两,克,None,g,钱,分,钱半"
天,None
建曲,"g,克"
炙令黄,None
细节石菖蒲,钱
宜泽泻,克
别用汤洗去矾,None
枳亮,克
公丁香,"g,两,钱,分,克,枚,-5分,钱5分,None,钱2分"
干地龙,g
苦地丁,"克,g,两,None"
生银屑,两
用川黄连,钱
蒿本,g
染胭脂,None
炒蒲黄,g
更用黄明胶三文,None
可以芫青,枚
雪白盐,分
砂锅上蒸,None
南天镯子,g
通草,"克,g,分,钱,钱5分,钱半"
鸡血藤膏,钱
令结,None
白扁豆,"钱,g,两,克,None"
入腊月牛胆内,None
大麦内炒熟,None
天葵子,g
祁蛇肉,钱
甘松,"钱半,None,两,g"
栝篓根,g
坯子胭脂,钱
细香墨,两
猴枣,"克,g"
黑栀仁,克
硝石,两
竹沥半夏,克
白莲花,两
生石决明,"克,g"
剜空,None
至次日去连水,None
何首乌藤,g
瓜蒌仁,"两,g,None,克,分"
熬至滴水成珠,None
苎荠汁,g
生川乌,"克,g"
白葱,None
川枳壳,g
～ZI克,None
刮去黑皮涂酥,None
炙桑白皮,g
生姜煎汤浸一日夜透,克
巴戟天,"两,克,g,分,两半"
地龙,"钱,None,克,g,两,份,条,分,个"
炒芩,None
绵黄耆,"两,克"
法曲,斗
白蛤粉,两
旋覆花,"克,g,两,None,分"
枉苏子,g
畔以土拥闭,None
罂粟壳,"kg,g,克,钱,None"
生水蛭,g
阴证用,克
羚羊角片,g
雷公藤,g
马尾连,两
海浮石,"两,None,克,g,钱"
龟版胶,克
莴苣菜,None
紫参,"g,两2钱半"
酸石榴花,分
炒黄芩,"克,g"
紫团参,两
瓜蒌根十,两
将半夏入内浸,None
乳香末,克
金色自然铜,两
于铫子内炒,None
倒挂阴干,两
苦丁茶,g
象贝熟,g
翠雀花,g
茯苓皮,g
红娘,g
大风子,"两,g,钱,斤"
醋化阿胶,钱
时,None
入地金牛,g
紫荆皮,"钱,两"
忍冬藤,"g,克,两"
谷精草,"克,g,两"
马宝,g
生延胡,两
术香,克
荆三棱,"两,分,钱"
里白者,None
以炭火拥定,克
蛴螬,g
陈皮,"None,克,钱5分,g,两半,分,两,两5钱,钱,钱半,斤,-20g,升"
麻油,"两,斤,None"
炒丹皮,g
黄荆子,两
雄黑豆,两
水蛭,"g,None,钱,分,两"
药水内落下炉甘石,None
阿胶,"两,两5钱,钱,两半,克,g,None,分,片"
澄清,None
官硼,钱
令润,None
甘草节,"克,钱"
大力,"g,None"
白莲须,钱半
石榴花瓣,钱
净洗,"None,克"
铜绿,"两,钱,None"
耳子,两
猫爪草,g
烟膏,钱
铜钱,两
厚扑,g
肿节风,g
蒿豉饼,None
铅白霜,钱
何首乌,"钱,克,g,两,None"
饧糖,升
白砂糖,g
炒香附,两
淡豆豉,"千克,g,升,钱,粒,合"
黄芩提取物,g
地枫皮,g
童便浸,None
拣去茱萸不用,None
俟干,None
小麦,"合,升,两,克,None,斗"
大青叶,"克,g,两半"
慢火煮干,None
白龙骨,"克,两,None"
桂心牡蛎,两
炒荠苈子,g
令通赤,None
银箔,"片,g"
梁上尘,两
砂仁壳,克
吃力迦,克
淫羊藿,"g,克,两"
胡颓子,g
莲米,"g,两"
漂去筋膜,None
干苏叶,g
炒蓬莪术,钱
榆枝,两
豆腐,None
新鲜大虾,克
淡天冬,钱
川姜,"克,两,钱"
犀牛角,钱
冰糖,"两半,None,g"
不可猛火以伤药力,克
生百合,g
河子,g
茯苓钱半,None
下巴豆霜,两
黍米,分
涂酥,None
赤石脂,"钱,两,克,两半,分,None,g"
咀片,None
将药末匀摊在上,None
猪肝,叶
却入下药,None
大附子,两
煨老生姜,两
以白附子代之,钱
糯米半碗,None
京知母,钱
辛夷花,"None,g,克,两"
羖羊角,两
蛇胆汁,g
白苏子,"None,g"
入粳米,None
蜂蜜,"None,斤,克,g,合,升,毫升"
细辛.,g
真血竭,"两,钱"
绿豆粉,"g,两"
六梅花,g
酒浸,"钱,None,两,克"
揉取自然汁,None
银针穿线缝好,None
海金沙藤,克
黛蛤粉,g
熊胆,"g,分,钱"
葫芦巴,"两,None"
制附子,"g,-2钱,克"
薤白,"斤,钱,g,合,茎,握"
滑石用青色者佳,None
芦根,"克,g,None,握,分,两"
杏仁水,ml
白矾,"两,克,钱,两半,分,-2枚,斤,None,斤8两,g,铢"
红糖,"两,克"
两仁者,克
纸糊碗口晒干,None
以火煅烟尽,两
小蓟,"None,g,分"
以白面同和作饼子,None
制甘遂,"克,g"
川附,克
珍珠母,"克,g,钱"
为细末,None
制覆花,钱
苋菜,克
大栝楼,枚
麸炒,None
楷杷叶,None
制天麻,g
鲜芦根,g
镜砂,g
生青矾,g
木贼,"None,两,两5钱,钱,分"
大乌梅,个
鹿茸,"两,None,两半,克,分,个,对"
菜菔子,"g,None"
去其盐泥,None
厚黄柏,两
倾入在坑内,克
大鲫鱼,尾
夜交藤,g
白矾皂子大,None
山楂子,"两,None"
秦艽末,两
醋延胡,两
扁蓄,"g,None"
银末,"None,两"
芡实肉,斤
入黄丹,钱
山萸肉,"克,g,石,两,分,钱半,铢,钱,颗,None,钱5分"
调量,None
麸炒令黄,两
黑锡,两
广红皮,克
巴裁,克
骨碎补,"钱,克,g,两,两5钱,None"
元护索,g
灯罩花,g
黑皮三叶青,g
姜,"片,None"
元胡,"斤,克,g,钱,None,两,两5钱,钱2分"
火煅,None
生苄,两5钱
臭椿白皮,克
核桃仁,"个,克"
角蒿灰,两
捣罗为末,None
豆蔻子,枚
倾入药汁内,None
雷丸,"两,g,None,克"
四环素,g
黑人参,None
西瓜消,钱
朝阳土炒,两
白薇,"双,克,两,分,两7钱半"
川丁皮,两5钱
益智仁,"两,钱,克,分,None,g,石,钱半"
木鳖子,"个,g,钱,枚,两,None"
姜川朴,钱
丝瓜络,g
小豆花,克
橘叶,"克,片"
炒山甲,"克,g,钱"
夜灵膏,g
刮去皴皮,None
更加,钱
草乌尖,None
水银,"两,g,钱,分"
代赭,两
牛角腮,"g,克"
芋头,g
少少糊在纸外,None
