麦冬,桔梗,甘草,花粉,陈皮,元参,百部
黄芩,桑白皮,贝母,花粉,杏仁,知母,天冬,沙参,枇杷叶
米壳,甘草,杏仁,紫菀,桔梗,五味子,葶苈,人参,半夏,桑白皮,紫苏,陈皮
桔梗,半夏,陈皮,前胡,千葛,茯苓,紫苏,麻黄,杏仁,桑白皮,甘草
麦冬,五味子,天冬,生地,桑白皮,款冬花,紫菀,桔梗,甘草,牛膝
南沙参,桑叶,杏仁,茯苓,贝母,姜夏,前胡,薄荷,苏子,陈皮,米仁,炙草
陈皮,桔梗,枳实,川芎,芍药,半夏,茯苓,甘草,黄连,黄芩,苍术,神曲,山楂,贝母
白矾,辰砂,天南星,半夏
辰砂,天南星,白矾,半夏
车前子,青粱米
车前子,粳米
豆豉,桔梗,滑石,厚朴,苏梗,连翘,杏仁,甘草
柴胡,陈皮,半夏,甘草,生姜
柴胡,甘草
柴胡,紫菀,茯苓,雄黄,人参,黄芩,牛膝,丹砂,马兜铃
梨清膏,贝母,麦冬,百合,款冬花
贝母,麻黄,桑白皮,葶苈,蜂蜜
贝母,枇杷叶,桔梗,白糖,柠檬酸5厘,薄荷5厘,苯甲酸,尼泊金,杏仁,杨梅香精
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
米汤,贝母,冰糖
木香膏,木香,悬钩子茎,木藤蓼,野姜,诃子,余甘子,诃子,块根糙苏
木香膏,木香,悬钩子茎,土藤蓼,野姜,诃子,余甘子,诃子,块根糙苏
侧耳根,女贞子,矮茶风,破故纸,墨旱莲,五味子
贝母,羚羊角,猪脱氧胆酸,麝香,沉香,人工竺黄,青礞石,硼砂
贝母,粳米,冰糖
粳米,砂糖,贝母
贝母,紫菀,五味子,百部,杏仁,甘草
贝母,五味子,甘草,款冬花,知母,杏仁
贝母,桔梗,甘草,紫菀,杏仁
贝母
黄芪,桔梗,沙参,杏仁,紫菀,茯苓,百合,半夏,甘草
百部,白酒
百部,麻黄,杏仁
鲜百合,杏仁,粳米,白糖
百合,地黄,地黄,麦冬,玄参,贝母,当归,白芍,桔梗,甘草
花粉,河南真绿豆粉,薄荷,白檀香,白石英,白硼砂,白豆蔻,玄明粉,石膏,柿霜,白粉霜
白及,冰糖
瓜蒌子,半夏
半夏,郁李仁,陈皮,木香,槟榔
北杏,雪梨,白砂糖
南天烛子,冰糖
檀香,石膏,红花,甘草,丁香,北沙参,拳参,白葡萄干
檀香,石膏,红花,甘草,丁香,北沙参,拳参,白葡萄干
川芎,当归,生地,白芍,麦冬,天冬,贝母,茯苓,桔梗,五味子,骨皮,甘草
连翘,甘草,麦门冬,党参,百部,元参,乌梅,黄耆,云故纸,诃子,僵蚕,桔梗,花粉,蟾酥,冰片,薄荷,薄荷,白糖
