蜈蚣,"条,钱,None,克,g,份,枚,分"
川厚朴,分
白芷,"克,None,两,钱5分,钱,g,千克,片,石,斤,分"
须要坚实者,None
生葱头,根
炒川芎,g
天仙子,"分,两"
制胆南星,g
以醋调腊茶作饼子盖定,None
红娘子,个
去尽油,None
赤足蜈蚣,条
杏南芽,g
闹羊花,"None,kg,g,两,克,钱,分"
款冬花,"g,两,None,钱,分"
商陆,None
雷公藤浸膏片,g
紫草茸,g
丹皮,"克,None,g,钱,钱5分,两,分,两5钱,钱半"
甜竹茹,合
丹参,"None,克,g,钱,两,石,升,分"
急用则烂研,None
入于胆内,None
盖,克
胡椒,"克,g,两,None"
食醋,"ml,g"
"刺
蒺藜",g
蟹壳,g
酒川断,克
把,None
胃苓汤加桑白皮,None
黄狗四肢骨,g
淬生姜自然汁半碗,None
神佑丸加乳香,None
鲜荷叶,张
紫梢花,克
今虫粉,g
脑石,g
龙骨,"g,克,两,钱2分,None,钱,分"
固济约厚,寸
赤芍药粉,None
常约令火,斤
生麻黄,g
吴白正,两
菊叶三七,g
炙蜣螂虫,g
梧桐花,g
75,None
蒲公英,"克,g,-60克,None,钱"
半夏曲,"两,克,None,钱"
裹,None
石莲,None
仙人对坐草鲜草,斤
轻粉,"g,None,两1分,钱,分,钱5分,克,字"
橘核,"克,g,钱"
广三七粉,g
绿茶,g
炒柏子仁,克
蜘蛛抱蛋,克
神曲,"克,g,两,钱,None,分,钱半"
千年健,g
知母,"g,两,斤8两,克,两7钱,钱,None,升,两5钱,钱5分,两5分,分,钱半"
莲心,两
侧柏叶,"钱,两,碗"
用脂麻炒,两
白石脂,两
铅白霜,"字,钱,分"
蜗牛,个
鲜鸡蛋,个
列当,分
炙全蝎,g
羚羊粉,"None,g,两,钱,两半"
打箭菊,g
苍耳子,"克,g,钱,两,None"
滑石块,g
用醇酒浸,None
小黑豆,None
用香油,两
诃黎勒皮,"分,两,None,个"
煅针砂,两
川乌,"克,None,钱,两,g,两4钱,石,两半,钱5分,钱半"
经霜桑叶,None
蕤仁,"个,None,两"
蓖麻子,"两,g,粒"
鹿角胶,"g,两"
梁上尘,两
使君子肉,"两,g"
熟附,分
清痰丸,g
鼠屎,钱
三月结子,None
络通,g
清油,克
沉香,"钱,两,g,两4钱,克,分,None"
老葱,"支,g,节"
何首乌二百四十,两
炸枯,None
血竭,"钱,钱半,g,两,克"
菝葜,g
上白茯苓,克
黄精,"克,g,None"
武靴藤,g
青水香,克
生芪,"克,g"
同煮何首乌干,None
卷柏,"两,克,g"
好墨,两
用腊月黄牛胆汁拌和,None
用好黄土盖之,None
矾宁,g
金匮肾气丸,None
天仙藤,"None,克,g"
薄摊晒干,钱
青龙骨,钱
白芍,"两,克,g,钱,分,-30克,None,石,双,钱半,两4钱,两半,两5钱"
木灵芝,None
桑螵蛸,"克,两,g,枚,-7枚"
川通草,克
天麻子肉,粒
真琥珀,"None,钱"
地肤子,"克,g,钱,两"
夜明砂,两
侧柏炭,g
竹茹,"g,两,克"
石膏,"克,None,g,两,钱,-30克"
煅用炭,斤
栀子,"克,两,None,g,钱,分,枚"
鳖头,个
木防己,"克,kg,g"
鸡血藤,"克,两,g,None,kg"
干姜,"g,克,两4钱,None,两,分,钱,片,两半,斤,钱半"
九菖蒲,两
生紫菀,g
泡参,"钱,g"
猪牙皂角,"None,条,挺"
陈贝母,克
香五加皮,g
九香虫,克
蛇肉,g
桑白皮,"两,g,分,钱,克,None,钱半"
广木香,"克,g,钱,两"
乌附片,g
淡竹叶,"g,钱,合,握,片,张"
乌梅,"None,g,克,两,个,分,钱,枚"
密陀,两
鸡骨草,g
赤蒺藜,g
鸭嘴胆矾,钱
干木瓜,"克,两"
白木槿,g
楂炭,钱
炒全瓜蒌,g
去火渐令冷,None
郁金,"None,两4钱,g,钱,克,石,两"
以竹纸糊袋装之,钱
盐麸子,两
新水飞过,两
榧子仁,克
江浙蝮蛇干,g
木蝴蝶甘草,g
再将黄酒倒入,None
焦山楂,g
生百部汁,盏
蒸烂取出,克
豆卷,g
芍药甘草,克
锁阳,"斤8两,两,克,g,None,两2钱"
生绿豆衣,两5钱
甘草,"两,克,None,g,钱,两6钱,-6克,石,分,两半,斤,钱半,两4钱,钱5分,-2钱,铢,两2钱,钱2分"
松毛心,斤
使君子,"两,g,钱"
明腰黄,两
牛筋草,g
明参,g
曲头棘针,分
搓去黑皮,None
天竺子,g
代赭石,"克,g,石,None"
制川乌头,g
鹿茸,"两,克,g,None,钱"
马钱子霜,g
宽筋藤,g
北沙参,"克,g,钱,None,石"
水银砂子,钱
大独头蒜,个
兑细料粉,None
北五味子,"两,g,钱半,两2钱"
金蝎,g
虎骨,"两,克,钱,g,None"
炒黄连,钱
焦艾,"克,钱"
小桑枝,g
蓖麻子肉,克
研化,毫升
核桃,个
甘草末,钱
柴丹参,g
猪脊,g
五子留行,g
儿茶,"两,g,钱,钱2分,None,克,分"
心竹,g
金樱子,g
三百五,个
山楂,"克,g,钱,None,分,两"
栀仁,两
川贝,"重,g,石,钱,钱5分,两5钱,两,克,两5分,None,分"
川升麻,"分,两,克,None"
陈年蚕丝茧,克
密佗僧,克
苏木子,g
川乌尖,None
制僵蚕,g
生生乳,克
鲜茅根,两
麦糵,两
血谒,None
桃奴,两
桑条东枝,两
羊胫炭,None
火煅过,None
真松萝,钱
水红花,g
洗极净,"两,两5钱"
紫茱莉根,g
炼至滴水成珠,None
红藤,"g,-30克"
生白附子,g
鼠脑,个
牛黄,"钱5分,g,分,两,钱,克"
麻熟为度,None
荜茇,"g,None,克,钱"
蛰虫,"None,g"
狗佾,g
羚羊骨,"石,g"
藿梗,g
子姜,g
土黄连,克
初用炭火烧热,None
橄榄,"g,枚"
炙蕲蛇,g
牛蒡根汁,合
生发,钱
芎?,"分,两,两半,钱"
淡吴萸,g
炒干姜,克
浆水脚,None
肥知母,g
盔沉香,钱
西砂仁,g
松脂如鸡子大,None
双仁,枚
黄岑,None
白矾灰,分
生鸡内金,"None,克,g"
败龟,"克,两"
周,None
渐渐添火气,None
厚朴,"克,钱,两4钱,两,g,两半,None,钱5分,分,钱半,石"
制没药,"钱,None,g"
用耆,钱
以来,None
红枣肉,两5钱
忍冬,None
放冷,None
金银花提取物,g
羚羊角屑,"克,两,分"
香附米,None
火麻仁,"钱5分,g,两,斗,分,克"
橄榄核,克
土炒白术,钱半
去沫,钱
麝香草酚,None
云茯苓,g
吴茱萸,"克,两4钱,钱,g,两,None,分,粒,颗"
南花粉,g
青蒿子,两
木香,"两,g,克,钱5分,钱,分,两4钱,None,钱半,-10克,两半,两8钱,钱2分"
生姜汁半合,None
桃白皮,两
紫厚朴,钱半
水蛭粉,"g,石"
荆芥穗炭,g
冬麻子,斤
紫蒜,None
禹粮土,g
瓜子金,g
阳起石,"克,两,None"
明阿胶,两
山枙,g
活白凤仙梗,克
水飞过,两
干全蝎,分
生雷丸末,克
去须节,None
生姜汁炙,"两,None"
翼首草,g
防风,"克,钱,None,g,两,分,钱5分,斤8两,两5钱,两1分,方,两半,钱半"
炒九香虫,克
商,None
机核,g
醋浸,"两,None"
生犀角屑,分
罂粟,"g,两半"
勿动筋膜,None
青金石,g
玄胡素,克
大黄粉,g
大麦粉,g
生麦门冬,"斤,两半,克"
人粪灰,"分,两"
泽漆叶,"分,两"
枸杞根子,斤
用好醋和为丸,None
柴胡,"两半,None,克,两,钱,g,分,钱5分,升"
却用纸筋盐泥通裹盒子,None
人中白,"分,两5钱,钱5分"
川牛膝,"两,克,None,g,-15克,石,双"
炙僵蚕,g
炒黄芩,"钱,g"
狗脊,"g,克,两,None,钱"
白莲蕊,克
净菊花,两
苍耳根叶,斤
川芍,g
早枫荷,石
浮萍草,"克,g"
先煎,None
蛇蜕皮,"分,尺,条"
沥青,两
大腹皮,"两,g,分,None,克"
杀丹,g
炒甲珠,g
捣去骨,None
去烟,None
空青,两
候干,None
狗骨,g
生百合汁,盏
五灵脂膏,g
海桐皮,"None,克,g,两,分"
制附片,g
麸炒,None
土当归,钱
白毛草,g
鱼鳔,"g,克"
易,None
炒苍术,"两,g"
板蓝根,"克,g"
加黄酒,ml
藿香,"两,千克,None,g,分,钱,钱半,克,石,两半"
生甘草,"克,g,双,分,钱"
功劳叶,g
粳米,"～100克,g,合,克"
豆鼓,克
草蔻,"两,g,斤,分"
醋丝瓜络,g
皂角树根皮,两
莲花青皮,分
梅片粉,None
须用铲不停地搅动,None
紫芩,两
段生姜,片
川橘红,g
瓜蒌果,个
豨莶,"g,克,钱"
穿山甲片,"钱,g"
荆实,两
火硝,"两,克"
柴湖,g
石决明,"克,g,None"
水飞蓟素,g
陈小粉,两
猪胰子,个
分四制,两
甲,None
熟干地黄,"两半,两,克,分,None"
穿山甲珠,g
榴皮,g
羊桃根,两
鲜泽膝,g
花碱,钱
黄芩钱半,None
前仁,钱
土地骨皮,g
吴白术,钱半
准牛膝,g
豮猪血,两
可用竹节,None
鬼针草,g
日取出,None
紫菀花,g
鹿角片,g
着金箔,叶
五不留行,g
莶草,g
黑脂麻,两
弄骨风,g
黑枣,个
红大戟,"钱5分,g,钱,None,两"
粳米半杯,None
紫巴戟天,分
制何首乌,g
放术,两
三七粉,"克,g"
老苏梗,g
礞石,"两,钱,g"
盐花,两
生川草乌,g
木贼,"克,g,None,两"
麻子仁,"g,克,升"
半匙,None
三白草,g
白占,两
江南土大戟次之,None
陈年死狗颅骨,具
鼠妇,枚
白薇,"两,None,克,分"
胡桃仁,"两,份,枚"
飞净黄丹,g
芦巴子,"两,克"
黄皮核,g
酒浸一宿,None
真珠末,两
白皮,g
生山楂,g
大胡麻,"克,钱"
芒硝,"g,两"
大生葱,根
柴胡梢,分
白牵牛,钱
古铜钱,None
炒地龙,"克,g"
鲜石菖蒲汁,匙
牛子,克
祖师麻,g
用汁煮大黄,None
苍术皮,g
烧酒,斤
杜蒺藜,None
海风藤,"钱,克,两,g,双"
樗白皮,"g,两"
青陈皮,g
黄药子,"克,g"
香独活,克
栗刺,两
茜草笼,g
黑牵牛,"克,分,两"
红花,"克,None,钱,g,两,分,升,石"
