人参,黄芪,熟地,白术,当归,山萸肉,阿胶,黑芥穗,甘草,香附,木耳炭
白芍,生地,当归,甘草,熟地,山萸肉,枸杞子,甘菊花
牛膝,酒浸,当归,酒浸,菟丝子,酒浸,地骨皮,远志,石菖蒲,绵黄耆,熟干地黄
川巴戟,用荔枝肉,同炒赤色,高良姜,用麦门冬,同炒赤色为度,川楝子,用降真香,锉碎同炒,油出为度,吴茱萸,用青盐,同炒后,茱萸炮,芦巴子,同炒后,胡芦巴炮,山药,茯苓,同炒赤色,香附,用牡丹皮,同炒焦色
川巴戟,用荔枝肉,同炒赤色,高良姜,用麦门冬,同炒赤色为度,川楝子,用降真香,锉碎同炒,油出为度,吴茱萸,用青盐,同炒后,茱萸炮,芦巴子,同炒后,胡芦巴炮,山药,茯苓,同炒赤色,香附,用牡丹皮,同炒焦色
青葙子,草决明,葶苈子,车前子,五味子,枸杞子,地肤子,小胡麻,麦冬,生干地黄,细辛,肉桂,赤苓,泽泻,防风,黄芩
破故子,骨碎补,杜仲,川牛膝,续断,肉苁蓉,黑,豆,当归,鸡血藤膏,或用鸡血藤,三七,可用竹节,琥珀,或用乳香,血竭,沉香
柏子仁,薏苡仁,乌麻仁,车前子,枸杞子,菟丝子,牡荆子,青葙子,五味子,蛇床子,肉桂,菊花,山药,熟干地黄,肉苁蓉,茯苓
蓟茅根,鸡内金,女贞子,旱莲草,柏子仁,生地,冬瓜皮,陈葫芦,车前子
鳖甲,龟板,生地,枸杞子,麦冬,白芍,夜交藤,地骨皮,茯神,丹皮
山茱萸肉,当归,五味子,山药,黄芪,川芎,木瓜,熟地,白术,独活,酸枣仁
当归,熟地,白芍,川芎,枸杞子,酸枣仁,龙齿
生地,当归,白芍,柴胡,杜仲,酸枣仁,车前子,牛膝
海螵蛸,枸杞子,人归身,杜仲,香附
蛇床子,巴戟天,牛膝,续断,熟地,炒黄柏,鹿角胶,蒸首乌,云茯苓,山药
昆黄芪,党参,山萸肉,桑枝,桂枝,杜仲,当归,川芎,白芍,干姜
当归,杜仲,黄芪,党参,续断,菟丝子,川羌,鹿角霜,枸杞子,伸筋草,何首乌,城草,山楂,谷芽
