雄黄,"克,两,分,钱,None"
建曲,"g,钱"
炙令黄,None
所贵滋润,None
地骨皮,"None,克,斤,g,分,钱,两"
密蒙花,两
片姜黄,钱
花椒,"克,分,两,g"
郁京,g
鸡内金,"g,两,钱"
广郁金,g
葡萄糖,None
苦地丁,g
栀子仁,分
豮猪胆汁,钱
犀牛角屑,两
淫羊霍,g
煅铅粉,分
心白者用,None
赤石脂,"克,g,分,钱,两,None"
活大虾蟆,只
蛇莓,g
赤白,斤
榧子,"石,g"
土荆芥,g
龙胆草,"克,g,钱,分"
川厚朴,g
苦瓠子,两半
白芷,"克,None,g,两,钱"
入铜锅内,None
好香附子,斤
鹿茸,"两,克,None,g,分"
鸡血藤膏,"None,钱"
片黄芩,钱
用水煮,None
降香,None
金樱子肉,g
车前子,"两,g,分,斤,钱半,钱,克,None"
白扁豆,"g,克,钱"
蚕沙,g
蛇床仁,两
闹羊花,两
芡粉汁,None
木蝴蝶,g
虎骨头,分
覆盒子,g
紫草茸,克
丹皮,"克,两,None,g,钱,两7钱,钱5分"
内苁蓉,g
丹参,"g,克,None,石,钱,钱5分,两,斤"
生姜片,克
用粳米铺底,None
旱莲草,"g,克,None,钱"
茜草l,g
棕桐炭,g
梨肉,g
佩兰,g
蘡薁根,两
木瓜干,"None,克"
仙鹤草,"克,g"
玄明粉,"两,克"
使君肉,粒
紫梢花,克
蜘蛛,None
血余炭,"钱5分,个"
紫草,"克,g,两"
龙骨,"两,g,克"
蜗牛壳,分
焦栀,None
白花蛇舌草,"g,克"
金银花,"克,g,钱,None"
曝,None
扁豆子,g
白石英,"g,两"
蒲黄,"None,g,两,分"
松叶,g
蒲公英,"g,克,None"
人参,"克,两,钱,g,None,分"
生川乌,g
轻粉,"钱,None,分"
橘核,"g,None"
京赤芍,钱
稀莶草,g
檀香末,钱
乌梢蛇,"g,钱,两"
蕲蛇,条
千年健,g
用好酒浸过一指许,None
侧柏叶,"g,两"
茜草,"g,钱半"
络石藤,"合,g"
入沙盆研如泥,None
荆芥,"None,克,g,两,钱,钱5分,钱7分"
用荔枝肉,"两,克"
捻,None
绵黄耆,"None,两"
白蔹蜂房,分
清阿胶,两
羚羊粉,"两,钱,克"
绿升麻,钱
苍耳子,"两,g"
旋覆花,"g,两"
矮地茶,g
蒺藜,"钱半,分,合,两,克,g,None,两3钱,钱"
罂粟壳,"g,两,斤"
炙口耆,钱
蛇床子,"两,钱半,克,g"
荆三棱,两
蕤仁,None
鲮鲤甲,分
蓖麻子,"两,粒"
香油,"None,g"
鹿角胶,"钱,g,克,角,None"
炙土鳖虫,g
鲜鸡肝,枚
炙黄芪,g
蓟茅根,g
海浮石,两
苦楝皮,g
酸枣,g
龟版胶,g
隔汤蒸一炷香久,None
麻子,克
苦参,"克,g,斤,两"
石楠,克
血竭,"钱,g,克"
草乌头末,钱匕
黄精,"克,g,斤,None"
铅白霜,钱
生芪,g
昆黄芪,克
淮木通,钱
大豆,升
禹馀粮,两
萹竹,两
花碱,钱
慈竹,None
白芍,"钱,克,g,分,None,两,石,钱5分,两6铢,钱半"
酒生地,"g,克"
时,None
麦芽,"g,钱,分"
大青盐,钱
鱼腥草,"g,None"
地肤子,"两,分,合,克,g"
夜明砂,钱
忍冬藤,"克,两,g"
谷精草,"克,None,g"
韭菜子,克
石膏,"g,克,两,None,两半"
桂苓甘露饮加人参,None
栀子,"g,升,None,钱,两"
鳖头,个
菊花,"两,克,None,钱,g,石,两3钱,分"
白扁豆末,两
干姜,"克,g,None,两,片,分,斤,钱,钱半,两6铢"
浙茯苓,钱半
赤芍,"分,两,g,克,钱,两半,None"
雄蚕蛾,"分,两"
猪牙皂角,钱
准牛膝,g
陈皮,"None,两,g,克,钱,两半,钱5分,两1分,分"
腊茶,钱
桑白皮,"g,两,None,克"
广木香,"g,克,两"
炒丹皮,g
净蕲艾绵,两
乌头,"两,枚"
皂角,"克,两"
肥黄雌鸡,只
乌梅,"None,克,g,两半,个,分,钱,钱半,枚,粒"
枳壳,"g,两,分,克,None,两半,钱半"
晚蚕沙,"g,两"
粟米,斤
阿胶,"克,None,g,两,钱半,钱"
白玫瑰花,两
醋蘸淬,None
九一丹,g
取起听用,None
郁金,"g,克,两,None,钱"
墨,克
芫花,钱
制续断,g
生麻黄,g
六一散,钱
铜绿,钱
换水浸,None
焦山楂,g
角石,钱
料酒酱油,None
陈醋,None
欢皮,g
甘草,"克,钱,两,g,None,分,斤,两半,钱半,两2铢,寸"
使君子,"枚,两"
泽兰叶,g
钩蘑,克
何首乌,"克,两,g,钱,None,千克,斤"
桅子,g
蜂蜡,g
金樱子膏,克
去鳞,None
细曲,"g,kg"
火麻仁,"两,g,None"
熟半夏,克
茜根炭,g
北沙参,"g,克,两,钱7分"
炒香附,g
珍珠,"钱,克,g"
川贝,"g,None,分,两,钱,克"
茵陈蒿,"克,g,钱"
金蝎,g
虎骨,"克,钱"
勿令大沸,None
一枝黄花,g
牛黄,"克,铢,钱,分,钱5分"
红砂糖,None
酒川断,克
海藻,"g,两"
醋淬,None
羊腰,克
胡芦巴炮,None
大青叶,"克,分"
生白药,g
生黄蓍,g
淮心,g
金樱子,"克,g"
炉甘石,"g,两"
早枫荷,石
栀仁,钱
甜瓜蒂,None
橘络,钱
黑驴粪,钱5分
炒酸枣仁,g
白沙蜜,斤
乌蛇头,枚
律草,g
土茯苓,"克,g,钱"
麦糵,分
醋,"毫升,g"
姜黄连,None
制乳没,克
炒山楂,"g,钱"
水干再添盐水,None
乌豆衣,克
公丁香,"两,克,钱,分,None,g"
芸香,None
三十,两
鸡豆藤,g
炙附子,g
青皮,"None,钱,g,克,两,分,钱半"
北桔梗,克
炒地榆,g
红藤,g
冰糖,"斤,None"
柳絮,两
肥儿丸,帖
虎胫骨,"克,两半,两,None"
同煮三小时,None
涂酥,None
酒拌,克
薄荷尖,克
黄檗末,None
大附子,"枚,克"
羊肉,g
勿令焦,None
王不留行,g
荠苨,两
芎?,"None,两,分"
清酒,ml
百草霜,"None,钱,克"
肥知母,g
白糖,"None,g"
盐水,毫升
人参叶,g
水蛭,"g,钱"
甘草大者,寸
怀牛膝,"克,g,钱半"
万年灰,钱
板胶,g
紫菀,"g,克,分,两"
润元参,钱
樟丹,"钱,None,两"
蒸熟,None
麻黄,"两,克,g,None,分,钱,铢"
熟地黄炭,g
厚朴,"g,分,两,钱,None,钱5分"
去筋,None
焦艾叶,g
制没药,g
浮小麦,g
北柴胡,g
豹骨,g
蜈蚣,"条,g"
大茴香,克
制附子,g
炒黄芩,g
冬瓜皮,"g,钱"
紫苏茎叶,"分,两,None"
芦根,"g,两"
杜当归,None
生石青,两
用蛤粉炒成珠,None
红糖,None
云茯苓,"钱,两"
以新汲水浸半日,None
吴茱萸,"两半,克,g,钱,合,两,None,分"
豉心,两
木香,"两,克,None,分,g,钱,钱半"
藁本,"g,钱"
半夏曲,克
小蓟,g
西秦艽,克
阳起石,g
麻雀,只
酒尽,None
杧果核,g
珍珠母,"克,g"
羊肝,具
防风,"两,分,克,None,g,钱,钱5分"
同炒赤色,None
潞参,"钱,克"
生地黄炭,g
炙微黄,None
飞面,两
萍蓬,钱
防己,"g,克,两,分,钱"
用白童便浸出,None
浙茯苓如克,None
水飞辰砂,钱
翅,None
鲜芦根,g
柴胡,"分,None,克,钱5分,钱,g,升,两半,两,钱半"
云茯茶,g
人中白,克
川牛膝,"两,克,None,g,钱半"
大乌梅,个
当归身,"g,克,钱"
菜菔子,g
毕澄茄,"两,g"
狗脊,"g,两,克,None,分"
菖根,g
五爪橘红,两
川芍,两
白酒,ml
黄鱼鳔胶,克
红枣仁,枚
先煎,None
夜交藤,"克,g,钱"
细茶末,两
天仙藤,钱
大腹皮,"g,两,None,钱"
川斛,钱
海桐皮,"克,g,两"
覆花,g
菠仁,合
或用乳香,钱
鱼鳔,克
天竹黄末,两
芡实肉,斤
坯子染胭脂,两
山萸肉,"克,钱,两,分,None,g,两5钱,石"
布楂叶,g
炙干姜,分
藿香,"克,g,None,石,两,钱,分"
生甘草,"克,g,钱,分,None"
巴裁,克
骨碎补,"两,g,克,None"
灯罩花,g
芦荟,"钱,克,两"
乌麻仁,两
炒五谷虫,g
蚵蚾丸,帖
白芥子,"g,钱,两,克"
黑,None
佛手,"克,g"
元胡,"克,钱,None,g,分,两半"
炒山桅,g
火煅,克
轻白芦甘石,两
渴忒,两2钱
人乳,碗
砂仁,"两,g,克,None,钱半,钱,分"
代蛤散,g
鹿节,g
锉碎同炒,None
党参,"克,两,g,None,钱,钱5分"
老川芎,克
生草乌,g
熟干地黄,"None,两,斤,克,两半,分"
胡椒,"克,g"
苁蓉,"None,克,g"
淘去浮者,克
淫羊藿,"None,g"
大独活,克
断续,g
雷丸,两
鬼箭羽,"g,分"
鲜茅根,g
尝苦咸味方止,None
山茱萸肉,"克,g"
墨旱莲膏,克
款冬花,"克,两,分,g"
牛膝梢,钱
可用竹节,None
活大鲫鱼,尾
益智仁,"g,两,克"
白槟榔,两
木鳖子,克
制山甲,克
丝瓜络,"g,克,钱5分"
赤苓,"两,g,分,钱,两半,None,克"
胡桃仁,克
同炒赤色为度,None
红大戟,"克,两"
以青盐末,克
与川楝子一起炒黄,None
蔻米,克
酒浸一昼夜,None
炒山甲,g
六神丸,帖
三七粉,g
%酒精,ml
寒食面,"钱半,None"
干麦冬,钱
蝮蛇,钱
青竹茹,两
代赭,两
大瓜蒌,个
木贼,"g,钱,两3钱,两"
保首乌,g
寻骨风,g
炒杜仲,g
桂枝,"克,g,None,钱,两17铢,分,钱半"
甘松,"两,None"
细生地,钱
丁香皮,两
小茴香,"None,斤,两,g,克,分,钱"
蛤蚧,g
当归?克,None
荔枝核,g
芦巴子,"两,克,None"
真阿胶,两
真珠末,两
槟榔,"克,g,两,枚,钱,斤,个,分,None,钱半"
生山楂,g
炙龟版,g
染槐子,克
75,None
紫莞,g
松香,None
再浸再煮,None
入盐末,两
当归l,g
恒山,两
草糖浆,ml
面裹煨香熟,None
赤豆卷,克
牙硝,None
龙齿,"g,两"
踯躅,两
樗白皮,克
黄药子,"g,None"
山栀子,g
黑牵牛,两
红花,"克,g,分,None,两"
野菊花,g
宿雌鸡胸肋骨,具
桂圆肉,"两,克,g,None"
冬瓜子,"合,g"
制川朴,g
姜黄,"克,g,两,钱"
城草,克
望月砂,None
密陀僧,g
白牵牛,"克,斤"
更入炼熟好蜜,None
余沸,None
藤梨根,g
螟蛉窠土,None
百合花,g
葛花,钱
青礞石,克
辛夷花,g
青黛,"g,钱,克"
梨皮,克
牛骨髓,g
牡蛎,"两,g,合,升,克,钱5分,None"
桑葚子,g
白果,"g,个"
川椒红,两
焦冬术,g
炒鸡内金,g
鹤虱,两
同于银锅内慢火煮,None
乌药,"克,g,两"
黑芥穗,克
广砂仁,两
九孔石决明,两
新开河参,g
用粳米泔浸,None
白信石,"钱,两"
虾蟆灰,分
香墨,钱
地榆,"g,斤,两"
山药,"两半,克,两,钱半,钱,g,None,斤"
白首乌,g
法夏,"g,None,钱,石"
鬼臼,分
焦三仙,g
黑豆拌蒸晒,None
大蓟,g
真牛黄,钱
豆,两
栀皮,克
醋淬二至七次,克
炒冬术,"g,两"
莲房,g
炮附子,g
瓜蒌皮,g
川木通,"g,分,None,两,克,两半,钱"
怀生地,"克,钱"
黄花,g
辣桂,None
渐贝母,g
用盐,匙
芦荟丸,帖
辰锦砂,None
槐角,"g,两"
鸡内藤,g
杜仲炭,g
生黄芪,"克,升,g"
牡丹,两
礜石,两
犀角屑,"钱,两,分"
炒广皮,克
川巴戟,"两半,克"
入银器内重汤慢火熬成膏,None
如淡再煮,None
舌床子,g
狗佾,g
青蒿,"g,钱"
云茯芩,g
