东洋参,生于术,大腹皮,砂仁,茯苓皮,家苏梗,天仙藤,冬葵子
人参,生白术,大腹皮,砂仁未,茯苓皮,苏梗,天仙藤,冬葵子
绵耆,生地炭,归身炭,茯苓,泽泻,升麻,金银花,条岑,黄连,广木香,范制面
八角金盘,琥珀,益母草,冬葵子,滑石,芦根,赤小豆,陈皮,甘草
茯苓,山药,生米仁,白扁豆,建莲,芡实,使君子,砂仁,糯米,白米
人参,白术,茯苓,甘草,当归,熟地,川芎,白芍,川木通,牛蒡子
瞿麦,滑石,栀子,川木通,甘草,车前子,泽泻,赤苓,淡竹叶
车前子,瞿麦,扁蓄,滑石,山栀子仁,甘草,川木通,大黄
车前子,瞿麦,扁蓄,滑石,山栀子仁,甘草,川木通,大黄
当归,白术,木香,茯苓,川芎,甘草,生地,白芍,白鸡冠花,枸杞子,莲子,益智仁,酸枣仁,鳖甲胶,龟版胶,白木耳,檀香,鹿角胶,玫瑰花,巴戟天,吴茱萸,茜草,没食子,白矾,乌梅
当归,生白芍,野党参,白术,茯苓,樗白皮,鹿角霜,故纸,芡实,海螵蛸,香附,肉桂,陈皮,杜仲炭,续断,甘草,川木通,吴茱萸
人参,白术,茯苓,甘草,白豆蔻,肉豆蔻,木香,山药,砂仁
陈皮,大腹皮,茯苓,干姜,白术
白术,猪苓,泽泻,山药,莲子,茯苓,人参,甘草
黑丑,五灵脂,香附,大黄
半夏,茯苓块,黄连,厚朴,通草
神曲,半夏,猪苓
半夏,猪苓
蓟茅根,鸡内金,女贞子,旱莲草,柏子仁,生地,冬瓜皮,陈葫芦,车前子
葶苈子,龙胆草,山栀仁,山茵陈,黄芩
川萆,黄柏,石菖蒲,茯苓,丹参,白术,莲心,车前子
益智仁,川萆解,石菖蒲,乌药
萆薢,黄柏,石菖蒲,茯苓,白术,莲心,丹参,车前子
白附子,防风,川芎,全蝎,麻黄,荆芥,红花,当归,蝉蜕,薄荷,川羌,茯苓,甘草,升麻,朱砂,麝香
黄芪,巴戟天,黄柏,黑豆,大枣,牡蛎,土茯苓,泽泻
人参,白术,茯苓,白芍,陈皮,木瓜,川木通,紫苏,苍术,厚朴,大腹皮
