蔓荆子子,升
渍之,None
钩藤,"None,克,g,两,钱,钱5分,分,石"
瓦楞子,两
黄柏皮,None
晋州绛矾,两
淮木通,钱
蚬壳,两
炒葶苈子,g
没食子,两
阴行草,g
乌精蛇,g
铜器中煎如漆,None
生生乳,钱
地骨皮,"克,g,None,两,钱,两半,分,两2钱"
黑山栀子,None
白糖参,g
花椒,"克,g,分,两,钱,None,合,钱5分"
苏梗叶,两
鸡内金,"g,两,克,钱,石,None,具,分"
炒车前,钱
木猪苓,"None,克,两"
蚕茧,g
栀子仁,"克,两,分,枚"
雚芦,分
墓头回,g
麦冬取汁,升
野马料豆,两
古铜,钱
竹叶,"None,克,钱半,g,片,张,钱,升,合"
鱼草,g
乌犀角,两
薄切之,None
西赤芍,克
菟丝藤,两
古文钱,枚
扁豆壳,钱
大胡桃,枚
蜈蚣,"条,g,枚,钱半,个"
川厚朴,"克,g"
山桅子,None
泡姜,g
黄豆炭,钱
粉甘草,"两,钱半,钱"
取虫生用,None
白芷,"克,两,g,分,钱,钱半,None,两半,斤"
吴茱萸根白皮,两
无芫花,None
炒川芎,g
煮过,None
天仙子,"g,两"
黄蓍,两
鸢尾,分
芪椒,g
白茯神,"钱,克"
桐油,"None,g,ml"
入矾,None
红膝子,g
好白矾,两
花生米,枚
牛蒡根,斤
闹羊花,"两,g"
鹰爪黄连,钱
款冬花,"g,None,钱,两"
化橘红,"钱,None,g"
东洋参,钱半
陈葫芦壳,g
丹皮,"克,钱,两,g,None,双,石,钱5分,两5钱,两半,斤半,分,斤"
丹参,"克,-25克,g,石,两,钱,None,分"
牵牛子甙,mg
白归身,钱
盖,克
胡椒,"None,两,g,克,钱,粒"
旱莲草,"g,克"
海金河,g
壳,克
陈壁土,钱
先将明矾入下,None
水飞赤石脂,g
广尖,分
镑末,-3两
山柰,两
青州白丸子,两
炒曲,两
紫梢花,钱
灸乳香,g
味并去头足翅,枚
龙骨,"克,g,None,两,钱5分,钱,分,-25克"
蜗牛壳,两
竹沥,None
椿根白皮,克
明沙参,g
金银花,"钱,克,斤,None,g,两,-60克,-30克,石,分"
净洗,None
酒连,克
蒲黄,"克,g,两,分,None,钱"
干葛钱半,None
竹叶柴胡,g
75,None
蒲公英,"克,钱,-60克,-45克,-40克,g,石,None,两"
晒干为度,None
半夏曲,"g,克,两,钱半"
裹,None
轻粉,"钱,g,份,两,克,分,None,贴"
橘核,g
大蜈蚣,"条,g"
入瓷器中慢火熬尽,None
青羊肝,具
黄糵,两
榴嫩叶芽,g
神曲,"None,钱,g,钱5分,克,斤,分,两,两半,钱半"
千年健,g
黑牵牛子,两
焙黄,None
侧柏叶,"克,g,None,两,钱"
乌鸦,只
砂中,g
蜗牛,个
恒山,"分,两"
枇把叶,None
盐半合,None
本有麝香,None
用竹刀切片子,None
候熟,None
姜夏,g
棕衣,g
羚羊粉,"None,g,钱半,两,分,克,两半,钱"
苍耳子,"克,g,两,钱,None,分"
滑石块,"钱,g"
倍,None
小黑豆,升
蒺藜,"克,钱,g,双,分,两,两1分,斤,None"
诃黎勒皮,"分,两,None"
灯草炭,分
益元散,"钱,g,克"
大炭母,g
哈士蟆,g
炒知母,"克,g"
扑硝,g
川楝皮,g
铜锅煮,None
鹿角胶,"两,g,克,分,None"
全身当归,两
羊骨,克
三蛇胆,g
去豆,斤
刺五加,g
入,None
沉香,"钱,克,两,None,分,g,钱7分"
雪白矾石,钱
藿叶,None
大乌龟,个
老葱,g
半米醋浸,两
欢皮,g
入硼砂,None
炸枯,None
血竭,"g,钱,两,克,钱半"
锉片,两2钱
黄精,"克,g"
金果榄,"枚,分"
细川连,g
墨旱莲,g
一炒研,None
卷柏,"分,铢,两"
鸡笼底垢,g
人指甲,克
四叶参,g
白蔻末,克
天仙藤,"钱,克,两"
去裙膜,None
炮穿山甲片,g
川蔓蒲,g
淘,None
白芍,"分,两,钱,克,斤,g,钱5分,None,钱半,两半"
地黄汁,"合,升"
桑螵蛸,"克,g,None,两"
大青盐,"枚,两,None,克,分"
水磨雄黄,两
大天雄,两
地肤子,"克,g,两,钱,两半"
夜明砂,"None,钱,两"
侧柏炭,g
韭菜子,"g,两"
白梅花,两
石膏,"克,两,钱,None,g,两半,分,钱半"
猪板油,"斤,g"
栀子,"None,两,钱,克,g,钱半,石,分,个,枚"
泽泄,g
木防己,"克,g"
烧酒拌透,None
干姜,"克,两,片,None,g,分,～6克,斤,钱,两半,钱5分,铢,合,斤半"
银红,g
冬凌草,斤
泡参,"钱,g"
江南卷柏,g
生商陆,升
猪牙皂角,钱
北味,钱
亭苈,铢
白菊花,"克,g"
何首乌,"None,克,g,两,钱"
桑白皮,"克,None,g,两,分,两半,钱"
半皂子大,None
马齿菀,g
乌梅,"两,钱,克,g,双,枚,分,个,None"
鸡骨草,g
辣桂,None
解仓,两
菥子,两
挂候干,None
白色儿茶,克
先姜汁,None
郁金,"克,两,g,None,分"
阴干,None
芫花,"两,g,分,None,克"
白降丹,g
枙子,g
酒拌,克
炒酸枣人,g
大便干燥者多加,None
焦山楂,"g,None,克"
豆卷,g
用獖猪大肠,尺
蛇麻子,g
甲香,铢
酒杯,None
使君子,"两,克,个,g,钱"
衣中白鱼,枚
柿干,g
一号药,g
大麦,两
雄鸡膊黄皮,具
乌齿苋,g
蔓陀罗花,枚
代赭石,"枚,g,克,钱,两"
