蒲黄,"g,None,两,钱,分"
知母,"克,两,g,分,None,石,钱半,钱,斤"
松叶,斤
蒲公英,"克,g,None,石"
琥珀,"钱,钱3分,None,g,分,两,克"
半夏曲,"None,两,克,g,两2钱"
皂角,"挺,克,钱,两,斤,None,分,枚"
橘核,g
绿茶,克
勿令焰起,None
凤凰衣,钱
神曲,"两,钱,g,克,None,斤,钱半,分"
千年健,g
侧柏叶,"两,钱"
炙枇杷叶,g
盛于铜勺内,None
再以米粉蒸之,None
羚羊粉,"None,g,两,分,钱,克"
苍耳子,"g,两,克"
醋炒大黄,两
倍,None
蒺藜,"克,g,两,None"
诃黎勒皮,"分,克,两"
益元散,两
炒知母,克
蓖麻子,两
香油,斤
制白术,g
羊骨,斤
广香,g
生犀角,两
黑枳实,克
沉香,"两,钱半,g,克,钱,两3钱,斤,千克,None,份,分"
浸已日,None
莼菜,两
候米黄为度,None
血竭,"g,钱,两,克,None"
新鲜马齿苋,克
锉片,两
黄精,"g,斤"
生蒲黄,"g,None"
细川连,g
墨旱莲,g
卷柏,g
狗骨子根,None
好墨,千克
腊肉骨,钱
桔硬,g
石膏末,两
白蔻末,克
天仙藤,None
铁笕菜,g
盐枸杞,g
白芍,"两,克,钱,None,钱半,分,g,钱5分,斤,石,两半,两5钱,两6钱"
桑螵蛸,g
大青盐,"钱,两,None,枚,分"
地肤子,"g,两,克"
山龟壳,None
竹茹,"钱,克,g,两"
石膏,"克,两,g,钱,两半,None,两5钱"
炙枳实,g
莨菪实,升
以乳钵细杵罗过,None
人倾银罐,None
栀子,"两,钱,克,g,None,枚,分,钱半,钱5分"
泽泄,g
谷草,g
乱发,"两,None"
干姜,"两,分,None,两半,钱半,克,g,两7钱,片,钱,斤,～6克,石,千克,斤半"
青葙子,"钱,两,克,g"
红砒石,g
泡参,"钱,g"
九香虫,g
羯羊肝,具
味和作一处,None
桑白皮,"两,斤,g,钱,克,None"
川附片,两
生山查,g
乌梅,"两,个,枚,None,克,钱,g,分"
鸡骨草,g
天竺子,g
干木瓜,克
淮膝,g
车米,钱
烊化代赭石,g
丹参,"钱,克,g,None,两"
芫花,"两,None,钱"
小胡麻,"两,克,g"
扁豆子,g
焦山楂,"None,g"
地栗粉,"两,钱"
台白术,两
豆卷,g
锁阳,"g,两"
甘草,"None,两,钱,克,g,分,两5钱,两半,斤,两1分,两4钱,～6克,文,钱5分"
仙灵皮,两
使君子,"两,g,钱,个"
明参,"g,None"
物盖,None
糖霜,两
代赭石,"克,g,两,钱"
制川乌头,g
上余,寸
细曲,斤
嫩鹿茸,"两,钱"
熟半夏,"分,None"
北沙参,"克,g,石,两,钱"
去苗,None
沉香曲,克
北五味子,钱
猫人参,g
真松萝,钱
黑铅,两
牛黄,"粒,钱,g,分,克"
藜芦,"两2钱,两,None,分"
核桃,个
河水,升
山茨茹,g
多年粪礞末,克
生白药,g
羊脂,两
儿茶,"g,钱,None"
金樱子,"石,g"
灶下土,None
早枫荷,石
生灵脂,两
以生姜自然汁搜饼子,None
川贝,"两,g,钱,克,两5钱,None,分,钱5分"
火煅红,None
鳖甲胶,两
以童便,毫升
大斤,None
酒连炭,钱
油朴,钱
贡白术,g
猴头菌培养物浸膏,None
麦糵,"两,None"
白芜荑,两
炒山楂,"None,g"
白滑石,两半
虎骨,"None,两"
煅,None
使君子仁,两
水洗,分
饭上蒸晒,None
红藤,"g,None,克"
炙穿山甲,g
石灰,升
荜茇,"两,g,None,钱"
蛰虫,g
候铅成汁,None
令姜汁干尽,None
白马矢屑,斤
摊铫内,None
加白硼砂,钱
橄榄,枚
芎?,"两,分"
清酒,"克,升"
照前煎汤,None
槐枝,"寸,斤,合"
白糖,"None,两,g"
西砂仁,克
干青蒿,两
怀牛膝,"g,钱,None"
白矾灰,分
尖双仁,"None,枚,两"
紫菀,"克,g,两,分"
去根净,None
大栀子仁,None
沉香末,g
厚朴,"两,None,克,两5钱,斤,分,g,钱,钱半,两半,两2钱"
琥珀末,石
藏红花,克
拈楝,None
忍冬,钱
放冷,两
去目,None
藿香梗钱半,None
猪脊,g
羚羊角屑,"分,两"
香附米,"克,None"
火麻仁,"None,g,分,两,克,钱"
水煮三沸,克
茄蒂,None
硇砂,"钱,钱半,两,None"
红茶,g
蓝叶,分
云茯苓,"两,钱,g"
吴茱萸,"克,两,g,None,合,钱,分"
飞雄黄,g
麦芽谷,g
同厚朴,None
桃白皮,两
黄皮果核,g
冬麻子,合
苏州薄荷叶,斤
烧通赤,克
阳起石,"None,两,两半"
生姜汁炙,None
用姜汁浸,None
防风,"两,分,钱,g,克,None,钱5分,两半,两2钱,两1分"
商,None
潞参,钱
罂粟,"两,克,g"
大川芎,"钱,两"
紫珠草,g
防己,"g,两,克,钱,两半"
山桂,斤
研如泥,None
令南星透,None
厚朴花,g
真天麻,两
柴胡,"克,两,钱,两5钱,分,None,g,两半,两2钱半"
川牛膝,"None,钱5分,g,两,克,钱"
九菖蒲,两
蜜陀僧,两
狗脊,"分,两,克,g"
羊蹄,None
研拌,None
山楂,"两,g,克,钱,None,两半,斤,分"
先煎,None
蜀漆,两1分
栀仁,g
大腹皮,"斤,两,g,克,钱,None"
晒干又拌,None
京红粉,钱
先煮粥汤待冷,None
五灵脂膏,g
天花粉,"两,钱,克,g,分,None,斤"
制附片,g
冬减至,克
切片焙干,None
滑石末,钱
真神曲,克
沸汤浸一昼夜,None
炒苍术,"克,g"
板蓝根,g
加黄酒,ml
藿香,"None,钱,两,分,克,g,钱半,石"
生甘草,"钱半,分,钱,None,克,g,两"
日收瓷瓶中,None
粳米,"合,克"
葎草,g
猪胆,枚
白杏仁,g
别用汤洗去矾,None
梅片粉,None
西瓜霜,g
纸,None
扁豆衣,"g,克"
佛手,"两,钱,克,g,None"
草灰,钱半
焦槟榔,g
千里光,g
生石决明,"g,None"
石决明,"两,克,None,钱"
梅花点石丹,g
鹿节,g
夏所宜,克
蒜白,斤
朴,None
罂粟壳,"g,两,None,两6钱,钱"
熟干地黄,"两,分,钱半,两半,克"
荠芥,g
榴皮,g
赛葵,g
豉心,合
鲜葡萄汁,克
制川军,g
胡颓子,g
前仁,g
令润,None
包裹蝎,None
以酒洗润透,None
明雄黄,"g,钱,克"
锅粑,g
赤苓,"None,钱,两,克,分,g,两半"
红大戟,"两,None"
黄花菜,克
舌乌药,g
放术,两
三七粉,"g,克"
辣蓼,g
炒竹茹,"g,None"
干麦冬,钱
鲮甲,两
陈漆渣,None
马勃,g
姜连,"分,钱半,钱"
将苍术和合作,None
大瓜蒌,个
净米泔水洗,None
寻骨风,g
再用生姜自然汁于银盂中浸一昼夜,None
蕲蛇,"g,两,克,None,条"
细生地,克
荸荠粉,克
胎发,钱
蛤蚧,"g,对"
胡桃仁,两
芦巴子,两
真阿胶,"两,分"
刺力,g
生山楂,"g,None"
大胡麻,两
芒硝,"g,钱"
生艾汁,合
清炙草,克
捣令烂,None
柿叶,钱
古铜钱,文
炒穿山甲,g
时复换水,None
海风藤,"两,克,g"
踯躅,升
樗白皮,两
青陈皮,"克,g"
白寇仁,g
黄药子,"分,两,g"
香独活,克
三七面,g
红花,"钱,分,g,None,两,克,～15克"
枸肝菜鲜,g
净乳香,克
去油乳香,钱
大甘草,钱
地黄苗,None
制川朴,钱
取起洗净,None
白杨皮,两
自落者次之,None
白面,"克,两"
葛花,两
银星石,None
枫香,斤
生川军,g
青黛,"钱,两,g,两半,克,分,None"
乌梅 红枣 生姜,个
牡蛎,"None,g,分,钱,两,合"
苦地胆,g
白果,"克,g,None,钱"
素兴花,g
白凤仙花,None
炒鸡内金,g
升麻梢,克
鹤虱,"两,None"
江米,升
拌橘皮,None
珊瑚,克
男子乱发,两
于白术,g
猪肚,个
枸杞叶,斤
新开河参,g
草乌,"两,None,g,克,斤"
泽兰叶,"None,斤半,两"
紫补,钱
纳入一地坑,None
取出洗净,None
照前蒸晒,None
丁香皮,"两,钱"
三七,"g,克"
出火毒,两
白前,"g,两"
扁豆茎,升
炮附子,g
去芦净,两
豆蔻,"克,两,g,钱"
黄花,g
辣桂,None
槐角,"g,两"
土木香,g
海藻,"g,两,钱,分,克"
白糖参,g
礜石,"分,None"
水银,"分,两半,钱,克"
橡实,None
炙鸡内金,g
连皮大腹,None
二蚕沙,两
青果核,钱
吴萸连,克
薄公英,g
广藿香油,ml
枣子,None
草决明,"g,两,None,升,克"
小磨麻油,斤
亭长,None
用水照前煎浸蒸晒,None
封瓶口,None
海嫖蛸,克
地鳖虫,克
针者,None
大黑豆,钱
用竹沥浸拌,None
却入下药,None
于铫子内炒令黑色,None
灯心草,"None,g,厘"
嫩苏梗,钱
鸡脚风叶,None
夏枯草,"g,克"
葶苈子,"g,分,两,克,升"
木耳炭,钱
却于汤中炖,None
照前拌酒,None
母丁香,"克,-7枚,分,钱,两"
营实,两
莲须,"克,钱"
羊毛脂,两4钱
当归刃克,None
生薏米,"克,g"
金钱草,"g,两"
麻黄,"两,克,g,None,钱,两5钱,钱半,分"
硫磺,g
合欢花,克
黑豆油,钱
龟板,"None,两,g"
和为饼子,None
炷香为度,None
炙香附,"钱,克,g"
鹤虱子,钱
祁艾,两
拌酒蒸晒,None
四叶参,g
贝母粉,克
石韦,克
棵,None
明雄,"g,钱,两"
猪牙皂角,"None,分,个,挺"
麦芽粉,两
硼砂,"g,钱,两"
出浆出滓,None
甘草浸膏,g
黑炮姜,克
橘络,g
黄柏,"钱,克,g,两,None,分"
半枝莲,g
决明,g
凌霄花,"～15克,克"
百草霜,"钱,两,None,g"
甘草水泡,两5钱
谷芽,"钱,克,两,两6钱,g,None"
苍耳苗,None
荆芥,"g,分,两,克,钱5分,None,钱"
三奇神曲,钱
棉花子仁,斤
始蚧,对
细切,None
为细末,None
酥油,两
目光不陷者为真,None
每个切作,片
五加皮,"克,两,斤,钱,g"
饴糖,g
生甘遂面,g
象皮,钱
制何首乌,None
生姜汁,"滴,克,钱,None"
周围泥了,None
炙厚朴,克
焦栀芩,克
枯萝卜,g
莲心,克
麝香,"分,钱,None,字,两,g,分5厘,粒,克"
用川椒末,克
炒薏苡,钱
通草,"两,g,钱,克"
牛胆,枚
山药,"斤,两5钱,克,两,None,钱,g,分,两半,钱5分"
鲫鱼,None
蛇床子,"g,克,None,两"
天竺黄,"两,钱,两2钱,克,g"
车前草,g
鹿速脑,钱
马蔺根,两
焦子芩,g
漉出,None
羊肾,具
红豆蔻,"克,两,g"
毛里金钗根,None
]>,None
紫苏叶油,ml
白茄根,两
大半夏,克
瓜蒌,"克,分,钱,g,None,颗,两"
慢火炒如珠子白色,两
皂角子,克
川当归,"None,两"
炒柏,None
甘草粉,钱
白松脂,两
鹳骨,"寸,None"
芝麻油,升
朴消,"钱,克,两"
海螵蛸,"None,g,克,钱"
土炒白术,g
黄苓,g
铅粉,"两,两半,钱,None,分"
山萸,"两,g,钱,None"
野艾,g
紫苏茎叶,"两,克,分"
干蚯蚓,克
肉苁蓉,"None,两,斤,g,钱,克"
入汁化开,None
麦冬,"两,克,None,钱,升,石,g,分,两半"
益志仁,分
全蝎,"两,条,个,g,分,钱,克,None,只,石"
以生姜,克
巴豆七,个
食盐末,分
净蝉衣,None
大黄耆,两
黑牵牛,"两,None,斤,克,钱"
杜仲,"两,钱,g,克,None,两5钱,钱5分"
细锉,None
土炒干蟾,g
珍珠层粉,g
川槿皮,克
开麻,g
陈粟米,两
熟艾叶,两
冬葵,钱
海蛤,"两,分,钱"
垂柳枝,合
破故子,"两,g,克,斤,分,None"
薤白,"克,g,握"
同茯苓,None
杏枝,寸
防葵,分
匾蓄,克
冬瓜皮,"g,克"
苏叶,"两,g,克,None,钱5分,分,钱"
白花藕粉,None
香附,"两,钱,斤,g,两半,None,克,分,钱2分,钱半"
日干或焙干,None
远志,"None,两,钱,克,g,分,两半,石"
忍冬叶,g
绿豆,"升,粒"
萆薢,"两,g,克"
莱菔子,"两,钱,g,克,斤,None"
漏芦,"两,斤,None,克"
胡连,"两,钱,g,None,克"
白云苓,两
香薷叶,克
炮甲片,克
磨细末,None
花蕊石,"克,g"
刺猬皮,两
水牛角,g
石青,分
肉桂心,钱
盐水浸,两
黄芪,"None,两,克,g,钱,分,钱5分,两半,斤半,钱半,钱2分"
此一味,克
炙柴胡,g
南沙参,"克,g"
白茯,None
生薏苡仁,g
白绒鸡,尾
去骨刺,None
干虾头,个
真厚朴,两
梅冰片,钱
研烂,None
去汗,None
炒子芩,g
四六,分
坑内洒酒约,升
北枣,枚
大麦糵,"两,钱半,分"
川木香,g
半夏罨一宿,None
北黄芪,g
肉豆蔻,"None,两,分,克,个,钱,g,枚"
左缠藤加众药,None
知母七十,两
酒黄芩,g
炒槐花,g
铁华粉,两
阿魏,"两,分,None,克"
冬葵子,"合,两,钱,g,克"
关木通,g
碎用,两
马齿苋,"g,None"
寒水石,"克,钱,g,两,None"
郁李肉,g
槐荚子,两
川乌,"两,两半,None,克,g,斤"
松节,两
怀熟地黄,"两,钱"
北,None
猫儿眼睛草,克
煅瓦楞子,g
开瓶筛,None
淡香鼓,克
猫粪散,g
火消,钱
木鳖仁,个
煮透,None
用生姜,"两,斤"
白木耳,两
葫芦茶,g
当归尾,g
山楂米,两
青蛤壳,g
雄鸡屎,None
苍术,"None,两,克,g,钱,斤,分"
车前子,"两,钱,g,克,None,两半,分"
葛根,"两,None,克,分,钱半,g,两4钱,钱,两半"
六蛐,g
白猪矢屑,斤
澄清换水,None
九豆子,g
胆矾,"None,克"
炒于术,钱
连皮桃仁,克
素油,None
黑质白花,None
柿蒂,"None,个,枚,g"
桂花,克
14,None
菔子,"两,g"
恒山,两
观音柳,None
炒陈曲,g
珍珠末,"分,钱"
四物汤加黄柏,None
柳枝,"寸,斤,握"
焦三仙,"克,钱,g"
嫩桂枝,克
茅花,None
珍珠母,g
醋,None
甜瓜蒂,"钱,枚"
犀角屑,"两,分,克"
生枳壳,"克,g"
炒白芥子,克
犀角,"None,钱,分"
鲜芦根,厘
赤勺,g
干荷叶,两
马蔺花,None
预知子,"g,None"
醋白芍,钱
良姜钱半,None
青蒿脑,None
枣肉,克
广茂,克
广郁金,"钱,g"
紫荆皮,"克,None,钱"
蜣螂,"克,个"
水红花子,g
水银沙子,钱
紫厚朴,钱
新鲜去子肉,两
射干,"g,两,分,钱"
茵芋,"克,两,分"
用山黄土蒸之,None
酒川芎,克
真川朴,克
白蔹,"两,分,None"
甘草三十,两半
失药之灵性矣,None
陈茶叶,斤
紫苏,"两,克,g,None,握,分"
太子参,"g,None,两"
真阿魏,分
茅山苍术,斤
蔗糖,斤
青娘子,只
白者佳,None
炒黄柏,"钱,g"
藁本,"None,斤,g,分,克,两"
鲜柳根,g
野荸荠粉,分
椒,"分,钱"
漠逝,g
食盐,"g,None,两"
斑蝥,"个,None,枚,对"
煮黑油出,None
自初伏,None
蟾头,枚
金星石,None
芙蓉叶,克
白豆蔻,"两,None,克,钱,g"
米泔浸,两
为末,克
入锅内,None
粘子,None
玳瑁,钱
黄姜,斤
诃子皮,两
厚枳壳,克
鸡子,枚
煅瓦愣子,g
涂姜汁,None
豮猪胆,个
罗参,克
甘遂,"分,钱,g,两,铢,克"
豆许,None
浸童便,None
春砂仁,"g,两2钱"
麋茸,两
生巴仁,两
芡实粉,两5钱
新鲜南瓜子,g
姜汁淹,两
壳砂,"分,钱"
蕹菜,g
制半夏,"克,g"
入水,None
角刺,钱
制桃仁,g
枯矾,"g,钱,两,分,克"
不灰木,None
用屋瓦盛,None
以慢火焙燥,None
生地黄汁,"合,毫升,升"
飞龙丹,钱
金沸草梗,g
海狗鞭,两
遍去滑,None
前胡,"两,None,克,g,分,两4钱,钱"
制大黄,g
霜桑叶,g
贯众炭,钱
炒党参,"克,g"
浸透,None
浓汁煎,碗
阴,None
黄牛脂,合
食蛆,None
刀豆,g
地龙干,克
酒制大黄,g
茯苓,"None,钱,斤,两,钱半,克,g,分,两半,石,两5钱,两4钱,份,两2钱半"
茜草,"钱,g,两,克,None"
焦建曲,g
淡黄丹,钱
芡粉,None
拈香,g
牙消,两半
煅瓦楞,"克,g"
黑蛇,条
如遇天阴下雨,None
煮酒饼上纸,钱
姜枣,None
香附炭,钱
同结为砂子,None
毕澄茄,"两,g"
虎杖,"g,两"
并莨菪子末,None
刺蓟,None
入好酒研,None
白石膏,两
加柏子仁,None
江枳实,g
狼毒,两
土贝母,None
五味子半大升,None
樟脑,"两,None,字,克,钱,分,片"
河南真绿豆粉,None
去沫,克
焦于术,钱
先用枳壳,两
虎口长,寸
乌头尖,钱
人中白,"g,None"
白术,"两,None,斤,克,钱,分,g,两半,～6克,铢,钱5分,钱半"
臭椿根皮,两
川芎,"None,克,两,钱,分,g,钱5分,钱半,两半,斤"
火硝,"钱,两,None"
煨木香,g
乌头,"两,None"
半边莲,g
大鲫鱼,头
身杆,g
槟榔,"两,None,枚,颗,分,克,钱,两半,斤,千克,g,两3钱,钱半,个,两2钱,钱5分"
猪膀胱,g
栝楼实,"两,克"
木瓜,"两,g,克,None"
石楠叶,克
地锦,None
桑根白皮,"两,分,两半"
白信石,"None,钱5分,钱半,分,两"
干山药,"两,克"
东楂,钱
桑枝,"钱,None,寸,g,斤"
鞭打绣球,钱
苔乌,g
车前叶,握
大南星,两
白花艾,g
小苏打,None
同附子入青盐,两
生姜自然汁半盏,None
白鸡矢屑,斤
蟾蜍,"None,枚"
撅一坑子约深,寸
蚕砂,钱
天雄,"对,分,两"
制马钱子,g
研细如粉,None
当归,"两,None,克,钱,斤4两,g,～6克,升,钱2分,分,两5钱,石,～15克,铢,钱5分,两半,钱半"
翼首草,g
南木香,"钱半,钱,两半"
狗骨,g
研令星尽,None
候其浮起,None
蝉蜕,"个,g,两,None,分,两5钱,钱"
紫河车,"克,具,g,片"
去姜,None
鹿角霜,"None,两"
麝香草,g
自然铜,"None,g,钱,两"
草藤,g
海桐皮,"钱半,钱,g,两,克"
