石膏,知母,甘草,粳米半杯,玄参,浮萍草,麦冬
石膏,知母,甘草,粳米半杯,玄参,麦冬,紫苏
白豆蔻,红豆蔻,苍术,川羌,陈皮,厚朴,槟榔,枳壳,香附,姜皮,白术,砂仁,甘草
川羌,独活,川芎,荆芥,防风,前胡,柴胡,桔梗,陈皮,甘草
柴胡,前胡,川芎,枳壳,川羌,独活,茯苓,桔梗,人参,甘草,900,干姜,薄荷
苏叶,桑叶,前胡,浙贝,麻黄,桔梗,天南星,陈皮,杏仁,黄芩,青黛,天花粉,枳壳,山楂,甘草,牛黄
麻黄,连翘,石膏,滑石,川羌,天麻,栀子,细辛,防风,独活,甘草,全蝎,薄荷,白芍,大黄,荆芥,黄芩,川芎,桔梗,菊花,当归,白术,砂仁
柴胡,薄荷,菊花,蔓荆子,防风,芥穗,黄芩,桔梗,川芎,白芷,枳壳,水牛角,细辛,龙胆草,辛荑
滑石,石膏,黄芩,桔梗,甘草,薄荷,荆芥,防风,川芎,当归,麻黄,连翘,白芍,大黄,朴消,白术,黑山栀
柴胡,陈皮,半夏,茯苓,甘草,干姜
柴胡,葛根,甘草,黄芩,白芍,川羌,白芷,桔梗,石膏,干姜,大枣
柴胡,葛根,赤芍,甘草,黄芩,知母,川贝,生地,丹皮
柴胡,葛根,黄芩,桂枝,赤芍,人参,甘草,竹叶
柴胡,葛根,白芷,桔梗,玄参,白矾,赤芍,甘草,金银花,连翘,穿山甲,川芎,大黄,茵陈蒿,苦参,黄柏,蒲公英,苦地丁
柴胡,天花粉,葛根,黄芩,桔梗,连翘,牛蒡子,石膏,甘草,升麻
桂枝,黄芩,人参,甘草,半夏,白芍,大枣,干姜,柴胡
石膏,黄芩,甘草,赤芍,葛根,麻黄,柴胡
柴胡,木香,茯神,赤芍,犀角屑,石膏,葛根,麻黄,甘草,生干地黄,黄芩
赤芍,柴胡,前胡,石膏,葛根,升麻,黄芩,桑白皮,芥穗
柴胡,黄芩,陈皮,甘草,当归,白芍,生地,知母,天花粉
柴胡,当归,陈皮,知母
