雄黄,"钱,g,None,分,两"
白芥子,"g,None"
榧子,两
白藜芦,g
元胡,"g,克,分,两"
炒山桅,g
以楮树汁,毫升
生石决明,"克,g"
砂仁,"g,两,钱,克,分"
羚角粉,g
核桃仁,g
胆矾,g
党参,"g,None,钱"
金线吊白米,克
熟干地黄,两
枇杷叶,g
淫羊藿,"g,两"
硫黄,钱4分
郁金,"克,g,两,None"
山蓣,两半
槐角子,克
山茱萸肉,两
皮纸二层,None
苏梗,g
益智仁,"克,两,钱"
钩蘑,克
白菊花,"克,g"
茶叶,g
赤苓,"两,None,两半"
次日流出,None
芦巴子,"两6钱,None"
三七粉,g
寒食面,斤
鬼前羽,g
大麦糵子,两
酒蒸大黄,克
苦丁茶,g
瓜蒌,"g,克"
凤仙透骨草,g
桂枝,"g,克,分,None"
土槿皮,g
枫荷梨,g
小茴香,"钱,g,两,斤半,克,两半,钱半"
白薇,双
勾藤根,g
蒴翟,克
刺力,g
一半入药,两
桑葚子,g
槐米,None
清炙草,克
白牵牛,两
黄芩,"钱,克,g,合,None,两,分,两半,钱半"
防风如克,None
%薤白,g
烧两炊久,None
龙齿,g
沉香片,g
樗白皮,两
川姜,None
黄药子,g
石楠叶,两
山栀子,"钱,g"
红花,"g,None,克,钱,分"
人工牛黄,"g,None"
草豆蔻仁,克
野菊花,g
炙白芥子,g
甘草稍,g
青葙叶,两
姜黄,g
牛胆汁浸膏,None
紫草皮,钱
大麦糵面,钱5分
飞,None
玄参,"None,g,分,克"
青礞石,g
生铁锈,g
青黛,"g,克,钱"
牡蛎,"克,g,两,分"
白果,g
薄荷脑,钱
干漆,两
桑黄,两
乌药,"克,g,None,两,分"
广砂仁,g
醋浸,分
生熟地,克
地榆,"g,两"
生山药,g
法夏,g
金箔衣,g
大蓟,g
蛰虫,None
白前,g
川木通,"g,None,钱,两"
胭脂,钱
蜂花粉,g
黑豆皮,g
槐角,g
涂酥,None
杜仲炭,g
生黄芪,g
血余炭,钱
桑柴灰,碗
川巴戟,两
血蝎梢,克
皂角刺,"钱,g"
坐文火上徐徐搅动成膏,None
木瓜子,None
草决明,"g,None"
椒目,两
芒硝,"None,g"
地鳖虫,g
冰片,"克,None,g,分,两"
灯心草,"根,茎,g"
橄榄,g
夏枯草,"克,g,双,石"
葶苈子,g
马兜铃,克
冬葵子,斤
韭菜子,两
剜空,None
白芨,"g,钱"
诊,None
川乌头,"个,None"
制蒺藜,None
竹叶,"克,升,g"
硫磺,g
青木香,"g,两,None"
生地,"克,钱,g,None,斤,两,分"
熏草,铢
血蝎,g
次日入清河水于药上,None
腊月野狐肝,具
琥珀,"钱,g,两"
炭火,斤
嫩柳枝,两
片术,克
石韦,两
菊花,"克,分,g,两"
青葙子,g
猪牙皂角,"钱,None"
淡竹叶,"None,克,片"
糯米,None
甘草,"g,分,克,None,两,钱,两半,钱5分"
硼砂,g
薄荷油,两
茵陈蒿,"g,两"
蛤蚧,对
川乌尖,厘
钗石斛,钱
%细辛,g
黄柏,"分,g,钱,None,两"
白豆蔻仁,克
决明,g
鸡子黄,枚
百草霜,"两,分"
胆南星,"两1钱,克,g"
神曲,"g,两,克"
贡阿胶,g
大川芎,"g,分,钱半"
南沙参,"两,None"
白附子,"克,g,None,分,两"
龙胆草,"克,g,两"
紫菀,g
五加皮,"g,两"
生杭芍,g
取浓汁,None
泽兰,g
焦山栀,克
象皮,钱
姜汁一杯,None
[方源]古方化裁,None
蟾酥,"钱,None"
白茯神,None
莲心,g
有水约,None
麝香,"分,克,None,钱,字,g,两1分"
通草,"克,分,两"
草乌,"g,克"
山药,"g,None,克,两,钱半"
蛇床子,"克,g"
天竺黄,"钱,克,g,石,None"
西党参,两
车前草,g
黑豆,"两,克"
莲子,两
儿孩子头发,两
浙贝,g
生川军,g
马钱子,g
以无灰酒调末填入盖定,None
白戟藜,两
凌霄花,两
牛膝肉,分
乌贼鱼骨,两半
海螵蛸,g
铅粉,钱
黄苓,两
石南,克
水牛角浓缩份,None
海蛤,两
牛蒡子,"克,两"
泽泻,"分,g,None,钱5分,克,两"
钩腾,g
肉苁蓉,"g,两6钱,钱"
麦冬,"克,钱,g,两半,分,None,两"
连皮大腹槟榔,枚
全蝎,"克,钱,g,石,None,条,个"
煮,None
嫩钩藤,克
黑牵牛,None
杜仲,"克,g,两"
熊胆,"g,钱"
犀角尖,钱
茵芋,克
连轺,g
白茯芩,分
破故子,"g,两,两半,钱"
射罔如大枣,枚
天冬,"g,两"
匾蓄,克
苏叶,"g,克,None"
净巴豆霜,克
來菔,g
倒棘刺,枚
远志,"克,g,None,钱,两"
O香附,g
鳖甲,"None,两1分,g"
炒蒲黄,g
萆薢,"克,分,钱,g,两"
全蝉蜕,g
莱菔子,"g,两"
旱连草,g
桃枝,两
胡连,两
炒黄色,克
蝉蜕壳,枚
刺猬皮,钱
水牛角,"None,g"
大蒜茎,g
姜汁,g
二十,斤
黄芪,"分,克,g,None,钱,两"
桃仁,"g,None,克,钱"
川常山,两
白头翁,g
竹沥夏,g
羚角片,克
川楝子,"g,钱5分,两,None"
柏子仁,"None,g,两半,两"
葱白,根
薄荷,"g,克,两"
诃子,"两,枚"
藁本,"None,两"
山桅,g
穿山甲,"g,两,钱,片,厘"
肉桂,"克,两,分,g,钱,-2钱"
牛胆南星,克
泽兰叶,克
巴戟天,"g,两6钱,两"
