阿胶,紫团参,半夏,鳖甲,甘草
阿胶,牛蒡子,甘草,马兜铃,杏仁,糯米
百部,麻黄,杏仁,微炒
款冬花,丹皮,陈皮,黄芩,桔梗,天冬,生紫菀,麦冬,杏仁,北沙参,麻黄,天花粉,前胡,薄荷,石膏,百合,生五味子
齐州半夏,皂角,甘草,干姜,指大
麻黄,制半夏,川贝,白术,茯苓
川贝,羚羊粉,猪脱氧胆酸,麝香,沉香,人工竺黄,青礞石,硼砂
川贝,百合,杏仁,双仁,甘草,赤苓,麻黄,石膏,人参,柴胡
川贝,桔梗,甘草,紫菀,去苗,杏仁,双仁
黄芪,桔梗,北沙参,杏仁,紫菀,茯苓,百合,半夏,甘草
好沉香,阿胶,结实人参,桑白皮,陈皮,苏子,甘草
川贝,杏仁,蜂蜜
甘草,郁金,玄明粉,白矾,生硼砂,金礞石,冰片,薄荷脑,朱砂面,姜汁,竹沥膏
甘草,罂粟,麻黄,川贝,石膏,朱砂,杏仁
麻油,蜜,生姜自然汁,紫菀酌量,麻黄酌量,杏仁酌量,桔梗酌量,细辛酌量,半夏酌量,人参酌量
石膏,陈皮,杏仁,甘草,麻黄,五味子,砂仁
枯黄芩,橘红,枇杷叶,青黛,苏子,甘草,胆南星,川贝,天花粉,桑白皮,杏仁,前胡,款冬花
白果,砸碎,麻黄,苏子,甘草,款冬花,杏仁,桑白皮,黄芩,法制半夏,用甘草汤炮
白果,炒黄色,麻黄,款冬花,桑白皮,苏子,法制半夏,甘草煎汤,杏仁,黄芩,甘草
葶苈子,苏子,杏仁,旋覆花,代赭石,麻黄,僵蚕,枇杷叶,射干,化橘红,川贝,黛蛤散
巴戟天,淫羊藿,枸杞子,款冬花,苏子,代赭石,人参,杏仁,五味子,远志,茯神,胡桃肉
苏梗,白芥子,苏子,桑白皮,苏叶,百合,杏仁,莱菔子,陈皮,天冬,川贝,知母,半夏,紫菀,麦冬,生地,款冬花,白术,当归,何首乌,阿胶,茯苓,黄芪
木香,石膏,陈皮,桔梗,麻黄,五味子炭
麻黄,杏仁,五味子,甘草,杏仁水,蔗糖,香精,苯甲酸钠
薄荷,桑白皮,天冬,麦冬,知母,百部,川贝,柿霜,枇杷叶,诃子,橘红,阿胶,紫菀,款冬花,杏仁霜,茯苓,玄明粉,铅霜,桔梗,马兜铃,五味子,硼砂,真冰片,瓜蒌仁,瓜蒌皮
马兜铃,半夏,杏仁,巴豆
款冬花,紫菀,杏仁,知母,麦冬,玄参,罂粟壳,百合,浙贝
白术,苍术,香附,川贝,半夏,黄芩,杏仁
五味子,甘草,橘红,硼砂,薄荷,乌梅
防己,陈皮,红大戟,葶苈子
