糯米,山药,胡椒末,白糖
白术,芡实
人参,白术,大腹皮,茯苓皮,紫苏
当归,白术,陈皮,续断,杜仲
缩砂,香附,青皮,陈皮,神曲
茯苓,干葛,甘草,白术
半夏,厚朴,藿香,陈皮,甘草,苍术
砂仁,丁香,肉豆蔻


山药
陈皮,辣椒,草果,活鲤鱼1尾
草豆蔻,人参,柴胡,白术,陈皮,甘草
草果仁,茯苓,缩砂仁,桔梗,甘草,生姜
苍术,地榆
云苓,芍药,甘草,茴香,厚朴,苍术,破故纸
苍术,茯芩
苍术,茯苓
苍术
肉苁蓉,精羊肉,粳米2茎,生姜
肉苁蓉,精羊肉
破故纸,党参,白术
扁豆,山药,党参
茯苓,白术,陈皮,肉豆蔻
山药
白术,茯苓,泽泻,猪苓
白术,白豆蔻,人参,陈皮,茯苓,山楂,石斛
陈皮

白术,莲肉,白芍,山药,干姜
白术,茯苓,白芍
菟丝子,熟地,陈皮
白术,砂仁
茯苓,白术,陈皮,人参,生地,枸杞
茯苓,枸杞,生地,人参,陈皮,白术
山药
大黑豆,何首乌,茯苓,青盐,甘草
党参,山药
党参,白术,茯苓,黄芪,广皮,苍术
茯苓,陈皮
麦芽,陈皮,茯苓,神曲,山药,芡实
小白菜,苡米
茯苓,白术,山药,薏仁,芡实,牛膝,白豆蔻
干柿不拘多少
上好片术
白术,绵白糖
白术,槟榔,生姜
白术,茯苓,橘络,甘草
白术,茯苓,人参,甘草
白术,芎藭,川椒,牡蛎
人参,茯苓,白术,藿香,木香,甘草,葛根
陈皮,大腹皮,茯苓,生姜,白术
白术,干姜,厚朴,人参
扁豆,粳米
扁豆,人参,粳米
苍术,砂仁,莲子
半夏,茯苓,苍术,厚朴,广皮,甘草
干姜,黑附子,陈皮,陈皮,红豆蔻,草豆蔻
茯苓,陈皮,白术
半夏,白术,天麻
山药,茯苓,薏仁,扁豆,芡实,莲肉
党参,山药,茯苓,芡实,扁豆
山药,扁豆,芡实,砂仁
莲子,扁豆,山药,茯苓
芡实,薏仁,扁豆,莲肉,山药
香附,茯苓,泽泻,山萸,灯心

玫瑰花,破故纸,菟丝子,胡桃仁,杜仲,韭子
白术,神曲,陈皮,香附
厚朴,川白姜,肉豆蔻
肉豆蔻,生姜,红糖
白术,茯苓,甘草,陈皮
白术,茯苓,厚朴
白术,白芍
蜂王浆
人参,山药,芡实,麦冬,五味子
当归,芍药,茯苓,白术,泽泻,川芎
当归,芍药,茯苓,白术,泽泻,芎?
木香,白术,桑白皮,陈皮,茯苓
厚朴,苍术,甘草,陈皮
苍术,厚朴,陈皮,甘草,桑白皮
厚朴,苍术,甘草,陈皮
羊肉1脚子,草果,良姜
枣仁,陈皮,竹叶
白术

山药,扁豆,神曲
白术,茯苓
白术,陈皮,茯苓,谷芽,山楂
大腹皮,丹皮,冬瓜皮,扁豆
槿皮,茯苓,扁豆
冬麻子,薏仁,粳米
党参,黄耆,升麻,桂圆肉,生地,熟地,当归
白术,麦门冬
党参,绵黄耆,于潜术,桂园肉
白芍,白术,茯苓,丹皮
党参,白术
半夏,陈皮,茯苓,甘草
陈皮,甘草
苍术,白术,茯苓皮,薏仁,牛膝
苍术,白术,破故纸,厚朴,广皮,神曲
匾蓄,凤尾草,茯苓,菟丝子,熟地
黑附子,党参,白术,干姜,甘草
栗子,枣仁,胡桃,柿饼
麻黄,防风,苍术,白术
防己,甘草,白术,黄耆
茯苓细粉,米粉,白糖等份
茯苓粉,车前子,粳米,白糖
茯苓粉,粳米,枣仁
茯苓,粳米
鸡肝,茯苓
茯苓,白术
茯苓,桂枝,白术,甘草
茯苓,白术,戎盐
茯苓粉,粳米,枣仁,白糖

藿香,苍术,陈皮,茯苓,泽泻,地肤子
莲肉,茯苓,山药,白术,麦芽
芡实,党参,扁豆,麦芽
党参,白术,茯苓,山药,扁豆,芡实
神曲,黄连,肉豆蔻,使君子,麦蘖,槟榔
白术,神曲,麦芽

肉豆蔻,麦芽,神曲,白术,山楂
神曲
青皮,白术,炒麦芽
黄连,神曲,肉豆蔻,麦糵,木香,槟榔
山楂,神曲,青皮子,白术
白术,山药
枸杞,白术
香附,莱菔
陈皮,厚朴,苍术,郁金,缩砂,竹茹,菖蒲
半夏,晋州绛矾,丁皮,草豆蔻,生姜
拣参,草豆蔻,陈皮,白术,益智仁
枸杞,破故纸,山萸,巴戟
党参,白术,茯苓,砂仁

麦芽,党参,陈皮,黄耆
扶芳藤,黄芪,红参
白术,山药,扁豆,薏仁
山药,扁豆,薏仁
五加皮,党参,太子参,茯苓,泽泻,车前子,猪苓
佛手柑
厚朴,谷芽,茯苓,白术
锅焦,神曲,山楂,莲肉,砂仁
香附,青皮,陈皮,神曲,麦芽
陈皮,神曲,白术,砂仁
神曲,白术,陈皮
熟地,白芍,山药
藿香,苍术,厚朴,陈皮,大腹皮,茵陈
高良姜,草豆蔻,砂仁,厚朴,陈皮,诃子
党参,白术,鸡血藤
人参,白术,炒干姜,肉桂,黑附子,甘草
肉桂,党参,白术,干姜,甘草
香附,厚朴,陈皮,苍术,桂心,三棱,阿魏,肉豆蔻
干生姜,茯苓,半夏,白术,泽泻
白术
黄芪,白术,苍术,熟地,生地
白术,黄芪,党参,龙眼肉,鸡血藤
白术,茯神,黄耆,龙眼肉,木香,甘草
白术,茯苓,龙眼肉,木香
党参,黄芪,茯苓,龙眼肉
白术,五味子,熟地,山药
神曲
菟丝子,何首乌,白术,白芍,岗稔根
白芍,归身,白术,茯苓,甘草,熟地
黑豆,大蒜,红糖
苍术,地黄,川姜冬,夏,春
黑丑,半夏,炒白芥子,木香,陈皮,茯苓,甘草
黄豆,芫荽
黄芪,薏仁,赤小豆,金橘饼
冬瓜皮,茯苓皮,黄芪,生姜皮,枣仁,白糖
甘草,厚朴,藿香,木香,陈皮,麦芽
藿香,厚朴,半夏,茯苓,杏仁,薏仁,白蔻
葫芦壳,冬瓜皮,西瓜皮,枣仁
茴香
新鲜胡萝卜,粳米
玉米渣,胡萝卜
茯苓,白术,陈皮,山药,扁豆
新鲜红薯,粳米,白糖
山药
海粉,青黛,黄芩,神曲
茯苓皮,大腹皮,山药,泽泻,黄芪
白术,巴戟天,白芍
白于术,槐角米
全瓜蒌,郁金,神曲,甘草
陈皮,白术,茯苓,草果仁
厚朴,甘草,干姜,陈皮
神曲,神曲
神曲
三棱
香附,神曲
鸡内金
鲜韭菜,粳米,食盐
白术,山药

白芍,砂仁,莲肉
白术,神曲,麦糵
白术,茯苓,白芍,砂仁
茯苓,白术,薏仁,黄连,柞木枝
白芍,白术,山药
泽泻,白术,茯苓
菊花,山楂
川芎,白术
白术,茯苓,陈皮
党参
白芍,茯苓,白术,香附
白术,肉桂,茯苓,山药,薏仁,芡实
五灵脂膏
五灵脂膏

汉椒,厚朴,茴香,青盐
陈皮,扁豆
厚朴,茯苓,白术,神曲,肉豆蔻
韭菜,生姜,牛奶
生姜,神曲,食糖

人参,白术,茯苓,藿香,五味子
当归,芍药,茯苓,白术,柴胡,丹皮
白芍,白术,茯苓,丹皮
党参,山药,砂仁
党参,山药,砂仁
白术,白豆蔻
白术,白芍
白术,白芍
党参,白术,茯苓
丹皮,白术,茯苓
丹皮,白术,云苓
川芎,当归,山药,干姜,甘草
山药
菟丝子,益智仁,菖蒲,芡实,莲须
干姜,白术,青皮,陈皮,缩砂仁,人参,甘草
白术,陈皮,茯苓
白术,陈皮,麦芽,山楂,茯苓,神曲
白术,枳实,陈皮,半夏,神曲,麦芽,山楂
白术,神曲,苍术
枇杷叶50,大梨,蜜半杯,枣仁,建莲肉
黑附子,白术,肉豆蔻,木香,甘草
白术,生地,川芎,升麻
茯苓,黄芪,龙眼肉
白术,陈皮,山楂,谷芽,砂仁
党参,白术,茯苓,广皮,续断
生料平胃散,神曲,麦芽
白术,茯苓,猪苓,香薷,麦冬
川芎,白芍,薏仁,茯苓,山药,扁豆
党参,白术,茯苓,莪术,三棱
香附,川芎,白术,陈皮
党参,白术,茯苓,金樱子,益智仁
白术,归身,茯苓
白术,山楂,川芎,苍术
黄耆,党参,白术,甘草,陈皮,蔓荆子
苍术,白术,泽泻
白术,黑附子,干姜,茯苓,厚朴
豆蔻,金樱子,白术,罂粟壳
白术,白芍
薏仁,白术,泽泻
砂仁,陈皮,扁豆
党参,山药
苍术,厚朴,陈皮,甘草,人参,茯苓
党参,白术,山药,干姜,莲肉,苍术
白术
白术,砂仁,扁豆
白术,茯苓,麦芽,厚朴,陈皮,神曲
党参,茯苓,白术,熟地
白术,山药,杜仲
白术,白芍
党参,于术,茯苓,陈皮
厚朴,肉豆蔻,益智仁,香附,良姜,诃子
白术,茯苓,山药,扁豆,芡实
茯苓皮,白术
扁豆,山药,芡实,白术,茯苓
扁豆,山药,芡实,白术,茯苓

山楂,芍药,白术,陈皮,贝母
党参,续断,白术,白芍,菟丝子,香附
白术
神曲

陈皮,茯苓
党参,白术,茯苓,白芍,谷芽
生黄耆,白术,茯苓皮,大腹皮
党参,茯苓,白术,鸡血藤,陈皮
党参,白术,茯苓,白芍
淮山,白术,芡实
陈皮,厚朴,苍术,神曲,麦芽,山楂,甘草
白术,当归,川芎,黑姜,人参,陈皮
白术,茯苓,白芍

党参,茯苓,白术,薏仁,山药

党参,白术,陈皮,枳实,山楂,麦芽
山药
人参,白术,陈皮,麦芽,山楂,枳实
白术,茯苓,半夏,陈皮,神曲,山楂,川芎
白术,陈皮,山楂,神曲
白术,山药,茯苓,山楂,麦芽,茯苓,神曲
白术,山楂

白术,茯苓,陈皮,神曲,白豆蔻
香附,艾
莲肉,山药,茯苓,薏仁,扁豆,芡实
白术,茯苓,党参


白术
山楂,山药,扁豆,麦芽,砂仁
白术,厚朴,陈皮,枳实
神曲

龙眼肉,枣仁,粳米
茯苓,半夏,白术,白芍,龙骨
白术
