麦冬,桔梗,甘草,花粉,陈皮,元参,百部
桑白皮,贝母,杏仁,知母,枇杷叶
甘草,紫菀,桔梗,桑白皮
桔梗,半夏,前胡,麻黄,杏仁,桑白皮,甘草
五味子,天冬,款冬花,紫菀
杏仁,前胡,炙草
贝母
半夏
半夏
车前子,青粱米
车前子,粳米
豆豉,桔梗,杏仁,甘草
柴胡,陈皮,半夏,甘草,生姜
柴胡,甘草
紫菀,茯苓,马兜铃
贝母,麦冬,百合,款冬花
贝母,麻黄,桑白皮,葶苈,蜂蜜
贝母,枇杷叶,桔梗,白糖,杏仁
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
米汤,贝母,冰糖
木香膏,野姜,诃子,余甘子,诃子
木香膏,野姜,诃子,余甘子,诃子
侧耳根,女贞子,矮茶风,墨旱莲,五味子
贝母,猪脱氧胆酸,人工竺黄
贝母,粳米,冰糖
粳米,砂糖,贝母
贝母,紫菀,五味子,百部,杏仁,甘草
贝母,五味子,甘草,款冬花,知母,杏仁
贝母,桔梗,甘草,紫菀,杏仁
贝母
杏仁,紫菀,百合,半夏
百部,白酒
百部,麻黄,杏仁
杏仁,粳米,白糖
百合,麦冬,玄参,贝母,桔梗
薄荷,石膏,柿霜
白及,冰糖
瓜蒌子,半夏
半夏,郁李仁,陈皮,木香,槟榔
北杏,雪梨,白砂糖
南天烛子,冰糖
石膏,甘草,北沙参,白葡萄干
石膏,甘草,北沙参,白葡萄干
麦冬,天冬,贝母,甘草
百部,桔梗,白糖
枇杷叶,贝母
麻黄,杏仁,五味子,甘草,杏仁
石膏,陈皮,桔梗,麻黄,五味子
麦冬,沙参,贝母,杏仁
阿胶,甘草,马兜铃,杏仁,糯米
紫菀,百部,前胡,甘草,杏仁,麻黄
半夏,茯苓,广皮,甘草,苍术,厚朴
知母,贝母,半夏,茯苓,陈皮,甘草
天冬,麦冬,瓜蒌仁,陈皮,百部,天竺黄,竹茹
麦冬,天门冬,知母,贝母
白皮大萝卜,蜂蜜
五味子,甘草,陈皮,硼砂,薄荷,乌梅
半夏
开金锁,生干蟾,鱼腥草,百部,穿心莲
矮地茶,铁包金,金樱子,岗梅,沙参
杏仁,蒲公英
贝母,桔梗,五味子,甘草,半夏,远志
干日红,鼠曲草,平地木,四季青
橄榄,萝卜
生姜,甘草,半夏,瓜蒌皮,杏仁
拣桂,干生姜,红皮
拣桂,干生姜,红皮
诃子,杏仁,通草
诃子,桔梗,甘草6.6厘米
蛤蚧,款冬花,甘草
百合
蛤蚧,诃子,麦门冬,细辛,甘草
菊花,白糖
皂角,枯白矾

紫苏,麻黄,杏仁,陈皮,桑白皮,甘草
紫苏,麻黄,杏仁,陈皮,甘草,桑白皮
清夏,元芩,花粉
半夏,山药
桔梗
桔梗
鸭跖草,小蓟,虎杖,蒲公英,平地木,鱼腥草,败酱草
橘饼
桔梗
贝母,马兜铃,杏仁,五味子,半夏,紫菀

陈皮,粳米
桔梗,甘草,黄耆,人参,麦冬,青皮
鱼腥草,麻黄,紫菀,前胡,枳壳,甘草
款冬花,生姜,陈皮,百部,苏子,桔梗
百合,杏仁,知母
麻黄,杏仁,石膏,甘草,半夏
白术,甘草,半夏,陈皮,五味子
款冬花,贝母,桑白皮
三仙饮,炙桑白皮
百部,穿心莲
红景天,甘草,高山辣根菜
红景天,甘草,高山辣根菜
款冬花,麻黄,杏仁,贝母
半夏,款冬花,紫菀
苏子,枇杷叶,鹿衔草
杏仁,甘草,蛤壳
款冬花,紫菀,甘草,桑白皮,杏仁
花生仁,粳米
粳米,冰糖
新鲜萝卜约,粳米
新鲜白萝卜

罗汉果,柿饼
桑白皮,陈皮,杏仁,甘草
陈皮,半夏,茯苓,甘草,杏仁
麻黄,大梨
麻黄,杏仁,甘草,石膏
麻黄,甘草,半夏,杏仁
干百合,蜂蜜
杏仁,白蜜200毫升,牛酥400毫升
枇杷叶不拘多少
枇杷叶
枇杷叶,粳米,冰糖
枇杷叶,粳米,冰糖
桔梗,贝母
半夏,紫菀
牛蒡,杏仁
