牛膝,菟丝子,鹿茸
枸杞,山药
菟丝子,杜仲
木瓜,石斛,杜仲
杜仲,巴戟,菟丝子,肉苁蓉
破故纸,覆盆子,杜仲
茴香,肉桂
菊花,枸杞,巴戟天,肉苁蓉
仙茅,狗脊,威灵仙
川椒,川乌,茴香,苍术,熟地,山药
苍术
苍术不拘多少
苍术
菟丝子,蛇床子
苁蓉,黑附子,牛膝,鹿茸,菟丝子
菟丝子,破故纸,覆盆子
磁石,菟丝子
沉香,麝香,鹿茸
破故纸,菟丝子,牛膝,肉苁蓉
石斛,破故纸,巴戟,牛膝
破故纸,菟丝子,乳香,没药,沉香
牛膝,锁阳,虎骨
续断,覆盆子
鼠苓,拣参,菊花,生芩
茴香,巴戟天,破故纸,青盐,牛膝,川椒
牛膝,肉苁蓉,蛇床子
牛膝,菟丝子,远志
葫芦巴,破故纸,乌头,威灵仙,茴香
乌头,威灵仙,巴戟天,苍术
杜仲,菟丝子,牛膝
牛膝,鹿茸,骨碎补
萆薢,破故纸,狗脊,巴戟天,牛膝,茴香
萆薢,当归,陈皮
萆薢,牛膝,菖蒲
破故纸,杜仲,牛膝,肉苁蓉
蛇床子,覆盆子
牛膝,杜仲
杜仲,牛膝
鹿角胶,鹿角霜,菟丝子,柏子仁,地黄
黑附子,乌头,草乌,防风,蛇床子
磁石,禹余粮,乳香,没药
肉苁蓉,枸杞,破故纸
杜仲,牛膝,枸杞,五加皮
牛膝,柏子仁
伏火朱砂,真磁石,石中黄,禹余粮,乳香,没药
黑附子,茴香,茴香,木鳖子
牛膝,杜仲,肉苁蓉,破故纸
续断,破故纸,骨碎补,木瓜
破故纸,骨碎补,杜仲,虎骨
续断,破故纸,骨碎补,木瓜
杜仲,牛膝,鹿茸,蛇床子,虎胫骨
巴戟,杜仲,肉苁蓉
杜仲,牛膝
黑附子,黄耆,杜仲,牛膝
杜仲,牛膝
杜仲,牛膝,菟丝子
川乌,白蒺藜,五灵脂,麝香净肉
大朱砂
地黄,糯米5斗,面曲
地黄,五加皮,牛膝
肉苁蓉,覆盆子,菟丝子,狗脊
骨碎补,覆盆子
牛膝,杜仲,萆薢
乌头,黑附子
牛膝,虎胫骨,杜仲
破故纸,菟丝子,杜仲,牛膝,虎胫骨
磁石,硇砂
何首乌,牛膝
萆薢,牛膝
牛膝,没药,木瓜,肉苁蓉,虎胫骨
牛膝,杜仲,续断,萆薢
黑附子,木瓜,牛膝,羌活
覆盆子,杜仲,枸杞
牛膝,杜仲,萆薢
菟丝子,覆盆子
骨碎补10.2%,防己10.2%,地黄21.7%,黑豆13.5%,金樱子13.5%
菊花,枸杞,山药
枸杞
枸杞,覆盆子,菟丝子,肉苁蓉
萆薢,牛膝,茴香,五加皮
蒲公英,解盐,香附
虎胫骨,牛膝
虎胫骨,糯米,曲
牛膝
虎骨,肉苁蓉,牛膝,萆薢
虎胫骨,萆薢,牛膝,仙灵脾
牛膝
石斛,杜仲,牛膝,狗脊,续断
威灵仙,萆薢,茴香
茴香,川乌,萆薢,地龙,川椒
海桐皮,石斛,茴香,牛膝
牛膝,破故纸,杜仲,菟丝子
狗脊,没药,威灵仙,草乌
狗脊,没药,威灵仙,草乌
川乌,草乌,木鳖子,白花蛇
牛膝,菖蒲
何首乌,牛膝
何首乌,牛膝
菖蒲,牛膝
何首乌,芍药,牛膝,地黄
牛膝,何首乌,黑豆
鸡血藤
巴戟天,石斛
五加皮
巴戟,广荗
菊花,地黄,枸杞
骨碎补,五灵脂,川乌,草乌
破故纸,茴香
川椒,巴戟,茴香,山药
肉苁蓉,菟丝子,鹿茸
牛膝
黄榔刺树根,小雄鸡,糯米饭1盏
牛膝,杜仲
萆薢,杜仲,肉苁蓉,菟丝子
苁蓉,牛膝,鹿茸,菟丝子
肉苁蓉,菟丝子,杜仲,牛膝
仙茅,茴香,枸杞
牛膝,菟丝子
牛膝,锁阳
鹿茸,肉苁蓉,蛇床子,巴戟
肉苁蓉,狗脊,淫羊藿,骨碎补,牛膝
苍术,川柏皮
萆薢,鹿茸,杜仲
鹿角,牛膝
牛膝,鹿茸,杜仲
牛膝,鹿茸,菟丝子,杜仲
鹿茸,续断
鹿茸,石斛,远志,杜仲,巴戟天,牛膝
鹿茸,苁蓉,山药,牛膝,破故纸
蛇床子
续断,萆薢,杜仲,牛膝
天雄,阿魏,菟丝子
蛇床子
骨碎补,破故纸,青盐,黑豆
牛膝,骨碎补,草乌,狗脊
牛膝,石斛,萆薢,续断
牛膝,萆薢,巴戟
青盐,川椒,肉苁蓉,牛膝,巴戟天
续断,威灵仙,独活,草乌
杜仲,牛膝,肉苁蓉,破故纸,覆盆子
茴香,草乌,威灵仙
茴香,萆薢,草乌,威灵仙
牛膝,菟丝子,破故纸
牛膝,木瓜,没药
菟丝子,杜仲,肉苁蓉,牛膝
木瓜,牛膝,苁蓉,虎骨
牛膝,萆薢
肉苁蓉,牛膝,杜仲,菟丝子,覆盆子
黑附子,五加皮,续断,牛膝
茴香,肉桂
菟丝子,覆盆子,车前子
覆盆子,蛇床子
菟丝子,破故纸,巴戟天,牛膝,杜仲
仙灵脾,白酒
薏仁
羊骨左右,细盐,生姜葱白
菟丝子
菟丝子,杜仲,牛膝
巴戟天,苁蓉,菟丝子,覆盆子
