冰片,薄荷

白矾,天竺黄,天南星,腻粉,生龙脑,金箔,雄黄
蛤粉,牙消,朱砂,龙脑,金箔,银箔
天南星,天竺黄,僵蚕,雄黄,朱砂
麦冬,桔梗,甘草,花粉,陈皮,元参,百部
陈皮,瓜蒌,黄芩,半夏,贝母

紫菀,桔梗,半夏
半夏,桔梗
桔梗,半夏
桑白皮,款冬花,紫菀,桔梗
陈皮,半夏,杏仁,桔梗

黑附子,白附子,天南星,白术,茯苓
枇杷叶,桑叶,贝母,薄荷
前胡,花粉,陈皮,桔梗
桔梗,半夏,贝母
半夏,全蝎

川芎,麝香,白芷,辰砂,白附子,天麻,天南星
川芎,麝香,白芷,辰砂,白附子,天麻,天南星
白矾,辰砂,天南星,半夏
神曲,麦糵,陈皮,皂角,天南星,半夏,白芷
辰砂,天南星,白矾,半夏
辰砂,白矾,天南星,半夏,白附子
草果仁,茯苓,缩砂仁,桔梗,甘草,生姜
茶叶,粳米,白糖
苍术,黄连,半夏,甘草
苍术,陈皮,半夏,黄连,茯苓,茱萸
沉香,木香,砂仁,藿香,神曲
柴胡,陈皮,半夏,甘草,生姜
芍药,半夏,桔梗,贝母
半夏,薄荷,苏叶
贝母,麻黄,桑白皮,葶苈,蜂蜜
贝母,枇杷叶,桔梗,白糖,杏仁
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
钩藤,白蔻,半夏
川芎,龙脑,薄荷,防风
川芎,薄荷,细辛
川芎,龙脑,薄荷,细辛,防风,桔梗,甘草
贝母,羚羊角,麝香,硼砂
贝母,粳米,冰糖
粳米,砂糖,贝母
贝母,瓜蒌,花粉,茯苓,陈皮,桔梗
贝母,紫菀,五味子,百部,杏仁,甘草
贝母,五味子,甘草,款冬花,知母,杏仁
贝母,百合,杏仁,麻黄,石膏,人参,柴胡
贝母,桔梗,甘草,紫菀,杏仁
茯神,半夏
桔梗,沙参,杏仁,紫菀,百合,半夏
荆芥,薄荷,栝楼,甘草,白芷
薄荷,防风,川芎,三,缩砂仁,桔梗,甘草,四
薄荷,防风,川芎,桔梗,缩砂仁,甘草
薄荷,川芎,桔梗,甘草,防风,缩砂仁
荆芥,鸡苏叶,瓜蒌根十,缩砂仁,甘草
荆芥,鸡苏叶,瓜蒌根,缩砂仁,甘草
缩砂仁,瓜蒌根,甘草,鸡苏叶,荆芥
百部,麻黄,杏仁
紫菀
贝母
桔梗,贝母,麦冬,百合
百合,麦冬,贝母,桔梗
贝母,板蓝根,银花
千年古石灰不拘多少
白矾,地黄,玄参,知母,贝母,诃黎勒皮
上好片术
乌嘴凤头白鸭
天南星,白僵蚕,地龙干,五灵脂,全蝎
辰砂,天麻,天南星
天竺黄,辰砂,天南星,金箔
辰砂,胆南星,僵蚕,全蝎,天竺黄
郁金,天竺黄,雄黄,白矾
半夏,枳实,石膏,杏仁,麻黄,生姜

甜杏,白冰
黄芩,天南星,半复
黑附子,半夏,生姜
半夏,茯苓,苍术,厚朴,广皮,甘草
半夏,瓜萎仁,贝母,桔梗,知母
半夏,杏仁
半夏,桔梗
半夏,生姜,甘草
天麻,半夏
半夏,白术,天麻
半夏,白术,天麻,陈皮,甘草
半夏
半夏,秫米
半夏
半夏,厚朴,茯苓,紫苏,诃黎勒皮,枳壳
半夏,羚羊角,桔梗
半夏,厚朴,茯苓,生姜,干苏叶
白术,人参,贝母,天南星,白附子,半夏
防风,半夏
半夏,白矾,朱砂,黄丹
白矾,半夏
瓜蒌子,半夏
半夏,茯苓,枳壳,朴消
半夏,郁李仁,陈皮,木香,槟榔
半夏,猪苓,破故纸,沉香
半夏,天南星,石膏,香附,栀子
北杏,雪梨,白砂糖
檀香,石膏,甘草,丁香,北沙参
檀香,石膏,甘草,丁香,北沙参
薄荷,硼砂,紫苏,儿茶,片脑,乌梅肉
神曲,巴豆,天南星,朱砂
胆南星,巴豆,神曲,全蝎,朱砂,丹参
雪梨,生地,白茅根,生藕,白萝卜,麦冬,荸荠
胆南星,淡全蝎
胆南星,天麻,钩藤,半夏

冰片
生栀
防风,天南星,天麻,白附子,辰砂,麝香
半夏,天南星,白矾,皂角,生姜
贝母
杏仁,半夏,豆
独活,川芎,甘菊,干蝎,防风,半夏
陈皮,半夏
黑牵牛,白矾,猪牙皂角,半夏,天南星
天南星,木香
半夏,天南星,干姜

半夏,胡椒,蝎尾,干姜
桔梗,羌活,半夏,麻黄
款冬花,苏子,杏仁
僵蚕,贝母
麻黄,款冬花,桑白皮,苏子,半夏,杏仁,黄芩
麻黄,苏子,款冬花,杏仁,桑白皮,黄芩,半夏
石膏,陈皮,杏仁,甘草,麻黄,五味子,砂仁
木香,石膏,陈皮,桔梗,麻黄,五味子
半夏,贝母

甘草,郁金,玄明粉,白矾,薄荷
天麻,防风,细辛,薄荷,川芎,甘草,白芷,朱砂
荜澄茄,青皮,陈皮,半夏,厚朴,麦芽

薄荷,天南星,寒水石,半夏,藿香
天南星,薄荷,半夏,寒水石
马兜铃,半夏,杏仁,巴豆
贝母,杏仁
麝香
龙脑,麝香,铅白霜,天麻,天竺黄
半夏,白术,人参,甘草,白檀香,生姜,丁香
鹅梨,薄荷,皂荚,防风,白蒺藜,天麻,甘草
阿胶,紫团参,半夏,鳖甲,甘草

半夏,茯苓,广皮,甘草,羌活,防风
麻黄,杏仁,桔梗
半夏,陈皮,昆布,白芥子,甘草
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,茯苓,广皮,甘草,苍术,厚朴
茯苓,陈皮,甘草,苏梗,厚朴,半夏
陈皮,枳实,半夏,甘草,滑石
陈皮,半夏,茯苓,甘草
陈皮,甘草
知母,贝母,石膏
款冬花,杏仁,百合,贝母
知母,贝母,半夏,茯苓,陈皮,甘草
知母,贝母,麦门冬,天门冬
半夏,天南星,桔梗,僵蚕
天冬,麦冬,瓜蒌仁,陈皮,百部,天竺黄,竹茹
麦冬,天门冬,知母,贝母
淡天冬,提麦冬,知母,贝母,南沙参,北沙参
飞过枯矾,半夏,天南星,白僵蚕
厚朴,半夏,草果子,黑附子,陈皮,白姜,甘草
陈皮,赤芍,贝母,桔梗
贝母,陈皮
防风,半夏,天麻,白芷,独活,人参,茯苓
贝母
白皮大萝卜,蜂蜜
半夏,陈皮,茯苓,甘草
贝母
陈皮,白花蛇舌草,鱼腥草

贝母
半夏,白矾,黑牵牛子,粉霜
陈皮
五味子,甘草,陈皮,硼砂,薄荷,乌梅
芽茶,白檀香末,白豆蔻末,片脑
半夏,贝母,桔梗
半夏,贝母,桔梗
半夏
半夏
半夏,天南星,白矾,皂角,干姜
半夏
天南星,半夏
陈皮,厚朴,苍术,郁金,缩砂,竹茹,菖蒲
杏仁,百药煎,甘草,乌梅,黑矾
半夏,白矾,丁香,草豆蔻
半夏,薄荷
半夏,明矾,硝石
黄药子,海藻,贝母,白酒
开金锁,生干蟾,鱼腥草,百部,穿心莲

贝母,陈皮,桔梗,五味子,甘草,半夏
干日红,鼠曲草,平地木,四季青
半夏
钩藤,天竺黄
甘草,桔梗,麦门冬
贝母
瓜蒌仁,杏仁,黄连
半夏,瓜蒌皮,杏仁
半夏
栝楼,杏仁,山芋,甘草
半夏,青皮,陈皮
半夏,龙涎香,陈皮,伽楠香
白芍,人参,贝母,香附,郁金
人参,白术,茯苓,陈皮,半夏,白芍
白术,防风,陈皮,半夏,党参,破故纸
天南星,半夏,百药煎,五味子,乌梅肉
天南星,杜仲,半夏,白附子,续断,香墨
皂荚,杏仁,半夏,知母,贝母
薄荷,薄荷

诃子,青黛,杏仁,海粉,栝楼,半夏
蛤蚧,成炼钟乳,款冬花,肉桂,白矾,甘草

人参,半夏,茯苓,甘草,苍术,陈皮,藿香,厚朴
厚朴,甘草,半夏,藿香,陈皮
厚朴,甘草,半夏,藿香,陈皮
藿香,半夏,茯苓,陈皮,生姜,丁香
竹茹,半夏,茯苓,枳壳
全蝎,麻黄,僵蚕,川芎,白芷,天麻,桔梗
白矾,半夏,雄黄,朱砂
天南星,木香
胆南星,薄荷
贝母,百合,半夏,天冬,石膏
朱砂,天竺黄,天南星
天竺黄,天南星,金箔
雄黄,全蝎,朱砂,天竺黄,僵蚕

僵蚕,胆南星,天竺黄,麝香,贝母
天竺黄,胆南星
僵蚕,天竺黄,钩藤

天南星,茯神,远志,菖蒲
羚羊角,麝香,月石,贝母,天竺黄
羚羊角,月石,贝母,麝香
金箔
海粉,青黛,黄芩,神曲
海蜇皮,荸荠
贝母,半夏
海石,香附
半夏
陈皮,半夏,甘草
贝母,麦冬,桔梗
防己,商陆,麻黄,茯苓,桑白皮,葶苈,蛤蚧,杏仁
核桃肉,山慈菇,黄酒
白芥子,白僵蚕,陈皮,麻黄,全丝瓜
山川柳
厚朴,半夏,枣仁,甘草,丁香,生姜
紫苏,麻黄,杏仁,陈皮,桑白皮,茯苓,甘草
天南星,羌活,天麻,荆芥,全蝎
天南星,羌活,天麻,荆芥,全蝎
白附子,天南星,半夏,干生姜
天南星,花粉
明矾,白僵蚕
半夏,贝母
桔梗,半夏,茯苓,干姜
半夏
明矾,白附子,天南星,半夏
半夏,天南星,白矾,皂角,生姜
天络丝
干姜,半夏,天南星,枯矾,滑石,巴豆
天南星,半夏
桔梗,半夏
桔梗,半夏
天南星,半夏,人参,辰砂,陈皮,腻粉
半夏,桔梗
贝母
款冬花,半夏
薄荷,紫苏,乌梅肉,檀香,硼砂,柿霜

天南星,明天麻,乳香,代赭石,直僵蚕,真麝香
陈皮,半夏


天南星,半夏,天麻,白矾
旋覆花,麻黄,前胡,荆芥,甘草,半夏,芍药
当归,陈皮,半夏,茯苓,甘草
天南星,半夏,白矾,皂角
僵蚕,鸡血藤膏
茯苓,半夏,葛根,天麻
瓜蒌仁,连翘,青黛
白附子,菖蒲,远志,天麻,僵蚕,天南星
桔梗,半夏
贝母
桔梗,半夏
紫菀,贝母,桑白皮
贝母
银花,桔梗,贝母
橘饼
半夏

贝母,马兜铃,杏仁,白矾,半夏,紫菀
甘草,贝母,白矾,净金灯,杏仁,陈皮,五味子

半夏
陈皮,粳米
陈皮,半夏
陈皮,半夏,枳实,白术
茯苓,陈皮,半夏,甘草,桔梗,枳壳,黄连
麻黄,紫菀,前胡,枳壳,甘草

米仁,百合,杏仁,五味子

麻黄,杏仁,石膏,桔梗,片芩,贝母,知母
麻黄,杏仁,石膏,半夏,小枳实
半夏,桔梗
人参,半夏,草果,生姜,广皮,青皮
半夏,桔梗
人参,半夏,陈皮,茯苓,粉草,益智
党参,白术,半夏,枳实
党参,麦冬,山药,熟地,贝母,五味子
甘草,桔梗,紫菀,白前,陈皮,香附,旋复花
半夏,细辛
半夏,桔梗
竹茹,半夏,陈皮,钩藤
琥珀粉,羚羊粉
半夏
远志,人参,菖蒲,茯苓,琥珀,郁金
半夏,茯苓,厚朴,茯神,紫苏,远志,甘草
半夏,天南星
紫苏,厚朴,茯苓,半夏,白芷,木香,菖蒲
半夏,陈皮
人参,白术,半夏,桔梗,前胡
前胡,款冬花,枇杷叶
半夏,黄连,竹茹,陈皮,桔梗,甘草
陈皮,半夏,甘草,生姜
薄荷,玄明粉,硼砂,冰片,寒水石,乌梅肉
川连,陈皮,胆南星,蒌子
焦三仙,陈皮,竹茹,干青果
三仙饮,炙桑白皮
焦三仙,陈皮

元参,贝母,皂刺
天南星,半夏,桔梗
天南星,半夏,贝母
百部,白及,黄精,玉竹,穿心莲,葎草
朱砂,倭硫
半夏,半夏,桔梗
薄荷,桑白皮,陈皮,麻黄,杏仁,甘草
百合,天冬,杏仁,桑白皮
槐角子,侧柏叶,陈皮,枸杞
半夏,醋2500毫升
款冬花,麻黄,甘草,杏仁
枳壳,桂,桔梗,半夏
半夏,天南星,葶苈
木香,京三棱,青皮,半夏,大腹子
荆芥,鸡苏叶,瓜蒌根,桔梗,紫苏,龙脑
草龙脑,白矾,天南星,半夏
半夏,白术,生姜

花粉
花粉
青礞石,石膏,硼砂,万年干
细川连,香附,桔梗,淡条芩,上广皮,枳壳,京元参,甘草
款冬花,紫菀,五味子,桑白皮,桔梗,杏仁,紫苏
新鲜白萝卜
莱菔,贝母,冰糖,白糖
莱菔,粳米
莱菔
款冬花,贝母,肉桂,甘草,鹅管石
丹参,明矾
杏仁,马兜铃,茯苓,陈皮,桔梗,葶苈
半夏,桔梗
人参,白术,茯苓,半夏,干姜,苏子
秋梨,萝卜,鲜藕,鲜姜,贝母,麦冬
茴香,香附,草乌,半夏,茯苓,细辛
制野军
贝母
麻黄,半夏,胆南星,杏仁,紫菀,款冬花
陈皮,半夏,茯苓,甘草,杏仁
人参,甘草,茯苓,白术,陈皮,半夏
麻黄,杏仁,厚朴,款冬花,桑白皮,苏子,半夏
菊花,茯神,荆芥,川芎,半夏
麻黄,石膏,杏仁,甘草,牛蒡,陈皮,贝母
麻黄,甘草,半夏,杏仁
半夏
马兜铃,半夏,杏仁,巴豆
白萝卜,蜂蜜
远志,黄耆,莲肉,罗参
钩藤,胆南星,天竺黄
半夏,桔梗,陈皮,甘草
麝香,硼砂,甘草,牙硝,梅花脑,寒水石,五
麝香,硼砂,甘草,牙消,梅花脑,寒水石
枇杷叶,贝母,莲子,麦冬,天冬,生地,玄参
枇杷叶,粳米,冰糖
枇杷叶,粳米,冰糖
半夏
天南星,半夏,黄芩,枳实,礞石
麦冬,花粉,茯神,菖蒲,远志
黄连,半夏,竹茹,枳壳,旋复花
半夏,桔梗,贝母
贝母
玄参,苏子,甘草,紫菀,牛蒡,白芥子,百部
贝母
半夏
半夏
