冰片
黄连,黄芩,山栀仁,郁金
僵蚕,冰片
蝉蜕,黄酒
绿豆粉,乳香
薄荷,连翘
鲜仙人掌,炒杏仁,白酒
栀子,冰片
栀子,冰片
梅片,山栀,黄芩
大青叶,板蓝根,夏枯草,赤芍
土茯苓,金银花
胡黄连,辰砂,冰片
轻扮,枯矾
板蓝根,白花蛇舌草,连翘,荆芥
天花粉,连翘,牛蒡子
夏枯草,三颗针,野菊花
飞青黛,西牛黄,老式大泥冰,西瓜霜,西月石,濂珠
青黛,山豆根,冰片,硼砂,明矾牛黄
连翘,野菊花,荆芥,黄柏
薄荷,菊花,辛荑
大青叶
连翘,牛蒡子
金银花,连翘,生地,牛蒡子
青黛,石膏,寒水石,朴消,马牙消
生石膏,桑叶,板蓝根,金银花
板蓝根,山豆根,紫花地丁,金银花
野菊花,三颗针,苦参,七叶一枝花,白花蛇舌草
白英,龙葵,蛇莓,半枝莲,猕猴桃根
土茯苓,忍冬藤,板蓝根,山豆根
白头翁,黄柏,黄连,秦皮
乌嘴白雄鸭,玄参,生地,蜗牛
板蓝根
夏枯草,白糖
花粉,冰片,山栀
一点红,射干,甘草
黄柏,玄明粉,冰片
冰片,硼砂,玄明粉
冰片,玄明粉,硼砂
金银花,当归尾,玄参,黄柏
金银花,牛蒡子,山豆根

山甲,皂刺,天花粉,知母
地龙,乌芋,白酒
生地榆粉,大黄粉,麻油50毫升
野菊花,金银花,蒲公英
苦参,连翘,山豆根,牛蒡子
黄柏,大黄,白及
山豆根,板蓝根,玄参
苍术,金银花

蜂房,槐花,苦参
薄荷,连翘
连翘,牛蒡子,玄参
芙蓉叶,黄柏,冰片
苇根,金银花,连翘
半枝莲,金银花,鱼腥草
生石膏,牛蒡子,鱼腥草
野菊花,金银花,蒲公英,紫花地丁,连翘
鱼腥草,板蓝根,连翘,金银花
马齿苋,蒲公英
马齿苋,蜂房,大青叶
蒲公英,大青叶,丹皮,赤芍
紫花地丁,金银花,赤芍
三颗针,丹皮,金银花
木贼,板蓝根,连翘,香附
蒲公英
地锦草,辣蓼,车前草
铁苋菜,马齿苋,地榆,仙鹤草
金银花
赤芍,板蓝根,败酱草
金银花
橄榄,萝卜
黄柏,山豆根,青黛,冰片
花粉,皂刺,金银花
栝楼,甘草金银花,牛蒡子
双花,连翘,黄柏,苦参
大青叶,板蓝根,连翘
岗梅,金钱风,山芝麻,土牛膝,毛冬青
滑石粉,雄黄,冰片
黑乌蛇,雄黄,大黄
连翘,丹皮,黄芩,生地
金银花,牛蒡子
硫酸黄连素,西瓜霜,月石,硝苯汞,蒸馏水
赤芍,金银花,甘草节

枯矾,明矾,百部
板蓝根,丹皮,赤芍,蝉蜕
虎杖,麻油,冰片
茵陈,板蓝根,蒲公英
淡竹叶,栀子
红藤,金银花,紫花地丁
滑石,琥珀,青黛
獾油,冰片面
赤芍,板蓝根,金银花,夏枯草
蒲公英,土茯苓
杭川芎,薄荷叶,京赤芍
金银花
核桃肉,山慈菇,黄酒
土茯苓,金银花
败酱草,蒲公英,金银花
化毒散,祛湿药膏
连翘,牛蒡子,赤芍,荆芥
生石膏,干生地
鸡血藤,玄参,双花,土茯苓
生大黄,蒲公英,红藤
金银花
金银花
生石膏,金银花
生石膏,丹皮,连翘,赤芍
人参三七,嫩滑石
金银花,秦皮,赤芍
蒲公英,野菊花,大青叶,紫花地丁
连翘,冰片,凡士林
连翘,生地,赤芍
金银花,蒲公英,紫花地丁
金银花,连翘,赤芍,荆芥
夏枯草,金银花
生石膏,蒲公英,山豆根
板蓝根,薄荷
金银花,连翘,蒲公英,赤芍
金银花,连翘,天花粉,赤芍
金银花,蒲公英,黄柏
连翘,天花粉
归尾,牛蒡子
金银花,蒲公英,赤芍
双花,蒲公英
板蓝根,青黛
蒲公英,鱼腥草,败酱草
金银花,仙鹤草
连翘,牛蒡子
连翘,山栀,金银花
金银花,连翘,板蓝根
冰片
水牛角浓缩粉,冰片
冰片,黄柏
栀子,薄荷叶,黄连,升麻,鸡内金
君达莱,粳米
黄柏,槐枝,白鲜皮,生草
金银花,连翘,牛蒡子,山豆根,板蓝根,大青叶
薄荷,蒲公英,赤芍
金银花,蒲公英,连翘,赤芍
金银花,蒲公英,连翘,赤芍
金银花
金银花
牛蒡子,射干,玄参
金银花,连翘,野菊花,蒲公英
金银花,连翘,丹皮,大青叶
生地,丹皮,茜草根,川连,山慈菇
赤芍,夏枯草,板蓝根
山豆根,射干,青黛
金银花,明矾,蝉蜕
连翘
茵陈,山栀,薄荷,滑石
生地,玄参,麦冬,黄芩,连翘
板蓝根,鱼腥草,紫草,丹皮,赤芍
金银花,赤芍
儿茶,冰片
芙蓉叶,儿茶
天冬,麦冬,玄参,金银花
马齿苋,夏枯草,板蓝根,赤芍,紫草
金银花,蒲公英,白花蛇舌草,赤芍
金银花,蒲公英,丹皮,赤芍
金银花
金银花,大青叶,蒲公英
红藤,三颗针,丹皮
红藤,地丁草,川楝子
金银花,蒲公英,夏枯草,红藤
金银花
金银花,连翘
金银花
连翘,山栀,天花粉
连翘,金银花
绿豆,白菜心,粳米
绿豆,北粳米
绿豆,白菜心
绿豆,白糖
败酱草,金银花,白花蛇舌草,仙鹤草
金银花,夏枯草
穿心莲粉,猪胆汁粉,枯矾
大青叶,牛蒡子,连翘
金银花,黄柏
生石膏,连翘,大青叶
黄柏,黄芩,雄黄,栀子
郁金,香附,山栀
板蓝根,白花蛇舌草,苦参,土茯苓
金银花,板蓝根
犀牛黄,冰片
犀牛黄,冰片
马齿苋,大青叶,紫草,败酱草
马齿苋,绿豆
马齿苋
炉甘石,硼砂,冰片
鲜茅根,大米
硼砂,冰片
蒲公英,粳米
蒲公英
蒲公英,野菊花
丹皮,赤芍,生石膏,金银花,连翘
连翘,板蓝根
犀角,羚羊角,贝子,升麻
青黛,石膏,滑石,黄柏
连翘,金银花,板蓝根
蛤粉,石膏,轻粉,生黄柏,青黛
青黛,黄柏,川连,冰片
鲜芹菜,蜂蜜
黄芪,忍冬藤,忍冬叶,甘草节
黄芩,连翘,黄连,黄柏,赤芍,甘草
玄参,牛蒡子
闹羊花根皮,荆芥,玄参,花粉
全蝎,大黄,双花,甘草
双花,蟾酥
生清油,茶叶
金银花,麦冬
金银花,蒲公英,红藤,丹皮
甘草节,真豆粉,大朱砂,梅花片,牛黄
苦参,冰片,香油
金银花,蒲公英,紫花地丁,赤芍
金银花,连翘,板蓝根
金银花,赤芍,蒲公英
山栀,金银花
蒲公英,皂刺,双花
蒲公英,赤芍
栀子,板蓝根,金银花
薄荷,金银花,野菊花,土茯苓
紫草,大黄面,香油
芙蓉叶,桑叶,黄柏
蒲公英,半枝莲
蒲公英,赤芍,夏枯草
桅子
连翘,大青叶,板蓝根,茜草
金银花,紫花地丁
芍药,地黄,丹皮,犀角屑
大黄,黄芩,滑石,薄荷,黄连
金银花
桑叶,牛蒡,人中黄,霍石斛
白及,大黄,黄柏,轻粉,绿豆粉
射干,玄参,白药
土大黄,黄柏,芙蓉叶
金银花,玄参
玄参,金银花,甘草
金银花,黄芩,连翘
金银花,黄芩,连翘
金银花,黄芩,连翘
升麻,干葛,生山楂,当归,僵蚕,蝉蜕
节裂角茴香,莪大夏,铁棒锤叶,五脂灵膏
獐牙菜,红花
大黄,盐酸小檗碱,黄芩浸膏
金银花,花粉
金樱根,菝葜,羊开口,金沙藤,积雪草
黄芩,苦参,干地黄
金银花,白花蛇舌草,鱼腥草,车前草
生大黄
桑叶,薄荷,连翘,牛蒡子,赤芍,紫花地丁
紫草,赤芍
蒲公英,生石膏,土茯苓
金银花,赤芍
天天果,白酒
苍耳草,苦参,僵蚕,钩藤
海螵蛸,硫黄,冰片
荆芥,甘草节,牛蒡子,金银花
鹿衔草,益母草,鱼腥草,白花蛇舌草
连翘,青黛,牛蒡子,玄参,赤芍
冰片
金银花,玄参,麦冬
金银花,野菊花,蒲公英,紫花地丁
牛黄,黄连,黄芩,栀子,郁金
新鲜苋菜,粳米
玄参,升麻22.,大黄,犀角,甘草
玄参,升麻,甘草
黄芩,连翘,鼠粘子,玄参
连翘,赤芍
犀角,连翘,鼠粘子,荆芥
苦参,山豆根,蜈蚣,赤芍
金银花,生石膏
金银花
山栀仁,紫背天葵,连翘
五倍子,苦参,射干,炮山甲,煅牡蛎
孩儿茶,冰片
金银花,槐花
金银花,蒲公英,荆芥,连翘
蒲公英,连翘
金银花,蒲公英,牛蒡子,芙蓉叶
金银花,花粉,赤芍
金银花,连翘,荆芥,牛蒡子
白花蛇舌草,山豆根,金银花,蒲公英
金银花,紫背天葵
连翘,金银花
秦皮,黄柏,决明子,黄芩,栀子
龙胆草,当归尾,黄连,滑石
大青叶,赤芍,冰片
金银花,牛蒡子,蒲公英
板蓝根,金银花,连翘
黄柏,栀子,黄芩
菊花,连翘,大青叶,板蓝根,薄荷
菊花,连翘,大青叶,板蓝根,薄荷
天花粉,赤芍,冰片
薄荷,金银花
生石膏,玄参,连翘,粳米
鱼腥草,金银花,车前草,白花蛇舌草
小百部,藤苦参,苦冬瓜,箭根薯,羊耳菊根,蔓荆子茎及叶
乳香粉,青黛面,黄连膏
金银花提取物,黄芩提取物
双花,蒲公英
金银花,野菊花,生石膏
金银花,连翘,鱼腥草
金银花,山楂,蜂蜜
金银花,丹皮,夏枯草
金银花,山豆根,赤芍
金银花
金银花,连翘,山栀,桑叶
金银花,连翘,荆芥,牛蒡子
金银花,连翘,荆芥,牛蒡子
金银花,连翘,荆芥,牛蒡子
金银花,丹皮,山栀,赤芍
连翘,金银花,薄荷,牛蒡子
金银花,蒲公英,菊花
金银花,蒲公英,紫花地丁,大青叶
鲜野苋草全草,白糖
金银花,连翘,鱼腥草
茵陈,蒲公英,白糖
白花蛇舌草,蒲公英
滑石,山豆根,硼砂
六一散,枯矾,黄柏,冰片
金银花,山豆根,硼砂
生乌犀,生玳瑁,牛黄,金银箔
石膏,滑石,玄参,水牛角浓缩粉
紫草,连翘,鼠粘子,荆芥,山豆根
紫花地丁,金银花,甘草节
朱砂,轻粉,冰片
紫草,当归
皂角,蛤粉
冰片,人中黄
土茯苓,板蓝根,蒲公英
蒲公英,黄柏,赤芍,土茯苓
赤芍,花粉,金银花
