瞿麦,车前子,？,扁蓄,大黄,滑石,川木通,栀子,甘草,灯心草
车前子,瞿麦,扁蓄,滑石,山栀子仁,甘草,川木通,大黄
车前子,瞿麦,扁蓄,滑石,山栀子仁,甘草,川木通,大黄
生地,甘草,川木通,竹叶
茯苓,滑石,知母,泽泻,黄柏
川木通,黄芩,滑石,大黄,甘草,猪苓,泽泻,黄柏,扁蓄,生桅子,瞿麦,车前子,茯苓,知母
海金砂,滑石末,甘草末
泽泻,滑石,猪苓,海金砂,石韦,净肉桂,白术,甘草,赤苓,白芍
附子,滑石,半夏,瞿麦,通草
滑石,通草,车前子,冬葵子
滑石,瓜蒌,石韦
冬葵子,茯苓,滑石,芒消,甘草,肉桂
荆芥,陈皮,香附,麦芽,瞿麦,川木通,赤苓
降香,石韦,滑石,鱼脑石,金钱草,海金砂,鸡内金,冬葵子,川牛膝,甘草
金钱草,海金砂,薏苡仁,甘草,冬葵子,乳香,牛膝,鸡内金,萆薢,川木通,琥珀末
金钱草,冬葵子,滑石,海金砂,川牛膝,川红花
苦参,柴胡,黄柏,蒲公英,马齿苋,石韦
冬葵子,石楠叶,榆白皮,石韦,川木通
冬葵子,车前子,川木通,瞿麦,桑白皮,赤苓,山栀仁,甘草
冬葵子,车前子,茯苓,白术,川木通,赤芍
赤苓,冬葵子,石韦,泽泻,白术
赤苓,木猪苓,冬葵子,枳实,瞿麦,川木通,黄芩,车前子,滑石,甘草
昆布,海藻,红花,桃仁,柴胡,白芍,枳实,海金砂,冬葵,滑石,大黄,鸡内金,琥珀,甘草
金钱草,茵陈蒿,黄芩,木香,郁金,大黄,槟榔,枳实,芒硝,厚朴
制大黄,枳实,虎杖,郁金,金钱草
金银花,黄柏,萆解,白茅根,茵陈蒿,竹叶,灯心草,扎,山药,车前子,薏苡仁,甘草
泽泻,车前子,败酱草,金银花,丹皮,白花蛇舌草,赤芍,仙鹤草,黄连,黄柏
川木通,槟榔,羚羊角屑,赤芍,黄苇,当归,车前子,甘草
鞭打绣球,车前子,关木通,徐长卿,石韦,瞿麦,忍冬藤,滑石,苘麻子,甘草
柴胡,黄芩,郁金,枳壳,姜黄,青皮,大黄,白芍,山楂,川楝子,金钱草
金钱草,川木通,瞿麦,冬葵子,海金砂,甘草,石韦,车前子,茯苓,滑石
柴胡,鹅不食草,元胡,金钱草,川楝子,黄芩,郁金,通草,蒲公英,北茵陈
黄连,黄柏,龙胆草,焦栀,甘草,车前草
黄芩,大黄,山栀子,茵陈蒿,金钱草,金银花,郁金,木香,厚朴,芒硝
甘草,滑石,郁金
通草,石韦,王不留行,滑石,甘草,当归,白术,瞿麦,白芍,冬葵子
石韦,瞿麦,滑石,车前子,冬葵子
半枝莲,金钱草,鸡内金,石韦,郁金,三棱,滑石,瞿麦,怀牛膝,海金砂,川木通,白茅根,甘草
金钱草,海金砂,川萆解,蚕砂,郁金,枳实,车前子,生地,瞿麦,滑石,鸡内金,大黄
金银花,白花蛇舌草,鱼腥草,车前草,匾蓄,黄柏,小蓟
萆,石菖蒲,黄柏,白花蛇舌草,石韦,土贝母,马勃,怀牛膝,全蝎
王不留行,瞿麦,败酱草,红花,匾蓄,泽泻,漏芦,桔梗,青皮
茯苓,泽泻,木猪苓,白术,滑石,甘草,肉桂
土茯苓,苦参,虎杖,夏枯草,栀子,元胡,萆解,匾蓄,滑石,甘草
川木通,滑石,甘草,山栀仁,赤芍,茯苓,淡竹叶,山茵陈
生地,小蓟根,滑石,通草,蒲黄,淡竹叶,当归,山桅子仁,甘草
生地,小蓟,滑石,川木通,蒲黄,淡竹叶,当归,山栀子,甘草
金钱草,车前子,瞿麦,杜仲,海金砂,川牛膝,王不留行,泽泻,当归尾,肉苁蓉,冬葵子,滑石,石韦,甘草
金银花,蒲公英,金钱草,丹参,香附
