糯米,30.0,山药,15.0,胡椒末,1,白糖,1
人参,15.0,山药,15.0,半夏,9.0,白术,15.0,芡实,15.0,熟地,15.0,茯苓,30.0,薏仁,15.0,白芥子,9.0,肉桂,6.0,诃黎勒,1.5,益智,3.0,肉豆蔻,1.0
人参,4.5,白术,4.5,大腹皮,9.0,砂仁未,1.8,茯苓皮,9.0,紫苏,6.0,天仙藤,9.0,冬葵子,9.0
地黄,120.0,当归,90.0,白芍,90.0,白术,90.0,陈皮,60.0,条芩,60.0,续断,60.0,杜仲,60.0,麦冬,60.0
人参,6.0,缩砂,1,香附,7.5,三棱,6.75,蓬术,1,青皮,6.0,陈皮,6.0,神曲,12.5,麦曲,1,枳壳,6.0
茯苓,120.0,干葛,120.0,甘草,6.0,白术,6.0
半夏,30.0,厚朴,30.0,藿香,15.0,陈皮,15.0,甘草,9.0,苍术,30.0
槟榔,30.0,枳壳,30.0,术香,15.0,砂仁,20.0,半夏,20.0,丁香,20.0,肉豆蔻,20.0,全蝎,20.0
青盐,90.0,黑豆,1.0,何首乌,2500.0,茯苓,240.0,茯苓,240.0,归身,240.0,扁豆,240.0,芡实,240.0,薏米仁,240.0,天冬,240.0,麦冬,240.0,知母,240.0,枸杞,240.0,菟丝子,240.0,莲肉,240.0,牛膝,240.0,冬青子,240.0,黑脂麻,240.0,覆盆子,30.0,川巴戟,240.0,人参量加,1
鹿茄茸,120.0,蚕蛾,120.0,鹿角胶,120.0,巨胜子,120.0,人参,120.0,哺退鸡蛋,7.0,枸杞,120.0,当归,120.0,肉苁蓉,120.0,楮实子,120.0,杜仲,120.0,牛膝,120.0,金樱子,120.0,巴戟,120.0,锁阳,120.0,葱子,120.0,韭子,120.0,故纸,120.0,熟地,240.0,鸽子蛋,5.0,何首乌,500.0
天冬,15.0,麦冬,15.0,熟地,15.0,山药,15.0,牛膝,15.0,生地,15.0,杜仲,15.0,山萸,15.0,云苓,15.0,柏子仁,15.0,巴戟,15.0,木香,15.0,川椒,7.5,泽泻,7.5,菖蒲,7.5,远志,7.5,菟丝子,30.0,肉苁蓉,30.0,枸杞,12.0,覆盆子,12.0,地骨皮,12.0
赤小豆,50.0,陈皮,6.0,辣椒,6.0,草果,6.0,活鲤鱼1尾,1,葱,1,姜,1,胡椒,1.05,盐,1,鸡汤,1
芍药,30.0,当归,30.0,黑附子lt;炮裂,30.0,去皮,30.0,黄芩,30.0,白术,30.0,甘草,30.0,阿胶,60.0,地黄,120.0
赤小豆,1.0
