雄黄,"g,分,克,钱,None,两,两半"
西红花,"g,份"
赤白芍,"克,None,g"
鹿角粉,g
银朱,"两,分,None"
雌黄,"None,g"
大苗爪草,g
香橼,"g,合"
茅报,钱
南苍术,分
细茶,克
广藿香,"g,两"
白屈菜,g
钱半,None
白茅根,"克,g,两"
玉竹,"克,石,g,None,两,分"
煅硼砂,克
秦皮,"g,两,克"
生芪,g
小青皮,g
酒生地,g
蜜,"两,钱"
原蚕沙,g
朱砂,"g,钱,两,分,None,克,份"
紫菀茸,克
肉豆蔻仁,"克,分"
煎掠去沫,两
禹余粮,"克,None,两"
择兰,克
兜铃,钱
候谷出芽,None
诃梨勒皮,分
半夏,"克,两,-5g,g,None,钱,两2钱,合,两5钱,斤,两半,钱5分,分,个,钱半,石,升"
北黄芪,g
台乌药,g
苦丁茶,g
元桂,钱
郁李仁,"克,g,两,None,两半"
玄精石,"钱,两"
露蜂蜜,g
干薄荷叶,两
生槐花,g
芩,g
大猪肚,个
黑丑,"两,g,克,分,两6钱,两半,钱"
捣熟,None
大黄末,斤
青鱼胆,个
蓖麻,粒
川升麻,"分,克,两"
马鞭草,g
鹰爪黄连,两
黑矾,"斤,g,两"
安息香,"钱,两"
木兰皮,两
紫川朴,两
焙诃子肉,g
斑螫,个
胆蓝星,g
青,条
山慈菇,"g,克,两,钱"
冰香,克
续断,"克,g,钱,None,两,分,份"
烧灰,None
鹿衔草,克
捣绞取,None
炒荔枝核,g
川朴消,两
制苍术,None
麻油,"两,两5钱,斤"
炙鳖甲,g
僵蚕,"钱,克,g,None,分,两,钱1分"
入水少时,两
芥穗,"克,分,两,None,钱,g,斤,两半"
入生姜,克
陈贝母,克
过一宿,克
%麝香,g
板蓝,g
生栀子,"克,g,个,None"
芜菁子,合
炙草.,g
安乃近,g
姜汁浸一宿,None
用无灰酒蒸,None
紫花白术,两
全荆芥,g
柳叶,None
麦糵曲,两
臭樗根皮,两
去水,None
五灵脂,"钱7分,g,分,钱,两,克,None"
樟脑块,g
大梅片,钱
用小蓟末,两
威灵仙,"钱,g,两,克,斤,-90克,None"
乌梅,"钱7分,克,g,个,两,分,钱,None"
钩藤,"None,石,g,两,分,钱,克"
瓦楞子,g
淮木通,None
杏仁泥,g
没食子,"两,钱"
川乌补,g
地骨皮,"克,g,两,None,分,钱"
黑山栀子,"g,None"
片姜黄,g
花椒,"克,两,分,None,粒,g,合,钱5分,两半"
入莲肉煮,None
郁京,"g,None"
鸡内金,"克,两3钱,g,片,分,具"
炒葛根,"g,None"
恶味,分
川白姜,"克,分"
锦黄,两5钱
栀子仁,"分,两,枚,克"
入瓷瓶内,None
白附子面,钱
监鼻,None
竹叶,"g,片,None,钱,升"
黄狗骨头,两
荠苨,两
理中汤加茯苓,None
川附子,两
蜈蚣,"g,条,None"
川厚朴,"克,两"
合欢花,g
等,None
粉甘草,"两,克"
烧酒浸三次,克
白芷,"两,克,钱,g,None,分,两半,两5钱,钱半,钱5分,两1分,份"
大猪肪,枚
干生地,钱
炒川芎,g
生地,"钱,克,None,g,两,升,两半,钱4分,双,钱5分,斤,两2钱,合,钱半,分,份"
黄蓍,"两,两8钱,斤半,None"
白茯神,"两,None,克"
桐油,斤半
甘草节,"克,None,厘"
泡桐叶,g
去自,None
蛇床仁,克
白信石,"钱,None,两,g"
款冬花,"两,None,钱,克,g"
蜀升麻,两
化橘红,None
千金子,克
生藕节,g
小麦糵,两
紫草茸,"None,钱2分"
将姜,None
丹皮,"克,钱,None,g,两,斤半"
大蒜头,g
再入姜,None
炒玄胡,g
胡椒,"粒,两,钱,分,g,None"
旱莲草,"克,g,两"
火砂,两
同捣作饼,两
团,None
鲜生姜,片
固定两头,None
萆麻仁,粒
刺蒺力,g
蘡薁根,两
于湿地摊,None
锡块,g
青州白丸子,None
火焙令干,None
归梢,None
紫梢花,钱
用牡蛎粉,克
龙骨,"g,两,分,钱,克,None,两半,两1分,千克"
火熬成膏,None
明沙参,g
金银花,"-20克,克,None,钱,g,两,钱5分"
寮刀竹,g
蒲黄,"g,两,None,钱,克"
知母,"克,None,g,钱半,两,钱,分"
蒲公英,"克,g,两,None,升"
半夏曲,"两,分,None,克"
同煮约二小时,None
轻粉,"g,钱,分,贴,克,字,两,None"
橘核,"克,两,g,钱"
广三七,克
炙香附,"克,g"
槐叶,None
杵碎,None
神曲,"钱7分,g,克,两,两5钱,None,钱,分"
千年健,g
川苦楝,None
侧柏叶,"克,None,g,钱,两,分"
锉末,None
蜗牛,"None,枚"
床香,g
用荔枝肉,克
炙全蝎,g
无花果,g
羚羊粉,"克,两,分,钱,g,None"
黑荆芥,g
苍耳子,"g,钱,两,克"
滑石块,g
蒺藜,"g,克,None,分,钱4分,石,钱,两,合"
诃黎勒皮,"两,千克"
川乌,"g,两,克,None,钱"
经霜桑叶,克
蕤仁,"两半,钱,枚,分,双,None,克"
陈石灰,"None,g"
蓖麻子,"钱,两,粒"
胆兰星,g
鹿角胶,"g,两,克,两半,分"
诃梨勒,两
广香,g
逍遥散,None
猪胆汁,ml
净花,None
炮川乌,g
沉香,"g,两,钱,None,克,分"
分作,None
缩砂壳,克
佛手花,"g,合"
人中白,"钱,克"
血竭,"钱,g,钱5分,克,两,分,份"
苏木屑,钱
鼠曲草,"None,份"
剪草,两
墨旱莲,"g,两"
败龟壳,两
卷柏,"克,两"
好墨,两
丹参,"None,克,g,钱,片,分,两,石"
炒牛蒡子,克
清凉膏药肉,g
白蔻末,g
腊梅,g
蓼蓝子,两
白芍,"克,钱,两,-10g,g,钱半,None,合,分,钱5分,两半,钱2分"
伸筋藤,g
桑螵蛸,"-7枚,g,两,克,分"
大青盐,"钱,两"
水磨雄黄,两
芮草,两
只取艾茸,None
地肤子,"g,两,两半,合"
土红花,g
红糟,None
石乳香,钱
竹茹,"g,None,升,克,钱,两"
白梅花,g
石膏,"g,克,两,分,钱,两半,None"
栀子,"-5g,克,None,钱,g,两,升,合,个,钱4分,石,分"
逼如银色,None
木防己,两
鸡血藤,"克,None,g"
铅粉,"两,铢,None,g,分,克,钱"
干姜,"两,克,片,g,None,钱,分,两半,斤,合,斤半,钱半,～6克"
生紫菀,"g,两"
红砒石,g
泡参,g
猪牙皂角,"两5钱,锭"
皂荚子黄,两
老樟木,g
白菊花,"两,g,分"
何首乌,"钱,两,克,g"
桑白皮,"g,None,两,克,两半,钱"
羊胆汁,g
遍后,None
鲜生地,g
半皂子大,None
陈橘红,两
豆霜,钱7分
鸡骨草,g
干木瓜,"两,克"
蜂蜡,"两,克,g"
