雄黄,"g,分,克,钱,None,两,两半"
九香虫,g
雄蚕蛾,None
羚羊角粉,克
生硫黄,分
筛去粗皮,None
灸甘草,g
黄瓜蒌,个
风子肉,两
三赖子,两
川楝肉,克
白当归,分
龟板胶,"g,克"
冷盐水润透,None
川五灵脂,分
海马,g
三角尖,钱
干商陆,克
扁蓄,"g,克,斤"
生白矾末,钱
穿山甲粉,g
籽,None
青箱子,g
隔滓,None
鸦胆子,粒
无名异,None
干,None
川芩,g
煨黄赤色,None
艾叶,"g,两,分,两半,克,斤半,None"
煨天麻,克
烂杵拌匀,None
细茶叶,两
芒消,"-10g,两,钱,g,克,None,分"
双仁,"None,克"
白前,g
马蔺子,升
牛酥,"斤,合"
用糯谷,-4升
蔻壳,g
昆布,"克,None,g,两"
白鲜皮,"分,g,两,钱"
连翘,"克,-15克,None,两,g,两5钱,钱4分,钱,分"
天麻,"钱,克,g,None,分,两,钱半,两半"
垂盆草,g
松石,g
辣椒,粒
牡荆子,合
当归头,None
莪术,"g,克,两,钱7分,两6钱,None,分,石,钱"
槐花,"g,两,None"
干紫苏,钱
蛤壳,"g,克,钱,None,斤,分"
白头翁,"g,两"
冬七日,克
香薷,"g,钱,克,None,两"
看多少入白面,None
擀作饼子,None
小罗伞,g
鳖甲,"克,g,两,两半,None,分,钱,斤,两1分"
生草乌,g
龙涎香,钱
黄连素,g
苎麻根,"片,g"
广郁金,"克,g,钱"
滇珍参,钱
42,None
青皮子,两
羌活鱼,g
制甲珠,g
茯食,g
降香,"两,g,None"
土藿香,g
白石英,"两半,两"
熟地,"克,两,None,-15克,g,钱,斤,两5钱,分,-4钱"
绿升麻,None
预知子,"g,两"
虻虫,"两,个,None,枚"
草蔻,"克,钱,g,分,两,枚,None"
柘木,None
漂茅术,两
酸枣仁,"两5钱,钱,克,None,g,合,两,两半"
金银草,g
生山栀,g
建曲,g
炙令黄,None
入瓷瓶子内,None
干菊花,斤
盐,None
舶上硫黄,None
用黑豆半合同炒油出,None
公丁香,"g,钱,两,粒,分,个,克,枚,None,钱半"
干地龙,g
茯芩,g
小麦,"克,g,None,升,合"
炙山甲,g
淫羊霍,g
赤石脂,"g,钱,两半,两,分,钱半,克,None,千克"
盐水拌,克
栀壳,g
龙胆草,"None,克,g,钱4分,钱,分,两"
候冷为末,None
洗去浮皮,两
炒谷麦芽,g
合研令匀,None
佛手,"克,g,None,分"
生杜蛎,g
马齿觅,g
通草,"克,g,None,钱,两,两半"
鸡血藤膏,钱
山萸肉,"钱,None,克,g,钱5分,分,两"
碧玉散,g
白扁豆,"g,克,None,钱5分,两,钱"
茯苓片,克
甲,None
粉干葛,None
去醋气,None
活虾蟆,个
忍冬花嫩苗叶,两
火煅,克
硫酸锌,g
天葵子,g
祁蛇肉,钱
甘松,"克,g,None,两"
加至,滴
开麻,g
抽锅离火,None
黑栀仁,None
佩兰,"g,None"
硝石,g
大干蟾,个
仙鹤草,"克,g"
玳瑁花,g
竹沥半夏,g
紫草,"g,钱,克,分,两"
全瓜萎,g
焦栀,"None,g"
秫米,None
白花蛇舌草,"克,g,重"
至次日去连水,None
捣研如膏,None
紫河车草,钱
山药肉,g
黄莲,g
纸封晒干,两
生鳖甲,克
豆浆汁,克
人参,"钱,克,两,g,分,None,钱2分,两半,两8钱,～15克,钱半"
生川乌,g
酸杏仁粉,g
冲服乌贼骨,g
酒知母,克
乌梢蛇,"钱,g,None,克,分,条"
醋柴胡,g
人中黄,"钱,克"
？？草,两
野党参,两
大山豆根,克
大麦奴,两
防已,g
络石藤,"g,克"
玉米须,"克,g"
毛诃子,g
钟乳粉,"两,克"
炒芩,None
绵黄耆,"两,寸"
鲜荸荠,g
乌蛇胆,个
如收下干者,None
泥封口,None
血洗净,None
旋覆花,"合,g,None,克,两"
江花,g
莽草,"两,两半,克"
生陈猪油,g
野葛,"两,克"
甘李根白皮,升
黄酒,ml
豆蔻仁,g
蛤蚧粉,g
炙黄芪,g
什硝,g
海浮石,"两,g,None"
炙甲片,g
茵陈蒿,"g,克,石,None,两,钱"
龟版胶,两
柴胡黄芩,g
肉豆蔻,"g,分,个,钱,两,钱半,枚,克"
当归身,"克,None,-9克,g,钱,两"
苦参,"g,None,两,克,两1分,分"
六,两
如蚕豆,None
豉心,升
八月扎,g
飞罗面,"两,None"
令锡尽为度,None
醋淬七次,None
鲜鲤鱼,尾
桂心干姜,克
茯苓皮,"g,None"
鲤鱼,头
凡士林,g
大风子,"两,g"
柳条,寸
茵阵,g
金刚莲,g
嫩柏叶,None
麦芽,"钱7分,克,g,两,None,钱"
入地金牛,g
霜苍术,g
蛀竹虫屎,g
蝌蚪,None
忍冬藤,"克,g"
南山楂,None
谷精草,"克,钱,None,钱4分,两,g"
焦苡仁,g
阿魏,"两,None,g"
小米,～100克
去赤皮,None
大生葱,根
荆三棱,两
七爪橘红,斤8两
烧令通赤,None
赤芍,"None,克,g,钱,分,两,两5钱,两半"
皂角针,克
英粉,钱
先煎炒牛膝,g
蛴螬,两
豨莶草,克
陈皮,"钱5分,钱7分,克,g,钱,两,两5钱,None,升,合,分,斤,两半,把"
没药,"克,钱,g,两,分,None,钱半,份"
腊茶,克
炒黄芩,"克,g,钱"
炒丹皮,g
紫丹参浸膏,g
黄荆子,None
皂角,"钱7分,挺,克,寸,None,分,两,g,钱"
炒五灵脂,g
枳壳,"钱7分,克,g,钱半,钱,两,-15克,None,合,分,两半,钱5分"
正川芎,g
阿胶,"钱,克,g,两,None,分,两半"
甘草十,两
珍,None
绿梅花,g
焦六曲,g
以盏子盖口,None
煅瓦愣,g
大麦门冬,两
净洗,克
铜绿,"分,克,None,钱,两"
豮猪胆汁,钱
水研,None
益智仁,"两,g,钱,钱5分,分,None,克,石"
炙蛰虫,g
猫爪草,g
刺五加,None
桃仁泥,g
欢皮,g
曾青,两
绛矾尤佳,None
白获苓,None
防风两半,None
于,None
卜子,两
牛蒡子根,克
新升麻,两
生黄柏,钱
桅子,g
灯心缠缚,None
毛冬青,g
熟半夏,None
天加,滴
川三七,钱
炒香附,克
狸骨,两
淡豆豉,"钱7分,g,升,合,分"
嫩黄蜡,两
酒果,g
白雌鸡,只
黄芩提取物,g
木猪苓,钱5分
洗去涎,None
小云连,钱
景天,两
苦地丁,"克,两,g,分"
铁落花,g
醋淬,None
大茴香,"两,克"
广金钱草,g
瓜蒌根干葛,克
大青叶,"g,克,两,分,None,kg,钱"
大川椒,分
和,None
清炙甘草,g
铁苋菜,g
银箔,片
栀,g
砂仁壳,None
白沙蜜,斤
淫羊藿,"None,克,g,石,钱,两半,两,分"
土茯苓,"克,g,None,两,斤,分,钱"
研令极细,None
白豆蔻仁,"两,克"
黄精倍前,None
皂角子,None
真银箔,片
生白芍,"g,克"
上好磁石,None
宫桂,None
川姜,两
逍遥散加丹皮,None
青皮,"钱7分,克,g,钱,两,None,分,钱半"
灯心半束,None
豹鼻,枚
冰糖,"两半,斤,g"
虎胫骨,"钱,克,两"
入酒内浸,None
冬青桑,两
温水浸,克
香木缘,g
咀片,None
麝半字,None
大附子,"个,两"
羊肉,None
消梨,个
老松香,钱
王不留行,"None,g,克,钱"
辛夷花,g
玉糠,g
接骨仙桃草,g
溪黄草,g
金箔,"片,None,张"
用生姜,斤
蜂蜜,"g,升,斤,两,None"
水蛭,"g,两,个,None,枚"
脑半字,None
樟丹,"两,克,分,None,两3分,钱,g"
麻黄,"钱,None,g,克,分,两,两半,kg"
六梅花,g
酒浸,"None,两,克"
凤凰衣,钱
槐白皮,两
浮小麦,"g,撮,合"
胶,两
牙皂荚,克
大丹参,g
熊胆,"分,两,g"
葫芦巴,"克,两"
紫竹根,把
百部根,克
制附子,g
薤白,"克,g,合"
船形乌头,g
芦根,"g,两,None,克,两半,升"
蓖麻子仁,两
白矾,"g,分,钱,None,克,两,铢,千克,斤8两"
川木瓜,g
闾茹,两
红粉,"g,克"
米泔水浸洗,None
红糖,None
两仁者,克
纸糊碗口晒干,None
瓜篓,两
炮干姜,克
桃红,g
小蓟,"毫升,None"
生鸡内金,"克,g"
石斛,"两,克,钱,分,两半,None"
炙米壳,g
华阴细辛,分
蚱蝉,"枚,两"
大百足,条
再炒少时,None
珍珠母,"g,两"
京墨,克
同炒赤色,None
沙糖,None
酒蒸大黄,克
麸炒,None
炙微黄,"None,克"
绵菌陈,g
玳瑁,"g,分"
灰罗白面,钱
黄豆,g
盐酸小檗碱,g
北五味子,钱半
海狗鞭,"g,两"
合欢皮,"g,None,两"
贯众炭,g
烧赤,None
巴豆肉,钱
百合,"g,克,升,None,钱,两"
菜菔子,g
毕澄茄,"两,钱,克,g"
菟丝子补骨脂,g
石榴,"钱7分,枚"
白酒,"千克,g,毫升,ml"
黄鱼鳔胶,g
生姜汁和作饼,两半
冲服,None
夜交藤,"None,g,两"
少郁金,g
三七末,g
乌蛇肉中半,None
令极熟,None
蜜陀僧,-15g
菠仁,合
醋延胡,g
晚蚕沙,"g,None"
桂枝,"钱,克,g,None,两"
冬白术,"两,钱"
活,g
红娘子,None
水干再添盐水,None
黑锡,斤
菜油,斤
骨碎补,"钱,两,克,g,份"
捣膏晒干,None
汤洗去滑,钱
紫葛,"两,两半"
芦荟,"分,两"
红膝子,g
白芥子,"分,克,g,两"
百药煎,"两,None"
煨肉豆蔻,g
姜,"None,片"
元胡,"克,None,g,钱,两,钱5分"
炒山桅,g
真头酒糟,两
连皮入猪肚内煮透,None
用牡丹皮,克
诃黎勒子,两
砂仁,"钱,None,g,两,两5钱,克,两2钱,两3钱,分,粒,钱5分,千克"
滤,None
炒建曲,克
胆矾,"克,钱,两"
党参,"克,g,升,None,钱5分,两5钱"
鬼前羽,g
柴河车,g
若骨蒸,None
榆白皮,两
苁蓉,"None,克,两,分"
枇杷叶,"g,None,两,克,kg,把"
硫黄,"两,钱,两半,None,分,g"
雷丸,"g,None,分"
鬼箭羽,"g,分,两"
羚羊角屑,"两,两半"
逐日,None
意以仁,g
米醋煮,None
扬芍药,None
玫瑰花,g
将石飞,None
苏梗,"g,None"
八角金盘,g
波斯盐绿,分
天南星,"None,g,克,钱,两,钱5分,分"
木鳖子,"两,克,钱,None"
姜川朴,克
真麝香,文
丝瓜络,"克,g"
黄柏树皮,None
同炒赤色为度,None
橘叶,"克,两,g,片"
香仁,g
榆树皮内皮,g
刮去皴皮,None
草乌尖,个
生谐芋仔,斤
青蒿叶,None
代赭,两
某松,g
荷叶心,None
净连翘,None
木瓜两半,None
劳水,升
薄菏,g
瓜蒌,"克,None,g,两,两半,个,枚,斤"
炒杜仲,g
半复,克
甘草水,None
上盖瓦片,None
皂皂黄,None
布,g
白芍青皮,克
葱根,茎
炊久,None
小茴香,"克,None,g,钱,两,分,粒"
生白果肉,枚
榨树皮,g
煅瓦愣子,g
桔梗五,两
坯子胭脂,钱
权壳,None
菔子,g
郁黄,g
瓜壳,g
恒山,分
失笑散,g
炒柴胡,"克,g"
桑黄,两半
洪秀,g
龙齿,"g,克,两,None"
苦楝根末,钱
醋柴,钱
蓖麻子肉,粒
真铁粉,钱
山栀子,"g,两,钱,两半,个,None"
草豆蔻仁,"两,克,分"
南硼砂,克
野菊花,g
西瓜皮,None
去裙襕,克
繁柳草,两
桂圆肉,"g,None,克"
用好酒浸三日,None
姜黄,"g,钱,两,克,None"
甘蔗汁,克
无灰酒,斗
密陀僧,"钱,两,None"
白苦参,两
姜制半日,None
秦艽,"克,g,两,两半,None,钱,分"
淡吴萸,g
海金砂,"克,g,钱,石"
油肉桂,克
又换净水,None
青礞石,"g,钱"
大桉叶,g
半陈皮,斤半
酒洗当归,克
隶布,g
瞿麦,"g,None,克,钱,斤,两"
牛子,None
干漆,"两,分,钱"
以汤炮蜜,None
白颈蚯蚓,条
枳壳柴胡,g
白前根,g
乌药,"g,两,克,钱,None,钱7分,分"
黑芥穗,"克,g"
马料豆,合
贡桂,两
枯白矾,钱半
獭肝,分
红信石,钱
蒜梗,g
用糯米炒色黄,None
地榆,"g,None,钱5分,两,两半,分,两1分"
法夏,"g,石"
蜂密,g
烧酒,None
当归梢,"克,None"
大蓟,两
白松香,两
生藕,None
次换水,None
韭汁,毫升
磁青,钱
茱萸肉,钱5分
并以生姜汁和作饼子,None
去砂石,分
如无鱼胆,None
玄明粉,"g,克,钱"
炙乌梅,g
淮乌,钱
少木香,g
人参另炖,g
干葡萄末,克
乌龙茶,None
水芦根,None
绢,None
生黄芪,g
牡丹,"克,分,两"
乙醇,毫升
象皮粉,g
桑柴灰,两
车前草,g
捞来收坛内,None
炙枳壳,g
皂角刺,"None,克,g,钱,两,两5钱"
再水洗晒干,克
舶上茴香,None
收,None
煎汤,None
鲜天胡荽,g
饭上蒸熟,None
枸杞根皮,两
椒目,"g,两,分"
滴水和搜,None
蓝实,两
矮地茶,g
珊瑚,g
冰片,"钱,g,分,克,两,None,厘,份"
制法,None
火不可猛,None
密蒙花,"克,钱4分,g,钱,分"
%轻粉,g
掠去沫,两
马兜铃,个
取出晒干,None
生五味子,"两,斤8两"
同花椒,两
黄牛髓,两
五加皮两半,None
炒山栀,"克,g"
生麦牙,g
白芨,"g,None,两,分,克,钱,石"
覆盆子,"g,两,None,钱"
川乌头,"None,两,两半,克,千克"
鸭脚花根,两
木贱草,g
微炒褐色,两6钱
地龙大者,条
酒芍,None
白花蛇蛇草,g
青木香,"g,分"
山甲片,g
锡磷脂,两
去灰,None
驴毛,分
鸡蛋,个
红泽兰,克
蜥蜴,None
鲜白莱菔,g
琥珀,"g,钱,克,分,两,钱半"
控干,两
渐渐逼出阴气令尽,None
鼠妇虫,g
醋白芍,g
苦竹叶,两
生蒲黄,g
上为细末,None
地愉,两
净黄连,两
人参膏干粉,g
侧柏炭,g
菊花,"克,钱,g,None,两,钱4分,升,分"
冬凌草,g
黄药脂,g
北姜,g
淡竹叶,"g,两"
丹麦参,g
防风炭,g
糯米,"两,g,千克,撮"
甘草,"克,钱,两,None,-5g,g,分,两5钱,钱7分,石,钱4分,两半,两3分,钱5分,斤,寸,kg,钱半,～6克,斤8两"
亦茯苓,两
胡金,石
黛蛤散,g
酒拌,克
鸭脚木,g
蛤蟆草,钱
高良姜,"None,g,两,克"
甘油,毫升
苍耳叶,None
槲寄生,"g,两"
酒曲,两
苦楝皮,g
胆南星,"g,石,None,钱,两"
细研,None
尖双仁,"None,分,两"
板兰根,g
芷,g
大白芍,g
大蛇壳,条
油出为度,None
蛇蜕,"g,None,条"
白附子,"钱,克,g,None,分,两"
威灵仙两半,None
羊油,公斤
枸己子,g
肉从容,g
木鳖仁,"两,粒"
制延胡索,g
穿山甲珠,g
马蹄决明,两
白石脂,两
泽兰,"克,g,钱,斤半,两"
焦山栀,"g,克"
黑犀角,钱
盐花,克
地耳草,g
大腹,个
石决,钱4分
地锦草,g
蟾酥,"g,钱,克,两,None,分"
鲮鲤甲,两
猫抓草,g
草龙胆,克
苍耳草,g
真蟾酥,None
白芨子,g
紫梗,g
草乌,"钱,g,两,None,克,斤半,枚"
生山药,"克,g"
苇,g
料姜石,克
炮穿山甲,"g,两"
西党参,"g,钱"
炙鸡金,g
银星石,两
藤黄,g
黑豆,"升,None,钱"
青香藤,g
姜皮,"g,None"
有险,g
便以湿砂土,-2斗
水渍,克
欢花,g
酒黄柏,克
青黛,"g,两,克,分,钱,None"
草果,"两3钱,g,钱,粒,None,个"
麻黄根,"两,钱,分"
皮消,"None,钱"
脚子,None
乌头末,钱
生地汁,None
藿香梗,g
候极干,None
毛橘红,钱
樟脑,"两,分,钱,两2钱,克"
柴花地丁,g
牛蒡子,"克,g,钱,None,两,分,石,钱2分,份"
泽泻,"克,None,g,钱,两,分,钱5分,钱半"
乳香,"克,钱,g,分,钱5分,None,两,钱半,份"
蔚金,对
生锦黄,g
马珂,两
北河参,g
沉香与附子,None
荷叶,"g,克"
蝙蝠葛根,g
白矾末,g
银珠,g
涂生姜汁,None
紫河车粉,g
川黄柏,g
天灵盖,分
伏翼粪,两
生赤白芍,g
白龙脑,"两,分,None"
生首乌,"g,两"
柳枝,寸
萆解,g
急性子,g
加米仁汁蒸,None
粗桂枝,克
黑山桅,g
生麻,克
飞丹密陀僧,两
黑丑头末,两
干枸杞白皮,克
天冬,"克,g,钱,钱5分,两,分,None"
喜人壳,g
桃叶,None
复时取出,None
嫩黄耆,None
为硝粉,g
虎杖根,"克,g"
烧盐,钱
炒蒲黄,g
铃子,g
维生素E,g
赤马通,枚
旱连草,g
乱发,"枚,团"
生白术,g
蝙蝠,None
入醋淬,None
大远志,两
法曲,分
即以韭菜汁洒之,None
三十,"两半,两"
芜荑,"两,合"
童便,"None,毫升"
边泥令合,None
素馨花,g
杭巴戟,g
棕榈,钱
楮实子,"g,分,钱"
岗稔根,g
晚桑叶,None
头生鸡子,个
白药子,"g,两"
川抚芎,两
桃仁,"钱7分,None,克,g,两,钱,粒,分,个,枚,钱5分,份"
黄明胶,"两,g"
清炙柴胡,g
鹿角,"g,两,None"
以来,None
莲子,"两5钱,g,粒,两,升,斤,None"
葫芦,g
称取,两
炭川,g
路路通,g
椿白皮,克
麸炒枳壳,克
柏子仁,"克,g,两,None,分,合,钱"
葱白,"寸,茎,握,升,None,g,斤"
薄荷,"g,克,钱,None,两,钱4分,斤,分"
诃子,"g,钱,两半,两,克,None,对,枚"
小油,两
大辰砂,钱
马牙消,"克,钱,分"
香墨,两
鲤鱼胆,枚
炙内金,g
赤芍花粉,钱4分
伸筋草,"克,g"
细墨,None
瓜蒌仁,"两,克,g,None"
肉桂,"克,g,两,钱,分,None,钱半,两半,斤半,～6克"
两头齐跳者用之,钱
巴戟天,"钱,g,两,克"
地龙,"钱,g,两,分,None"
车前子根,None
铁黄,g
甘菊花,"两,None,分,克"
苏木,"None,g,克,钱,两,分,-2钱,份"
百术,g
蔓荆子,"克,g,None,钱,分,升,两半,两"
大豆,"两,粒,钱"
珠子末,克
乌孔叶,两
红参须,g
山豆根,"g,钱1分,None"
桔梗,"钱,g,None,两,克,分,钱半,份,斤,kg,两半"
紫贝齿,两
琵琶叶,两
台参,克
大力,"g,None"
黄芩姜半夏,g
白胶香,"钱,两"
西洋参,"g,None,钱"
北防风,g
白龙骨,"两,钱,两半,克,分"
微炒,"None,两4钱"
冬瓜子,"g,None,合"
荔枝核,"两,克,g"
木鳖子仁,钱半
吴白芷,两
羊蹄根,"克,钱"
铁条子穿,None
余滓用水泡三至五日,None
炙令微黄,None
熟枳壳,两
鸡屎白半盏,None
虎仗,g
伏时,None
邯郸白垩,两
炒车前,钱
气如泥,None
熟艾,"分,两"
八中黄,g
生干地黄,"两,两半,None,克,分"
土别,g
附子,"g,分,钱,克,两,枚,None,两1分,两半,两3分,只"
常山,"两,分,None,g"
以纸筋盐泥固济,None
鲜虾肉,None
硬软得所,None
益母草,"None,g,两,钱,斤"
杏仁,"g,克,None,两,合,钱,枚,个,钱半,两4钱,粒,分,kg,斤"
白残草,g
西茵陈,g
炒薏仁,g
构腾,g
真新绛钱半,None
漂昆布,g
醋煮,None
金星石,两
植物油,g
苦参片,g
苦楝子,"g,克"
赤小豆,"g,None,两,两1分,克,合"
松香,"两,g"
处研细,None
三棱,"钱7分,g,克,分,两,两6钱,None,两半"
老葱生姜麝香黄酒,None
苍耳根茎叶,两
红点花椒,钱
硼砂,"钱,分,g"
冬青叶,None
附片,"克,g,钱"
瓜萎,g
救必应,g
醋鳖甲,g
坐在锅内,None
血余炭,"None,克,钱,g"
墨汁,毫升
又以黄连煎汁,None
川羌,"钱,两,克,g,None,分,两半,钱半,钱4分,钱5分"
回克,None
白豆蔻,"两,钱,两6钱,g,升"
壁虎,条
大豆卷,g
川木通,"None,克,g,钱,分,两,钱4分,斤,升,钱5分,钱半"
来日就铫子熬,None
生冬术,g
怀生地,"两,None"
晋矾,两
生山查,g
紫参,两
豆蔻,"g,None,分"
生香附,g
狼牙,分
章漆树皮,None
蝼蛄,两
百足物焦黑色,None
芫荽,None
月壬癸日,None
瓦器炒令黑,克
入桑柴白灰,两
生鸡金,g
徐长卿,"g,克"
贡朴,两
北茵陈,克
大枸杞,升
干蝎,"分,两,枚"
猪苓,"g,钱5分,None,分,钱,克"
穿心莲,g
黄连,"-5g,None,克,钱,g,合,两,两半,钱4分,钱5分,分,石,铢,两5钱,钱半"
藿香叶,"两,None,克,g"
树蜡,两
山栀子仁,"两,克,斤"
米醋炙赤黄,两
五倍子,"g,克,None,两,钱"
猪脂,"None,斤,斤半"
一十,两
茯神,"两5钱,克,钱,g,两,分,None"
山栀仁,"克,钱"
匹,None
木蝴蝶,g
再烧,None
瓜篓皮,g
露蜂房,"克,g,None,两,分"
干蓝,两
煨广木香,g
山茱萸肉,g
干蟾皮,g
槐角,"g,两,两半,None"
抱茯神,两
巴豆,"粒,None,个,两,克,枚,钱半,分,钱,g"
搅数,None
嫩松香,两
川楝子肉,克
鱼腥草,"g,None,份"
