雄黄,"钱,克,g,两"
炙甲片,g
生犀角,"两半,钱"
去石,分
沉香,"两,钱,克,None,g,分,份"
地盘茶,g
皂荚水泡半日,None
苦参,"g,None,斤,克,两"
炒黄芩,"克,g"
血竭,"克,两,g,钱,钱5分"
黄精,"克,g"
熟甘草,克
真川椒,两
金箔,斤
朵揉牙,两2钱
鲤鱼,斤
油归,None
白芍,"克,两,钱,g,分,None,两5钱,两半"
时,两
麦芽,"两,克,g,分,None,钱"
大青盐,"两,钱,两半"
家菊花,None
地肤子,g
忍冬藤,g
南山楂,克
谷精草,"None,g"
上元桂,克
石膏,"两,克,None,g,钱5分,钱"
一方用前胡,None
栀子,"钱,None,钱半,g,克,两,枚,片"
雄胎粉,g
砚穿,g
干姜,"克,片,g,钱,斤,分,两,钱半,None"
赤芍,"None,两,g,克,钱,两半,分"
泡参,"g,钱"
鸡眼草,g
或无病壮年妇人者亦可,克
豨莶草,克
白菊花,"克,g"
真麻油半盏,None
大风子肉,两
桑白皮,"克,g"
生米仁,g
铅霜,分
皂角,"克,两,None,钱"
乌梅,"g,分,克"
枳壳,"克,g,None,钱,分,两,两半,份"
正川芎,钱
阿胶,"克,分,两,钱"
生地,"克,None,两,g,斤,分,两5钱,钱"
地青草,None
蒌皮仁,g
绿梅花,g
鸡屎矾,分
丹参,"克,g,分,两"
包裹蝎,None
小胡麻,"克,千克,g,钱"
枙子,g
六一散,g
铜绿,"克,None,钱,分"
查炭,None
锁阳,两
仙灵皮,两
使君子,"克,两"
另研,None
夜明砂,"千克,None"
明参,g
何首乌,"g,None,两"
桅子,g
天竺子,g
蜂蜡,"克,None,钱,两,两半"
代赭石,"克,g"
蜜陀僧,分
火麻仁,"分,g,克,两半"
白丁香,钱
醋柴胡,两
炒香附,g
去苗,None
川贝,"克,None,g,两,钱,斤"
北五味子,"钱,g"
有乌梅,None
独治,g
虎骨,None
牛黄,"克,两,分"
藜芦,两
海藻,"克,None,g"
梨壁藤,g
取雄者腰前一截用之,None
野水红花子,克
北沙参,"克,g"
硇砂,"None,分,钱"
大青叶,"克,两,g"
蒲荷,g
儿茶,"钱,g"
女青,两
青桑炭,斤
山楂,"两,g,钱"
栀仁,"g,钱"
赤鲤鱼皮,两
淡豆豉,g
芫荽,两
淫羊藿,"g,两"
土茯苓,g
麦糵,"两,分"
白芜荑,None
天麻,"g,分,两"
白滑石,两
李根白皮,g
茱萸,克
使君子肉,两半
红枣量用,None
酒炒生地黄,g
澄清去水,两5钱
红藤,g
更入后药,None
煎浓汁同甘石再制,None
金橘脯,枚
杵头糠,"斤,克"
虎胫骨,"钱半,两"
茯苓钱半,None
干木臼杵捣数千下,钱5分
水银,分
桔梗,"克,分,两,None,g,钱"
猪肝,g
纸裹,None
王不留行,两
芎?,"两,分"
炼猪油,g
清酒,升
逍遥散加远志,钱
苦楝皮,g
白糖,斤
蜂蜜,g
水蛭,"分,个,枚"
荆芥,"None,克,g,两,分,钱"
生鸡内金,g
紫菀,"g,两"
不蛀皂角,挺
樟丹,"克,None,钱"
密陀僧,分
麻黄,"None,分,g,克,钱,两"
黑墨,锭
厚朴,"铢,None,斤,g,克,两,分,钱,钱半"
酒浸,"None,碗,两"
凤凰衣,g
女子患者,None
浮小麦,"撮,克"
樟脑,"字,两"
附片,g
龙胆草,"None,克,两,钱,g,石"
法,None
大茴香,两
乌鸡骨,克
冬瓜皮,g
香附米,钱
芦根,g
白矾,"克,分,两,None,钱"
真犀黄,钱
棕榈不以多少,None
吴茱萸,"g,两,钱"
木香,"钱,铢,克,g,分,两,None,钱半"
醋拌匀湿,None
小蓟,"g,分"
石斛,"两,克,g,分"
阳起石,两
猪尾脊骨,节
萆拔,钱2分
昆布海带,None
生姜汁炙,"分,两"
京墨,两
防风,"两半,克,None,分,g,钱,两"
锅饭焦,None
茅术片,g
木香汁,None
晋州绛矾,两
地蜈蚣草,None
制半夏,g
竹沥,合
合欢皮,"克,g"
净乳香,钱
柴胡,"克,None,两,g,千克,两5钱,钱,分,两半"
川牛膝,"g,两"
百合,"合,两,None"
荆实子,两
毕澄茄,钱
狗脊,两
白附子,"g,两"
甘草节,分
白酒,"g,ml"
常山,两
大腹皮,"g,None,克,分"
荷叶蒂,个
海桐皮,两
同上,None
车前子,"两,克,分,钱半,g,None,升,石"
盖头铺底,None
扁蓄,"g,None"
板蓝根,"斤,克,g"
炒燥,None
藿香,"g,钱,None"
味用白矾,None
生甘草,"克,g"
苦楝根,None
粳米,"克,g,None,合"
陈皮,"g,克,None,两,钱,分"
藕,None
