#11#,阿胶,30克,糯米,100克,红糖,None
#317#,艾叶,15克,粳米,50克,红糖,None
#318#,艾叶,15克,生姜,25克,鸡蛋,2个
#383#,生地,3钱,丹参,3钱,益母草,3钱,乌贼骨,6钱,茜草,1钱半,旱莲草,3钱,炒蕲艾,3钱
#387#,白茅根,30克,龙骨,25克,牡蛎,25克,三七,5克,白芨,15克,大黄,10克,藕节炭,30克
#425#,活鲤鱼,1条,苎麻根,30克,糯米,50克,葱,None,姜,None,油,None,盐,None
#892#,夏枯草,4两,槐花,4两,连翘,4两,甘草,4两,红花,1两,金银花,1斤
#1133#,乳香,None,没药,None,三七,None,象皮,None,龙骨,None,儿茶,None,石膏,None
#1191#,大黄,1钱,郁金,1钱,降香,1钱,三七,1钱,当归,3钱,牛膝,2钱
#1665#,芍药,30克,当归,30克,黑附子lt;炮裂,30克,去皮,30克,黄芩,30克,白术,30克,甘草,30克,阿胶,60克,地黄,120克
#2090#,蚕豆花,1斤
#2097#,晚蚕蛾,None,白芷,None,当归,None,陈石灰,None
#2618#,生地,1.2克,龟版,18克,石膏,9克,龙齿,6克,石斛,9克,花粉,6克,丹皮,4.5克,羚羊角,4.5克,沙参,12克,白芍,4.5克
#2660#,苍术,60克,地榆,30克
#2682#,苍术,90克,陈皮,90克,黄柏,45克,黄连,45克,连翘,30克,黄芩,30克
#2774#,石榴皮,None
#3448#,臭椿白皮,120克,苍术,60克,枳壳,60克
#4233#,真胆矾不拘多少,None
#4959#,侧柏叶,1两半,人参,1两,荆芥,1两
#5325#,人参,1两,白术,1两,三七,3钱,五味子,2钱
#6149#,地黄苗,5两,地菘,5两,青蒿,5两,苍耳苗,5两,芍药,5两,艾叶,3合
#6975#,石灰,1斤,刺蓟,6两,马齿,2两,韭,4两,百草霜,1斤
#6996#,地黄汁200毫升,15克,生姜汁100毫升,15克,黄牛乳200毫升,15克,藕汁200毫升,15克,胡桃仁,10枚,干柿,5枚,枣仁,21枚,清酒200毫升,15克,黄明胶,15克,秦艽末,15克,杏仁,90克
#7142#,百合,2两,熟地,2两,玄参,1两半,骨皮,1两,贝母,8钱,兜铃,1两半,当归,1两半,紫菀,1两半,白芍,1两半,沙参,1两,寸冬,1两,桔梗,1两,甘草,1两
#7577#,白蔹,1两,白及,1两,白芷,1两,碧芦皮,1两
#7632#,鲜白荷花瓣,None
#7719#,白芷,1两半,地黄,1两半,当归,1两半,白蔹,1两,芎藭,1两1分,川椒,3合,黑附子,3分,甘草,半两
#8417#,白术,2两,人参,1两,茯苓,1两,黄耆,1两,山药,3分,百合,3分,甘草,半两,前胡,1分,柴胡,1分
#8675#,白及粉,15克,糯米,100克,枣仁,5个,蜂蜜,25克
