阿胶,糯米,红糖
艾叶,粳米,红糖
艾叶,生姜,鸡蛋
生地,丹参,益母草,乌贼骨,茜草,旱莲草,炒蕲艾
白茅根,龙骨,牡蛎,三七,白芨,大黄,藕节炭
活鲤鱼,苎麻根,糯米,葱,姜,油,盐
夏枯草,槐花,连翘,甘草,红花,金银花
乳香,没药,三七,象皮,龙骨,儿茶,石膏
大黄,郁金,降香,三七,当归,牛膝
芍药,当归,黑附子lt;炮裂,去皮,黄芩,白术,甘草,阿胶,地黄
蚕豆花
晚蚕蛾,白芷,当归,陈石灰
生地,龟版,石膏,龙齿,石斛,花粉,丹皮,羚羊角,沙参,白芍
苍术,地榆
苍术,陈皮,黄柏,黄连,连翘,黄芩
石榴皮
臭椿白皮,苍术,枳壳
真胆矾不拘多少
侧柏叶,人参,荆芥
人参,白术,三七,五味子
地黄苗,地菘,青蒿,苍耳苗,芍药,艾叶
石灰,刺蓟,马齿,韭,百草霜
地黄汁200毫升,生姜汁100毫升,黄牛乳200毫升,藕汁200毫升,胡桃仁,干柿,枣仁,清酒200毫升,黄明胶,秦艽末,杏仁
百合,熟地,玄参,骨皮,贝母,兜铃,当归,紫菀,白芍,沙参,寸冬,桔梗,甘草
白蔹,白及,白芷,碧芦皮
鲜白荷花瓣
白芷,地黄,当归,白蔹,芎藭,川椒,黑附子,甘草
白术,人参,茯苓,黄耆,山药,百合,甘草,前胡,柴胡
白及粉,糯米,枣仁,蜂蜜
白及,白蔹,乌鱼骨,紫参,黄芩,龙骨
侧柏叶
柏叶,干姜,艾叶,党参,白术,炙草,阿胶,三七
地黄,小蓟,人参,蒲黄,当归,芎藭,乌梅
蒲黄,螺儿清
荷叶,石斛,大小蓟,香墨,甘草,白芍,丹皮,藕节,黄芩,百合,栀子,陈皮,棕榈炭,贝母,生地1.25干克,竹茹
铁树叶,鲜荷叶,侧柏叶,大蓟,生地炭,荷叶炭,棕榈炭,橘络,石斛,甘草,陈皮,丹皮,生地,贝母,黄芩,百合,木通,香墨
墨面,红花,冰片,麝香,熊胆,冰糖,阿胶
石灰,地菘苗,细辛,旋覆根,新葛叶,青蒿,麦门冬苗,猪膏
五倍子,白芷,石灰,堇泥
槐角,当归,生地,黄芩,黄柏,侧柏叶,枳壳,地榆,荆芥,防风,黄连,川芎,生姜,乌梅
