秦皮,"克,g"
水飞,两
去滑,None
微去白,None
酒淬,None
朱砂,"g,钱,克,两,分,None,钱5分"
紫菀茸,None
次烧红方淬于煎药内,None
肉豆蔻仁,克
熟军,"两,g"
禹余粮,"两,分,None"
谷精子,钱
川五味子,两
诃梨勒皮,"两,个"
半夏,"None,克,钱,升,两,g,片,钱半,分,两5钱,枚"
北黄芪,g
台乌药,g
淬,None
南玄参,两
小麦芽,克
郁李仁,"两,两半"
百合蔻,g
玄精石,两
红椒皮,None
芩,g
黑丑,"克,两,分"
初出卷荷,钱
炒艾叶,g
炙升麻,g
川升麻,"两,分,克"
马鞭草,"g,None,两"
黑矾,"两,g,钱"
安息香,分
木兰皮,分
粗滓不用,None
面粉,克
次用白矾,"两,克"
沙苑子,"两,两2钱,克"
白菊花,None
玄参,"g,两,克,None,kg,两半,两5钱,钱,分"
山慈菇,克
续断,"g,两,克,分,钱4分,两5钱,钱"
每只作,片
旱莲子草,两
鹿衔草,两
淮熟地,两
切过晒干,None
制苍术,None
麻油,"千克,斤4两"
初胎粪,钱
炙鳖甲,g
僵蚕,"g,None,钱5分,两,两5钱,分,克,钱"
芥穗,"两,两3钱,两半,None,g,克,斤"
金磁石,g
威灵川,两
皂子,个
姜汁浸一宿,None
茯苓皮,钱
白薇,"两,None"
黄荆子,两
铁粉,"分,两"
五灵脂,"g,两,钱"
炒槐米,g
大梅片,g
威灵仙,"克,g,两半,两5钱,None"
洇辛,g
水银沙子,None
廉珠,钱
钩藤,"g,克,两,钱"
瓦楞子,g
去四味,克
凡士林,两
没食子,个
苦杖根,None
地骨皮,"None,两,克,g,钱"
熬令黑,None
花椒,"两,克,合,两半,None,g,粒,钱,分"
郁京,g
鸡内金,"克,g,两"
炒葛根,g
川白姜,"克,两,钱5分"
犬骨节,None
栀子仁,"两,分"
天南星,"None,克,两,分,两5钱"
鹿髓脂,合
乌犀角,钱
川附子,"两,钱,两5钱"
蜈蚣,"条,分,g,枚"
川厚朴,"克,None,两5钱,两"
粉甘草,"钱,两"
白芷,"两,钱,克,g,None,分,两半,两5钱"
天仙子,分
黄蓍,两半
筒,None
萆?,g
同于铜铛内炒金铃子赤熟为度,None
醋和为饼,None
款冬花,"kg,g,两"
商陆,"克,None"
紫草茸,克
某松,g
丹皮,"克,g,None,两,钱,分"
郁金,"两5钱,g,两,None"
盖,克
胡椒,"分,两,钱,克,None,粒,g"
旱莲草,g
用陈皮,None
姜制厚朴,克
鲜生姜,g
西羌,钱5分
和为饼子,None
焦干姜,克
紫梢花,钱
条黄芩,分
龙骨,"两,None,g,分,克,钱2分,钱"
蜗牛壳,分
同半夏先用水浸,None
明沙参,g
金银花,"g,克,None,钱,两"
蒲黄,"g,分,钱,两,None,克"
知母,"g,None,kg,两,克,分,钱"
蒲公英,g
生赤芍,g
半夏曲,"克,钱半,钱,两"
轻粉,"克,钱,两,分,钱5分,None"
橘核,"两,None"
广三七,两
绿茶,克
炒稻芽,两
神曲,"两2钱,两,钱,None,克,块,钱半,g,两半"
埋在坑内,None
用炭,斤
侧柏叶,"g,克"
乌鸦,只
红灵丹,克
面裹,None
酸石榴子,克
半合,None
