三棱,丁香皮,公丁香,青皮,干姜,巴豆,油
破故子,五味子,肉豆蔻,吴茱萸,炒陈艾,厚附片
川乌,萆薢,小茴香,杜仲,花椒,当归,木瓜,柏子仁,菟丝子,熟地,川楝子,泽泻,远志,川巴戟,牛膝,肉苁蓉,芦巴子,山萸肉,茯苓,蛇床子,破故子,苍术
四君合四物加陈皮,紫苏,葛根,前胡,大腹皮,砂仁,竹茹,干姜,大枣
芎?,当归,人参,桃仁,干姜,甘草,藿香,砂仁,姜
白术,干姜,大麦糵,陈皮,青皮,茯苓,砂仁,木香
当归,元胡,郁金,香附,茯苓,草果,肉桂,山楂,甘草,干姜,神曲,白豆蔻,良姜
神曲,麦糵,大青盐,甘草,干姜,胡椒,草蔻,面裹,公丁香
白术,川芎,花椒,牡蛎
白术,赤苓,人参,甘草
白术,木香,公丁香,肉豆蔻,黄连
白术加,倍,厚朴,陈皮,藿香,甘草,茯苓
香附,童便浸,酒浸,泔浸,盐水浸,大艾叶,将米泔慢火煮半日,砂仁,淮熟地,白芍,元胡,五味子,杜仲,阿胶,白术
半夏,白豆蔻,苍术,干姜,藿香,陈皮,当归,川芎,人参,白术,甘草,猪苓,砂仁,莲子
生附子,半夏,干姜
半夏,硫黄,研令极细
半夏,硫黄,研令极细
半夏,硫黄,上
半夏,宿姜,茯苓,肉桂,枳实,陈皮,白术,防风,远志
半夏,干姜
半夏,陈皮,茯苓,人参,甘草,干姜
半夏,吴茱萸,肉桂,人参,白术,当归,厚朴,涂生姜汁,枳实
半夏,焙干为末,姜汁和作曲,杏仁,麸炒,木香,肉桂,陈皮,甘草,干姜
干姜,半夏
半夏,干姜,白芍,茯苓,肉桂,陈皮,五味子,附子,白术,甘草,大枣,火麻仁
半夏,焙干为末,以姜汁和作曲,杏仁,麸炒,木香,肉桂,陈皮,甘草,干姜
半夏,干姜,枣肉,附子,青皮,陈皮,红豆蔻,木香,草蔻
猪苓,泽泻,白术,茯苓,山楂,香附,陈皮,青皮,益智仁,草果,小茴香,神曲,肉桂,木香,藿香,甘松
厚朴,大枣,干姜
荜茇,诃黎勒皮,肉桂,胡椒,附子,沉香,木香,人参,草蔻,槟榔
荜茇末,胡椒末,青梁米
破故子,葫芦巴,小茴香,槟榔,川楝子,巴戟天,三棱,煨令熟,青皮,枳壳,荜茇,附子,毕澄茄,木香,公丁香,肉桂
破故子,木香,附子,摈榔,肉豆蔻,青皮,肉桂,牛膝,干姜,鹿茸,硫黄,海狗鞭,肉苁蓉,花椒
破故子,槟榔,硫黄,附子,肉豆蔻,陈皮,肉桂,厚朴
白术,赤石脂,肉豆蔻,川厚朴,川白姜,荜茇,神曲,麦芽,附子
白术,一肉蔻,二五味子,三故纸,四吴茱萸,拌炒,去四味,莲子,人参,甘草,白芍,木香,山药,陈皮,干姜
人参,茯苓,白术,黄芪,附子,沉香,木瓜,川羌,甘草,芎?,紫苏
厚朴,苍术,陈皮,半夏,藿香叶,甘草,草果
