雄黄,"克,g,None,钱,钱5分,两,分"
瓦楞子,"g,克"
当归身,克
苦参,"g,None"
锁阳,g
血竭,"两,份"
菝葜,g
黄精,"None,g"
金果榄,g
胡桐泪,两
酒黄芩,"克,分"
好砒,克
白花蛇肉,分
辛香者佳,None
白芍,"None,钱,克,分,g,两"
仍以原腐掩孔,None
麦芽,"g,两"
大青盐,"钱半,钱"
生鸡内金,克
地肤子,g
紫荆皮,None
忍冬藤,g
竹茹,"克,g"
石膏,"两,None,克,钱,～20克,g,分,斤"
栀子,"两,None,克,钱,g,分"
谷草,g
鸡血藤,g
真麝香,分
臭梧桐,None
干姜,"克,钱,两,g,分,片,两半,斤,None"
已上四味,斤
赤芍,"None,g,克,钱,两,分"
泡参,g
蛴螬,分
豨莶草,None
陈皮,"None,钱,克,g,两,钱5分"
麻油,"斤半,ml"
神僸,两
皂角,"挺,两"
陈者尤佳,None
乌梅,"两,克,个,g,石,None"
枳壳,"克,钱5分,钱,None,g,两,钱半,分"
阿胶,"g,两,克"
甘草节,两
郁金,"g,两,None,钱"
阴干,None
芫花,None
玄参心,克
白莲须,克
焦山楂,g
矾石灰,钱
香油,两
白竭,g
刺五加,g
真珠末,克
地骨白皮,分
勿令珠袋落底,None
何首乌,"钱半,克,g,钱,两,None"
硬脂酚镁,g
代赭石,g
藏青果,"None,枚"
火麻仁,两
北沙参,"克,g,分"
炒没药,g
川贝,"g,None,两,克,分,钱"
北五味子,g
★子,g
百草,None
牛黄,"克,两,钱,分5厘,分"
海藻,"g,克"
苦地丁,g
大茴香,两
叶子雌黄,两
瓜蒌根干葛,克
大青叶,"两,g,分"
儿茶,"两,份"
金樱子,g
山楂,"粒,g,两,钱"
沥青,斤
然尤以山草为胜,None
蝉蜕身,钱
沙范子,g
银箔,片
淫羊藿,g
土茯苓,g
细铁屑,None
上肉桂,None
农吉利,g
天麻,"钱半,克,分,两,None,钱,g"
生龟版,钱
樟脑,分
青皮,"分,克,None,两,g"
红藤,g
冰糖,"两,g"
粱米,克
虎胫骨,具
荜茇,"钱,两,斤"
涂酥,None
水银,"钱,分"
加白硼砂,钱
却入在胆内,None
橄榄,"个,None"
王不留行,None
芎?,"分,两,None"
腰雄黄,两4钱
冬月可用干者,None
槐枝,"寸,握"
金箔,片
蜂蜜,"None,毫升,合"
水蛭,g
藤,g
怀牛膝,None
黄岑,None
尖双仁,"两,None"
紫菀,"g,克,分,None,钱,两"
樟丹,"分,克,两"
象牙屑,"钱,两"
麻黄,"克,g,石,两,分"
炒乳香,g
厚朴,"克,g,None,两半,两"
酒浸,None
凤凰衣,None
浮小麦,g
竹心,None
附片,g
蜈蚣,g
制附子,g
薤白,g
羚羊角屑,"分,两"
瓜蒌,"克,g,钱"
白矾,"g,两,钱,克,None"
川木瓜,g
晒干或焙干为末,None
红糖,"None,g"
云茯苓,g
吴茱萸,"两,升,分,g"
炒子芩,g
煮酒,None
小蓟,g
石斛,"克,钱,None,g"
阳起石,钱
炒枸杞子,克
防风,"两,克,None,钱半,分,g,钱"
藿香叶,两
发团,None
炙微黄,None
生地黄自然汁,斤
用天葵,None
土元,"个,份"
芦甘石,g
两头尖,钱
鲜芦根,None
栝楼实,克
柴胡,"克,None,g,分,两,钱"
净米泔水洗,None
川牛膝,g
广郁金汁四匙,None
百合,"g,两,克,None"
泰艽,g
夜交藤,g
吴蓝,两
大腹皮,"None,钱"
