功效,C,准确率,平均查准率,DICE系数
补气,0.024000000000000014,0.7991349480968858,"[0.333, 0.667, 1.0, 1.0, 1.0, 1.222, 1.222, 1.222, 1.222, 1.222]","['补气', 0.5, 0.8, 0.6667, 0.5714, 0.5]"
止泻,0.12600000000000008,0.7979591836734694,"[0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.4]","['止泻', 0.5, 0.4, 0.3333, 0.2857, 0.5]"
消肿,0.16000000000000011,0.7492260061919505,"[0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667]","['消肿', 0.5, 0.8, 0.6667, 0.5714, 0.5]"
益精,0.2420000000000002,0.9292929292929293,"[0.333, 0.333, 0.333, 0.333, 0.467, 0.467, 0.467, 0.467, 0.467, 0.467]","['益精', 0.5, 0.4, 0.3333, 0.2857, 0.5]"
平肝,0.2470000000000002,0.9026275115919629,"[0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667]","['平肝', 0.5, 0.8, 0.6667, 0.5714, 0.5]"
止血,0.06900000000000005,0.7984962406015037,"[0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.429, 0.429, 0.54, 0.54]","['止血', 0.5, 0.4, 0.3333, 0.2857, 0.25]"


平喘,0.3090000000000002,0.9008130081300812,"[0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667]","['平喘', 0.5, 0.8, 0.6667, 0.5714, 0.5]"
降气,0.1410000000000001,0.8140540540540541,"[0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.4]","['降气', 0.5, 0.4, 0.3333, 0.2857, 0.5]"
解痉,0.34100000000000025,0.864244741873805,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.625, 0.625, 0.625]","['解痉', 0.6667, 0.5, 0.4, 0.3333, 0.2857]"
明目,0.2740000000000002,0.874468085106383,"[0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.778, 0.778]","['明目', 0.5, 0.8, 0.6667, 0.5714, 0.5]"
泻火,0.09300000000000007,0.7841246290801187,"[0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.792, 0.792, 0.792]","['泻火', 0.5, 0.8, 0.6667, 0.5714, 0.5]"
补血,0.03900000000000003,0.7997179125528914,"[0.333, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667]","['补血', 0.5, 0.8, 0.6667, 0.5714, 0.5]"
温经,0.23600000000000018,0.818705035971223,"[0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333, 0.333]","['温经', 0.5, 0.4, 0.3333, 0.2857, 0.25]"
