黄鳝,1.0,鸡内金,10.0
古老钱,10.0,虎骨,90.0,自然铜,60.0,龟板,3.0,当归,75.0,肉苁蓉,90.0,牛膝,60.0,螵蛸,90.0,没药,60.0,金刚骨,30.0,乳香,60.0,龙骨,60.0,槟榔,60.0,诃子,60.0,川乌,60.0,木鳖子,60.0,川楝,60.0,葫芦巴,60.0,白胶香,60.0,人参,60.0,白附子,60.0,草乌,60.0,何首乌,60.0,五灵脂,30.0,木香,60.0,地龙,45.0,丁香,60.0,缩砂仁,60.0,芍药,60.0,破故纸,60.0,天麻,60.0,地黄,60.0,白芷,60.0,木瓜,60.0,续断,60.0,骨碎补,90.0,巴戟,60.0,朱砂,15.0,乌药,60.0,麝香,15.0,茯苓,15.0,菟丝子,60.0,五加皮,60.0,鹿茸,60.0,枣仁,60.0,安息香,60.0,鹿角霜,60.0,沉香,60.0,琥珀,30.0
人参,60.0,枸杞,60.0,山药,60.0,五味子,60.0,天门冬,60.0,麦门冬,60.0,地黄,60.0,地黄,60.0
茱萸,30.0,巴戟天,45.0,菖蒲,30.0,地骨皮,40.0,覆盆子,45.0,枸杞,100.0,菟丝子,45.0,肉苁蓉,120.0,柏子仁,40.0,五味子,24.0,熟地,45.0,山药,40.0,牛膝,70.0,杜仲,70.0,茯苓,30.0,人参,10.0,木香,15.0,川椒,9.0,泽泻,40.0,远志,30.0,天冬,30.0,麦冬,30.0,白酒,3500.0
黄耆,12.0,人参,6.0,白术,9.0,茯苓,12.0,当归,9.0,川芎,6.0,白芍,10.5,地黄,12.0,官桂,1,陈皮,6.0,天南星,6.0,半夏,6.0,苍术,6.0,厚朴,6.0,砂仁,4.5,草果仁,1,青皮,6.0,槟榔,6.0,丁香,2.0,木香,3.75,沉香,3.0,五味子,3.75,藿香,8.0,木瓜,7.5,石斛,9.0,杜仲,7.5,白蔻壳,1,薏仁,1,枇杷叶,7.5,桑白皮,9.0,神曲,12.5,麦芽,12.0,甘草,5.25
天冬,60.0,麦冬,60.0,熟地,60.0,山药,60.0,牛膝,60.0,生地,60.0,杜仲,60.0,山萸,60.0,云苓,60.0,人参,60.0,木香,60.0,柏子仁,60.0,五味子,60.0,巴戟,60.0,川椒,30.0,泽泻,30.0,菖蒲,30.0,远志,30.0,菟丝子,120.0,肉苁蓉,120.0,枸杞,45.0,覆盆子,45.0,地骨皮,45.0
仙茅,120.0,茱萸,60.0,何首乌,120.0,萆薢,60.0,何首乌,120.0,破故纸,60.0,黄精,120.0,地黄,60.0,地黄,60.0,巨胜子,60.0,山药,60.0,枸杞,60.0,天门冬,60.0,麦门冬,60.0,茯苓,60.0,五味子,60.0,茴香,60.0,覆盆子,60.0,拣参,60.0,嫩鹿茸,60.0,牛膝,60.0,柏子仁,60.0,青盐,60.0,杜仲,60.0,当归,60.0,川巴戟,30.0,菟丝子,60.0,肉苁蓉,60.0,川椒,30.0,远志,60.0,锁阳,90.0
天仙藤,5000.0,青蒿子,5000.0,桑白皮,5000.0,香附,5000.0,荆芥,5000.0,前胡,5000.0,柴胡,5000.0,桔梗,5000.0,麻黄,5000.0,苍术,5000.0,干葛,5000.0,陈皮,5000.0,茴香,2.0,秦艽,2.0,川芎,2.0,芍药,2.0,藁本,2.0,黄耆,2.0,半夏,2.0,羌活,2.0,甘草,2500.0,肉桂,2500.0,白芷,2500.0,厚朴,2500.0
枳壳,0.3,甘草,15.0,全蝎,0.3,木香,15.0,茱萸,30.0,木贼,0.3,菖蒲,30.0,黑牵牛,30.0
菊花,120.0,枸杞,120.0,巴戟天,120.0,肉苁蓉,120.0
仙茅,30.0,羌活,30.0,防风,30.0,狗脊,30.0,白术,30.0,茯苓,30.0,干姜,45.0,菖蒲,45.0,白丑,45.0,威灵仙,6.0,何首乌,30.0,苍术,30.0
