阿胶,30.0,糯米,100.0,红糖,1
艾叶,15.0,粳米,50.0,红糖,1
艾叶,15.0,生姜,25.0,鸡蛋,2.0
生地,9.0,丹参,9.0,益母草,9.0,乌贼骨,18.0,茜草,4.5,旱莲草,9.0,炒蕲艾,9.0
白茅根,30.0,龙骨,25.0,牡蛎,25.0,三七,5.0,白芨,15.0,大黄,10.0,藕节炭,30.0
活鲤鱼,1.0,苎麻根,30.0,糯米,50.0,葱,1,姜,1,油,1,盐,1
夏枯草,120.0,槐花,120.0,连翘,120.0,甘草,120.0,红花,30.0,金银花,500.0
乳香,4.0,没药,4.0,三七,6.0,象皮,1,龙骨,16.5,儿茶,2.0,石膏,37.5
大黄,3.0,郁金,3.0,降香,3.0,三七,3.0,当归,9.0,牛膝,6.0
芍药,30.0,当归,30.0,黑附子lt;炮裂,30.0,去皮,30.0,黄芩,30.0,白术,30.0,甘草,30.0,阿胶,60.0,地黄,120.0
蚕豆花,500.0
晚蚕蛾,1,白芷,6.0,当归,9.0,陈石灰,1
生地,1.2,龟版,18.0,石膏,9.0,龙齿,6.0,石斛,9.0,花粉,6.0,丹皮,4.5,羚羊角,4.5,沙参,12.0,白芍,4.5
苍术,60.0,地榆,30.0
苍术,90.0,陈皮,90.0,黄柏,45.0,黄连,45.0,连翘,30.0,黄芩,30.0
石榴皮,6.0
臭椿白皮,120.0,苍术,60.0,枳壳,60.0
真胆矾不拘多少,1
侧柏叶,45.0,人参,30.0,荆芥,30.0
人参,30.0,白术,30.0,三七,9.0,五味子,6.0
地黄苗,150.0,地菘,150.0,青蒿,150.0,苍耳苗,150.0,芍药,150.0,艾叶,3.0
石灰,500.0,刺蓟,180.0,马齿,60.0,韭,120.0,百草霜,500.0
地黄汁200毫升,15.0,生姜汁100毫升,15.0,黄牛乳200毫升,15.0,藕汁200毫升,15.0,胡桃仁,10.0,干柿,5.0,枣仁,21.0,清酒200毫升,15.0,黄明胶,15.0,秦艽末,15.0,杏仁,90.0
百合,60.0,熟地,60.0,玄参,45.0,骨皮,30.0,贝母,24.0,兜铃,45.0,当归,45.0,紫菀,45.0,白芍,45.0,沙参,30.0,寸冬,30.0,桔梗,30.0,甘草,30.0
白蔹,30.0,白及,30.0,白芷,30.0,碧芦皮,30.0
鲜白荷花瓣,1
白芷,45.0,地黄,45.0,当归,45.0,白蔹,30.0,芎藭,30.3,川椒,3.0,黑附子,0.8999999999999999,甘草,15.0
白术,60.0,人参,30.0,茯苓,30.0,黄耆,30.0,山药,0.8999999999999999,百合,0.8999999999999999,甘草,15.0,前胡,0.3,柴胡,0.3
白及粉,15.0,糯米,100.0,枣仁,5.0,蜂蜜,25.0
白及,9.0,白蔹,9.0,乌鱼骨,9.0,紫参,9.0,黄芩,9.0,龙骨,9.0
侧柏叶,9.0
柏叶,10.0,干姜,3.0,艾叶,10.0,党参,12.0,白术,10.0,炙草,5.0,阿胶,10.0,三七,3.0
地黄,30.0,小蓟,30.0,人参,30.0,蒲黄,30.0,当归,30.0,芎藭,30.0,乌梅,30.0
