干百合,克
炒知母,"g,克"
丝擘,None
或人乳,None
取净汁,None
鹿角胶,"钱,两,g,克,斤,None,分"
炙马前,g
甜石莲子,g
银柴,钱
刘寄奴草,两
枳实钱半,None
雌色白,None
蛇蜕灰,两
生犀角,"两,克"
净花,"None,g"
鲜薄荷叶,片
杜胆星,钱
片子姜黄,克
生菖蒲根,斤
粉滑石,克
锉片,"两,钱,两2钱"
金果榄,"克,石"
紫天葵,g
墨旱莲,g
艾叶炭,g
渐渐加火,None
卷柏,"两,克,None,g"
煮姜味淡取出,None
好墨,两
丹妙,None
酉牛黄,g
天仙藤,g
葛蕊,None
白芍,"g,None,～10g,克,两,钱,钱半,分,石,两半,钱5分,钱3分,两5钱,两1分,两6钱"
蛮虫,g
炒砂仁,g
%白芍,g
白矾,"克,钱,两,g,None,两半,分,钱半,斤,石"
肿节风,g
炒川栋子,g
石胆矾,两
栀子,"g,克,两,None,钱,钱5分,枚,石,片,个"
山百合,g
干姜,"克,分,两,片,g,钱5分,斤,钱,两1分,None,钱半,-7分,合,两半,两5钱,斤半,铢,～9克,-3g"
欢花,g
明雄,"钱,克"
泡参,"g,两"
江南卷柏,g
生商陆,两
霍石斛,None
白菊花,g
生黄柏,"克,g"
鲤鱼脑髓,两
马齿菀,g
真山上百草霜,钱
活蟾蜍,只
和药末为丸,克
鸡骨草,"None,g"
鸭嘴胆矾,"钱,None"
维生素B,g
热石膏,g
郁金,"g,克,None,～5g,两,分,钱,石"
鲜生姜,"None,克"
玄参心,克
以壮年无病人头发,None
枙子,g
全瓜篓,g
血余末,None
焦山楂,"g,克"
荷叶炭,斤半
铁落花,"g,None"
牛葶子,g
使君子,"g,个,钱,分,None,两"
明腰黄,两
牛筋草,g
草条,g
大麦,合
蔓荆子茎及叶,g
山椒叶,g
藏青果,"None,枚"
焦桅皮,g
特生礜石,两
嫩鹿茸,两
青桑灰,斤
槐皮,"两,克"
生槐米,g
去苗,None
川贝,"克,None,钱,g,两,两5钱,分,钱半"
入黄蜡,钱
黑铅,两
牛黄,"g,克,分,None,钱,两,厘,铢"
令生芽,克
鲜马齿苋,"克,g"
雚芦,两
生地胆草,None
本荆草,g
生白药,g
心竹,g
金樱子,"g,None,克,两"
白豆蔻曲,钱
祛湿药膏,None
泡山甲,g
五灵脂香附,None
油朴,钱
山蓣,两半
%贯众,g
下脊骨,None
桃奴,两
白芜荑,"克,两"
石枣,克
鼠妇,g
煅,None
生代赭石,g
去油乳香,分
炒菔子,钱
红藤,"克,-60克,None,g,～24克"
炙穿山甲,g
石灰,"两,钱"
粱米,克
蜀葵子,g
