韭菜子,"两,钱"
石膏,"克,g,None,两,钱"
栀子,"g,克,None,钱,钱5分,分,两"
乱发,两
干姜,"片,g,克,None,斤,两,分,两半,钱"
泡参,g
霍石斛,None
桑白皮,"克,钱,两,None,g,分"
神僸,两
乌梅,"g,枚,None,两,斤"
鸡骨草,g
酒,升
干木瓜,两
维生素B,g
丹参,"g,None,两,钱,克,分"
阴干,None
蟹爪,两
小胡麻,"g,两,克"
生麻黄,g
大蜈蚣,g
再用人参,钱
真关黄,分
锁阳,克
使君子,"个,分,两,钱,g"
狸骨,None
补中益气汤加红花,None
天花粉,"g,None,克,分,钱5分,两,钱"
代赭石,"g,两"
病毒灵剂,g
鹿茸,"两,克,None,g"
甜瓜子,两
天粉,两
北沙参,"克,g,钱半,None,分,钱"
去苗,None
川贝,"克,两,钱,g,钱半,None"
北五味子,"None,g,克"
生熟地共,两
虎骨,克
牛黄,"g,分,两,克,钱,钱半"
藜芦,"None,两"
黛蛤散,g
淡干姜,g
金礞石,g
金星矾石,两
至宝丹,粒
羊脂,两
儿茶,g
金樱子,"g,克,两"
山楂,"g,两,None,钱2分,克,分"
栀仁,"钱,g"
次日取清河水入于药内,None
麦糵,"两,两半,None"
白芜荑,None
黑栀皮,克
只取向后有粪处,None
薄切片子,None
云母粉,两
番砂,钱
生代赭石,g
荆皮,钱半
红藤,"石,None,g"
高良姜,两
炒防风,g
荜茇,"克,g,两,钱半,None"
蛰虫,g
镇江醋,毫升
藿梗,钱
摊铫内,None
土黄连,g
不,None
橄榄,个
真柿霜,两
炙蕲蛇,g
茯,None
待茱萸焦即住火,None
芎?,"两,分"
清酒,"升,None"
逍遥散加远志,钱
槐枝,钱
白糖,"两,g,None"
双仁,None
白矾灰,两
尖双仁,"None,分"
紫菀,"两,None,克,千克,g,分,钱"
土贝母,"None,两"
用炭火煅炉甘石通红,None
蜜炙黄耆,"None,钱"
常陆,两
陈艾叶,g
朴消,"两,分,钱,None"
陈皮炙麻黄,g
羚羊角屑,"两,克,分"
香附米,钱
瓜蒌,"钱,g,克,个,None,两1分,枚"
米黄去米,None
全蝉,钱
北枣,枚
佛手I,g
云茯苓,"g,钱"
吴茱萸,"g,两,克,None,钱半,分,钱"
炒子芩,g
桔便,g
马钱子,两
阳起石,分
滤去滓,None
煮熟,None
获神,分
去须节,None
生姜汁炙,两
小芦根,None
防风,"None,克,g,钱半,两,分,钱,铢,两半"
盐淬九次,None
炙椿皮,g
罂粟,克
大川芎,分
食醋,None
制大戟白芥子,g
防己,"None,g,两,钱,分,克,两半"
