药名,别名
蝙蝠葛,狗屎豆 小葛香 爬山秧子 光光喳 防己葛 嘎马得见农棍 金丝钓葫芦 盆线吊蛤蟆 小青藤 蝙幅藤 黄根藤 大叶马兜铃 黄条香 黄藤根 杨柳子棵 狗葡萄秧 马串铃 宁巴 什子苗 野鸡豆子 山地瓜秧 黄根
蝙蝠葛根,山花子根 狗葡萄根 光光叶根 磨石豆根 北豆根
鞭打绣球,金线草 四季草 红豆草 头顶一颗珠 地红参 连钱草 月月换叶 区茹程丹 活血丹 小铜锤 红顶珠 地胡椒 地草果
鞭叶铁线蕨,岩虱子 有尾铁线蕨 过山龙
扁豆花,娥眉豆花 眉豆花
扁豆衣,眉豆皮 扁豆皮
扁蓄,扁辨 扁畜 疳积药 扁蔓 扁许 扁竹草 道生草 萹蓄 扁节草
鳖甲, 中华鳖 团鱼 鳖盖 甲鱼 烫鳖甲 制鳖甲 鳖盖子 团鱼壳 甲鱼壳 团鱼甲 上甲 鳖壳 别甲
鳖头,别头 鳖首
鳖脂,鳖油 鳖膏
槟榔,榔片 青仔 国马 吕宋槟 洗瘴丹 仁榔 宾门 榔玉 槟榔钱 槟榔玉 槟玉 纳子 大白 马金南 仁频 大腹槟榔 槟榔尖 大腹子 枣槟榔 大白槟 槟楠 海南槟 花片 花槟榔 槟榔子 花大白 尖槟 鸡心槟榔
冰片, 片脑 飞人中白 龙脑冰片 梅片 煅人中白 溺白垽 中白丹 真龙脑 龙脑香 咸秋石 尿蜇白 淡秋石 盐秋石 机梅片 龙脑 艾片 梅花脑 梅花冰片 溺垽 秋白霜 万年冰 冰片脑 艾纳香 梅冰 秋丹石 婆津香 千年冰 盆秋石 羯婆罗香 合成冰片 童秋石 白秋霜 秋石 艾脑香 机制冰片 万年霜
蚕砂,二蚕砂 蚕矢 蚕屎 晚蚕砂 原蚕砂 天虫矢 马鸣肝 蠶砂
苍耳子,苍耳 常思 葈耳 耳珰 羊负来 刺耳果 槖耳 枲耳实 道人头 牛虱子 老苍子 胡苍子
苍术,仙术 焦苍术 茅苍术 关苍术 茅术 赤术 北苍术 泔苍术
藏红花,番栀子蕊 撤馥兰 洎夫兰 撤法郎
藏茴香,马婴子 郭鸟 贡中
藏茄,樟柳柽 唐传那保
藏青果,西青果 西藏青果
糙苏,山苏子
糙叶树,牛筋树
草果,草果仁 煨草果 漏叩 草果子
草决明,还瞳子 江南豆 决明子 马蹄决明子 炒决明 土咖啡
草蔻, 偶子 草豆蔻 草叩仁 大草蔻 草叩 飞雷子 草蔻仁 草豆叩
草乌, 百步草 鸭头 黄马技花 关白附子 药羊蒿 制草乌 鸡头草 草乌头
侧柏叶,柏叶 扁柏 柏叶炭 扁柏叶
檫树,天鹅枫 枫荷柱 蔡木 独脚樟 半枫樟
柴胡,狭叶柴胡 春柴胡 地熏 南柴胡 南胡 芽柴胡 山菜 小柴胡 茹草 柴草 硬柴胡 红柴胡 春胡 软柴胡 香柴胡 芸蒿 茈胡 才胡 芽胡
蝉花,小蝉花 虫花 乌角尖 称独角龙 大蝉草子囊壳阶段的子座与寄主山蝉幼虫 土蝉花
蝉蜕,麻儿鸟皮 金牛儿 虫蜕 蝉壳 全蜕 蝉衣 热皮 蝉退壳 蜩甲 知了皮 唧唧猴皮 枯蝉 蜩蟟退皮 全壳 催米虫壳 金蝉衣 全衣 蝉肚 全退 知了壳 唧唧皮 蝉退 虫退
蝉翼藤,象皮藤 一摩消 丢了棒 五味藤
蟾蜍, 癞虾蟆 癞巴子 癞蛤蟆 土蛙 癞蛤巴 蚧巴子 蚵皮 癞格宝 虾麻 苦垄 蟾 蟾蜍干除去内脏者 蟾衣 蟾蜍干蟾皮 虾蟆 石蚌 蚧蛤蟆
蟾皮,癞蟆皮 蛤蚆皮
蟾酥,蟾蜍眉脂 癞蛤蚂浆 全酥 月魄 蛤蟆浆 蟾酥粉 团酥 蟾蜍眉酥 蛤蟆酥 蟾宝 光东酥 棋子酥 酒蟾酥 赖蛤蟆浆 片酥
鲳鱼,狗瞌睡鱼 白昌 叉片鱼 昌鼠 昌候鱼 鲳鳊
常山,南常山 蜀漆根药圈 鸡骨常山 白常山
车前草,车前菜 牛舌草 车轱辘菜 饭匙草
车前子,车前实 车前 当道 车辙子 车钱子 车前仁
沉香,奇楠 角沉 异水香 蓬莱香 蜜香 药沉 生结香 海南沉 落水沉 栈香 崖香 伽南香 沉水香 伽罗 奇南香 海南香 煎香
陈仓米,老米 红粟 老陈米 火米 陈米 陈廪米
陈皮,桔皮 新会皮 黄橘皮 广皮 柑皮 陈橘皮 贵老 炒陈皮 会皮 黄桔皮 陈皮丝 红皮 橘皮 陈皮炭 广陈皮
橙皮,黄果皮 理陈皮
橙子,香橙 金球 鹄壳 蟹橙 橙 金橙 黄橙
赤苓,赤茯苓 赤茯
赤芍,草芍药 木芍药 川赤芍 新疆芍药 赤芍药 红芍药
赤石脂,石脂 赤符 五色石脂 陶土 红高岭土 高岭石
赤小豆,红小豆 红饭豆 红豆 赤豆 小豆
臭梧桐,海州常山 臭桐 楸叶常山 八角梧桐
樗白皮,苦椿皮 樗根白皮 虎眼树 鬼目 白椿 山椿 臭楮 樗树皮 樗皮 虎目 椿皮 樗根皮 大眼桐 臭椿皮 樗树 樗椿根白皮 臭椿
樗叶,樗木叶
楮实子,构桑 构树子 谷树子 谷桑 楮实 谷实 楮桃 柘树子
川贝,青贝 贝父 贝母 阿皮卡 松贝 炉贝 松潘贝 母龙精 尖贝 川贝母 勒母 勃母
川槿皮,白槿皮 木槿皮 川荆皮
川楝子,楝子 醋楝子 练实 川楝 楝实 炒川楝 金铃子
川木通,木通 小木通
川牛膝,拐膝 对节草 白牛膝 川牛夕 牛茎 川膝 川夕 大牛膝 肉牛膝
川羌,蚕羌 羌滑 羌活 羌青 竹节羌 大头羌 西羌活
川乌,千秋 五毒 鹅儿花 乌头天雄附子侧子漏篮子川乌头 制川乌
川芎,山鞠穷 杜芎 台芎 芎藭 酒芎 京芎 抚芎 芎穷 九元蟊 胡芎 雀脑芎 西芎 山鞠芎 芎苓子川芎
穿破石,柘根 柘桑 川破石
穿山甲,甲珠 石鲤 炮山甲 鯪鲤甲 川山甲 鯪鲤角 甲片 麒麟片 龙鲤 山甲 炮甲珠 随碱片
穿山龙,穿地龙 川山龙
穿心莲,印度草 斩蛇剑 榄核莲 苦草 一见喜
垂盆草,石指甲 狗牙瓣
椿白皮,香椿皮 椿根皮 椿芽树皮
磁石,处石 摄石 吸铁石 活磁石 慈石 玄石 指南石 煅磁石 醋磁石 吸针石 灵磁石 元武石
雌黄,金精 阴黄 黄安 哇拉 帝女血
