药名,别名
黑芝麻, 黑脂麻油麻 黑脂麻巨胜子 乌麻 脂麻 芝麻 油麻仁 巨胜 黑巨胜 乌麻子 香油麻
横经席,跌打将军 梳篦木 碎骨莲 皮子黄 独角风
红大戟,大戟 红芽大戟 红大吉 广大戟
红豆蔻,红叩 红扣 红蔻 红豆叩
红粉,升药 灵药 三白丹 小升丹 三仙丹 三仙散 升丹 红升
红旱莲, 牛心菜 黄海棠
红花,红兰花 丹华 南红花 大红花 红蓝花 草红花 黄兰 红兰 杜红花
红花子,红蓝花子 白平子 红蓝子
红蚂蚁,红蚁
红木香,内风消 紧骨香 内红消 木腊 金谷香
红娘子,红女 樗鸡 幺姑虫 红娘虫
红曲,赤曲 红米 福曲
红藤,红皮藤 大血藤 红仝 大血通 大活血 八卦藤 省藤
红信石,红信 红言石 信砒 红人言 人信 红砒 红矾
红药子,红药 朱砂七 朱砂连 赤药子
厚朴,川根朴 枝朴 根朴 烈朴 温朴 紫油朴 重皮 川朴 赤朴 厚皮 鸡肠朴 筒朴
厚朴花,朴花 调羹花 川朴花
胡椒,黑古月 白古月 白胡椒 黑胡椒 古月
胡连,藏胡连 胡黄连
槲寄生,寄生
槲皮,柞栎.槲树 槲栎 朴樕 金鸡树 槲樕 槲木皮 大叶栎 赤龙皮 大叶柞 槲白皮
槲叶,槲若
蝴蝶草根, 夜关门 蝴蝶草 拟粉叶羊蹄甲
蝴蝶花,下搜山虎 豆豉叶 铁扁担 紫燕 蓝花铰剪 燕子花
蝴蝶树,苦酸汤
虎耳草,耳朵红 老虎草 金丝荷叶
虎杖,大虫杖 酸杆 斑庄根 斑根 斑草 大叶蛇总管 斑杖 子金龙 酸杖 紫金龙 苦杖
琥珀,烟煤精 血琥珀 蜡珀 育沛 顿年 煤珀 琥珀粉 红松脂 松珀 柳青 琥珀屑 花珀 血珀 光珀 江珠
花椒,红椒 川椒 青椒 南椒 汉椒 蜀椒 椒红 点椒 巴椒 秦椒 汗椒
花蕊石,煅花蕊石 花乳石 白云石
滑石,夕冷 滑石粉 脱石 液石 飞滑石 共石 原滑石 脆石 化石 画石 活石 番石
化橘红,毛绿七爪 化州橘红 大五爪 六爪 柚皮 柚皮橘红 尖化红 柚橘红 五爪红 薄橘红 化皮 六爪红 化红 副毛绿七爪 七爪红 毛化 赖氏橘红 桔红
怀牛膝,淮夕 淮牛膝 怀夕 怀膝
槐花,槐花炭 怀花
槐角,槐连豆 槐实 槐子 槐豆 天豆
槐米,怀米
獾肉,天狗 獾 狗獾 山獭 山狗
獾油,獾子油
鲩鱼,魭鱼 鮶鱼 混子
黄柏,蘗皮 元柏 檗木 黄蘗 川柏皮 柏皮 檀柜 川柏
黄荆子,黄京子 黄荆 山京子 山黄荆 山荆
黄精,鸡头黄精 大黄精 黄芝 制黄精 鸡格 姜黄精 救荒草 鹿竹 戊己芝
黄连,宣连 古连 云连 支连 古勇连 元连 川黄连 王连 峨嵋连 味连 川连 雅连
黄明胶,水胶 广胶 牛皮胶 明胶
黄芪,黄耆 芰草 大有芪 炙耆 独根 浑源芪 抽芪 王孙 大岚芪 红芪 口芪 棉芪 绵黄芪 百本 炮台芪 元芪 西芪 卜奎芪
黄芩,土金茶根 宿芩 黄金茶 片芩 经芩 印头 黄文 腐肠 子芩 妬妇 黄芩炭 北芩 条芩 酒芩 淡芩 元芩 山茶根 鼠尾芩 内虚 空肠 淡黄芩 枯芩 烂心草
黄药子,大苦 黄独零余子 黄药根 木药子 赤药 黄药 零余薯 黄独
火麻仁,大麻子 大麻仁 大麻 火麻子 麻仁
火硝,消石 苦硝 马牙硝 焰硝
藿香, 大叶薄荷 兜娄婆香 藿去病 火香 南藿香 土霍香 广藿梗 枝香 鲜藿香 排香草
鸡骨草,黄头草 鸡古草
鸡冠花,鸡冠 鸡公花 鸡髻花 鸡头花
鸡内金,鸡肫皮 鸡黄皮 内金 鸡膍胵 炒内金
鸡矢藤,牛皮冻 鸡屎藤 臭藤
鸡血藤,制血藤 鸡血仝 血藤 血仝
急性子,凤仙子 金凤花子 小桃红 凤仙花子 指甲花子
蒺藜, 蒺骨子 蒺藜蓇葖 硬七力 炒蒺藜 屈人 白蒺藜 杜怀蒺藜 三角蒺藜 七厘 刺蒺藜 旁道 硬蒺藜 止行 蒺藜子 八角刺 旁通 即梨 七力 白七力 串蒺藜 休羽 即藜 茨 休羽茨 秦尖
鲚鱼,鱴刀 鰽鱼 I鱼 Z 毛花鱼 刀鱼 望鱼 江鲚 鮤 麻鲚 凤尾鱼
稷米,粢米 穄米 糜子米
鲫鱼,鲋 鰶
鲫鱼胆草,细叶丑婆草 节节花 行路蜈蚣 苦胆草 苦节节花 鲫鱼草 蜈蚣草 山过路蜈蚣 较剪草
碱蓬,盐蓬
建曲,范志曲 泉州神曲 建神曲
箭杆风,假砂仁
江南卷柏,黄疸卷柏 石柏 岩柏草
姜黄,宝鼎香 宝鼎姜 色姜黄 硬姜黄
姜皮,生姜皮 姜衣
僵蚕,白僵蚕 炒僵蚕 姜蚕 江蚕 天虫 姜虫 僵虫 白殭虫
降香,紫藤香 鸡骨香 降真香 紫降香
椒目,花椒目 蜀椒目 青椒目 川椒目 秦椒目
鲛鱼,溜鱼 鲛鲨 瑰雷鱼 沙鱼
鲛鱼翅,金丝莱 鲛鲨翅 沙鱼翅
绞股蓝,绞股兰 七叶胆 小苦药公罗锅底
接骨木,公公老 公道老
节菖蒲,节朴 太原菖蒲 节蒲 太原蒲 九节菖蒲 陕西菖 寸菖蒲 九节离 小菖蒲
芥穗,荆芥穗 芥禾 芥穗炭
金沸草,金复梗 旋覆草 金佛草
金果榄,九牛胆 果榄 地胆 金苦榄 地蛋 金果兰 青牛胆 地苦胆 金牛胆
金精石,银精石 猫金 蛭石 煅金精石 金晶石
金礞石,烂石 煅金礞石 酥烂石
金牛草,小金牛草 小金不换 七寸草
金钱白花蛇,金环蛇 白花锦蛇 花蛇 银环蛇 小花蛇
金钱草,过路黄 路边黄 大金钱草 大叶金钱草 对座草 遍地黄 临时救
金荞麦,天荞麦 野荞麦根 开金锁 野荞麦
金银花,银花 二宝花 金花 忍冬花 二花 金藤花 双花
金樱子,金樱 金因子 山石榴 金英子 金婴子 刺梨木
锦灯笼,酸浆实 金灯笼 红姑娘 天灯笼
京大戟,将军草 龙虎草 九头狮子
荆芥,郑芥 香荆芥 姜芥 假苏 四棱杆蒿 荆芥炭
景天三七,血山草 六月淋 土三七 蝎子草
九香虫,屁板虫 放屁虫 屁巴虫 瓜黑蝽 打屁虫 酒香虫 黑兜虫
韭菜子,韭子 韭菜仁 起阳草 韮子 陈韭子
桔梗,玉桔梗 梗草 房图 铃当花 白桔梗 苦桔梗 苦梗 利如
菊花,甘菊 杭菊 女节 甘精 亳菊 贡菊 白菊 滁菊 杭白菊 女华 池菊 金蕊 黄菊 滁菊花
菊三七,红背三七 破血丹
橘,迟红 天台蜜橘 红橘 乳橘 黄橘 红柑 赤蜜柑 了红 甜橘 漳州柑 早衢橘 朱砂橘 黄岩蜜橘 漳橘 玉林柑 温州蜜橘 大红蜜橘 朱红橘 绿橘 福橘 朱橘 朱红 朱砂柑 扁柑
橘核,橘米 盐桔核 橘子核 桔核 橘仁 炒桔核 橘子仁 桔子核
橘红,芸皮 会红 福橘红 橘橘红 芸红 川云江 云皮 广橘红
橘红珠,橘珠 橘胎
橘络,橘丝 橘筋 桔络
橘叶,金桔叶 桔叶 橘子叶 金橘叶
苣胜子,蕂菜子 白苣子 莴苣子 巨胜子 苣蕂子
卷柏,卷柏炭 万岁草 万岁 九死还魂草 不死草 岩松 还魂草
蕨根,乌角 蕨鸡根 小角
蕨麻,莲菜花 人参果 戮玛
爵床,蛇食草 赤眼 爵卿 睛蜒草 六方府积草 大鸭草 苍蝇翅 观音草 阴牛郎 瓦子草 肝火草 鼠尾癀 六角英 五累草 山苏麻 水竹笋 麦穗癀 倒花草 小青草 鼠尾红 赤眼老母草 炸猛腿 六角仙草 毛泽兰 洛积草 屈胶仔 野万年青 麦穗红 香苏 四季青
糠谷老,老谷穗 看谷老
蝌蚪,活师 玄鱼 蛞斗 虾蟆儿 虾蟆粘 虾蟆台 虾蟆子 玄针 聒子 水仙子 悬针 活东
枯矾,煅白矾 炙白矾 煅明矾
枯萝卜,仙人头 气萝卜 地骷髅 空莱菔 老人头 地枯萝 仙人骨
苦参,山槐 苦骨 骄槐 野槐根 山槐根 地槐 槐连兜 干人参 苦识
苦地丁,地丁 地丁草
苦丁茶,苦茶
苦楝皮,楝皮 苦楝根皮
苦楝子,苦楝豆 苦楝
款冬花,款冬 橐吾 螋冬 冬花 款冻 氐冬 蜜炙款冬花 炙冬花
昆布,淡昆布 海带
蜡瓣花,连合子 连核梅
蜡梅花,铁筷子花 黄梅花 臭腊梅 蜡梅 雪里花 腊木 腊梅花 岩马桑
辣椒, 海椒 鸡嘴椒 腊茄 辣角 辣茄 辣虎
辣椒茎,海椒梗
辣蓼草,柳叶蓼 绵毛酸模叶蓼
辣子草,铜锤草 兔儿草
莱菔子,莱菔 萝卜子 萝卜种 炒萝卜子 杜萝卜子 炒莱菔子
狼毒,金丝矮陀陀 矮红 猫眼草 白狼毒 五虎下西山 大狼毒 乌吐 红狼毒 续毒 格枝糯 狼毒大戟 川狼毒 鸡肠狼毒
老鹳草,山爬 老观草 斗牛儿 老鹳嘴 牻牛儿苗 老鸹嘴
雷公藤,雷公仝
雷丸,木连子 来丸 雷实 雷矢
鼺鼠,飞生鸟  飞虎 夷由 松猫儿 耳鼠 飞生虫 飞生 鼯鼠 飞鸓
黎豆,巴山虎豆 虎豆 檵摂 鼠豆 狸豆 虎櫐 头花黎豆 摂
黎辣根,山绿篱 一扫光 马灵仙 黎头根 长叶鼠李 铁包金 土黄柏 红点秤 琉璃根 梨罗根 山黑子 癞痢柴 拿蒟 水冻绿
篱栏子,茉栾藤 鱼黄草
藜,灰藋 灰苋菜 灰条 舜芒谷 灰蓼头草 飞扬草 厘 胭脂菜 灰菜 红落黎 红心灰藋 鹤顶草 落蓉 灰藜 蒙华 蔓华 莱
藜芦,葱炎 丰芦 梨芦 山葱 公苒 黑藜芦 白力芦 山苞米 葱葵 葱白藜芦 葱苒 憨葱 人头发 旱葱 梨卢 力芦 蕙葵 鹿葱 七厘丹 山棕榈 药蝇子草 黑力芦 芦莲 毒药草 绿力芦
鲤鱼,祯鲤 赤鲤鱼
鲤鱼目,鲤鱼眼睛
鳢鱼,鲷鱼 蛇皮鱼 鳏 畅 黑鳢鱼 黑鲤鱼 活头 乌鱼 黑鱼 玄鳢 鲡 乌棒 黑火柴头鱼 文鱼 蠡鱼
荔枝核,丹荔 荔仁 火芝 荔核 火实 力核 丹荔核 炒力核 大荔 丹芝核 丹芝
连翘,连壳 三廉 異翘 异翘 连翘心 大翘子 青翘 老翘 连翘壳 连召 连乔
莲房,莲壳 莲蓬壳 莲房炭
莲心,莲子芯 莲薏 莲子心 莲芯 莲子蕊
莲须,莲花蕊 莲蕊 莲蕊须 莲花须
莲子, 壳莲子 莲肉 藕实 湘莲子 莲子肉 建莲子 莲实 甜莲子 甜石莲 石莲子 白莲子 湖目 莲蓬子 石莲肉
鲢鱼,白鰅 鰅鱼 白脚鲢
镰形棘豆,达哈
两头尖,竹节香附 草乌喙
簝叶竹根,金佛山赤竹 簝叶竹.金佛山赤竹
蓼实,蓼子 水蓼子
蓼子草,小蓼子草 红蓼子 小毛蓼
列当,草苁蓉 独根草 不老草 花苁蓉
凌霄花,凌霄 女葳华 紫葳 芰华
羚羊粉,羚羊 羚羊角 九尾羊角 羚羊尖 灵羊角
零陵香,00香 零灵香 广灵香 灵香草
鲮鲤,鳞鲤 石鲮 石鲮鱼
鲮鱼,雪龄 士酚鱼 龄鱼
刘寄奴,九里光 金寄奴 千粒米 南寄奴 奇蒿 苦连婆
硫黄,西土 倭硫黄 昆仑黄 西丁 石硫黄 石留黄 石流黄 黄牙
六月雪,路边荆 白马骨 白雪丹
龙齿,青龙齿 龙牙 煅龙齿
龙胆草,水龙胆 酒龙胆 四叶草 山龙胆草 龙胆 胆草 陵游 地胆草
龙骨,煅龙骨 花龙骨 青化龙骨 生龙骨 五花龙骨
龙葵,乌疔草 老鸦眼睛 山茄子 黑姑娘 天茄子 天泡草 苦葵
龙涎香,龙涎
窿缘桉叶,小叶桉 风吹柳
蝼蛄,土狗 蟪姑 土狗崽 拉蛄 杜狗 蜂蝼 蟓蛤 地牯牛 拉拉古 津始 羀蛄 地狗 硕鼠 拉拉狗 轂 梧鼠 天蝼 炙鼠 蝼窒 缕缄 蝼蝈
漏篮子,漏篮 虎掌
漏芦,鬼油麻 华州漏芦 蓝刺头 独花山牛蒡 野兰 禹州漏芦 和尚头 和尚头花 祁州漏芦 祁漏芦
芦巴子,胡芦巴 胡巴子 苦巴 芦巴 胡巴
芦根,苇茎 芦茎 大芦根 苇根 芦苇根
芦荟,卢会 奴会 劳伟 龙角 讷会 象胆 真芦荟
炉甘石,飞甘石 制甘石 羊肝石 炉先生 甘石 浮水甘石 异极石 炉眼石 飞炉甘石 卢甘石
陆英,走马风 接骨草 七叶麻 苛草 七叶根 八棱麻 七叶金
鹿鞭,鹿茎筋 鹿肾 鹿冲 鹿阴茎 鹿冲肾
鹿角,马鹿角 花鹿角 斑龙角 鹿角末 镇山威 鹿角屑
鹿角胶,鹿胶
鹿角霜,鹿角白霜 角霜 鹿角双
鹿茸,鹿茸片 青毛茸 血鹿茸 黄毛茸 九女春
鹿衔草,鹿寿茶 鹿啣 鹿蹄草 大肺筋草 鹿含草 小秦王草 鹿啣草 鹿安草
路路通,九孔子 狼目 枫香果 九空子 陆通 枫实 枫树球 枫果 六六通 陆陆通 枫球子 欇子 六通
鹭肉,雪客 丝禽 小白鹭 白鹭 鹭鸶 春鉏 白乌 一杯鹭 白鹭鸶
鹭鸶兰,野韭菜 野麦冬 书带草 山韭菜 长生草
露兜竻花,路头死
露兜竻蔃,露兜根 勒角蔃
露蜂房, 百穿 蜂勦 革蜂案 蜂肠 马蜂窝 蜂窝 马蜂包 黄蜂窠 长脚蜂窝 野蜂房 草蜂子窝 虎头蜂房 大黄蜂窠 紫金沙 蜂巢 蜂房 纸蜂房
露蕊乌头,罗砧巴
露水草,鸡冠参 如意草
罗布麻,罗布麻叶
罗汉果,拉汗果 甜蜜果
萝芙木,刀伤药 山马蹄 鱼胆木
螺蛳,方形环梭螺 蜗赢 方田螺 师螺 蜗篱
螺厣草,瓜子莲 鱼鳖草 泡树莲 金茶匙 石耳坠 石瓜子 风不动 血草 瓜子草 山豆爿草 痞子药 金指甲 镜面草 幅儿草 地连钱 抱石莲
络石藤,络石仝羊角藤 悬石藤 白花藤 石盘藤 络石 石龙腾 石薜荔 络石仝
落得打,积雪草 积雪曹 崩大碗 马蹄草 地钱草
绿豆衣,绿豆皮
葎草,葛葎草 拉拉藤
麻黄,草麻黄 山麻黄 龙沙 卑相 炙麻黄 麻王 田麻黄 卑盐 木麻黄 川麻黄
麻黄根,麻王根
马鞭草,马鞭 狗牙草 紫顶龙芽草 蜻蜓草 鶴膝风 凤颈草 野荆芥 铁马鞭
马勃,灰包 灰包菌 马粪包 马勃绒 净马勃 轻马勃 灰菌 马屁包 马庀 灰菰
马齿苋,马齿菜 马苋 五行草 长命菜 马齿草 马铃菜 长命苋 五方草
马兜铃,蛇参果 银药 马斗铃 炙斗铃 臭铃铛 三百两 刁铃 马兜零
马蔺花,紫菊 马兰花
马蔺子,马兰子 蠡实 马莲子
马钱子,苦实 牛银 伏贡 马钱 方八 大方八 伏水 马前子 番木鳖
马尾连,唐松草根 草黄连 金丝黄连 马尾黄连
玛瑙,文石 马脑
麦冬,杭麦冬 沿阶草 山麦冬 寸冬 爱韭 麦门冬 川麦冬 忍陵 土麦冬 浙麦冬 湖北麦冬
麦芽,麦蘖 大麦蘖 焦麦芽 大麦芽 炒麦芽 生麦芽
鳗鲡鱼,风鳗 白鳝 鳗鱼 白鳗 青鳝 蛇鱼
蔓荆子,万金子 蔓京子 蔓菁子 荆子 蔓荆实 大荆子 炒荆子 陆续丸
芒硝,朴硝 盆硝 水硝 盐硝 硝石朴 海皮硝 皮硝 朴消石 盐消 水消
猫爪草,三散草 毛爪草
毛冬青,山冬青 茶叶冬青 毛披树 细叶冬青
没食子,无石子 墨石子 无食子 没石子
没药,克香 密儿拉 黑香 末药
玫瑰花,刺玫菊 玫瑰 徘徊花 刺玫花 赤蔷薇
莓叶委陵菜,雉子筵 菜飘子 毛猴子 满山红
虻虫,牛魔蚊 瞎虻 蜚虻 牛苍蝇 瞎虻虫 牛虻
礞石, 云母片岩 绿泥石片岩
麋茸,麋 四不象 麋鹿 麈
麋脂,官脂 糜膏
蘼芜,川芎苗 薇芜 江蓠 芎窮苗 麋芜
密蒙花,老蒙花 蒙花珠 小锦花 水锦花 黄饭花 蒙花
密陀僧,金底 金生 金生石 银炉底 金炉底 陀僧 银池 没多僧 金陀僧 炉底 淡银 丹锭
蜜蜂子,蜂子
绵萆薢,棉毕下 白萆薢
磨盘草,磨盆草 印度茼麻 磨挡草 耳响草 白麻 牛响草 帽笼子 金花草 磨笼子
蘑菇,磨菇蕈 鸡足磨菇 肉蕈
墨,陈玄 乌金 玄香 乌玉块
墨旱莲, 烂脚草 黑头草 猪牙草 白花蟛蜞菊 节节乌 墨汁草 野葵花 野水凤仙 火炭草 莲草 水旱莲 古城墨 绕莲花 假葵花 摘头乌 莲子草 冰冻草 金丝麻 假日头花仔 墨汁旱莲 墨菜 白旱莲 滴落乌 跳鱼草 黑墨草 墨烟草 鳢肠草 墨记菜 旱莲子 金陵草 白花草 墨斗草 鳢肠 猢孙头 水凤仙草
墨吉对虾,大明虾
母丁香,雌丁香 鸡舌香
牡蛎,牡蛤 左牡蛎 生牡蛎 蚝壳 蠔 煅牡蛎 蚝 海蛎壳
木鳖子,木鳖 壳木鳖 土木别 木蟹 土木鳖 木柲子 木别子
木瓜,楙 光皮木瓜 炒木瓜 皱皮木瓜 木梨 宣木瓜 铁脚梨 木桃
木蝴蝶,千张纸 破布子 云故纸 白故纸 千层故纸 白玉纸 千层纸 玉蝴蝶 云故子 洋故纸
木灵芝,灵芝 灵芝草 芝 紫灵芝 菌灵芝
木馒头,薜荔果 鬼馒头 凉粉子 木铎 木莲 凉粉果
木贼,无心草 锉草 木贼草
墓头回,墓头灰 箭头风
南瓜子,南瓜 蛮南瓜子 番瓜子
南沙参,山沙参 三叶沙参 龙须沙参
囊距翠雀,甲果贝
囊距翠雀花,夏果贝
硇砂,北庭砂 白硇砂 岩硇砂 黄砂 氯化铵矿石 淡硇砂 赤砂 狄砂 神砂 气砂 透骨将军 狄盐
闹羊花,踯躅花 黄山艳 羊踯躅花 黄踯躅 黄杜鹃花 一杯醉 一杯倒 三钱三 闹阳花
牛蒡根,大力根 恶实根 鼠粘根
牛蒡子,恶实 大力子 鼠粘子 鼠粘 黍粘子 炒牛蒡 大牛子 牛蒡
牛黄,丑宝 西黄 犀黄 心黄 犀牛黄 西牛黄 胆黄
牛膝, 土牛膝
农吉利,野芝麻 鼠卵草 野百合
糯稻根须,稻根须
糯米,元米 稻米
糯米泔,粘米泔水
糯米藤,蔓麻 小铁箍 小粘药 土加藤 铁箍蔓草 红饭藤 自消散 捆仙绳 铁节草 生扯拢 红头带 筲箕藤 猪仔菜 贯线草 玄麻根 红米藤 糯米菜 雾水葛 糯米团 红石薯
糯米条,茶条树 白花树
女贞子,酒女贞 贞木 女贞实 冬青子 熟女贞 女贞
藕,藕丝菜 藌 光旁
藕粉, 藕澄粉
藕节,藕节炭 光藕节 藕节疤 午节
排草,对叶草 元宝草
螃蟹,德森
螃蟹甲,露木尔 楼莫尔
鰟鱼,青衣鱼 旁皮卿 鱖鮭
胖大海,通大海 大发 胡大海 蓬大海 海南子 安南子 大海子 大海 大洞果
佩兰,香佩兰 千金草 薰草 兰草 香草 燕草
硼砂,西月石 蓬砂 黄月石 鹏砂 月石 大朋砂 盆砂
蟛蜞,螃蜞
蟛蜞菊,水兰 卤地菊 路边菊 黄花曲草 黄花龙舌草 马兰草
枇杷叶,炙杷叶 杷叶 广杷叶 枇杷 炙杷叶药圈
片姜黄,片姜 条姜黄 片子黄 片子姜
漂摇豆,飘摇豆
平贝,北贝 东贝
瓶耳小草,矛盾草 蛇咬子 独叶一枝枪
破故子,补骨脂 故子 川故子 胡韭子 故脂 怀故子 固子 固脂 破故纸 补骨子 盐故子 婆固脂 破固脂 吉固子 胡故子
蒲公英, 通天草 白鼓钉 黄花地丁 鹁鸪英 公英 凫公英 婆婆丁 卜公英 黄花郎 蒲公丁 金簪草
蒲黄,卜黄 蒲黄炭 中央粉 甘蒲 蒲花 香蒲 蒲草黄
漆大姑,痒树棵 大毛七 杨漆姑婆 算盆子 毛七哥 漆大伯 藤篮果 毛七公 毛漆
漆姑草,瓜棰草 地松 大龙叶 漆姑 羊儿草 鼻药 牛毛粘
漆姑虎耳草,松吉斗
荠菜,菱角菜 荠草 护生草 香荠
蛴螬,核桃虫 蛴螬虫 蟦蛴
蕲蛇,蕲蛇肉 白花蛇 五步蛇 龙婆蛇 祁蛇 棋盘蛇 五步倒 尖吻蝮 蕲蛇鲞 百步蛇
麒麟菜,鸡脚菜 鸡胶菜 鹿角菜
麒麟尾,上树蜈蚣 篷莱蕉 狮尾草 龟背竹 上树百足 羽叶藤 过山标
千斤拔,千斤吊 千里马
千金子,千两金 拒冬 白随子 菩萨豆 续随子
千里光,千里明 千里急 黄花母 九岭光 九里明 九龙光
千年健,千颗针 千年见 年见
铅粉,解锡 白膏 借锡 白粉 流丹 瓦粉 定粉 丹粉 锡粉 铅白 粉锡 胡粉 水粉 鹊粉 宫粉 光粉 太乙粉 官粉
前胡,冬前胡 信前胡 粉前胡 西尺蔓 嫩前胡 炙前胡 全胡
黔桂醉魂藤, 野豇豆 贵州醉魂藤 醉魂藤 老鸦花
黔羊蹄甲,马蹄叶
芡实,卯菱 鸡头实 卯蔆 鸡头 炒芡实 鸡雍 蒍子 鸡头果 苏芡实 雁喙 鸡头米 刀芡实 鸿头
茜草,拉拉蔓 茜根 绯草 四轮草 牛蔓 过山藤 红茜草 倩染 茜草根 小活血
蜣螂,铁甲将军 推车虫 蜣娘 滚屎虫 夜游将军 推丸 牛屎虫 独角仙 弄丸 推屎爬 天社 屎螂 转丸 蛣蜣 独角蜣螂虫 屎壳螂 矢甲 粪球虫 推车客 铁角牛 侠客螂 大将军 黑牛儿 蜣螂虫
秦艽,左秦艽 左扭 麻花艽 左拧 左拧根 酒秦艽 秦纠 秦胶 秦爪 西大艽 秦仇 小秦艽 大艽
秦皮,苦枥皮 岑皮 梣皮 蜡树皮 北秦皮 樊槻皮
青黛,靛花 靛沫花 蓝青 螺青 淀花 靛青 青蛤粉 青靛 蓝靛 花青 蓝露 兰卿 青缸花
青风藤,青藤 清风藤 大风藤 青风仝 青风
青蒿,黄蒿 青蒿更 香蒿 嫩青蒿 青蒿梗 黄花蒿 野兰蒿 方溃 苦蒿
青礞石,煅礞石 白礞石
青木香, 蛇参根 青藤香 云南根 杜木香
青皮,青橘皮 青柑皮
青箱子,土鸡冠子 青葙 狗尾花子 野鸡冠花子
轻粉,水银霜 腻粉 扫盆粉 水银粉 峭粉 氯化低汞 粉霜 扫粉 白粉霜 银粉 汞粉
蝤蛑,海寻 寻 拨掉子
屈头鸡,树屈头鸡果实 马槟榔
瞿麦,鹅毛石竹 巨麦 南天竺草 地面 红花瞿麦 绣竹 大菊 大兰 巨句麦 石柱花 石竹 山瞿麦 木碟花 剪绒花 剪刀花 竹节草 蘧麦 野麦
全蝎,主簿虫 东全蝎 淡全虫 蝎尾 虿 蝎梢 蛜祁 全虫 虿尾虫 咸全蝎 会全蝎 杜伯 蝎子 盐水蝎 淡全蝎
人参,白参 神草 朝鲜参 园参 白干参 朝鲜人参 高丽参 掐皮参 棒棰 红参 金井玉阑 生晒参 吉林参 直别参 糖参 山参 黄参 大力参 土精 人葠 移山参 地精 边条参
人中黄,甘中黄 甘草黄 金汁
忍冬藤,通灵草 忍冬草 左缠藤 老翁须 金钗股 金银藤 双花藤 二花藤 银花藤 忍冬仝 金银花藤
肉苁蓉,金笋 寸云 大云 大芸 淡大云 酒苁蓉 纵容 黑司命 淡苁蓉 肉松蓉 金筍 肉松容 寸芸 碧水龙
肉豆蔻,迦枸勒 顶头肉 肉果 煨玉果 肉豆叩 煨肉蔻 肉叩 肉蔻 玉果
肉桂,条桂 丹阳木皮 肉桂末 广肉桂 筒桂 安桂 桂 菌桂 黄瑶桂 紫油桂 油桂 安边桂 蒙自桂 桂皮 桂心 桂尔通 清化桂 板桂 上油桂 桂儿通 企边桂 玉桂 大板桂 绿水桂 桂楠 桂通 薄桂 官桂 刁安 跤趾桂 牡桂
肉桂子,桂子 桂丁
乳香,滴乳 乳塌 摩勒香 乳珠 金银香 滴乳香 多伽罗香 尔香 拙贝罗香 塌香 制乳香 熏陆香 滴香 杜鲁香 天泽香 乳头香 马尾香
蕤仁, 遂仁 蕤核 美仁子 芮仁 马茹 棫仁 蕤李子 棫白 小马茹子 山桃 白挼仁 单花扁核木 蕤子
箬叶, 辽叶 箬竹 眉竹
赛番红花,菖蒲莲 空心韭菜 旱水仙 红玉帘 风雨花
赛金刚,细叶锣锅底 曲莲
赛葵,黄花棉 黄花草
赛莨菪,唐古特山莨菪
三棱,草三棱 醋三棱 三△ 京三棱 光三棱 黑三棱 三棱草
三七,田七 旱三七 盘龙七 山漆 田漆 田三七 文山七 人参三七 汉三七 参三七 滇七
三七花,旱三七花 人参三七花 田七花
桑白皮,双皮 桑皮 桑根皮 白桑皮 炙桑皮
桑黄,桑黄菇 桑臣 桑耳
桑螵蛸,桑蛸 螳螂蛋 夷目 流尿狗 螳螂巢 螵蛸虫 蚀疣 蜱蛸 赖尿郎 螵蛸 双蛸 刀螂子 螳螂子
桑椹子,文武实 桑藨 桑枣 乌椹 黑椹 桑粒 桑葚 桑果 桑椹 黑桑葚
桑叶,霜叶 炙桑叶 冬桑叶 双叶 神仙草
桑枝,桑树枝 双枝
沙苑子,潼沙苑 沙蒺藜 沙苑蒺藜 潼蒺藜 沙七力 沙苑 吉利子
砂仁,缩砂蜜 土蜜砂 缩砂 阳春砂 砂头 赛桂香 砂米 海南砂 绿壳砂 砂王 砂壳 阳春砂仁 缩砂仁
山慈菇,山茨菇 鬼灯擎 光菇 老鸦头 毛慈菇 老鸦瓣 白毛菇 朱姑 无义草 光慈菇 冰球子
山豆根,苦豆根 豆根 越南槐根 金锁匙 硬豆根
山奈,山辣 三赖 三柰 三乃子 三柰子
山药,薯预 怀山药 藷薯 淮山药 炒山药 焦山药 淮山 薯药 山芋 薯蓣 山藷 山薯 玉延 淮药 怀山
山萸肉,枣皮 萸肉 鬾实 酒萸肉 山芋肉 芋肉 肉枣 山茱萸 蜀酸枣 炒枣皮 药枣 实枣儿
山楂,山里果 楂肉 红果 山里红 炒楂 糖球子 羊球 酸楂 焦楂 山查 棠球子
山楂核,山查核 楂核 炒楂核
鱣鱼,阿八儿忽鱼 颊鱼 玉版鱼 鱣 蜡鱼 黄鱼 含光
鳝鱼,海蛇
鳝鱼骨,鳝骨
商陆,水萝卜 张果老 商六 当陆 章柳 山萝卜
韶子,毛召 海南韶子 山韶子 毛荔枝
蛇床子,蛇常 蛇床 虺床 蛇米 蛇珠 气果 蛇粟
蛇含石,煅蛇含石 蛇黄
蛇莓,三爪龙 三匹风 蛇泡草 龙吐珠
蛇蜕,龙皮 白龙衣 长虫皮 龙衣 蜜蛇蜕 蛇壳 弓皮 蛇皮 蛇退 龙子衣 龙子皮 龙单衣 青龙衣 龙退
射干,扁竹兰 鬼扇 黄远 老君扇 扁竹 开口箭 乌蒲 寸干
