轻粉钱,1.5625,1.5625,1.5625
黑狗脊骨并髓,46.875,46.875,46.875
茶香根,62.5,62.5,62.5
加珍珠,0.625,0.625,0.625
马钱子,5257.621875,0.25,20702.384475886327
泥片,0.9375,0.9375,0.9375
猢狲骨,62.5,62.5,62.5
原麝,1.1458333333333333,0.6355229702535046,1.656143696413162
速去炭火令净,1000.0,1000.0,1000.0
锡磷脂,31.25,31.25,31.25
芎劳末,30.0,30.0,30.0
半赤芍药,93.75,93.75,93.75
紫金片,1.03125,0.5242193518878765,1.5382806481121234
一十,162.109375,19.5596801675446,304.65906983245543
净硼砂,7.825,4.483920458893563,11.166079541106438
川断肉,34.6875,10.0,86.11131918612716
酒浸,57.69679752066116,39.46156402720786,75.93203101411446
椴瓦楞子,30.0,30.0,30.0
小胡麻,70.09004739336493,9.055965899315552,131.12412888741432
鸡蛋壳,95.0,84.39339828220179,105.60660171779821
味同捣匀,125.0,125.0,125.0
糯米炒,15.0,15.0,15.0
珏竹,12.0,12.0,12.0
％酒精,100.0,100.0,100.0
同浸横纹甘草末,31.25,31.25,31.25
油肉桂,3.0,3.0,3.0
杜独活,125.0,125.0,125.0
莪术,794.3526432107496,0.3125,2989.553104349983
煅石膏末,340.0,30.0,758.8078318274385
用柳木槌搅,30.0,30.0,30.0
酒当归梢,1.2,1.2,1.2
煅甘石,29.553571428571427,8.395521350873363,50.711621506269495
丝饼,15.625,9.778660333165716,21.471339666834282
茵陈浸膏,12.5,12.5,12.5
当买,125.0,125.0,125.0
陈米醋,1125.0,329.5048711651341,1920.495128834866
羊角椒,60.0,60.0,60.0
柳桃枝,125.0,125.0,125.0
鸡溏屎,6.25,6.25,6.25
大香附,54.0625,3.0182292330961076,105.10677076690389
川厚朴,47.34791666666667,0.3125,100.06880880719837
净乌鸡肉,93.75,93.75,93.75
柑树叶,125.0,125.0,125.0
生木瓜,91.25,30.26204012266028,152.23795987733973
犀角镑,3.28125,0.3125,9.57891976994269
鸡头肉末,30.0,30.0,30.0
马鬐膏,402.25,31.25,836.4376898301009
O花粉,15.0,15.0,15.0
单叶红蜀葵根,31.25,31.25,31.25
杏仁香精,17.5,17.5,17.5
荆芥尾,4.6875,1.3729369631880592,8.00206303681194
老松脂,3.125,3.125,3.125
减,1.4583333333333333,0.625,3.4995747856526487
同艾滓,93.75,93.75,93.75
玉丹,1.25,0.5870873926376118,1.9129126073623883
大葱白,500.0,500.0,500.0
鲜凤尾草叶茎,15.0,15.0,15.0
熟虎,93.75,93.75,93.75
柏蜡,46.875,46.875,46.875
篷莪术,15.625,15.625,15.625
芸苔子末,9.375,9.375,9.375
生鸡内金,50442.6266025641,4.5,154777.18759136758
真薄荷叶,187.5,187.5,187.5
黑豆皮,45.09375,15.625,96.50660814289918
槟榔春用,2.5,2.5,2.5
鲜葱白,50.0,50.0,50.0
乏铧子铁,500.0,500.0,500.0
黄蜜,9.375,9.375,9.375
雷圆,125.0,125.0,125.0
盐砂,6.25,6.25,6.25
桕油,187.5,187.5,187.5
桔梗五,312.5,312.5,312.5
七牛膝,60.0,60.0,60.0
虎粪,46.875,13.729369631880587,80.02063036811941
米炒黄芪,15.0,15.0,15.0
慢火炙五次,7.5,7.5,7.5
炒绿矾,3.0,3.0,3.0
密驼僧,6.0,6.0,6.0
干鳗鲡鱼,31.25,31.25,31.25
以糯米喂,62.5,62.5,62.5
竹节白附子,5.78125,2.1875,13.404744984667465
白糯米,13402.625,9.375,49527.359976705455
母猪肉,62.5,62.5,62.5
白茔,10.0,10.0,10.0
草,50.0,50.0,50.0
淡生姜,4.6875,4.6875,4.6875
童便浸,125.95982142857143,28.80775211413163,223.11189074301123
克颇草,62.5,62.5,62.5
大黄先煎,1.5,1.5,1.5
天南星曲,30.0,30.0,30.0
台参,12.0,5.636038969321072,18.36396103067893
桑白皮根,296.875,93.75,727.7681947855524
银,239.58333333333334,44.70534443885728,434.46132222780943
微炮,15.625,15.625,15.625
瓦器上蒸五次,24.0,24.0,24.0
石决明,38.58786183574879,19.193062794053084,57.982660877444495
晋矾,27.34375,12.150897933773265,42.536602066226735
红大枣,12.0,12.0,12.0
野苎根,125.0,125.0,125.0
桔矾,16.458333333333332,7.783057160976242,25.133609505690423
冬七日,9.0,3.0,21.727922061357855
三七面,3.0,3.0,3.0
净金银花,15.625,15.625,15.625
白姜,53.255208333333336,0.3125,116.01407673088087
生三七粉,3.5,2.439339828220179,4.560660171779821
矾宁,30.0,30.0,30.0
蟾蜍炭,12.0,12.0,12.0
用大麦,60.0,60.0,60.0
白马靥,0.3125,0.3125,0.3125
生然铜,1.0,1.0,1.0
黑姜L,2.0,2.0,2.0
生鹿角屑,500.0,500.0,500.0
鹿茸粉,2.0,2.0,2.0
白薇,2474.6993009302328,0.3125,9678.149982758221
刺蓟叶,0.9375,0.9375,0.9375
栀仁,10.678703703703704,2.5676387745127798,18.789768632894628
五味根,20.0,20.0,20.0
肥嫩柳枝,107.1875,102.54711174846328,111.82788825153672
六一散,14.164663461538462,9.404578178663941,18.92474874441298
细锉,63.28125,17.548086794325336,109.01441320567466
微炒鸡内金,6.0,6.0,6.0
苦竹叶,153.671875,0.9375,401.5017659457683
胡椒,40.41584821443085,14.713115338423354,66.11858109043835
生川鸟,15.625,15.625,15.625
青桐白皮,125.0,125.0,125.0
云茯神,62.5,62.5,62.5
苦楝根白皮,28.125,6.25,70.7443178030808
紫宛,12.0,12.0,12.0
陈粳米,71.595,25.46062583062387,117.72937416937613
小罗伞,1500.0,1500.0,1500.0
煨柴胡,62.5,62.5,62.5
同炒黄色,15.0,15.0,15.0
去角,500.0,500.0,500.0
洋庄,9.0,9.0,9.0
炒使君子仁,10.0,10.0,10.0
官桂面,15.625,15.625,15.625
白木槿花,10.0,10.0,10.0
生诃子,30.0,30.0,30.0
西珀,3.125,3.125,3.125
竹柴胡,8.0,8.0,8.0
大珍珠,4.025,1.8,8.744937764420206
佛头石青,1.5625,1.5625,1.5625
好芽茶,62.5,62.5,62.5
圆眼肉,42.1875,17.285347733579336,67.08965226642067
洗净,150.4211956521739,0.9375,464.0598516260462
后切,31.25,31.25,31.25
醋炒柴胡,8.666666666666666,0.8777857029680494,16.45554763036528
用山药,10.9375,7.622936963188059,14.25206303681194
酸乌梅,3.0,3.0,3.0
醋衣,15.625,15.625,15.625
寒水石,77.53440821428572,47.44286714339539,107.62594928517605
白木,41.25,15.0,105.54910574805842
密佗论僧,5.0,5.0,5.0
麦子,15.78125,0.3125,48.59542406443822
金钱风,15.0,4.3933982822017885,25.606601717798213
又用海金沙,21.875,21.875,21.875
藏菖蒲,55.0,44.39339828220179,65.60660171779821
黄泥固,1.5625,1.5625,1.5625
刺三甲,5.0,5.0,5.0
蛇沐子,15.0,15.0,15.0
煨粉葛,6.0,6.0,6.0
半一宿,30.0,30.0,30.0
土蒺藜,46.875,13.729369631880587,80.02063036811941
取黑者炒,103.5,103.5,103.5
惜苓脂,15.625,15.625,15.625
莲仁,5.645833333333333,4.45888170556299,6.832784961103676
血余灰末,15.625,15.625,15.625
瓜壳,13.427966101694915,12.295500150750971,14.560432052638859
糠油,50.0,50.0,50.0
榕叶,10.0,10.0,10.0
制甘遂,28.0,9.0,67.42080668885404
左蟠龙,15.3125,14.649587392637612,15.975412607362388
蘘荷叶,0.3125,0.3125,0.3125
火硝,54.10504807692308,2.3308417227970324,105.87925443104913
黑衣,15.625,15.625,15.625
陈京墨,62.916666666666664,6.25,143.35168184455213
乌龙尾,19.53125,9.382514799401111,29.67998520059889
析冥子,1.25,1.25,1.25
新鲜马齿苋,60.0,60.0,60.0
蔷蔽根,31.25,31.25,31.25
去骨,61.5625,13.126764145029242,109.99823585497076
川附片,134.375,6.25,329.8431879488322
打穿,13.333333333333334,5.168367524056075,21.49829914261059
羚羊角粉,14790.92023809524,0.6,58078.29767368807
入麻油,1000.0,1000.0,1000.0
降香片,5.0,5.0,5.0
丝瓜叶,13.0,6.0,27.849242404917497
苦荬菜,40.0,40.0,40.0
赤色鲜首乌,27.625,19.935213754596298,35.3147862454037
O香附,9.0,9.0,9.0
生耆,24.723214285714285,9.094810365307097,40.35161820612147
在草木屋上者雄者,31.25,31.25,31.25
乌犀角,16.0125,7.619123705266157,24.405876294733844
角石,6.25,6.25,6.25
风化窑脑,31.25,31.25,31.25
周加,10.0,10.0,10.0
下红,15.0,15.0,15.0
再用芝麻,62.5,62.5,62.5
食油,120.0,120.0,120.0
姜半复,9.0,9.0,9.0
炒牛子,6.75,1.9770292269908047,11.522970773009195
洋地黄,24.0,24.0,24.0
五色龙骨,41.00694444444444,1.5625,84.29161708733812
木鳖肉,41.71875,15.625,84.53374479501166
青蒿,36.88116028708134,17.45934854335885,56.302972030803836
漏篮子,33.79807692307692,6.531814349475269,61.06433949667857
鸡心大槟榔,0.625,0.625,0.625
洗净晒干,45.0,45.0,45.0
白干姜,33.078125,1.5625,69.63041849729109
蚕茧炭,15.625,15.625,15.625
雄鼠粪,28.71875,8.5843359557262,48.8531640442738
更煎至,1500.0,1500.0,1500.0
鲜石斛,86262.77083333333,9.0,337720.38114897313
生砒,7.8125,7.8125,7.8125
蒜瓣,30.0,30.0,30.0
氧化镁,0.6,0.6,0.6
小原枳壳,31.25,31.25,31.25
广藿香梗,31.25,31.25,31.25
鲜艾叶,30.0,30.0,30.0
玳瑁花,3.0,3.0,3.0
五味子浸膏,1.5,1.5,1.5
甘草汤泡,50.0,6.25,142.80776503073434
加青皮,3.125,3.125,3.125
藕节灰,12.5,5.8708739263761185,19.12912607362388
摊熟令,0.9375,0.9375,0.9375
地麦草,62.5,62.5,62.5
入粟米,30.0,30.0,30.0
锡灰,18.229166666666668,3.125,37.79684103559292
浸膏,400.0,100.0,1134.8469228349536
子,117.27467105263158,2.857216508384397,231.69212559687875
二十,712.890625,62.5,1605.9492891955288
青蒿露,10.0,10.0,10.0
秋麻子,3750.0,1500.0,8522.970773009196
绵白糖,75.0,75.0,75.0
某松,80.0,80.0,80.0
芸白术,125.0,125.0,125.0
黄麻,62.5,62.5,62.5
炒砂仁,34.25,8.0,84.29669694395426
红泽兰,31.1875,10.0,82.61081593620739
栝楼根知母,31.25,31.25,31.25
金莲花,12.0,12.0,12.0
榉树叶,93.75,93.75,93.75
槐白皮,2834.001644736842,0.9375,10888.454368407438
大椒,28.04861111111111,1.5,66.45596466611103
梓厚朴,30.0,30.0,30.0
大槟榔,15.625,15.625,15.625
糯米粉,452.625,329.54113948713666,575.7088605128633
生菜油,7500.0,7500.0,7500.0
石碌,15.625,15.625,15.625
南天烛子,21.25,2.6884469938531304,39.811553006146866
赤伯淡,93.75,93.75,93.75
刺力,7.085470085470085,5.312500179519478,8.858439991420692
角回,62.5,62.5,62.5
入砂仁,18.75,18.75,18.75
泽泻二十,156.25,156.25,156.25
吴术,10.3125,0.3125,29.27516119328324
柳蠹末,0.15625,0.15625,0.15625
赤石子,30.0,30.0,30.0
蚕豆花,500.0,500.0,500.0
一半以火烧存性,0.3125,0.3125,0.3125
酥炒,62.5,62.5,62.5
芹菜种,45.0,45.0,45.0
制全竭,10.0,10.0,10.0
鹿尾,81.875,7.5,239.6482005522484
水飞赤石脂,10.0,10.0,10.0
捣碎,51.041666666666664,12.5,108.7202841662797
煨豆蔻,9.5,8.439339828220179,10.560660171779821
广皮白,4.6875,4.6875,4.6875
黄白占,62.5,62.5,62.5
铁黄,6.0,6.0,6.0
木兰皮,86.66666666666667,0.9375,194.39041234023875
不见火,21.05,6.756408778756825,35.34359122124317
抱出鸡蛋壳,3.125,3.125,3.125
仙灵牌,40.833333333333336,12.0,101.0181182322871
用牙皂,15.625,15.625,15.625
肿足蕨,30.0,30.0,30.0
苦查,31.25,31.25,31.25
火煅过,15.625,15.625,15.625
白醋,93.33333333333333,50.0,199.4778888539377
青蒿穗,60.0,60.0,60.0
鸡子白,31.041666666666668,0.9375,103.25599249033318
红碱,3.125,3.125,3.125
猪苦胆,10.0,10.0,10.0
老姜汁,0.9375,0.9375,0.9375
生滑石,60.0,60.0,60.0
毕澄茄,36.74614898989899,16.68733023879913,56.80496774099885
真天麻,62.5,62.5,62.5
醋柴,6.25,3.125,12.879126073623882
老冬瓜仁,1000.0,1000.0,1000.0
炒黄,81.92307692307692,3.125,186.2160781843536
炙干草,6.0,1.7573593128807152,10.242640687119284
嫩黄蜡,125.0,125.0,125.0
腊肉骨头,15.625,15.625,15.625
铁华粉,8.9875,1.5625,24.046110493667737
楮枝,250.0,250.0,250.0
千年健,23.604166666666668,11.06244592688844,36.1458874064449
白胡根,93.75,93.75,93.75
蛤蟆草,37.94642857142857,6.265112110741274,69.62774503211587
黄芩素,8.75,0.7950487116513418,16.70495128834866
O郁金,15.0,15.0,15.0
姜川连,17.125,3.0,47.08864985277995
匾蓄,14.85,9.704868806337394,19.995131193662605
桃,1742.8333333333333,103.5,5732.0604723499455
南艾叶,1.875,1.875,1.875
.大黄,24.0,24.0,24.0
榆枝,67.375,15.0,190.15345902274552
莨菪实,500.0,500.0,500.0
厚朴,845.3039136349054,0.3,2535.2549999380567
膏,53.984848484848484,1.0,126.22468743640779
茯苓赤白,15.0,15.0,15.0
新鲜薄荷,30.0,30.0,30.0
醋制甘遂末,1.4,1.4,1.4
王不留行,41936.0686268595,1.5625,101294.25248478733
真降香,18.041666666666668,1.7588472445477379,34.3244860887856
小柏,156.25,156.25,156.25
鲮鲤甲,31.890625,15.17504009223821,48.606209907761794
羊子肝,93.33333333333333,15.766158145199356,170.90050852146732
浸去黄脚,156.25,156.25,156.25
京芍药,11.85,3.0,25.758567503520986
松墨,57.291666666666664,1.6818841040035792,112.90144922932976
金磁石,4.0,4.0,4.0
意以仁,30.0,30.0,30.0
肥皂荚,765.625,31.25,2323.4696273016125
合欢木皮,31.25,31.25,31.25
枣柴灰,2500.0,2500.0,2500.0
鸡腿白术,125.0,125.0,125.0
桂枝汤去芍药加茯苓,93.75,93.75,93.75
黄荆灰,1000.0,1000.0,1000.0
新柿霜,125.0,125.0,125.0
酒浸令软,46.875,46.875,46.875
雀李根皮,62.5,62.5,62.5
肉精,3.0,3.0,3.0
酒浸乌梢蛇,30.0,30.0,30.0
船板青,156.25,156.25,156.25
明天麻香,9.0,9.0,9.0
亦用酒煎,46.875,46.875,46.875
贯从炭,15.0,15.0,15.0
牛旁子根,15.625,15.625,15.625
制苍术,86.13157894736842,2.5,237.73942074953402
炒贝母,9.0,9.0,9.0
马骨,0.3125,0.3125,0.3125
用干地黄,78.125,44.97936963188059,111.27063036811941
黑沙糖,500.0,500.0,500.0
斑蝥虫,15.625,15.625,15.625
旋更入酒,1500.0,1500.0,1500.0
以姜汁半合涂炙,15.625,15.625,15.625
蔓荆草,3.125,3.125,3.125
好曲,1031.25,62.5,3086.2790828234038
川芒消,38.40013586956522,30.573639691096307,46.22663204803413
净朴消,42.604166666666664,1.5625,137.4522496950899
酒条芩,27.9375,9.0,68.11000400616072
无参,12.0,12.0,12.0
片子白姜黄,15.625,15.625,15.625
更入绿豆末,6.25,6.25,6.25
倭硫,46.875,46.875,46.875
生通筋草根,60.0,60.0,60.0
草乌,119.27238909426988,0.15625,244.99128556454644
清黛,8.0,3.7573593128807152,12.242640687119284
菵草,39.21875,2.34395689941519,76.09354310058481
三消,28.125,28.125,28.125
二郎箭,0.5,0.5,0.5
白土,4.875,1.535604470866022,8.214395529133977
蒲灰,52.5,52.5,52.5
俟吐出壳内之泥,15.3125,14.649587392637612,15.975412607362388
遍,44.635836693548384,25.640117039469743,63.631556347627026
炒甜葶苈,2.5,2.5,2.5
黄松木节,30.625,29.299174785275223,31.950825214724777
苏薄荷,11.84717741935484,0.41280929297819213,23.281545545731486
去衣,9.375,3.125,22.633252147247763
肥皂荚灰,62.5,62.5,62.5
台白术,33.5,4.5,95.01828996322963
灶中心土,3.125,3.125,3.125
香豆豉,4.5625,1.513102006133014,7.611897993866986
苦竹叶白茅根,30.0,30.0,30.0
延有索,10.0,10.0,10.0
以好醋,1300.0,600.0,2784.9242404917495
篮子,103.5,103.5,103.5
蒲黄,1319.8605325537294,0.15625,4867.791691458932
黄蒸,500.0,500.0,500.0
