0.713,0.287
0.002,0.057,0.02,0.0,0.005,0.057,0.057,0.0,0.006,0.001,0.006,0.05,0.0,0.0,0.011,0.007,0.0,0.057,0.006,0.0,0.015,0.011,0.0,0.016,0.014,0.055,0.015,0.0,0.003,0.057,0.015,0.0,0.0,0.057,0.057,0.057,0.057,0.0,0.001,0.003,0.0,0.057,0.057,0.057,0.0,0.015,0.013,0.026,0.0
0.045,0.313,0.338,0.108,0.043,0.043,0.055,0.055
0.007,0.012,0.025,0.011,0.043,0.028,0.111,0.074,0.073,0.024,0.024,0.024,0.149,0.148,0.024,0.024,0.024,0.083,0.024,0.024,0.022,0.024,0.001
0.006,0.006,0.006,0.006,0.023,0.006,0.006,0.007,0.026,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006,0.099,0.009,0.508,0.167,0.006,0.006,0.006,0.006,0.006,0.006
0.002,0.002,0.002,0.002,0.192,0.002,0.191,0.002,0.002,0.002,0.028,0.091,0.002,0.063,0.107,0.002,0.003,0.002,0.143,0.096,0.012,0.055,0.002
0.016,0.002,0.001,0.053,0.001,0.049,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.115,0.05,0.026,0.002,0.167,0.001,0.047,0.152,0.009,0.021,0.04,0.075,0.161,0.001,0.001
0.226,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.333,0.001,0.001,0.002,0.294,0.002,0.001,0.002,0.001,0.109,0.001,0.001
0.079,0.079,0.276,0.063,0.079,0.079,0.075,0.269
0.03,0.344,0.595,0.031
0.144,0.01,0.007,0.258,0.007,0.007,0.076,0.008,0.009,0.46,0.008,0.007
0.345,0.022,0.331,0.212,0.022,0.022,0.024,0.022
1.0
1.0
1.0
0.172,0.008,0.174,0.007,0.008,0.004,0.016,0.008,0.171,0.005,0.174,0.011,0.174,0.018,0.041,0.002,0.007
0.2,0.2,0.2,0.2,0.2
0.095,0.095,0.095,0.003,0.0,0.019,0.095,0.095,0.095,0.026,0.0,0.095,0.0,0.095,0.093,0.0,0.095,0.0
0.13,0.13,0.13,0.338,0.135,0.136
0.333,0.333,0.333
0.003,0.0,0.001,0.001,0.003,0.0,0.028,0.014,0.028,0.001,0.133,0.115,0.001,0.12,0.001,0.0,0.133,0.001,0.001,0.0,0.001,0.0,0.131,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.002,0.0,0.131
0.0,0.007,0.165,0.002,0.003,0.165,0.165,0.165,0.165,0.0,0.0,0.165
0.173,0.173,0.134,0.172,0.173,0.173
0.003,0.003,0.015,0.089,0.009,0.009,0.334,0.082,0.107,0.35
0.003,0.004,0.003,0.354,0.353,0.003,0.006,0.004,0.005,0.264
0.006,0.388,0.005,0.011,0.005,0.005,0.005,0.006,0.005,0.171,0.006,0.387
0.138,0.138,0.138,0.016,0.016,0.138,0.138,0.138,0.138
0.001,0.0,0.001,0.019,0.036,0.105,0.0,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.019,0.002,0.019,0.019,0.019,0.442,0.001,0.001,0.002,0.019,0.005,0.001,0.002,0.002,0.002,0.012,0.0,0.0,0.017,0.019,0.106,0.066,0.019,0.0,0.0,0.029
0.361,0.022,0.018,0.017,0.192,0.39
0.204,0.013,0.328,0.02,0.256,0.109,0.07
0.027,0.448,0.057,0.451,0.017
0.069,0.088,0.015,0.015,0.022,0.088,0.05,0.016,0.088,0.02,0.015,0.089,0.037,0.104,0.088,0.093,0.027,0.027,0.029,0.021
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.088,0.086,0.088,0.088,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.001,0.0,0.088,0.001,0.022,0.088,0.0,0.0,0.087,0.04,0.002,0.042,0.039,0.06,0.088,0.0
0.173,0.159,0.171,0.161,0.159,0.177
0.732,0.034,0.048,0.034,0.039,0.034,0.034,0.048
0.361,0.333,0.1,0.107,0.099
0.134,0.141,0.138,0.127,0.077,0.075,0.004,0.006,0.009,0.023,0.014,0.016,0.097,0.14
0.002,0.001,0.079,0.018,0.056,0.069,0.188,0.0,0.192,0.056,0.0,0.0,0.013,0.051,0.007,0.014,0.0,0.056,0.015,0.032,0.149
0.013,0.004,0.004,0.003,0.004,0.072,0.016,0.118,0.02,0.032,0.004,0.004,0.098,0.004,0.237,0.098,0.005,0.004,0.099,0.107,0.004,0.006,0.007,0.011,0.014,0.005,0.006
0.056,0.028,0.021,0.251,0.246,0.021,0.027,0.002,0.207,0.022,0.021,0.003,0.021,0.022,0.052
0.083,0.079,0.712,0.057,0.069
0.241,0.241,0.241,0.001,0.241,0.027,0.004,0.003
0.001,0.244,0.244,0.007,0.001,0.244,0.017,0.243
0.007,0.015,0.35,0.007,0.013,0.537,0.029,0.023,0.021
0.107,0.057,0.141,0.372,0.107,0.11,0.107
0.081,0.754,0.021,0.039,0.038,0.007,0.04,0.02
0.173,0.174,0.156,0.001,0.173,0.156,0.011,0.156
0.005,0.005,0.036,0.002,0.009,0.009,0.046,0.272,0.272,0.037,0.272,0.037
