0.021,0.021,0.958
0.004,0.004,0.991
0.011,0.011,0.977
0.001,0.008,0.382,0.007,0.364,0.23,0.008
0.695,0.001,0.001,0.267,0.01,0.001,0.026
0.007,0.002,0.257,0.384,0.001,0.34,0.009
0.164,0.151,0.151,0.151,0.192,0.191
0.089,0.089,0.277,0.234,0.178,0.132,0.001
0.168,0.168,0.167,0.162,0.168,0.168
0.062,0.062,0.549,0.014,0.062,0.062,0.062,0.062,0.062
1.0
0.345,0.017,0.017,0.62
0.059,0.041,0.038,0.022,0.021,0.219,0.033,0.021,0.015,0.531
0.5,0.5
0.098,0.098,0.001,0.707,0.094,0.001
1.0
0.335,0.007,0.658
1.0
0.493,0.011,0.496
0.058,0.058,0.823,0.061
0.368,0.187,0.147,0.212,0.03,0.056
0.244,0.166,0.177,0.17,0.243
0.09,0.108,0.109,0.107,0.121,0.116,0.009,0.108,0.116,0.107,0.009
0.003,0.324,0.039,0.038,0.039,0.021,0.039,0.039,0.324,0.027,0.025,0.039,0.039
0.127,0.704,0.054,0.114
1.0
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.01,0.257,0.257,0.009,0.257,0.001,0.009,0.009,0.19
0.01,0.005,0.004,0.982
0.013,0.012,0.576,0.016,0.012,0.371
1.0
0.275,0.032,0.07,0.064,0.031,0.032,0.056,0.44
0.045,0.371,0.016,0.454,0.017,0.079,0.019
0.938,0.062
0.069,0.013,0.015,0.034,0.013,0.307,0.019,0.39,0.013,0.001,0.013,0.013,0.048,0.013,0.031,0.006
0.06,0.031,0.374,0.13,0.026,0.025,0.049,0.008,0.014,0.014,0.014,0.035,0.036,0.036,0.014,0.001,0.016,0.118
0.02,0.032,0.032,0.0,0.001,0.915,0.0
0.448,0.133,0.008,0.107,0.105,0.027,0.139,0.033
0.47,0.039,0.415,0.076
0.38,0.002,0.002,0.002,0.007,0.039,0.002,0.526,0.023,0.007,0.002,0.002,0.002,0.002
0.196,0.2,0.014,0.065,0.001,0.018,0.052,0.059,0.046,0.014,0.145,0.014,0.098,0.001,0.001,0.001,0.001,0.046,0.027
0.241,0.024,0.024,0.024,0.687
1.0
1.0
0.018,0.491,0.491
