0.013,0.478,0.508
0.008,0.008,0.984
0.499,0.002,0.499
0.159,0.112,0.156,0.156,0.156,0.156,0.106
0.282,0.034,0.034,0.345,0.21,0.034,0.062
0.198,0.073,0.214,0.206,0.085,0.211,0.012
0.224,0.234,0.145,0.017,0.153,0.226
0.143,0.143,0.142,0.143,0.143,0.143,0.143
0.004,0.004,0.008,0.974,0.004,0.004
0.135,0.139,0.168,0.03,0.085,0.135,0.135,0.085,0.086
1.0
0.08,0.04,0.04,0.839
0.168,0.169,0.031,0.031,0.031,0.169,0.169,0.031,0.033,0.168
0.035,0.965
0.138,0.181,0.181,0.138,0.181,0.181
1.0
0.768,0.116,0.116
1.0
0.713,0.076,0.211
0.003,0.003,0.992,0.003
0.194,0.192,0.193,0.192,0.037,0.192
0.366,0.089,0.089,0.11,0.347
0.162,0.153,0.153,0.151,0.012,0.035,0.013,0.146,0.013,0.151,0.009
0.157,0.144,0.016,0.128,0.016,0.147,0.016,0.015,0.123,0.037,0.171,0.015,0.015
0.045,0.469,0.098,0.389
1.0
0.198,0.193,0.2,0.196,0.009,0.188,0.008,0.009
0.061,0.061,0.061,0.061,0.178,0.393,0.061,0.061,0.061
0.018,0.472,0.012,0.498
0.332,0.332,0.06,0.021,0.004,0.251
1.0
0.015,0.002,0.015,0.003,0.002,0.002,0.027,0.933
0.077,0.387,0.044,0.292,0.094,0.046,0.059
0.525,0.475
0.215,0.017,0.039,0.027,0.007,0.025,0.216,0.216,0.008,0.028,0.03,0.007,0.111,0.011,0.038,0.006
0.184,0.022,0.492,0.084,0.016,0.02,0.025,0.004,0.003,0.002,0.003,0.046,0.085,0.003,0.001,0.006,0.002,0.004
0.016,0.003,0.053,0.071,0.007,0.62,0.23
0.357,0.157,0.003,0.153,0.156,0.008,0.157,0.009
0.074,0.032,0.097,0.797
0.083,0.148,0.148,0.006,0.01,0.152,0.006,0.142,0.147,0.002,0.006,0.148,0.002,0.002
0.123,0.119,0.004,0.005,0.004,0.004,0.089,0.008,0.134,0.005,0.01,0.007,0.12,0.005,0.117,0.004,0.004,0.134,0.101
0.319,0.172,0.165,0.172,0.172
1.0
1.0
0.007,0.023,0.971
0.002,0.002,0.503,0.002,0.492
0.046,0.046,0.046,0.862
0.145,0.004,0.004,0.125,0.07,0.132,0.004,0.07,0.148,0.004,0.13,0.034,0.131
0.005,0.005,0.991
0.017,0.974,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.221,0.015,0.216,0.025,0.013,0.221,0.221,0.067
1.0
0.25,0.25,0.25,0.25
0.169,0.164,0.166,0.168,0.165,0.168
0.585,0.415
0.326,0.351,0.324
0.464,0.536
0.33,0.011,0.33,0.33
0.004,0.004,0.005,0.004,0.268,0.066,0.004,0.028,0.004,0.004,0.024,0.268,0.004,0.266,0.037,0.009
0.106,0.103,0.099,0.06,0.051,0.106,0.071,0.069,0.1,0.09,0.043,0.102
1.0
0.137,0.144,0.146,0.136,0.004,0.146,0.142,0.145
0.029,0.058,0.058,0.058,0.109,0.454,0.134,0.1
0.703,0.121,0.129,0.048
0.004,0.978,0.003,0.008,0.001,0.007
0.197,0.136,0.169,0.162,0.151,0.184
0.01,0.018,0.018,0.019,0.829,0.028,0.007,0.018,0.007,0.045
0.028,0.05,0.055,0.588,0.079,0.02,0.051,0.02,0.11
0.029,0.027,0.025,0.032,0.096,0.028,0.763
