鸡子,枚
白菊花,"两,g"
桑白皮,"两,g,None"
白芷梢,钱
铅霜,分
黄荆子,钱
去水,None
乌梅,"克,g,石,None"
茅柏根,g
阿胶,"None,两,钱,g"
雚芦,分
川楝炭,g
丹参,"g,克"
芫花,克
蜜蒙,两
椿根白皮,None
六一散,"g,None"
铜绿,None
焦山楂,g
同半夏慢火炒黄,None
锁阳,None
使君子,"两,g"
夜明砂,两
木鳖子,克
何首乌,g
代赭石,g
葱白半握,克
火麻仁,"None,g"
莲须,"两半,钱"
苍术陈土炒,g
川贝,"分,两,None,g,克"
淡豆豉,克
虎骨,两
牛黄,"分,None,克,两"
藜芦,两
铁落花,"g,钱"
闪耀,g
醋淬,None
大茴香,"钱5分,两,None"
栀子仁,"克,两"
大青叶,"g,None,克"
儿茶,"g,None,克"
同于银石器内上文武火炒令干黄色为度,克
赤者杀人,两
山楂,"两,g,升,None"
铁苋菜,g
葛根粉,克
查肉,None
淫羊藿,"None,g,钱"
土茯苓,"g,钱"
白豆蔻仁,克
白芜荑,两
天麻,"钱,分,两,g"
炒山楂,g
生龟版,两
焦木,g
火云母,g
使君子仁,克
钩屯,g
青皮,"两,钱,克,None,g,分,两2钱"
芜芨,g
炒防风,g
更用酒煎,None
荜茇,"None,钱半"
黍米,升
藿梗,g
水银,"钱,两"
带壳高粱,g
鲜灵脾,g
大附子,"两,钱"
青头雄鸭,只
生黄精,斗
王不留行,g
大黄先煎,g
芎?,分
焰消,两
苦楝皮,g
金箔,片
蜂蜜,g
怀牛膝,g
紫菀,"两,g,None"
樟丹,"None,g,两,钱"
象牙屑,钱
绿豆粉,钱
厚朴,"None,克,钱,g,分,两"
酒浸,"None,克"
凤凰衣,钱
熊胆,None
蜈蚣,"条,g,None"
川麻,分
薤白,g
羚羊角屑,"克,分,两"
滑石用青色者佳,None
芦根,g
白矾,"钱,两,g,None"
硇砂,None
皂矾春夏,钱
蓝叶,两
巴越天,g
吴茱萸,"g,两,克,None,分"
白糖,"None,克,g"
炮干姜,g
石斛,"克,两"
干全蝎,两
珍珠母,g
防风,"两,钱,克,g,None,升,分,两半"
光桃仁,g
拌炒,克
罂粟,"g,克,None"
天香炉,g
煮令水尽,克
防己,"克,None,两,g"
辰锦砂,两
饭锅上蒸,克
