丹参,怀牛膝,夏枯草,丹皮,马兜铃,钩藤,蒺藜,代赭石
葶苈子,龙胆草,山栀仁,山茵陈,黄芩
苍术,香附,黄芩
柴胡,龙胆草,当归,川芎,黄芩,白芍,知母,生地,桔梗,甘草,黄连
柴胡,黄芩,人参,栀子,川芎,连翘,桔梗,甘草
银柴胡,栀子,连翘,生地,胡连,赤芍,龙胆草,青皮,甘草
柴胡,赤苓,羚羊角屑,细辛,麦冬,草决明,栀子仁,黄芩,车前子,石膏,甘草
柴胡,赤苓,羚羊角屑,细辛,麦冬,草决明,栀子仁,黄芩,车前子,石膏,甘草
忍冬藤,蒲公英,柴胡,黄芩,青香藤,川楝子,陈皮,大黄,芒消
火麻仁,人参,草决明,车前子,黄连,诃黎勒皮,秦皮,大黄
当归,黄芪,没药,川芎,苍术,荆芥,薄荷,熟地,川羌,菊花,麻黄
龙胆草,大黄,黄芩,生地,醋柴胡,泽泻,川木通,当归,车前子,黄柏,甘草,生栀子,芦荟,木香
防风,远志,黄芩,人参,桔梗,细辛,白芍
炒青蒿,芜荑,山楂,青皮,甜百部,白芍,漂白术,胡连,广木香,麦芽,槟榔,石斛,甘草,洋榧肉
生地,红花,荆芥,龙胆草,川木通,甘草,赤芍,谷精草,茯苓,牛蒡子
黄芩,白术,当归,白芍,阿胶,陈皮,砂仁
玄参,黄芩,生地,赤芍,菊花,青葙子,蒺藜
红牛膝,地龙,海藻,夏枯草
菊花,白术,细辛,茯苓,牡蛎,桔梗,防风,人参,白矾,黄芩,当归,干姜,川芎,桂枝
蒺藜,车前子,牛蒡子,小胡麻
羚羊粉,牡蛎,石斛,麦冬,南沙参,川贝,夏枯草,丹皮,黑荆芥,薄荷炭,茜草,牛膝,白茅根,藕
黄连,黄柏,龙胆草,草决明,石决明,密蒙花,青皮,柴胡,木贼,胡连,黄芩,夜明砂,小胡麻,鲜羊肝
黄芩,羚羊粉,赤芍,细辛,桔梗,人参,远志,甘草,防风
龙胆草,黄芩,栀子,白芍,红泽兰,丹皮,鳖甲,牛膝,白茅根
龙胆草,黄芩,栀子,泽泻,川木通,车前子,当归
连翘,龙胆草,焦三仙,赤苓,防风,桑白皮,赤小豆,菊花,茵陈蒿,黄芩,僵蚕,甘草
人参,柴胡,黄芩,杏仁,麻黄,甘草,川芎,葛根,升麻,川羌,当归,防风,石膏
酒黄芩,秦皮,赤芍,丹皮,生地,川木通,栀子,青黛
生耆,当归,赤芍,白芍,何首乌藤,茵陈蒿,藿香,佩兰,杏仁,橘红,郁金,远志,石菖蒲,黄连,琥珀,羚羊粉
白术,黄连,橘红,羚羊粉,胆南星,小枳实,苏叶子,瓜蒌,瓜蒌
柴胡,当归,龙胆草,天花粉,白术,白芍,玄参,茯苓,炒山栀,甘草,陈皮,荆芥,防风
银柴胡,当归,生白芍,白术,茯苓,甘草,干姜,薄荷,霜桑叶
柴胡,龙胆草,酒黄芩,金银花,黄连,生地,玄参,赤芍,丹皮
柴胡,酒黄芩,香附,青皮,金银花,青黛,赤芍,丹皮
芥穗,防风,白芍,诃子皮,川羌,甘草,蒺藜,厚朴,木香
柴胡,炒黄芩,人参,炒山栀,半夏,龙胆草,当归,白芍,甘草
草决明,粳米,冰糖
炒决明子,粳米,冰糖或加白菊花
黄芩,桔梗,大黄,芒消,车前子,川羌活,玄参,当归,知母,龙胆草
连翘,黄连,大黄,薄荷,栀子,甘草,黄芩,朴消
草龙胆,防风,青黛,钩藤,黄连,牛黄,麝香,冰片
黄连,黄芩,栀子,黄柏,郁金,大黄,龙胆草,雄黄,朱砂
