白头翁,2两,甘草,2两,阿胶,2两,黄连,3两,黄柏,3两,陈皮,3两
半夏,4.5克,白术,6克,天麻,4.5克
半夏,4.5g,天麻,3g,茯苓,3g,橘红,3g,白术,9g,甘草,1.5g,干姜,1片,大枣,2枚
天南星,45克,川芎,30克,白附子,75克,半夏,75克,天麻,45克,僵蚕,45克,去丝,45克,防风,45克,石膏,60克,蕲蛇,None,全蝎,45克
薏苡仁,30克,大青叶,30克,板蓝根,30克,败酱草,15克,牡蛎粉,30克,夏枯草,15克,赤芍,10克
川芎,15-30克,钩藤,15克,菊花,12克,蒺藜,10克,薏苡仁,30克,白豆蔻,3克,半夏,10克,赤芍,10克,川牛膝,10克
肉苁蓉,15克,羊肾,1具,羚羊角屑,15克,磁石,20克,薏苡仁,20克
胆南星,1两,钩藤,1两,黄连,1两,滑石,1两,铁华粉,1两,青黛,3钱,僵蚕,5钱,天麻,2两,朱砂,5钱,大甘草,2钱
代赭石,9克,麦冬,4.5克,菊花,6克,石斛,9克,沙苑子,9克,蒺藜,9克,北沙参,12克,桑叶,3克,橘红,3克,川贝,6克,杏仁,9克,旋覆花,3克
天麻,9克,半夏,9克,全蝎,9克,僵蚕,9克,白芍,24克,夜交藤,24克,钩藤,24克,茯苓,15克,丹参,30克
磁石,20g,熟地,160g,山萸肉,80g,丹皮,60g,山药,80g,茯苓,60g,泽泻,60g,竹叶柴胡,20g
熟地,4两,山萸肉,2两,茯苓,1两5钱,山药,2两,丹皮,1两5钱,泽泻,1两5钱,磁石,3两,柴胡,1两1钱
紫贝齿,None,龙齿,None,磁石,None,朱砂,None,琥珀末,None,丹参,None,石菖蒲,9节,半夏,None
白芍,1两,熟地,3两,石斛,5钱,石斛,5钱,牛膝,5钱,石膏,3钱
栀子,3钱,白芍,1两,当归,5钱,甘菊花,5钱,女贞子,5钱,地骨皮,3钱,丹皮,3钱,青黛,3钱,石斛,3钱
