#6#,三七,78g,川芎,78g,红花,91g,葛根,261g,山楂,157g
#7#,三七,78g,川芎,78g,红花,91g,葛根,261g,山楂,157g
#107#,孩儿参,9克,丹参,9克,当归,6克,川芎,3克,生地,9克,赤芍,9克,白芍,9克,桃仁,9克,红花,5克,茯苓,9克,木香,5克,陈皮,3克,甘草,3克
#883#,当归,15克,川芎,12克,红花,9克,刘寄奴,15克,姜黄,12克,路通,30克,羌活,9克,白芷,12克,灵仙,12克,桑枝,30克,胆星,9克,白芥子,9克
#3610#,柴胡,10克,蚤休,15克,茯苓,10克,赤芍,10克,白芍,10克,茜草,10克,当归,10克,郁金,10克,香附,10克,黄芩,15克,莪术,15克,全瓜蒌,20克,生鳖甲,20克,虎杖,20克,甘草,10克
#4483#,川芎,30克,荆芥,12克,防风,12克,全蝎,12克,地龙,25克,细辛,6克
#4851#,紫荆皮,None,乳香,None,甘草,None,白芷,None,没药,None
#5088#,鳖甲,12分,乌扇,3分,黄芩,3分,柴胡,6分,鼠妇,3分,干姜,3分,大黄,3分,芍药,5分,桂枝,3分,葶苈,1分,石苇,3分,厚朴,3分,牡丹,5分,瞿麦,2分,紫葳,3分,半夏,1分,人参,1分,虫,5分,阿胶,3分,蜂窠,4分,赤消,12分,蜣螂,6分,桃仁,2分
#5323#,自然铜,30g,乳香,15g,没药,15g,土鳖,9g
#7067#,破故纸,2两半,骨碎补,2两,杜仲,1两,牛膝,1两,川续断,1两,肉苁蓉,1两,黑豆,1两,当归,1两,鸡血藤膏,5钱,三七,5钱,血琥珀,3钱,麒麟竭,5钱,沉香,5钱
#9970#,当归尾,None,川芎,None,桂心,None,桃仁,None,红花,None,牛膝,None,枳壳,None,柴胡,None,桔梗,None,栝楼,None,薤白,None
#11591#,乳香,150克,没药,150克,血竭,90克,香油,10千克,三七,90克,冰片,90克,樟脑,90克,东丹,5千克
#12086#,山甲,12g,全蜈蚣,2.2g,皂刺,12g,乳香,9g,没药,9g,天花粉,18g,知母,18g
#12658#,杜仲,250克,丹参,250克,芎藭,150克
#13477#,当归,None,熟地黄,None,白芍药,None,元胡索,None,川芎,None,桃仁,None,红花,None,香附,None,青皮,None,泽兰,None,丹皮,None
#13919#,当归,3钱,赤芍,3钱,川芎,2钱,生地,3钱,红花,1钱,苏木,2钱,琥珀,1钱,血竭,2钱,乳香,1钱,三七,2钱,枳壳,2钱,大黄,2钱,甘草,1钱,朱砂,2钱,淮牛膝,3钱,砂仁,1钱半
#14698#,大黄,10分,黄芩,2两,甘草,2两,桃仁,1升,杏仁,1升,芍药,4两,干地黄,10两,干漆,1两,虻虫,1升,水蛭,100个,蛴螬,1升,虫,半升
#16803#,乳香,None,没药,None,无名异,None,地龙,None,木鳖子,None,丁香,None,丹皮,None,肉桂,None,自然铜,None
#17029#,丹参,4钱,香附,3钱,玄胡,2钱,焦艾,3钱,泽兰,3钱,赤芍,2钱,楂炭,2钱,黑豆,4钱
#19300#,川芎,None,当归,None,防风,None,荆芥,None,羌活,None,白芷,None,细辛,None,蔓荆子,None,丹参,None,乳香,None,没药,None,桃仁,None,苏木,None,泽兰叶,None
#20831#,胆草,5kg,黄耆,5kg,鸡血藤,5kg,红花,5kg,当归,5kg,炼蜜,8kg
#20891#,赤芍,15克,川芎,3克,桃仁,15克,红花,10克,穿山甲,30克,皂角刺,30克,三棱,10克,莪术,10克,夏枯草,12克
#20897#,红藤,60克,乳香,6克,紫花地丁,30克,连翘,15克,玄胡,10克,没药,6克,大黄,15克,丹皮,10克,金银花,20克,枳壳,15克,赤芍,15克,甘草,5克
#20920#,红藤,60克,牛膝,25克,桃仁,15克,红花,15克,当归,15克,玄胡,10克,赤芍,10克,香附,10克,炮姜,6克,桂枝,6克,川楝,6克,小茴香,6克,柴胡,3克
#20935#,丹参,450g,三七,141g,冰片,8g
#20936#,丹参,750g,三七,225g,冰片,25g
#20937#,丹参,None,三七,None,冰片,None
#20957#,柴胡,15克,瓜蒌根,9克,当归,9克,红花,6克,甘草,6克,穿山甲,6克,大黄,30克,桃仁,50个
#21499#,虫,120克,蜈蚣,50克,川山甲,15克,全虫,30克
#22024#,五灵脂,6克,当归,9克,川芎,6克,桃仁,9克,丹皮,6克,赤芍,6克,乌药,76克,玄胡,3克,甘草,9克,香附,4.5克,红花,9克,枳壳,4.5克
#22025#,灵脂,6克,当归,9克,川芎,6克,桃仁,9克,丹皮,6克,赤芍,6克,乌药,6克,玄胡,3克,甘草,9克,香附,4.5克,红花,9克,枳壳,4.5克
#22033#,柴胡,10g,黄芩,10g,乌药,10g,川楝,10g,郁金,10g,百合,30g,丹参,15g
#22854#,桂枝,None,茯苓,None,牡丹,None,桃仁,None,芍药,None
#22855#,桂枝,15克,茯苓,15克,桃仁,15克,丹皮,15克,芍药,15克
#23653#,归尾,3克,泽兰,3克,牛膝,3克,红花,3克,玄胡,3克,桃仁,3克
#24039#,丹参,15克,赤芍,15克,桃仁,9克,三棱,6克,莪术,6克
#24040#,赤芍,15g,丹参,15g,桃仁,9g,三棱,6g,莪术,6g
#24041#,丹参,15克,赤芍,15克,桃仁,9克
#24042#,赤芍,15g,丹参,15g,桃仁,9g
#24347#,丹参,200g,三七,200g,降香油,1.75ml
#24582#,黑豆,150克,熟干地黄,120克,当归,120克,肉桂,120克,干姜,120克,甘草,120克,芍药,120克,蒲黄,120克
#28133#,红藤,None,银花,None,紫花地丁,None,连翘,None,乳香,None,没药,None,丹皮,None,元胡,None,甘草,None,大黄,None
#28173#,红花,1两,75%酒精,10两
#28407#,琥珀,3克,龙齿,30克,天麻,9克,辰砂,0.3克,豆豉,9克,丁香,9克,藿香,9克,石菖蒲,9克,丹参,9克,荆芥,9克,姜川连,3克,参三七,2克
#29065#,何首乌,1钱,当归,1钱,赤芍,1钱,白芷,1钱,乌药,1钱,枳壳,1钱,防风,1钱,甘草,1钱,川芎,1钱,陈皮,1钱,香附,1钱,紫苏,1钱,羌活,1钱,独活,1钱,肉桂,1钱
#29073#,三棱,None,莪术,None,黄柏,None,黄连,None,青皮,None,赤芍,None,紫苏,None,香附,None,柴胡,None,乳香,None,红花,None,苏木,None,菖蒲,None,千里马,None
#29086#,归尾,None,赤芍,None,片姜黄,None,伸筋草,None,松节,None,海桐皮,None,落得打,None,路路通,None,羌,None,活,None,防风,None,续断,None,甘草,None
#29089#,轻粉,4钱,红粉,1钱,乳香,4钱,没药,4钱,儿茶面,2钱,血竭面,4钱,黄丹,2两,蜂蜡,2两,头发,2钱,蛇蜕,2钱,香油,8两,麝香,2分,冰片,1钱
#29094#,当归尾,9克,赤芍,9克,桃仁,9克,红花,9克,荆芥,9克,蝉衣,6克,白蒺藜,9克,甘草,6克
#29132#,归尾,None,赤芍,None,桃仁,None,防风,None,玄胡,None,黄芩,None,半夏,None,陈皮,None,川芎,None
#29136#,蝙蝠,1枚,当归,15克,骨碎补,15克,桂,15克,补骨脂,15克,大黄,60克
#29190#,金钱草,30克,车前子,30克,茯苓皮,30克,炮甲,10克,泽兰,10克,大腹皮,12克,丹参,15克,山药,15克,泽泻,15克,黄芪,15克
#29211#,当归,15克,丹参,15克,乳香,15克,没药,15克
#29212#,当归,5钱,丹参,5钱,乳香,5钱,没药,5钱
#29233#,桃仁,3枚,三棱,1钱半,莪术,1钱半
#29234#,酒归尾,3钱,赤芍,2钱,丹皮,1钱5分,防风,1钱5分,红花,1钱,木香,6分
#29235#,酒生地,15g,赤芍,9g,当归,9g,川芎,3g,苏木,9g,血竭,6g,刘寄奴,9g,枳壳,1.5g
#29242#,人参,None,牛黄,None,熊胆,None,珍珠,None,灵芝,None,红花,None,附子,None,蟾酥,None,麝香,None,冰片等,None
#29791#,党参,15克,白术,15克,当归,15克,黄芪,25克,乳香,10克,没药,10克,熟地,20克,炮姜,5克,肉桂,5克,附子,5克
#29925#,大黄,1斤,苏木,3两,黑豆,3升,红花,3两,米醋,9斤,红花,None,人参,1两,当归,1两,川芎,1两,香附,1两,玄胡,1两,苍术,1两,蒲黄,1两,茯苓,1两,桃仁,1两,川牛膝,5钱,甘草,5钱,地榆,5钱,川羌活,5钱,广橘红,5钱,白芍,5钱,木瓜,3钱,青皮,3钱,乳香,2钱,没药,2钱,益母草,3两,木香,4钱,白术,3钱,乌药,2两5钱,良姜,4钱,马鞭草,5钱,秋葵子,3钱,熟地,1两,三棱,5钱,五灵脂,5钱,山萸肉,5钱
