雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
川芎,"g,两,None,克,钱半,两半,钱,钱5分,分,两2钱,钱7分,升,千克,两5钱,钱2分,石"
勾,g
火硝,"克,两,钱"
牛蒡根,"斤,克"
苍耳子,"g,两,握,None,分"
鹿角片,g
头尖,g
包,None
冬瓜碧,片
净芜荑,钱半
红凤仙,斤
桃枝头心,枚
藕汁,"None,毫升"
与大豆同炒,两
入丁香,粒
涂生姜汁炙熟,两
干蟾蜍,只
将米泔水洗,None
90,None
白信石,"克,None,钱,钱3分,分,斤,两,g,钱半"
书有升麻,None
大虾蟆,个
四圣汤,None
方海,g
蔼,克
汉药,g
相思子,g
小苏打,None
藕节粉,None
炒川柏,g
楝树根白皮,两
去心膜并油,None
煅黄鱼齿,克
天雄,"None,两,两半,克,分"
藤利,g
上白术,两
炒延胡索,g
当归,"两,g,None,两5钱,钱,分,克,钱半,两半,～9克,～6克,钱5分,升,千克,钱2分,两2钱半,两1钱,～30克,钱6分,条,斤,-5钱,株"
石灰末,两
用艾熏膏子,None
安痛藤,g
胡桃肉,"g,None,两"
浸至次早,None
葫芦芭,两
蝉蜕,"克,两,g,钱,None,枚,分,两半,钱5分,个"
黄犬肾,副
煅石膏末,克
滤出,None
自然铜,"两,g,None,钱,斤"
味同捣匀,两
淡附片,"两,g"
细芽茶,斤
刺猬皮,"钱,个"
上同锉细,None
百部,"克,g,两,None,分,钱"
白萝卜子,克
煅乌贼骨茜草炭地榆炭,g
郁金未,g
青盐不见烟为度,None
盐酒浸,None
宣黄连,两
羚羊角粉,"g,石"
中挖一池,None
制炉甘石,None
侧柏枝,斤
麋角,"两,None"
银石器中熬去半,None
醋延胡,"两,g"
龟板胶,g
当归炭,g
黑丑头,两
淡豆,个
栝萎,g
微炒黄色,None
山植,None
木香二,两
陈香橼,两
川贝粉,g
顶上血竭,None
葵白,g
生明乳香,克
青箱子,"两,g,None"
则不动胎,None
肋者尤妙,None
蝉壳灰,None
茅根大,斗
醋灵脂,两
繁缕,g
川紫荆皮,克
炙旋覆花,g
陈香片,g
芒消,"两,g,～15克,克,None,分,钱"
加穿山甲,None
线鱼膘,斤
马齿览,g
布楂叶,g
张,None
蔻壳,"g,None"
昆布,"克,两,g,分,None"
京赤芍,克
三桂,g
全栝楼,g
亚硫酸氢钠,g
牡荆子,两
荆芥水,盏
当归头,克
莪术,"两,g,克,钱,None,分,钱半,千克,钱7分,斤,两半,份"
苏合香,"两,克,钱,g,None,分"
槐花,"克,g,分,None,两,钱"
黑锡,斤
蛤壳,"两,g,份,钱,克,分,None"
百通草,g
装入瓜蒌内,None
独莲,两
青古钱,文
每油,两
制甲珠,g
龙涎香,"钱,g"
古文钱青,分
广郁金,"克,g"
真藿香,钱
芫花,"钱7分,两,克,g,升,分,钱,None"
四破开,None
薅田藨,None
栀皮,"克,g"
擂细成饼,None
核桃肉,两
白约,g
《孙其人千金方》名金陵草,None
去毛,None
白石英,"克,两"
用火煮,None
白研,两
落得打,"克,None,g"
生爪龙,g
熟地,"两,钱,None,钱半,克,g,分,两半,～60克,斤,两5钱,钱2分"
绿升麻,"g,分"
预知子,"克,g,None"
同煎令香熟,两
虻虫,"g,分,个,两,None,钱"
白灰,"石,克"
麻子,"克,斤,合"
好金液丹,粒
垂盆草,g
生酸枣仁,g
蜜炙白术,g
麻油浸,克
猪胆汁,g
白芨末,g
粮白酒,g
盐,"None,克,斤,分,撮,钱"
葱根,握
辰砂半字,None
舶上硫黄,"克,两,分"
炒山甲,"克,g"
槐子中仁,两
植物油,g
艾炭,"克,None,两"
露峰房,g
红泽兰,"钱,克"
小麦,"g,合,两,斗,克"
天寥木枝,斤
真降香,g
炒樟丹,g
钓掉根,两
海羊,个
酒拌,"斤,两"
鼠李根,克
栀壳,g
龙胆草,"两,钱,克,g,None,钱半,分"
云母石,克
小黄柏皮,None
陈佛手干,两
去萸,None
生胡椒,粒
片黄芩,克
独心大葱葱白,g
山萸肉,"两,克,g,分,钱,None,两1分,钱5分,两半"
碧玉散,石
熊胆粉,g
炒桑皮,"钱,None"
茯苓片,"克,钱"
白砒石,g
大金箔,份
以楮树汁,毫升
绿豆衣,"None,克"
红药子,两
络石藤,"g,两,两半"
黄耆建中汤,帖
紫石英,"g,两,克,分,两半,None"
生姜片,g
一罂鹿角,None
枳刺,克
炒菜菔子,g
取白壳皮,分
鲜侧柏叶,"None,克"
佩兰,"克,g"
人参十,两
麸和作饼,分
仙鹤草,"g,克,升"
玄明粉,"两,钱,None,g,克"
就用黑牛乳,碗
野李根,两
紫草,"g,钱,克,None,两"
白垩,分
全瓜萎,"g,None"
广角,g
秫米,"-7粒,克"
六畜毛,None
用草纸包,None
滚,None
不去油,None
池矾,分
黄莲,g
木香甘草,克
中厚朴,钱
黄柏根皮,分
人参,"两,克,钱半,None,分,钱,g,两半,两1分,两2钱,斤,钱5分,两3分,～9克,两5钱,铢,株"
生铧铁,两
赤色鲜首乌,两
生磁石,"克,g"
次用,None
糯米粉,"g,克"
酒知母,克
乌梢蛇,"两,两半,g,None,具,钱,条,克"
蕲蛇,"两,None,g,条,克,钱"
人中黄,"g,钱,两,分,None"
荗,两
炒黄连,g
赤枣,个
入鹿角,None
四君子汤,帖
防已,g
龙葵,g
玉米须,"g,克"
碳酸氢钠,None
钟乳粉,"两半,两"
焦山查,g
香菇,g
可得皮,-4钱
烈日下晒干,克
真蒲黄,"克,两"
硇砂别研,两
白鸽粪,钱
定,两
矮地茶,g
入水银,克
莽草,"分,两,None"
海蛤粉,"克,g"
公土狗,个
野葛,两
败姜,"两半,两"
黄酒,"ml,g,匙,斤1两"
炙黄芪,g
白术钱半,None
灵甘草,g
炙甲片,g
仍用酒温,None
军边莲,g
冬时苏大,升
马譬孛,两
柞栎灰,斗
杀虎,None
榼藤子仁,g
苦参,"两,克,g,None,两半,钱,分"
六,两
生栀,None
川枳,g
上西牛黄,钱
黄皮,两
八月扎,g
真天竺黄,两
薜荔,两
硫黄,"克,None,两,分,g,钱"
炉火客用之,None
沙菀蒺藜,g
次生地,钱
米黄,None
冬米,两
鲤鱼,"g,头"
慢火熬,None
白樟柳根,克
用砂锅蒸之,None
有枣,枚
烟草叶茎,枚
捣烂,None
麦芽,"钱7分,两,克,g,钱,None,斤,分"
大联珠,g
白羊肝,具
炒黑干姜,分
南山楂,钱
壶卢壳,None
嫩松香,"g,斤"
鲜皮,钱
陈仓米,"克,两,升,粒"
细矾,None
怀牛藤,g
门冬子,分
灶心黄土,g
使君子肉,"g,两"
栝楼子仁,两
赤芍,"两半,分,克,两,钱,None,g,钱2分,石,钱5分,两1钱,两6钱,斤,两5钱,钱半"
猪脊髓,g
竹沥膏,钱
一炮研,None
炙干,None
生米仁,g
紫丹参浸膏,g
甘遂末,"None,钱"
蝱虫,枚
生黄芩,钱
鸡内金末冲服,g
千斤拔,None
真薄荷叶,两
酒洗,"两,None"
白糖参,g
大肠内者亦可用,None
绿梅花,g
焦六曲,g
生川柏,克
煅瓦愣,g
如酒醋少,None
香椿树皮,g
葱须,克
六一散,"g,克,两4钱"
一生研,None
新鲜荷叶,张
侧耳根,None
地枫皮,g
律草,g
香油,"None,g,斤"
广木香粉,g
桃仁泥,"分,克,g"
欢皮,g
炒葛根,g
地骨白皮,两
炒黑豆,钱
过滤去滓,None
当归须,None
木鳖子,"两,None,分,个,钱,g,粒"
桅子,g
桱树皮,两
先姜汁,None
鼠,枚
松子仁,"克,两3钱"
毛冬青,g
只炮,None
内,两
玉米,两
赤地利,None
霍香叶,钱
金银箔,张
生芝麻,"钱,None,g,克"
下大黄末,None
生然铜,g
醋淬,"None,两"
大茴香,"两,g,分,枚,克,None,钱"
炒竹茹,None
栀子仁,"钱,分,两,克,两半,None,枚"
用身,None
川雅连,克
微炙,None
鱼胆草粉,g
大巴戟,"两半,两"
白马眼睛,对
白沙蜜,斤
炙焦黄,None
辛荑花,克
切不可入冷水在角罂中,None
白豆蔻仁,"两,克,两5钱,None"
上肉桂,"g,钱"
糖球,两
飞丹,克
金沸草,"g,克"
鲜绿豆,g
酒牛膝,None
生龟版,"克,钱"
归脾汤加辰砂,None
茱萸,两
百花蛇舌草,g
白色者半,None
青皮,"两,钱半,钱7分,分,g,None,钱,两7钱半,克,两半,斤8两,两5钱,千克,斤,合,钱5分"
制吴萸,g
%硫磺软膏,g
羊外肾,对
象皮,"钱,克"
细薄荷,克
虎胫骨,"两,对,克,None,钱,斤"
香仁,g
好黄酒半杯,None
纸裹,None
羊肉,"克,斤,None,两"
王不留行,"克,g,石,两半,两,钱"
山楂籽,None
新罗,两
蛤粉炒,"克,两"
黄苇,克
胡黄连末,分
金箔,"None,张,片"
生白姜,None
水蛭,"克,g,None,两,分,枚,钱,条"
炒槟榔,"钱,g"
黄腊,块
鲜凤仙透骨草,g
丝瓜皮,克
压去油尽,分
樟丹,"两,g,None,钱,-187g,两半,分,克"
点地梅,g
汤洗七次,None
去瓤净,None
飞青黛,克
虎粪内骨,钱
蚕纸,钱
槐白皮,两
鼠粪,两
石亭脂,克
参,"g,两"
浙人谓之莲子草,None
赤色白胶,分
豹骨,两
茄子,钱
青绯帛,尺
荔枝桂,g
炼蜜拌杏仁匀,None
冬葵,g
炒黄芩,"克,g"
猪肾,"对,个"
生乌头,None
豆蔻仁,"两5钱,g,两6钱"
瓜儿血竭,"钱,克"
渐添火,None
蘘荷根,两
以新汲水浸半日,None
实,None
瓜篓,g
捣成饼,两
桃红,g
捶破,克
石斛,"两半,None,钱,两,g,克,分"
日方黄芪,g
块苓,两
以净瓦覆之,None
蚱蝉,"分,枚"
杧果核,g
京墨,"钱,克"
干克,克
打为饼,None
山楂米,两
炙焦黑,"克,两"
蛋清,个
弦&gt;,None
旋下,None
玳瑁,"g,分,两"
此,None
棵生蜂蜜,g
去外鳞,None
盐酸小檗碱,g
海狗鞭,两
合欢皮,g
甑安,None
烧赤,None
大丁黄,g
岩乳香,两
刷去角外黑垢,None
黑杜仲,g
豆熟为节,None
蚵蚾草,千克
毕澄茄,"两,克,分,钱,斤,千克"
青蒿拌覆,None
石榴,"钱7分,g,颗,枚"
白豆蔻后下,g
灯草灰,"两,分"
生姜块,块
白酒,"斤,ml,升,g,毫升"
令锡尽为度,None
红枣仁,枚
油,升
味不用,None
上薄桂,None
芍,g
蜜蜡,钱
鳖甲辛,g
将药末倾入水内,None
加真轻粉,克
苦地丁,"克,None,g"
姜汁和,克
鸡苏叶,"两半,两"
晚蚕沙,"g,两"
半复,克
同朴煮,None
炮姜片,g
熟大黄红花,克
南木香,"两,克,钱,钱半,None,两半"
杨柳虫,条
青蛙草,g
犀角粉,g
黄果根,g
菜油,"两,g"
42,克
汤洗去滑,钱
黑料豆,克
生山栀,"钱,克,枚,g"
荷叶顶,g
白树鸡,两
鲜葱白,"～3枚,枚"
白芥子,"钱,两,None,克,g,份"
百药煎,"钱,克,None,分,两"
田父,分
人参茯苓,克
另掘,None
重楼,"克,g"
砂仁,"None,两,g,钱,钱半,克,千克,两5钱,分,钱5分,粒,两2钱,两半,两3钱,～10克,合,斤,两4钱,个,两6钱"
山羊血末,克
黄玉金,g
川椒末,克
党参,"克,g,石,升,None,两5钱,钱,两,两6钱,钱5分"
生草乌,"克,g"
表现,g
苁蓉,"两,克,None,钱,两5钱"
枇杷叶,"None,克,两,g,石,分"
杏,None
赤苓,"斤,None,克,两,钱,分,g,两半"
鬼箭羽,"g,两,分"
桑黄,两
荆沥,升
曲衣,合
研末冲服延胡索,g
真安息香,克
有人参,None
大弹子许,None
用生姜自然汁捏作饼,None
同炒赤色为度,None
生鸡子白,枚
萝卜汁浸拌,None
半用益智仁同炒,两半
巴豆去亮,粒
青橘叶,"g,克"
余沸取出,None
薯梗,None
半枚,None
半寸截,None
盐水浸炒,份
蜜半盏,None
甜杏霜,None
不油白术,None
楮茎叶,两
某松,g
广米香,g
人参提取物,None
料酒,None
重便,None
上广皮,None
蒸透晒干,None
紫苏茎叶,"分,克,两,钱"
桂枝,"克,分,两,None,钱半,g,石,片,分5厘,钱"
卷成,条
苦,None
白芷梢,None
研为粗末,None
小茴香,"两,两半,克,分,钱,g,None,斤,钱5分,钱半,斤半"
茅香,两
用茴香,份
投水中去毒,None
镇红醋,g
用水照上浸,None
文火煮烂极,None
同炒黑色,None
三七叶,片
留熬后药,None
%轻粉,g
茱萸炮,None
制紫菀,钱
瓜壳,g
广皮白,钱半
青葱管,寸
炒柴胡,"克,g"
西玉石,g
白凤仙花,None
白头地龙,条
食醋,g
煅猪骨头粉,g
鹿角灰,"g,克"
蜜炙甘草,g
炒薏苡仁,g
草豆蔻仁,"克,两"
用人乳汁拌蒸,None
天竺黄末,两
倒垂柳枝,斤
西瓜皮,克
淡桂,钱半
头红花,钱
以槐花,克
石南,"两,克,两半,分"
酒炒透蹄筋,钱
板兰根,"g,钱"
制麻黄,钱
白川,g
枸椽檬酸钠,g
煎至,盏
香鼠,枚
萝摩菜,斤
三七参,g
青礞石,"两,钱,g"
兽骨次之,None
薇衔,分
干生地,钱
狗头骨,两
隶布,g
白矾末,g
鲜竹叶,片
干漆,"两,None,克,g,分,钱"
炒令黄色,克
大麦冬,g
好锡,克
枳壳柴胡,g
乌药,"钱半,None,g,钱,克,两,分,斤,斤8两,钱7分,～6克,千克,石"
拧油去滓,None
三停共,盏
独角柑,g
淡味桂,克
用黑豆,斗
牡蛎粉,"None,两"
香墨,分
木春,克
倒合以物盖之,None
砂糖,克
黑栀,"钱,None"
翅,克
当归梢,克
樟柳根,None
一号药,g
形如凤眼,None
猪苦胆,g
生桑皮,钱
去砂石,None
珍珠草,g
北甘草,None
川木通,"分,两,克,None,钱,g,两半,钱半,分5厘,斤"
淮乌,钱
三香根,两
干姜未,None
苏子霜,克
百分之,g
舶上茴香,"两,克,钱"
东引桃,茎
番秘,g
蔓荆子及叶,g
用甘草,两
生黄芪,"g,None,升"
鲤鱼齿,"-20个,分"
用谷糠火煨熟去肉,None
全蝉退,个
桑柴灰,钱
用老生姜,两
m,克
炒益智仁,两
光墨末,None
皂角刺,"g,克,None,两,钱"
农吉利,g
不食井花水,None
茴香根,两
研碎,两
蝉蛹粉,g
玉屑,两
糊精,g
川椒炒,份
醋内溶化,None
将姜,None
用酒浸,两
七十五,None
盛贮晒干,None
蝎,"两,分"
生滑石,g
犀角,"两,克,钱,两半,None,g,分"
去枝梗,None
佛手花,"克,g,合"
醋炒香附子,g
猪油,两
赤消,"克,分"
篮根,两
用炭火烧赤,None
同花椒,两
炒蕲艾,钱
干茄根,两
月季花,g
白芨,"钱,克,g,两,None,两半"
茯苓皮,"克,钱,None,g,分"
扫盆,"克,钱"
百合,"None,分,两,g,克,钱,两半"
羊肺,具
青木香,"两,克,分,g,钱,斤,None"
红橘皮,克
乌药顺气散加羌活,None
大鹅梨,枚
黄雄鸡硬肝内黄皮,具
柿霜,两
乌稍蛇,None
烂杵,None
制川草乌,g
候乳尽,None
煎令干,None
黄檗,"分,两"
小黑豆,合
细棉,g
大葱,g
仙灵牌,g
用纱布蘸透此液,None
氧化锌粉,g
玄茯苓,g
青葙子,"g,两,钱,None,两半,克,两5钱"
黄药脂,g
淡竹叶,"张,g,None,握,片,分,克"
酥油炙黄,None
熬枯黑糖,两
醉浸,两
白降丹,钱
糯米,"克,份,钱,None,合,g,石,两,撮,粒,分"
同酥炙,None
野菊花轻粉,面
茵陈蒿,"克,g,两,石,None,分,钱"
水瓜,None
湿纸裹,None
川乌尖,g
用粉同前锡末,None
腐竹,克
切作,片
槲寄生,"g,克,None"
苦楝皮,"克,g,两"
炙乳香,"克,g"
细研,"None,斤"
草参,钱半
醋荠草,None
先于锅内放水,None
奎白芍,两
生炉甘石,g
健猪胆,个
生甲片,两
再浸三日,两
胭脂,克
辛荑,g
威灵仙两半,None
和饭与鸡食之,None
药苗,两
枸己子,g
淡吴萸,g
煨熟,None
荆实,两
穿山甲珠,g
干生木瓜,钱
泽兰,"钱,None,g,克,份,两"
去大脚,None
生少柏,None
与北五味子同炒干燥,None
石枣肉,分
千金子,"钱,克,两,分"
酒洒,None
地锦草,g
芒硝,"克,g,None,两,钱,份"
蒸百部,g
铁树叶,g
小胡麻,"两半,g,两,钱,克,None"
梨壁藤,g
白芨子,g
焦楂?,g
鳗鲡鱼,两
甜瓜子,两
新鲜胎盘,g
苇,g
枳核,g
紫厚朴,钱
西党参,g
黄狗头骨,两
二陈汤加僵蚕,None
干寸冬,钱
黑豆,"克,升,合,两,None,粒,斗"
鲜姜皮,克
炒桑枝,None
丹参,"两,克,钱,g,None,-25克,石,两2钱,钱5分,两半,分,升"
炒茯苓,g
心乐丸,g
千金霜,g
%朱砂,g
蒴藋根,两
无名异,"g,None"
上花,g
浙贝,"克,两,g,份,钱,None"
五味子,"两,None,钱,g,钱半,粒,克,石,升,分,合,两半,两2钱,斤,铢,个,两1分,株"
秦皮乙醇流浸膏,g
射干,"克,g,钱半,升,None,两半,分,两,钱"
牛乳,斤
肥百部,g
茵皮,g
荞麦,两
石见穿,克
蒜,None
脚子,None
生地l,g
锦大黄,斤
口渴,g
氧化锌,两
重洗,None
香薷穗,两
藏红花,"钱,克,g,两"
大盏,None
枣膏大,升
牛蒡子,"克,钱,g,None,两,分,石,两半"
/香砂六君,None
22,"克,None"
一枝黄芪,g
以南星内无白点为度,None
用瓷器纳入前药内,None
蔚金,克
六一散包,g
川楝子,"g,钱,两,克,分,None,个,石,片"
二陈汤加麻黄,None
真西牛黄,钱
黄矾,两
荷叶,"克,g,None,两"
清夏,"钱,钱7分"
放瓦罂中,None
胖大海,"None,g"
当门麝香,钱
煮干,"None,钱,斤"
伏龙肝末,None
紫河车粉,g
金针菜,g
元寸,分
蜜蒙花,"钱,None"
天灵盖,"钱,None"
五味根,g
生赤白芍,g
煎沸取起,None
焦楂曲,g
萆解,g
调入水内,两
通明白矾,None
黄豆,g
犀角尖,克
茵芋,"两,克,分"
生麻,"克,g"
再煎透为度,None
大紫色车螯,个
百合蔻,g
鸡内金,"克,钱,两,两3钱,g,片,个,枚,None"
阳证用,克
蒲公英粉,g
炒六曲,两
山揸,g
为硝粉,g
角刺,"克,钱"
石榴皮,"两,g,钱,None"
只取肉,None
盐酸麻黄素,克
白粳米,升
炒蒲黄,g
诊,None
玉枢丹,g
新瓦慢火炒令紫色,None
炮黑楂肉,两
生乌梅,g
黄泥涂封,None
葛垠,g
旱连草,g
肥枣,个
同煮水尽,None
广土鳖,g
生白术,"克,g"
赤白芍,"None,g"
上麒麟竭,钱
大川乌,"None,克,两"
狗胆,枚
连须葱白,斤
芜荑,"None,钱,克,两,分"
童便,"升,None,毫升"
子丁香,钱5分
棕榈,"None,g,两"
盐砂,钱
有白术,两
楮实子,"升,两,None,克"
慢火炒干,None
晒干煅红为度,None
岗稔根,g
姜汁,"钱,None"
又以生姜汁浸,None
白药子,"两,None"
蜇虫,g
取末,两
退皮并双仁,两
黄明胶,两
去油没药,None
鹿角,"两,g,付,克,None,分"
以来,None
莲子,"克,两,钱,g,None,分,粒,斤"
葫芦,g
好青州白丸子,粒
路路通,"克,g,个"
桃仁承气汤,None
菟丝五,g
用桔梗,None
柏子仁,"两,g,克,None,分,钱"
槐来炭,g
麝香酮,g
炒黄柏,g
后壳,None
马牙消,"两,钱,分"
代石,g
炙内金,"g,份"
酒同炒,None
伸筋草,"克,g"
细墨,"锭,钱"
又次矾汁,None
巴戟天,"两,g,None,克,分,两半,钱"
香缘皮,克
上芦甘石,None
广青皮,两
青橘,"g,两"
苏木,"克,None,g,两,钱,分"
腊月朴嘴鸦,只
蔓荆子,"两,克,g,升,千克,None,两半,钱半,斤,分"
净桃仁,g
益元散,钱
秋桔梗,g
绿小细吴茱萸,钱
紫贝齿,"枚,两,克,None,g"
没药,"克,钱,两,g,None,分,钱半"
入桑柴白灰,两
扇之,None
半童便浸,None
白胶香,"两,None,钱"
干浮萍草,两半
西洋参,"g,两"
孔,None
南楂肉,两
新鲜大力子根,克
密蒙花,"None,g,两"
白龙骨,"两,分,None"
鹿茸草,g
枫叶,片
干苏叶,g
荔枝核,"两,g,克,None"
昆希,g
醋炒香附,克
用白粪为妙,None
鲜黄花菜,克
同杵为团,None
擦碎,None
鸡屎白半盏,None
人乳,毫升
大蓟,"g,None,两"
淮中膝,g
黄糖,g
全蛇皮,条
八中黄,g
蟋蟀,只
菠薐,两
生干地黄,"两,None,分,克,两半"
土别,None
常山,"g,两,分,None,钱,斤"
干烟脂,钱
炙松香,g
籼锅巴,两
橡实,个
煎浓汁,碗
叉尾发人痼疾,钱
或用子,合
真新绛钱半,None
以碗,个
野台参,钱
白狗粪灰,两
芝麻莘,两
赤小豆,"两,克,g,合,粒,钱,None,分,-7枚,个"
松香,"钱,g,两,克,None,分,两半"
三棱,"钱7分,两,g,钱,钱半,两半,克,分,None,两5钱,千克,文,斤"
白人参,钱
苍耳根茎叶,两
南硼砂,"克,钱,两"
雄鸡头,枚
柳蚛末,两
秋用黄丹,两
附片,"g,两"
生芍,钱
瓜萎,g
侧柏,"None,两,两1分,斤"
醋鳖甲,g
摊干,两
用白面,两
川羌,"两,分,克,钱,None,两5钱,g,两半,升,寸,斤,钱半,钱5分"
西茵陈,～9克
茜草香橼,g
三故纸,克
壁虎,g
桃心,枚
雪白盐,分
放砂锅内煮之,None
飞罗面,"None,两"
胶饴,克
醋淹,None
鸡卵壳,克
川椒炭,钱
鸡翎,茎
车前子叶,斤
搓,None
鲜浮萍,g
米泔浸,"分,None"
成炼钟乳,"克,None"
煨皂凡,g
蝼蛄,"克,只,g,个"
白马蹄,两
蓝子,"两,合"
紫花,"g,两"
蜂花粉,g
用款冬花,None
芒硝面,g
枯矾末,"两,None"
紫石,None
黄柏末,"g,两,None,分"
五更初去水,None
杜牛膝,两
木鳖子肉,钱
贡朴,两
墨旱莲草汁,None
明没药,"钱,g"
锡,两
用仁,None
鸡屎白,升
荆芥稳,两
白屈菜,g
藿香叶,"两,克,分,千克,钱,None,两4钱"
猫儿项骨,两
姜汁作曲,克
日换,None
茴根,两
陈粳米粉,g
砂仁桔梗,None
猪脂,"两,钱"
茯神,"两,克,分,石,g,两半,None,钱,两5钱,钱5分"
山栀仁,"钱,克,None,分"
豆浆,ml
杏红,g
上猺桂,钱
紫苏茎,两
诃子皮,"克,钱,None,两"
干蟾皮,"克,g"
酸石榴皮,"两,分,克,钱"
生丝绢,尺
虎头骨,"两,两半"
以竹针插合,None
木龙,None
篮子,合
试剑草,斤
令人患哑,None
香橡皮,g
醋涂,None
黑香种草子,g
橡胶,两
鸡子,"None,枚"
加木瓜,None
鸡头肉,两
马蔺花,两
牡丹,"克,分,两"
安锡在上,None
白葡萄干,g
乌海,g
次日蒸透晒干,None
白姜,"两,钱,克,None"
淡香豉,"～12克,克"
黄松节,None
大米,克
万不可用豆仁,粒
古字钱,-7文
焦荷蒂,g
不用甘草,None
研末,None
山慈茹,克
芦根汁,毫升
银柴胡,"两,g,钱"
茶叶,钱
兜铃,"两,两半,分"
口,克
山慈姑,"None,g,钱5分,两"
光明砂,"两,克"
用银刀削去黄薄皮,寸
末,None
猪胆粉,g
炙半夏,"None,g"
玄参,"克,两,分,钱,None,g,份,升,两半,两1钱,两3分,寸,石"
旱莲子草,两
小蓟根,"合,两"
杜仲大,斤
白鸡冠花,两6钱
地偷,"g,None"
只用豆皮,None
新绛,None
蒸软去核,钱
龙骨黄连,克
醋炙,两
皂角仁,克
羊蹄草,g
磁石,"g,两,None,斤,克"
化橘红,"钱,g,钱半"
药罂添水煮,None
良姜,"两,两7钱,克,None,钱,千克,g,钱半,斤半"
白蔻末,克
乌龙角,None
广姜黄,g
酒延胡,g
臭草根,两
桑寄生,"克,None,g,两,钱,钱5分"
莪木,g
猫瓜草,g
藕根,"两,None"
炒皂刺,g
滚煮,None
冬虫夏草,g
白芷稍,None
山棱,g
柿饼,钱
笋壳,片
天胡荽,g
樟脑粉,g
搓去黑皮,None
蒸十次,克
生茅术,两
郁金粉,g
淡干姜,"克,g"
芡实,"两,g,克,钱,None"
药珠,分
生灵脂,两
玄胡索子,两
鲜橘皮,～15克
枳壳灰,g
生鸡子,"个,枚"
陈葫芦,g
镇江醋,g
荠菜,g
双花炭,钱
黑山栀,"两,g,克,钱,None"
胡椒粉,g
桑叶,"克,None,g,石,两"
薏芪,g
制胆矾,分
白兰,g
树舌,g
青风藤,"两,g,克"
火上焙干,钱
滤干,None
杭粉,"克,两"
蛇蜕皮,"条,寸,分"
大青盐,"两,钱,分,克,两半,g,升,None,钱半"
白芎,两
沉香粉,g
素油,None
土蜂窠,分
恐伤药力,克
处碾烂,None
女贞子,"g,克,两,钱"
细研如糊,None
炒麦草,g
炒车前子,g
用酒于瓦器内煮至如地黄色为度,None
制山甲,g
雀粪,分
入瓷器中好酒浸蒸,None
.阿胶,g
四物汤,克
炒王不留行,g
再入干锅内火煅通红,None
再用水,碗
炙苏子,g
杭菊花,g
檀香,"g,钱,两,克,钱半,None"
入上好银朱,None
犀屑,两
酒浸软,None
薏苡仁,"None,克,两,钱,至5钱,g,分,合,升"
炒出汗,None
蝉蜕粉,g
蛇莓,g
雄雀粪,两
如未有瓜蔓,None
甘油,"g,ml,None"
田螺壳,None
鸡心,两
川芎l.,克
竹茹,"None,两5钱,丸,钱,克,g,两"
秦椒叶,两
大黑豆,"斗,钱"
炒橘核,g
用香油拌,None
霍香,g
次皂汁,None
石膏,"钱,两,g,分,克,None,钱半,铢,～20克,两半,千克,两6钱"
何首乌晒干,None
屈头鸡,g
生知母,克
与厚朴,None
氯霉素,g
梅片粉,None
槟榔肉,g
红木香,"钱5分,g,钱"
广枣,g
麝香,"钱,分,两,克,钱半,g,None,升,分5厘,字,份,铢,厘"
取古文钱于酒醋中淬,None
次止,None
为末,"None,两,克,钱"
如无叶,钱
生鹿角粉,g
山苦参,g
故纸,"两6钱,钱,两,克,钱半"
珍珠,"钱,分,克,g,两"
紫苑,g
入药,两
鸡苏,两
小粉,两
香橼,"钱,克,两,～15克,g,合,None"
酒炒川断,钱
兼前五味同煮酒尽,两
细茶,两
独角金,g
亦湿团为块,None
生姜自然汁和为饼,克
白茅根,"g,None,握,升,分,两,克,石"
拌附子末,None
灸杷叶,g
酒生地,"g,克"
月蚕沙,两
蜜,"克,斤,两,None,毫升"
童子小便,"合,升"
朱砂,"两,分,克,g,None,钱,钱5分,两半,钱半,字"
紫菀茸,"None,克"
旋添煮豆汁,None
夜明沙,None
毛叶巴豆茎及叶,g
蛇蕈,g
牛脂,钱
只将余药切作薄片,None
出蛾儿蚕茧,None
赤白脂,两
诃梨勒皮,两
半夏,"克,钱半,g,两,分,None,斤,钱,两半,个,两2钱,钱5分,石,钱2分,枚,升"
紫苏子半合,None
鱼螵,克
茅山苍术,克
台乌药,"两,g"
南玄参,两
生首乌,"g,克"
郁李仁,"两,两半,克,分,g,枚,None,钱"
青蒿I,g
刮去粗皮,None
用盆盛水,None
黑丑,"两,g,两半,斤,克,钱,千克,None,钱5分,钱7分"
草果子仁,None
以米醋,None
莪荗,两
同橘皮捣碎晒干,None
同煮水尽为度,两
马鞭草,"克,g,两,斤"
端午日粽子尖,枚
好茶,"None,克"
生甘,g
乳香白,克
先用枳壳,两
安息香,"两,克,g,None,分"
用瓷器盛,None
制茅术,钱
大香附,None
有大胡麻,克
次用白矾,两
遍去滑,"None,两"
利马锥,钱
黑牵牛末,两
喉闭草,g
以无灰酒,升
续断,"g,两,两6钱,克,钱,None,石,分,两半"
葱白头,"块,枚"
萑香,g
酥炙黄色,两
黄连水淬,两
炙鳖甲,g
僵蚕,"两,克,None,g,钱,两2钱,分,钱半,两半,枚,个,两5钱,片"
去陈皮等,None
艾灰,None
京赤药,克
嫩柽枝,斤
%麝香,g
入艾青,None
生栀子,"克,g,None"
