雄黄,"克,分,钱,g,两,None,斤,钱5分,份,钱半"
去滓,None
蒸透,克
石龙芮,"克,两"
马蹄金,g
巴豆肉,"钱3分,两,克,斤"
生龙牡,g
银朱,"None,克,两"
山栀子仁,"两,枚,None,克,斤"
川断肉,两
雷公藤,g
白凤仙,斤
南苍术,"两,克"
宿砂,钱
广藿香,"g,两"
炒秸壳,g
藿香根,克
玉竹,"g,克,None,分,两,铢,钱"
真田七,g
秦皮,"g,克,两3分,两,None"
小青皮,"钱半,克,g"
青草鹅屙,None
马鬐膏,两
血竭粉,g
鸭砣草,g
白合,g
玄在,两
茧卤,合
肉豆蔻仁,"两,两半"
熟军,"斤8两,两,克,g"
元武版,两
蔷薇根皮,两
生地黄不计斤两,升
力子,None
去巴豆,None
浸蒸晒干,None
干芦根,g
同煮无白星为度,None
白莲花蕊,对
赤茯苓皮,钱
玄精石,"克,两"
用梨汁浸拌,None
去丝,"None,克"
川椒皮,克
苏薄荷,"钱,g,None,克"
大猪肚,个
麦门冬去心,两
纸糊瓜口,None
蓖麻,粒
鸡血藤根,两
川升麻,"分,两,两半,克,None"
乌附片,g
板杏,斤
吴茱萸同炒,钱
去子,None
鸡蛋皮粉,g
木兰皮,两
有良姜,None
面粉,"None,钱"
和皮大腹子,分
钟乳石,"两,None,分"
加硼砂,钱
土粉沙参,两
山慈菇,g
石燕,"对,枚,钱"
旧琉璃烧存性,None
诃子仁,None
黄誊,克
鹿衔草,g
红粉,g
川朴消,两
制苍术,"两,g,None"
肥生姜,两
白木通,钱
麦芍,g
芥穗,"两,克,g,None,钱,两半,千克,斤,分"
待净入水坛内,None
炒丹皮,g
悬在井中五日,克
生石灰,g
黑羊粪,g
尸木香,g
益母花,g
制淮牛膝,钱
埋甲过宿,钱5分
越大越好,None
姜汁浸一宿,"None,克"
候冷为末,None
如是者,None
蚕沙,"g,钱"
氯化钠,"g,石"
臭樗根皮,分
川雄黄,两
皂角,"钱7分,g,两,克,斤,None,钱,挺,枚,两5钱,分,升,个"
每次用豆,升3合
僵蛹,g
辣椒,"g,两"
大梅片,"钱,g"
川楝子肉,两
杜藿香,"克,钱半"
威灵仙,"钱,克,两半,两,g,千克,分"
独颗蒜,两
钓藤,"两,分"
钩藤,"None,g,克,钱,分,两,石"
瓦楞子,"None,钱,克,g,片,石"
黄柏皮,斤
晋州绛矾,两
去四味,克
凡士林,"g,两"
没食子,"个,钱,两,None,g"
点火,头
猢狲头骨,None
棵乳汁,None
烟绝为度,None
片姜黄,"两,g,None"
花椒,"两,克,粒,g,分,None,钱"
去裙襕,"两,两半,None"
曾青,两
川白姜,"克,两,分"
O当归,g
广金钱草,g
舌草,g
全者,None
生藕汁,两
荠苨,"两,分"
茜草炭,g
川附子,两
置砖上炭火熁,None
乌豆置瓷器中,None
真蛤蚧,对
用姜汁,None
白芷,"两,钱半,None,克,钱,分,g,两5钱,两1钱,斤,两半"
然后用面包,None
有竹茹,None
西琥珀,"克,钱"
炒川芎,g
茅粮,毫升
天仙子,"分,两,g,升"
黄蓍,"钱,两"
钩藤根,克
桐油,"g,两"
罐内,None
放砂锅内慢火煮之,None
蛇床仁,两
闹羊花,g
款冬花,"钱,None,克,g,分,两,两半"
商陆,"g,钱,两"
黄连g克,None
丹皮,"两,None,克,g,钱,分,钱5分,～9克,寸,钱半,斤,两5钱"
大蒜头,"斤,个,g"
以盏子盖口,None
去足,None
红鸡冠花,两6钱
生地炭,g
胡椒,"两,钱,分,None,粒,克,g"
贯众炭,g
陈壁土,两
用炭火煅,None
白蔻壳,"None,g"
镑末,-3两
乌桕叶,克
青州白丸子,None
连翘子,两
茯苓块,克
紫梢花,"两,钱"
胡皂柑,两
火中煨令纸焦,千克
盐酒淬,None
椿根白皮,"None,g"
黄芩不用,None
去头,None
黑牵牛头末,克
精移,g
松叶,升
蒲公英,"g,克,-60克,None,-45克,两,钱,斤"
武彝茶,两5钱
酒当归梢,克
仙人对坐草鲜草,斤
轻粉,"钱,两,g,克,None,分,贴,钱匕,钱半,厘,字"
橘核,"两,g,克,钱,None"
盆上芫茜,g
局方五积散,钱
炒稻芽,两
蚺蛇胆,分
杵碎,None
蜜涂,克
鲜灯笼草头,个
大豆汁,None
侧柏叶,"两,g,None,份,克,钱"
紫稍花,"两,钱"
涂生姜汁炙,None
小生地,克
用荔枝肉,克
炙升麻,g
红信石,钱
乌鸡卵,个
羚羊粉,"两,钱5分,克,g,铢,None,分,两半,两5钱"
加热熔化,None
芫花根,g
以净布滤去滓,None
于地铺纸出火毒,None
用香油,两
诃黎勒皮,"克,两,分,千克,两半"
大硼砂,克
珠子末,"两,克"
肚并足和骨,None
蕤仁,"两半,两3分,枚,两,分,钱,克"
胆兰星,g
鹿角胶,"两,g,～20克,分,克,钱"
紫巴戟,"两,克"
刘寄奴草,两
同捣令烂,None
生犀角,"克,None"
新柏叶,None
分作,份
藿叶,None
同青蛇脑小豆许或绿豆许,None
半米醋浸,两
木猪苓亦作片,None
炙党参,g
沉在盆底者留用,None
锉片,钱
茴香I.,克
金果榄,"两,分"
细川连,None
墨旱莲,"g,两"
艾叶炭,g
夏用,分
卷柏,"g,两,克,两半"
用火再熬作稠膏子为度,None
好墨,"克,两,千克"
生肌散,两
核桃油,ml
好酒煮熟,两
金匮肾气丸,None
地下埋,None
老葱白,g
天仙藤,"克,钱"
龟肉,两
放石铁器内熬汁尽,None
青龙骨,钱
白芍,"两,g,None,钱,克,分,钱半,两半,两3钱,钱5分,石,两2钱,钱2分,两5钱,份"
食糖,斤
桑螵蛸,"两,g,两1分,两半,None,克,-7枚,分,钱"
劈开,None
钟乳石粉,克
女莓,两
大天雄,两
以原豆腐盖好,None
桑棋子,g
旋覆苗,两
天麻钱半,None
冬着牛膝,分
莱菔炭,"钱,两"
栀子,"克,两,分,None,钱,g,钱半,枚,斤"
建菖蒲,g
乱发,"分,None,两,克,团"
干姜,"两,钱半,g,None,克,分,两半,两7钱,片,钱,斤,钱5分,-60克,～6克,两6钱,铢,升"
二芽,None
红砒石,g
泡参,"克,g,钱"
冬月,分
九香虫,"g,对"
白丑头,两
白菊花,"None,g,克,两,钱"
生黄柏,克
重汤煮取,升
老柏白皮,两
半皂子大,None
神僸,两
蛇蜕皮灰,"None,分"
公丁香,"钱,两,两5钱,克,两半,分,None,粒,g,升,钱5分,枚,个"
酣煮,克
木瓜两半,None
鸭嘴胆矾,钱
楂炭,钱
橙子根,两
蜂蜡,"斤,g,两,钱,None,块,枚"
碎切,None
郁金,"克,两,钱,None,g,千克,石,分,份"
鲜生姜,g
血竭末,"g,克"
扁豆子,g
生山栀仁,克
再入乳香,None
飞矾,"克,块"
全瓜篓,g
换水浸,None
