阿胶,紫团参,半夏,鳖甲,甘草
人参,茯苓,白茯神,远志,白术,石菖蒲,酸枣仁,麦冬,牛黄,朱砂,另研
茯神,远志,陈皮,半夏,杏仁,石菖蒲,麦冬,桔梗,甘草
琥珀,人参,远志,天麻,花蛇肉,白附子,麻黄,川羌,大川乌头,蝉蜕,南木香,真珠末,僵蚕,全蝎,朱砂,金箔,银箔,麝香
八角金盘,琥珀,益母草,冬葵子,滑石,芦根,赤小豆,陈皮,甘草
檀香,石膏,红花,甘草,公丁香,北沙参,紫参,白葡萄干
檀香,石膏,红花,甘草,公丁香,北沙参,紫参,白葡萄干
杜仲,菟丝子,酒浸,木鳖子,甘草,广木香,小茴香,母丁香大者,附子,包煨,沉香,诃子,荔枝子,锁阳,大青盐,熟地,安
大黄,金银花,当归尾,玄参,柴胡,栀子,黄柏,川贝
白矾,熟干地黄,玄参,知母,川贝,诃黎勒皮
茯苓,人参,麦冬,酸枣仁,甘草,朱砂,生龙脑
石膏,川木通,川贝,桑叶,连翘,牛蒡子,板蓝根,金银花,蝉蜕,麦冬,生地,黄芩
牛胆制南星,僵蚕,地龙干,五灵脂,全蝎
半夏,白术,人参,甘草,干姜
熟地,生地,当归身,白芍,甘草,桔梗,玄参,川贝,麦冬,百合
百合,地黄,熟地,麦冬,玄参,川贝,当归,白芍,桔梗,甘草
制麻黄,生山栀,细辛,化橘红,葶苈子,杏仁,五味子,制桑皮,清夏,石膏,制紫菀,生黄芩,生甘草,制覆花
川贝,川厚朴,血竭,柴胡,上肉桂,巴豆,玄参,肉豆蔻,知母,真麝香,冰片,神金,朱砂
生附子,半夏,干姜
半夏,瓜萎仁,川贝,桔梗,枳亮,知母
半夏,茯苓,熟苍术,厚朴,陈皮,甘草
半夏,天南星,石膏,香附,栀子
黄柏,干姜,天麻,苍术,茯苓,黄芪,泽泻,人参,白术,神曲,半夏,大麦蘖面,陈皮
半夏,白术,天麻
黄柏,干姜,天麻,苍术,白茯芩,黄芪,泽泻,人参,白术,炒曲,半夏,大麦糵面,陈皮
半夏,天麻,茯苓,橘红,白术,甘草,干姜,大枣
升麻,柴胡,藁本,茯苓,神曲,苍术,半夏,干姜,甘草
