雄黄,"钱,两,克,None,分,g,钱半,斤"
郁金,"克,钱,两,g"
芫花,"克,分"
颗块大朱砂,两
酒生地黄,克
煅紫贝齿,g
真香油,斤
台白术,克
大瓦盆盖覆周围,克
锁阳,"钱,g,两"
甘草,"两,None,分,克,钱,g,寸,钱半,斤"
牵牛头末,钱
使君子,"个,钱,枚"
明参,g
代赭石,"两,钱,None,g"
鹿茸,"两,None,钱"
白梅肉,None
北沙参,g
川贝,"两2钱,两5钱,克,分,钱,g,None,两"
北五味子,"克,两,分,g"
好夜明砂,钱
虎骨,两
煅寒水石,克
牛黄,"钱,克,分,g,两,None"
藜芦,克
真藿香梗,两
金礞石,g
玄武板,两
赤鲤鱼鳞,两
炙绵耆,钱
儿茶,"钱,克,钱2分"
金樱子,"两,None,克,钱"
山楂,"两,g,None"
栀仁,钱
酒红花,钱
炒酸枣仁,"克,g"
大斤,None
建莲心,克
贡白术,两半
麦糵,"两,钱"
安神膏,g
白芜荑,None
羊胫炭,None
使君子仁,None
水洗,None
黑铅,None
将松香研末,None
焦艾,克
以瓜水浸,None
藿梗,g
鸡子黄,个
乙醇提取物,None
人指甲,钱
酒浸两宿,None
芎?,"两,分,钱,None"
焰消,分
槐枝,"两,厘"
肥知母,g
白糖,"None,克,g"
活蝎,个
荆芥,"克,g,两,钱,None,分"
尖双仁,"None,两"
紫菀,"两,g,None,两半"
厚朴,"None,两,克,钱5分,钱,斤,分,g"
制没药,"g,钱"
樟脑,"钱,两,g,克,None"
胡茄子,钱
抗药,g
放冷,两
羚羊角屑,"两,克,分"
香附米,"克,两,钱"
火麻仁,"分,g,两,两半,克,None"
皂荚仁,两
煨干,None
蓝叶,克
云茯苓,g
吴茱萸,"None,克,两,分,g"
木香,"两5钱,两,克,None,g,钱,两半,分"
阳起石,"两,g,None"
真羚羊角,None
酒常山,g
白盐,两
防风,"钱,两,两2钱,分,克,g,None,两半,钱5分"
青桐白皮,两
分为小块,None
罂粟,None
仙茅酒,None
防己,"g,两,None,克,分"
厚朴花,g
柴胡,"克,两,分,g,None,钱半,钱"
沸汤洗,None
川牛膝,"两半,克,g"
炙僵蚕,"g,克"
辛荑,g
大朱砂,克
狗脊,钱
辰茯神,克
大腹皮,"克,钱5分,g,两"
片子姜黄,克
茯苓粉,克
海桐皮,None
再入麸炒,None
干蜗牛,克
白敛,钱
滑石末,两
真芜荑,分
鱼鳔,两
板蓝根,g
藿香,"克,g,钱,分,None,两"
生甘草,"克,两,g,钱"
功劳叶,g
粳米,"克,～100克,-100g,两,合,None"
可用楝实,克
草蔻,"钱,克,None"
将滓炒微黄,None
西瓜霜,钱
水煮半日,None
佛手,g
人乳,"克,None"
新布裹,克
丈夫发灰,两
拣择无泥土者,None
罂粟壳,"None,两"
熟干地黄,"克,两,None"
昼夜,None
响,None
花碱,钱
槐角子,两
吴白术,None
荆芥蕙,g
加灯心,茎
酒地,两
赤苓,"克,钱,两,分,g,None"
生硼砂,钱
黑枣,枚
黑驴粪,钱5分
雄黄粉,g
谷蘖,克
再用酒调成膏,None
再拌松香,None
三七粉,g
礞石,克
木贼,"None,两"
麻子仁,克
青竹皮,两
白占,两5钱
再拉拔换水,None
陈年死狗颅骨,具
白薇,"g,克,两,分"
闹羊花汁,None
将好醋,None
粉干葛,钱
真珠末,"钱,克"
去生姜,None
生山楂,g
芒硝,"克,g"
赤金,张
古铜钱,None
烧酒,None
椒等洗,None
踯躅,克
樗白皮,两
蜂窠鹤虱,钱
炒茯神,克
竹沥半合,None
红花,"g,两,None,钱,克,分"
尤齿,g
次入末一处,None
艾曲,升
冬瓜子,g
龙骨,"钱,克,两,None,g,-25克"
以盆复坑,None
去足,None
真蟾酥,钱
倾去水,None
枫香,两
胡桐泪,两
牡蛎,"钱,克,两,g,None,分,-25克"
白果,g
炒表芽,g
薄荷脑,g
鹤虱,"两,两半"
捣汁蜂蜜,毫升
韭菜籽,g
于白术,两
草乌,"钱,两,g,钱半,None,克"
用酒,None
山药,"钱,g,两,克,钱半,None,斤"
真血结,钱
三七,"g,None"
荜茇,"None,钱,两"
去炭尽,克
黄土,钱
白前,"g,两半"
醋拌,None
杏仁霜,None
甘油,g
豆蔻,None
大柏皮,None
炒柏子仁,克
辣桂,"钱,None"
大蓟根,两
槐角,None
海藻,"石,g"
尖槟榔,克
紫檀香,g
黑桑耳,两
车前草,g
黄连水飞,None
青卅枣,两
双防己,两
甘草浸膏,g
切去头上子,None
灯心草,"两,厘,g"
黑豆,"升,两"
夏枯草,"g,克,None,钱"
葶苈子,"g,克,两,分,None"
母丁香,"两,分"
莲须,"分,克,两5钱,g"
瓜蒌壳,g
酒精,毫升
苏木,"克,None"
金钱草,"g,克,钱"
茜草炭,g
合欢花,"g,两,克,None"
香细墨,钱
浙贝,g
白丁香,钱
不蛀皂角两挺,None
用井水,升
用流水润透,None
令赤色,None
蒸焙,两
用姜汁与酒合和涂炙,克
一方有琥珀,钱
倍干,两
马钱子,"两,g"
黑衣,None
石韦,分
玉屑,钱5分
干葛锉细,None
蜡茶,None
米酒,None
川羌活,None
硼砂,"g,钱5分,钱,克"
辅料,None
醋制香附,g
黄柏,"钱,两,两5钱,None,g,克,分,钱5分,斤"
半枝莲,"g,克"
百草霜,两
明玳瑁,g
500,None
谷芽,"克,g"
双仁,None
桔便,g
大川芎,两半
生鸡内金,克
五加皮,"两,克"
饴糖,g
梨汁,None
制何首乌,None
大麦糱,钱
莲心肉,钱
广枣,g
麦麸,升
枯萝卜,g
洋花参,g
酒润,None
莲心,"支,两,g,克,合,分"
枸杞子,"两,两5钱,None,g,两半,克,分"
麻黄,"g,两,None,克,钱半,钱"
五谷虫,个
南木香,"None,钱"
蛇蜕半条,None
蛇床子,"g,两,克"
与半夏同捣烂,克
大两,None
姜汁浸,"两,None"
桑灰亦得,None
桑椹子,两
牡丹花,分
胡桃肉,钱
茶,g
红豆蔻,两
白凤仙汁,None
皂角末,分
川当归,"None,两"
生芦根,合
大当归,两
芝麻油,g
朴消,"钱,克,两"
海螵蛸,"g,两,钱,克"
铅粉,钱
黄苓,两
松石蕊,g
只,叶
巴豆肉,两半
肉苁蓉,"None,g,两半,克,两"
正梅片,g
麦冬,"g,None,克,钱,两,两5钱,～9克,分,钱7分,两半,石"
作饼,None
全蝎,"None,个,两,条,克,钱,分,g"
生龙牡,g
煮,None
大赭石,"克,两"
高山辣根菜,g
净蝉衣,克
新罗参,两
黑牵牛,分
杜仲,"两,g,两半,克,None,钱,分"
珍珠层粉,g
干荷叶,角
陈粟米,合
桑螵,g
白面粉,克
苏叶,"克,钱,None,g,分"
闹杨花,分
紫苏茎叶,分
远志,"钱,分,None,两,克,g,钱5分,钱7分,钱半,石"
瓜蒌,"克,g,None,钱,分,个"
绿豆,"粒,两,升,克"
三丫虎,g
萆薢,"两,克"
莱菔子,g
橘饼,克
浮萍草,"None,克"
胡连,"钱,分,两,克,g"
闹洋花,g
用粗罗子罗过,None
桑牛半个,None
仙茅,g
赤丹参,克
候冷,None
黄芪,"两,g,克,None,钱,两半,分"
大辰砂,克
生绿豆,g
广藿香,g
白头翁,g
炒绿矾,克
曲衣,合
秦艽肉,两
玉霜,两3钱
糯米泔浸透,None
白茅根,"g,-30克,None"
炒子芩,g
绞股蓝,g
牛胆南星,两
六月雪,g
海沉香,克
炭火中煅红,None
研之无声,"钱,分"
琐阳,两
生箭耆,两
黄连粉,g
马齿苋,g
寒水石,"克,千克,钱,g,None"
川乌,"g,两,克,个,None"
菟丝子,"两,None,g,钱,斤,两半"
分为,贴
天台,克
酸枣仁末,克
真阿胶,两
白朴叶,g
四物汤加白术,None
当归尾,"克,钱,g"
去滑,None
踯躅花根,None
苍术,"两5钱,钱5分,钱,两,None,g,克"
生苡米,"克,g"
车前子,"None,g,两,克,钱,钱5分"
葛根,"克,g,None,钱,分,两"
马蔺花,None
重楼,"None,两,g"
胆矾,"两,克"
酒条芩,克
枇把叶,None
生三七粉,-5克
真川贝,两
恒山,两
雌黄,None
小胡麻,g
七气罂口,None
候面熟为度,None
端直而长,None
萆解,g
舶上茴香,克
每煎时取,贴
紫石英,"克,两,None,g"
犀角,"分,钱,两,None,克,g"
麸炒微黄,None
京墨,两
朱灯芯,g
甘,克
蘘荷根,两
紫荆皮,None
五味子,"g,两,克,钱5分,钱,粒,None,石,两半,株,分"
生杏仁,两
去丝,"None,克"
干桑叶,两
川红花,None
射干,"g,分"
干胭脂,钱
白蔹,"None,两"
黄葵花,钱
紫苏,"None,g,分"
准小麦,g
太子参,g
牛鞭,条
枣根白皮,两
大艾,g
藁本,"两,克"
厚桂,钱
破故子,"None,两,g,钱,克"
如此九次,None
管仲,两
生珍珠,钱2分
秋麻子,升
颗块朱砂,两
白豆蔻,"克,分,g,两,None"
鳖头,个
同甘草,两
玳瑁,None
剥核,None
鸡子,None
取人参汁再熬成膏,None
罗参,"两,克"
甘遂,"两,克"
截碎,None
黑枣仁,g
白附,钱
酒黄连,两半
银锅内熬去水一半,None
獖猪心,个
好人参,两
生远志,g
老鹳草,g
枯矾,"克,双,分"
香附,"None,钱7分,两,克,分,g,合,钱,两半"
生耆,钱
生地黄汁,升
沙苑子,"g,两"
前胡,"g,None,两,分,克,钱"
乳没,g
制大黄,g
于沸汤中掠过,None
蚌粉,两
酥炙,None
洗去蜜酒令尽,None
炒蒲黄,g
萤火虫,枚
竹沥,"合,升,两"
又谓之乌龙尾,两
去纸,None
茜草,g
京牛黄,克
顶上沉香,钱
紫参,两
辰州朱砂,g
制硫磺,g
牙消,两
木灵芝,"g,None"
同煮水尽为度,None
广狗鞭,None
毕澄茄,"钱,None"
虎杖,"g,克"
琥珀末,"None,g"
川归,None
狼毒,两
藏红花,克
商陆根汁,None
酒炒白芍,克
梅花片,片
炒米黄为度,None
人中白,"两,g,克,钱"
白术,"两5钱,两,克,None,钱,分,g,～9克,两半"
用炭火,千克
苣胜子,None
川芎,"两,g,两5钱,克,None,钱,分,两半"
火硝,"钱,两"
旋覆花,"g,分,两,钱5分"
乌头,升
半边莲,g
鹿角片,g
新水飞过,两
淫羊藿叶,g
红景天,g
刺力,g
木瓜,"g,两,分"
蓖麻半粒,None
知母肉,钱
在坑内烧红,克
桑根白皮,"克,两,两半"
白信石,"两,分,None"
干山药,"克,两"
木条,g
桑枝,"两,g,克"
钟乳石,钱6分
龟板,"g,None,两"
蟾蜍,分
水芹菜根,g
蚕砂,两
天雄,"两,None,克"
当归,"两,钱半,g,两5钱,None,克,钱,钱7分,合,石,分,两半"
天麻,"None,钱,两,两2钱,克,两5钱,-2两,钱半,g"
炒金铃子,克
研为细末,None
蝉蜕,"钱,两5钱,两,个,g,None,克"
紫河车,g
白花败酱草,g
土瓜根,两
鹿角霜,"两,g"
自然铜,"钱,None"
天花粉,"None,钱,两,g,克"
防葵,分
地黄,"钱,None,g"
苏子,"g,None,两"
百部,g
童便浸,None
须洗去泥,None
败酱草,"克,g"
炙令黄色,钱
羚羊角粉,g
捻,None
阴地蕨,g
黄金,千克
