雄黄,"钱,两,克,None,分,g,钱半,斤"
柏子仁,"克,～15克,-15g,钱5分,g,None,两,钱7分,钱"
葱白,"握,斤"
薄荷,"两5钱,两,分,克,g,钱,None"
诃子,"克,g,两,两半,钱,分"
勿令泄气,克
生川,钱
辰茯苓,g
马牙消,"克,钱"
漏芦,"钱,克,两"
伸筋草,g
穿山甲,"两,片,g"
肉桂,"钱,钱5分,g,两,分,克,None,两3分,两半"
去芦须,None
篇蓄,钱
巴戟天,"两,None,g,克"
地龙,"g,钱,None,两,钱半"
生龙脑,"分,克"
涂姜汁,克
甘菊花,"两,None,斤,钱,克"
尸地龙,石
甜瓜子仁,钱
蔓荆子,"g,分,两,钱"
大豆,"枚,两,None"
上沉香,克
山豆根,"g,None,钱"
桔梗,"None,两,钱,分,两5钱,克,g,钱5分"
紫贝齿,"None,g"
法夏,"g,石"
大力,g
西洋参,"钱,g"
急者用,克
炙何首乌,g
低榆,g
冬葵子,"分,g,合"
生白芍,"两,g,钱"
羊蹄根,None
石长生,克
葫芦巴,"钱,克"
斑蝥,"枚,钱"
虎仗,g
玛瑙石,g
黄酒,两
熟艾,"两,斤"
酒淬,None
观皮,g
商陆根,两
生干地黄,"两,None"
附子,"分,枚,两,g,None,克,钱,两半"
常山,"g,两"
益母草,"kg,g,两,None"
野于术,克
杏仁,"None,克,g,两半,分,两,钱,枚"
芡实仁,钱半
沙菀蒺藜,两
净洗去血脉,None
用线缚住,None
韭菜汁,None
赤小豆,"两,g,None"
松香,"斤,None,克"
三棱,"两,None"
酸榴皮,两
夜明沙,None
山奈,两
生在大黄,-10克
血余炭,"钱5分,g,两"
川羌,"两,钱,两5钱,克,g,None,两半"
壁虎,"个,g"
搅浊令匀,None
怀生地,钱
倾入童便内,None
鲩鱼胆,个
猪心,具
玫瑰花,g
槟榔,"克,分,两,钱5分,None,g,钱,枚,两半"
月以后收采,None
乳香,"g,两,钱5分,None,钱3分,分,克,钱,钱半"
海龙,条
黄獍角,对
三桠苦,g
猪苓,"分,g,克"
穿心莲,g
黄连,"钱,钱半,克,两,None,～6克,g,合,两半,分,铢"
藿香叶,"克,钱,两"
马勃,分
猪脂,克
茯神,"g,钱,None,钱半,两,两半,克,钱4分,石"
山栀仁,"None,克,钱"
露蜂房,"g,克"
山茱萸肉,两半
研取枣汁约,升
高良姜,"两,克,None"
鱼腥草,g
嫩松香,g
巴豆,"钱,个,g,枚,粒,克,None"
