雄黄,"g,钱,两,分,克,钱5分"
黄连,"None,克,g,钱,两半,两,分,钱半,铢"
纸裹浸湿,None
墓回头,g
鹅不食草,钱
麸炒,两
姜皮,g
马勃,"g,分"
斑蝥,"个,分"
茯神,"两,克,分,None,钱4分,两半,钱"
山栀仁,"None,分"
黄皮叶,g
楷杷叶,None
瓜篓皮,g
露蜂房,"克,g,分,两"
乌扇,分
紫苏茎,两
乌金石,None
白豆蔻,"None,g,升,两"
干蟾皮,g
高良姜,"钱,两,克"
鱼腥草,g
地耳草,g
枣子,两
防己,"g,钱,分,两"
巴豆,"g,粒,升,两,None,克"
