雄黄,"g,钱,两,分,克,钱5分"
宣黄连,两
秦皮,"g,铢"
败酱草,"g,两"
旱莲汁,斤
焦栀芩,克
酒生地,g
生硫黄,钱
随巴下槟榔,None
蜜,升
信石,钱
朱砂,"两,克,钱,分"
恶实子,两
龟板胶,g
次以曾青,None
栝萎,g
锁阳,钱
海马,"克,对"
半夏,"分,克,None,钱,g,钱半,两,-1两,钱5分"
陈萝卜缨,g
禹余粮,两
牡丹花瓣,g
台乌药,g
姜屑,None
白萝卜汁,g
珍珠子,钱
刘奇奴,g
穿山甲粉,g
郁李仁,"g,两半,两"
南瓜子,g
制白附子,g
红枣肉,两5钱
风化石灰末,升
只用蜡油,None
生槐花,g
微炒,None
黑丑,"两,分,克"
梅桂,钱
次入巴,None
家韭子,两
银箔,片
川升麻,"克,分,两"
鳖甲生地黄当归白芍川芎,None
青天葵,g
黑矾,两
双仁,None
安息香,两
白药末,两
马蔺子,两
漂海藻,g
妇人油发,None
拣丁香,两
蔻壳,g
钟乳石,"两,钱"
昆布,"两,克,None,分,g"
白鲜皮,g
连翘,"克,钱,None,g,重,两"
净钩藤,钱
藿香,"g,两,钱,克,钱5分"
山慈菇,"克,g"
黄药子,"kg,克,g"
续断,"g,钱,分,两,克,None"
五金,g
欢皮,g
莪术,"克,g,石,钱,两,None,分"
苏合香,g
槐花,"g,两,克,None"
别研如酪,None
蛤壳,"克,g,份"
南沙参,g
了哥王,g
炙鳖甲,"克,g"
干草,g
僵蚕,"克,None,g,两,-2两,分,条"
拌浸一宿,None
香薷,"钱半,钱"
芥穗,"克,g,两,None"
铅霜,两
制甲珠,g
制大黄,g
杜蛎,g
鲜芡实,克
广郁金,g
鲜猪胰,条
于银石器中熬,None
锡内散,支
白薇,"分,两"
路路通,"克,g"
鳖甲,"分,两,克,只,g,两半,None,钱"
荜茇,"两,钱,分"
铁粉,两
鲜鱼腥草,克
醋炙文术,g
降香,g
净黄土,斤
以酒,升
落得打,g
威灵仙,"g,None,两,克"
熟地,"克,钱,None,g,斤,两"
生明矾,克
预知子,g
生栀子,g
虻虫,"g,枚,克"
廉珠,钱
钩藤,"g,两"
瓦楞子,"g,片"
黄柏皮,钱
酸枣仁,"克,g,两,分,钱,None,升"
淡豆豉,"None,合,两"
凡士林,两
没食子,两
建曲,g
莲心米露,g
川芎炭,钱
大豆黄,克
地骨皮,"克,None,g,两,分"
片姜黄,"None,克"
花椒,"g,克,两,None,分,钱"
菝契,g
鸡内金,"个,克,g"
曾青,两
全丁香,g
川白姜,两
公丁香,"g,个,钱,克,两,None,分"
地枫皮,钱
苦地丁,"克,g"
小麦,"克,撮"
炙山甲,g
淫羊霍,g
生黄耆,钱
天南星,"克,None,g,两,-1两,钱"
