雄黄,"钱,克,字,分"
以密棱布,None
硝石,g
粗厉黄石,斤
仙鹤草,g
玄明粉,钱
新莲蕊,两
雷夫奴尔,g
紫梢花,"钱,两,克"
血余炭,g
紫草,"钱,None"
龙骨,"两,None,g,克,钱"
如无鹿胶,None
川桂皮,钱
白花蛇舌草,g
麻油,"斤4两,升"
炒藕节,g
浮萍草,克
穿山甲,"两2钱半,钱,两,克,g,两6钱"
鹿鞭,"具,两"
蒲公英,g
人参,"两,钱,～10克,克,g,钱5分,分,两半,两2钱,None,钱半,～15克"
半夏曲,两
轻粉,"钱,分,贴"
王瓜消,钱
恒山虎肾,分
乌梢蛇,两
蕲蛇,"None,两"
埋在坑内,None
刷洗净,None
瓜娄,两
火焙干,None
茜草,"g,克"
真香油,两
小生地,钱5分
荆芥,"两,钱,分,None,g"
钟乳粉,"分,两,克"
绵黄耆,None
同煮,None
斑蝥,"分,钱"
羚羊粉,"两,g,钱半,两3钱半"
生明矾,钱
黑荆芥,钱
苍耳子,"None,两,g"
旋覆花,"方,两,g"
羊石,对
矮地茶,"g,石"
蒺藜,"两,斤,None,克,g"
诃黎勒皮,克
川乌,"两,钱,克,g"
九蒸熟地,两
鹿角胶,"两,斤,克,g"
虻虫,两
剥去皱皮,None
炙黄芪,g
海浮石,两
生犀角,两
瓜萎仁,克
沉香,"钱,两,分,两半,克,钱半,None,g"
枇杷叶,"克,分,两"
榴叶,g
斑螫,枚
苦参,"两,g,None"
锁阳,"两,克,g,钱"
炙党参,g
入瓷瓶中,None
黄精,"两,None,克,g"
陈莲蓬,个
马蔺花,两
卷柏,克
麻黄根,克
好酒煮熟,两
茯苓皮,克
鲤鱼,头
大风子,两
白花蛇肉,钱
白芍,"两,钱,g,None,克,分,钱5分"
桑螵蛸,钱
大青盐,"钱,分,两,两2钱,克"
鱼腥草,g
乳汁拌,None
捣不成丸,克
金毛脊,克
肥当归,两
忍冬藤,"克,g"
谷精草,"钱,克,g"
韭菜子,"两,钱,g,升"
丝棉,g
石膏,"两,g,None,钱,克"
栀子,"克,g,None"
桑寄,g
鸡血藤,g
干姜,"钱,两,None,斤,分,克,g,片,～6克"
明雄,钱
赤芍,"分,两,g,钱,克,None"
猪脊髓,"条,None"
琐阳,钱
首儿衣,None
生栀仁,g
豨莶草,克
白菊花,两2钱
鲜枇杷叶,张
地骨皮,"斤,两,钱,分,None,克,g"
乌脑,分
皂角,"钱,None,斤"
用桑白皮,两
枳壳,"两,钱,克,g,None,分"
和药末为丸,克
阿胶,"克,两,两5钱,g,钱,分"
雚芦,分
劈成薄片,None
酒洗,"None,两"
猪脂,斤
甘草节,克
块云苓,两
犀角屑,"分,克"
丹参,"两,g,钱,分,克"
挑去血筋,None
取入砂盆内,None
芡实肉红者,两
白莲须,钱
白艾叶,两
净洗,"None,两"
铜绿,None
罂干桑柴慢火煮,None
焦山楂,g
掺入,None
炒面,克
真珠末,分
慢火熬成膏,克
使君子,克
夜明砂,两
牛蒡子根,两
新升麻,钱5分
何首乌,"钱,克,两,g,斤,千克,None"
绞取汁,None
蜂蜡,"两,斤"
金樱子膏,"两,克"
松子仁,None
血竭,"钱半,钱,g"
细曲,g
嫩鹿茸,两
每角,斤
酒蒸熟,None
北沙参,"g,两,石,None,钱,克"
沉香曲,g
北五味子,"两,None,克"
虎骨,"钱,两"
就炒作声,None
黑磁石,克
藜芦,铢
猪胰,两
海藻,g
真酥油,斤
一罂药物,None
层层放实,None
再泡,None
醋淬,None
大茴香,"两,钱,克"
硇砂,"克,钱"
大青叶,"两,g"
又加南烧酒,千克
须炒得不可焦黑,None
炒祁术,g
金樱子,"两,克,g"
牛髓,千克
山楂,"分,斤"
川贝,"克,None,g,钱"
角罂添汤煮,None
伏火灵砂,分
一半去油,两
查肉,None
律草,g
土茯苓,g
切不可入冷水在角罂中,None
麦糵,"两,斤"
北柴胡,分
西红花,g
生龟版,钱
