牛黄,水牛角,麝香,珍珠,朱砂,雄黄,黄连,黄芩,栀子,郁金,冰片
牛黄,郁金,犀角,黄连,朱砂,冰片,麝香,珍珠,栀子,雄黄,黄芩,蜂蜜,金箔
牛黄,水牛角,麝香,珍珠,朱砂,雄黄,黄连,黄芩,栀子,郁金,冰片
绿豆粉,石膏,滑石,白芷
柴胡,薄荷,菊花,蔓荆子,防风,芥穗,黄芩,桔梗,川芎,白芷,枳壳,水牛角,细辛,龙胆草,辛荑
檀香,零陵香,白芷,香排草,姜黄,玫瑰花,甘松,公丁香,木香
檀香,零陵香,白芷,香榧草,姜黄,玫瑰花,甘松,公丁香,木香,麝香,冰片,朱砂,薄荷脑
苍耳子,黄芩,辛荑花,防风,甘草
半夏,茯苓,橘红,甘草,石菖蒲,天南星,枳实
细辛,皂角,半夏
川芎,荆芥,白芷,桔梗,甘草,黄芩,川贝,黑山栀
磁石,捣碎,赤苓,川木通,人参,羚羊角屑,赤石脂,石菖蒲,远志,麦冬
肉苁蓉,山萸肉,石龙芮,石菖蒲,菟丝子,酒浸,川羌活,鹿茸,酒浸,磁石,醋淬七次,石斛,附子,全蝎,麝香
鲜生地,京玄参,麦冬,浙贝,白芷,槟榔,丹皮,连翘,金银花,牛膝,山豆根,牛蒡子,粉甘草,草果,嫩射干
鲜生地,玄参,白芷,麦冬,浙贝,金银花,牛蒡子,山豆根,槟榔,射干,丹皮,厚朴,甘草,草果,牛膝
生玳瑁,生山栀,细木通,竹沥,广郁金,青连翘,丹皮,生姜汁,鲜石菖蒲计,小匙,紫金片
皂角,广藿香,白芷,陈皮,贯众,薄荷,生甘草黄,木香,桔梗,半夏,明雄黄,明朱砂,防风,细辛,枯矾
当归,白术,赤芍,川芎,黄芩,泽泻,茯苓,薄荷,辛荑花,蝉蜕,干地龙
天南星,半夏,枳实,橘红,厚朴,石菖蒲,竹沥,干姜
鹅不食草,辛夷花,盐酸麻黄素,葡萄糖粉
熟地,巴戟天,山萸肉,肉苁蓉,附子,石斛,五味子,肉桂,茯苓,麦冬,远志,石菖蒲,干姜,大枣
天麻,川贝,胆南星,半夏,陈皮,茯苓,茯神,丹参,麦冬,石菖蒲,远志,全蝎,僵蚕,去嘴,真琥珀,朱砂,竹沥一小碗,姜汁一杯
生地,丹皮,泽泻,茯苓,山萸肉,牡蛎,龙骨,山萸肉,竹茹,白芍,山药,石菖蒲,远志
陈皮,厚朴,苍术,郁金,砂仁,竹茹,石菖蒲
生地,麦冬,白芍,石菖蒲,石斛,川丹皮,茯神,陈皮,川木通,知母
茯苓皮,薏苡仁,猪苓,大腹皮,通草,淡竹叶
香排草,零陵香,甘松,白芷,公丁香,玫瑰花,广木香,檀香,姜黄
苍术,陈皮,五加皮,厚朴,闹羊花,茯苓,槟榔,细辛,百草霜,皂角,藿香,灯心草炭,雄黄粉,朱砂,冰片,麝香,牛黄
胆南星,天竺黄,半夏曲,茯神,旋覆花,竹沥,钩藤
生耆,当归,赤芍,白芍,何首乌藤,茵陈蒿,藿香,佩兰,杏仁,橘红,郁金,远志,石菖蒲,黄连,琥珀,羚羊粉
白附子,石菖蒲,远志,天麻,全蝎,川羌,僵蚕,木香,牛胆南星
麝香,牛黄,蟾酥,肉桂,金刚莲,薄荷脑,樟脑块,白芷,细辛,皂角,广藿香,漂朱砂,甘草粉
麝香,冰片,白芨,白芷,乳香,没药,公丁香,朱砂
冬葵子,茯苓
冬葵子,茯苓
牛黄,朱砂,郁金,丹皮,樟脑,甘草
黄连,黄芩,山栀仁,郁金,朱砂,牛黄
羚羊粉,朴消,皂角,广木香,黄柏,苍术,茜草,黄芩,半夏,蛤壳,金银花,黄连,犀角,厚朴,川乌,玳瑁,大黄,藿香,玄精石,郁金,茯苓,香附,肉桂,赤小豆,降香,鬼箭羽,朱砂,毛茨菇,大枣,甘遂,红大戟,桑白皮,千金霜,桃仁霜,槟榔,莪术,胡椒,葶苈子,牛黄,巴豆,细辛,白芍,公丁香,当归,禹余粮,滑石,山豆根,麻黄,麝香,石菖蒲,水安息,干姜,蒲黄,丹参,天麻,升麻,柴胡,紫苏,川芎,重楼,檀香,桔梗,白芷,紫菀,芫花,雌黄,琥珀,冰片,陈皮,雄黄,斑蝥,蜈蚣,石龙子
千里光,卷柏,川羌,草决明,麻黄,川芎,白芷
黄芩,黄连,麦冬,天花粉,茯神,丹参,牛黄,石菖蒲,远志
当归,川芎,白芍,生地,远志,陈皮,麦冬,石菖蒲,乌药,枳实,天南星,茯苓,黄连,防风,川羌,半夏,甘草
白附,天南星,半夏,黄连,天花粉,僵蚕,去丝,川乌,郁金,天麻,川羌
白芍,当归,柴胡,栀子,玄参,天花粉,石菖蒲
犀角尖,生地,淡豆豉,连翘,黄芩,板蓝根,金银花,人中黄,玄参,天花粉,石菖蒲,紫草
生黄芪,当归,滑石,升麻,柴胡,甘草,石菖蒲,竹叶
升麻,青皮,黄芪,木香,苏叶,乌药,柴胡,大腹皮,川芎,蔓荆子,石菖蒲
公丁香,木香,乳香,藿香,苏合香,降香,海沉香,安息香,麝香,香附,诃子,僵蚕,天麻,郁金,萎仁,磺石,甘草,建莲心,檀香,朱砂,琥珀,京牛黄,冰片,大赤金箔
沉香,公丁香,檀香,青木香,香附,降香,广藿香,乳香,天麻,僵蚕,郁金,莲心,瓜蒌,金礞石,诃子,甘草,苏合香,安息香,麝香,冰片,朱砂,琥珀,牛黄
皂角,细辛,薄荷,广藿香,木香,白芷,防风,陈皮,半夏,桔梗,甘草,贯众,白矾,雄黄,朱砂
铁粉,牛黄,金箔,银箔,麝香,远志,马牙消,僵蚕,丹参,茯神,川升麻,白附子
小茴香,木香,全蝎,元胡,陈皮,石菖蒲,川羌,僵蚕,川芎,蝉蜕,穿山甲,甘草
防风,川羌,藁本,升麻,葛根,川芎,苍术,麻黄,白芷,花椒,细辛,甘草
人参,茯神,半夏,陈皮,神曲,甘草,附子,石菖蒲,酸枣仁
川贝,陈皮,木香,白豆蔻,枳壳,半夏,沉香,天竺黄,僵蚕,全蝎,檀香,牛黄,麝香,胆南星,钩藤,大黄,天麻,甘草,朱砂
牛黄,天竺黄,煅青礞石,制半夏,黄连,胆南星,川贝,胡连,朱砂,石菖蒲,珍珠,麝香
薄荷,防风,桔梗,辛荑花,黄芪,白术,牛蒡子,百合,南沙参,北沙参,蒌皮根,前胡,石菖蒲,甘草
辛夷花,黄芩,栀子,麦冬,百合,石膏,知母,甘草,枇杷叶,升麻
天南星,半夏,苍术,黄芩,辛夷花,川芎,黄柏,滑石,牡蛎
藿香,佩兰,半夏,瓜蒌壳,黄连,黄芩,栀子,天竺黄,郁金,石菖蒲,竹茹,六一散
生地,枳壳,当归,赤芍,川芎,桔梗,柴胡,甘草,桃仁,红花,怀牛膝,丝瓜络,路路通,石菖蒲
磁石,巴戟天,大川椒,沉香,石菖蒲
鱼脑石粉,冰片,辛夷花,细辛
丹参,玉竹,女贞子,牡蛎,钩藤,竹茹,白芍,麦冬,茯神,柏子仁,知母,远志,石菖蒲,甘草
柴胡,栀子,川羌,升麻,甘草,赤芍,草决明,茯苓,车前子,黄芩,黄连,大黄,青竹叶,泽泻
苍耳子,鹅不食草
天麻,牛黄,全蝎,僵蚕,蝉蜕,川贝,白附子,木香,茯神,酸枣仁,朱砂
生甘草,朱砂,细辛,白芷,雄黄,藿香,半夏,秸矾,防风,木香,贯冲,陈皮,皂角,冰片,薄荷脑
生铁塔,丹参,天南星,石菖蒲,远志,炙地龙,甘草
茵陈蒿,黑山栀,炒黄柏,车前子,茯苓,白术,陈皮
破故子,金樱子,防风,藁本,浮萍草,石菖蒲,甘草
马钱子,全蝎,尸地龙,石菖蒲,制半夏,僵蚕,乳香,没药,生甘草,生绿豆
熟地,肉桂,车前子,海金砂,川牛膝,半枝莲,水蛭粉,胡桃肉,郁金,石菖蒲
野菊花,连翘,苍耳子,藿香,桔梗,川芎,辛夷花,白芷,薄荷,生甘草,草蒲
川芎,桃仁,红花,蔓莉子,菊花,地龙,白芍,远志
萆薢,石菖蒲,黄柏,车前子,茯苓,丹参,白术,连子心
苍耳子,辛夷花,党参,茯苓,冬瓜子,泽泻,白术,川木通,车前子,甘草
川芎,荜茇,柴胡,白芷,土元,葛根,川羌活,蔓荆子,香附,全蝎
苍耳子,白芷,桔梗,川芎,防风,甘草,细辛,辛夷花,黄芩,连翘
升麻,穿山甲,环留行,鹿角霜,白芷,辛痍,鱼腥草,蒲公英,薏苡仁,天花粉,黄芪,甘草
桑白皮,地骨皮,黄芩,苍耳子,白芷,川芎,败酱草,辛夷花,桔梗,薄荷,甘草
黄芪,白芷,辛夷花,苍耳子,荆芥,防风,柴胡,薄荷,川芎,五味子,甘草
当归,赤芍,蒺藜,石菖蒲,酸枣仁,僵蚕,元胡,川芎,夜交藤,菊花,白芷
天麻,川芎,赤芍,连翘,茯苓,半夏,胆南星,天竺黄,实,贝母粉,珍珠,石菖蒲
鱼腥草,炒苍耳子,辛夷花,桔梗,白芷,甘草
桃仁,红花,川芎,石菖蒲,大黄,代赭石,琥珀末
陈皮,苍耳子,薏苡仁,连翘,葛根,辛芨,白芷,菊花,茜草,薄荷
黄芪,紫河车,石菖蒲,胆南星,陈皮,半夏,丹参,僵蚕,地龙,郁金,金蝎,蜈蚣
黄芪,党参,忍冬藤,鹅不食草,白术,防风,百芷,辛麦,苍耳子,黄苓,当归,丹参,甘草
黄芪,白术,赤芍,防风,苍耳子,半夏,白芷,柴胡,蝉房,蝉蜕,甘草
附子,白术,川芎,白芍,三七,丹参,泽泻,石菖蒲,桂枝,露蜂房,干姜
金银花,苍耳子,川芎,蔓荆子,黄芩,细辛,薄荷,甘草
细辛,白芷,辛夷花,苍耳子,薄荷,藿香,石菖蒲,川芎,栀子,黄芩
丹参,赤芍,桃仁,红花,琥珀,大黄,菖薄,郁金,柴胡,香附
川芎,白芷,远志,冰片
川芎,桃仁,红花,赤芍,丹参,三七粉,水蛭,川牛膝,茯苓,益母草,白茅根,石菖蒲
辛夷花,白芷,薄荷,黄芩,金银花,茜草,蒲公英,藿香,生甘草
茯苓,桂枝,白术,甘草,泽泻,法夏,干姜,陈皮,龙骨,牡蛎
熟地,山萸肉,赤芍,地龙,法夏,竹茹,石菖蒲,远志,黄芪,草决明
丹参,葛根,川芎,赤芍,石菖蒲,远志,郁金,壁虎
白附子,石菖蒲,远志,全蝎,天麻,天南星,当归,赤芍,水蛭,黄芪,黄精,熟地
丹参,川芎,鸡血藤,当归,葛根,石菖蒲,郁金,路路通
沉香,木香,佛手,山药,石菖蒲,人工牛黄,朱砂,琥珀,郁金,柴胡,酸枣仁,远志
藿香,黄芩,辛荑花,苍耳子,鱼腥草,白芷,浙贝,桔梗,通草,生甘草
桃仁,赤芍,柴胡,香附,法夏,青皮,苏子,全蝎,石菖蒲,川芎,当归,瓜蒌
党参,黄芪,熟地,何首乌,黄精,丹参,赤芍,远志,石菖蒲,地龙,僵蚕,郁金
桃仁,红花,当归,赤芍,川芎,生地,柴胡,琥珀末,石菖蒲,甘草
苍耳子,白芷,辛荑花,薄荷
半夏,胆南星,石菖蒲,陈皮,僵蚕,川木通,茯苓,白附子
泽泻,白术,制半夏,天麻,旋覆花,代赭石,珍珠母,钩藤,薄荷,党参,大枣,甘草
山萸肉,山药,熟地,黄精,当归,丹参,五味子,女贞子,茯苓,牛膝,肉苁蓉,石菖蒲
白芷,川芎,细辛,冰片
鲜地龙,半夏,郁金,大黄
生地,巴戟天,山萸肉,肉苁蓉,附子,五味子,肉桂,茯苓,麦冬,石菖蒲,远志,薄荷,干姜,大枣
蜈蚣,白矾,全蝎,胆南星,郁金,朱砂,人工牛黄
牛黄,胆南星,天竺黄,甘遂,青礞石,石菖蒲,郁金,胆矾,枳实,琥珀,生铁锈,芒硝
黄芪,白术,防风,辛夷花,黄芩,甘草
羚羊角粉,生石决明,珍珠,钩藤,胆南星,石菖蒲,白茅根,牛膝,泽泻
熟地,山萸肉,巴戟天,肉苁蓉,石菖蒲,郁金,远志,茯苓,五味子,僵蚕,全蝎,胆南星,天竺黄
金钱草,海金砂,滑石,甘草,怀牛膝,苇,车前子,茯苓,泽泻,鸡内金,肉桂
辛夷花,薄荷,苍耳子,白芷,鹅不食草,煅蚌壳,冰片,枯矾
石菖蒲,郁金,胆南星,天竺黄,川贝
人参,麦冬,五味子,黄芪,胆南星,石菖蒲,郁金,天竺黄,化橘红,醒神散
鬼前羽,胆南星,天麻,石菖蒲,远志,丹参,全蝎,蜈蚣,僵蚕,胡椒,黑丑,黑丑
半夏,茯苓,陈皮,川芎,赤芍,葛根,远志,黄芪,石菖蒲
茵陈蒿,金钱草,栀子,大黄,丹参,桃仁,当归,川芎,赤芍,枳实,厚朴,石菖蒲
川乌,草乌,白芷,僵蚕,生甘草
苍耳子,辛夷花,白芷,薄荷,麻黄,桂枝,炙升麻,路路通,野菊花,鱼腥草,丝瓜络,蔓荆子
天麻,钩藤,生石决明,杜仲,怀牛膝,白芍,代赭石,桑寄生,酸枣仁,石菖蒲,郁金,远志
太子参,炙黄芪,当归,枸杞子,杜仲,山药,石菖蒲,广郁金,蜈蚣
陈皮,半夏,茯苓,胆南星,郁金,全蝎,枳实,石菖蒲,生远志,沉香,朱砂,蜈蚣,海浮石,青礞石
陈皮,半夏,茯苓,石菖蒲,胆南星,竹茹,枳实,甘草,人参,干姜,大枣
