雄黄,"g,钱,克,两,None,分,铢,钱半"
轻粉,"钱,None,两,g,克,分,钱2分,钱半"
橘核,"g,两"
广三七粉,g
上药用酽醋,升
炒稻芽,两
蚺蛇胆,"钱,分"
杵碎,None
去头翅同炒,None
炙蜈蚣半条钩藤,g
重裹,None
侧柏叶,"钱,g,克,两,None"
乌鸦,只
止重,两
与水银结作砂子,None
淮地,钱
全蝉蜕,克
香墨,分
羚羊粉,"两,钱,None,克,g,分,两半,支"
宣州木瓜,None
苍耳子,"g,None,克,钱"
芫花根,None
用醇酒浸,None
坐拿草,两
用香油,两
诃黎勒皮,"两,分,None,克,枚"
陈豉,粒
蕤仁,"克,两,粒,钱,分,None,两半"
丝擘,None
鹿角胶,"两3钱,斤,两,g,None,克"
银柴,钱半
于瓶罐内窨成炭,None
黄瓜根,两
真西琥珀,None
生犀角,"两,克"
金果榄,None
细川连,g
马蔺花,两
艾叶炭,g
卷柏,"g,两"
细辛紫菀,克
丹妙,None
焙干研末冲服荆芥穗,g
天仙藤,"None,克,g"
以淘净黑豆,斗
白芍,"g,钱,None,克,两,分,钱2分,钱半,钱5分,两5钱,两半,两1分,钱6分,-10g,斤"
桑螵蛸,"两,克,两半,g,枚,None,分"
劈开,None
真琥珀,"克,None"
肥当归,两
枣许,None
炒去丝,两
枯荷叶,None
.当归,g
栀子,"两,g,克,分,None,钱,千克,钱半,-5g,枚,两半"
建菖蒲,g
乱发,"两,None,分"
干姜,"克,片,钱,两,斤,钱5分,两5钱,g,None,两半,分,铢,升,合,两2钱,斤半,钱半,枚"
薄荷脑,"g,克,None"
浸拌微炒,克
霍石斛,None
半石膏,None
白菊花,"克,g"
粉珍珠粉,g
小磨麻油,斤
留滓,None
鲤鱼脑髓,克
米酒,ml
盆复之,None
鸡骨草,g
味以水,碗
挂候干,None
向阳者,None
随汤煮干,克
青粱米,合
丹参,"两,g,两半,None,克,钱,石,升,分"
鲜生姜,"None,g"
玄参心,克
枙子,g
黑虎膏,None
焦山楂,g
蒸烂取出,克
铁落花,kg
牛葶子,g
曹州葶苈子,两
信石,两
使君子,"None,两,g"
另研,None
牛筋草,g
明参,g
