雄黄,"g,钱,克,两,None,分,铢,钱半"
上药仅吃.,None
茱萸,"两,None"
幅,None
真川乌,个
青皮,"分,两,两7钱半,克,None,钱,钱5分,g,两5钱,钱半,钱2分"
焦山栀子,g
苍耳根茎叶,两
炙令焦黄,None
干鼠曲草,g
金凉伞根,None
胡桃,"个,-7个,枚,None"
赤苓皮,"克,两5钱"
羊肉,"两,None"
真粉,克
王不留行,"g,两"
蛤粉炒,两
胡黄连末,分
金箔,"片,钱半,张"
蜂白蜜大半钟,None
水蛭,"g,None,分,克,个,钱"
炸蝉,枚
樟丹,"斤,None,两,g,钱,克,分"
S克,None
白皮,g
炒乳香,g
紫豆蔻面,钱
去筋,None
蚕纸,"片,张,钱"
槐白皮,两
参,两
寒食面,钱
僵蚕l,g
豹骨,g
玛瑙,分
再焙干,None
就用鹿角霜拌炒成珠,None
炒黄芩,"g,克"
别研,None
胡黄连浸膏液,ml
鲜竹漓,g
见血清,g
红粉,"g,两8钱"
猪膏,千克
瓜篓,g
炮干姜,"g,克"
桃红,g
捶破,None
石斛,"克,两半,两,分,None,g,钱,铢,两1分"
白马鬐毛,两
蚱蝉,枚
贝珠,枚
芸香浸膏,g
夜干,分
乌菱,-7个
更捩汁银石器内,None
摊地出火毒,None
再煮令干,None
银石器酒,None
蔗汁,杯
公丁香面,钱
银,None
再滤入清水内,None
盐酸小檗碱,g
味脐,None
海狗鞭,"对,两"
合欢皮,"g,None,两"
栝楼实,分
生阿胶,"钱,斤"
当归身,"克,两,钱,两半,钱5分,None"
蚵蚾草,千克
毕澄茄,"枚,两,钱,分,g"
陈瓢,g
石榴,"g,枚"
白酒,"ml,斤,公斤,克,～8000ml,枚"
瓦松,"克,g"
灯心辛,g
味不用,None
三七末,g
芍,g
13,None
用楮叶研自然汁涂却,None
罂栗壳,钱半
白羊肾,对
晚蚕沙,"克,g,两"
与鸦同入瓷瓶中,None
生炙耆,斤
枸杞根叶花,None
苦楝根,None
菜油,ml
如此者,None
鲜葱白,～5枚
白芥子,"g,钱,两,克,石,分"
百药煎,"两,None,克,钱半"
如法熬,None
毛燕,钱
栝楼仁蜂房,None
砂仁,"两,g,钱,None,钱半,分,克,斤,粒,个,两5钱,钱2分"
用醋,"克,升"
杉木炭,钱
党参,"钱,克,g,None,升,石,两"
煮掠去沫,两
生草乌,"g,两5钱,两,克"
蛇床仁,两
苁蓉,"两,克,分,铢,None,两半,钱"
枇杷叶,"None,g,钱,斤4两,两,片,克"
杏,"g,None"
熟枣肉,克
鬼箭羽,"两半,两,克,分,斤"
小碗,None
山茱萸肉,"两半,g,两"
捣研,None
老麦芽,None
味俱盐,None
配醋煮透,两
用茴香,分
真麝香,"钱,分,字"
生鸡蛋,个
再泡,None
用生姜自然汁捏作饼,None
椒等洗,None
净茴香,两
草豆蔻皮,钱
磁朱丸,钱
O克天麻,克
干姜皮,克
北耆,两
榴根皮,g
广米香,g
陈酒,None
商陆根取汁,碗
薄菏,钱
炒杜仲,"g,None"
桂枝,"克,钱,两5钱,g,两,None,钱半,斤半,片,分"
生枇杷叶,"克,钱"
黄片,两
蘑菇,斤
小茴香,"钱,两,g,克,None,分,钱5分,钱半"
真胆矾,两
细辛叶,None
冬蜜,两
荷鼻,None
金惊根,None
胆,None
雄黄不熬,None
天香炉,g
炒甘松,克
滤取细汁,None
菔子,g
鹿街草,g
炒柴胡,克
红白鸡冠花,斤
生桑皮,克
醋柴,钱
蓖麻子肉,两
倾银罐内,None
雌黄,两
琥珀末,g
新柏子仁,两
草豆蔻仁,"枚,两"
西瓜,个
陈皮四制,g
西瓜皮,g
竹刀刮,两
公藤,两3钱
桂圆肉,"斤,g,两,朵,枚"
甘蔗汁,None
石南,"克,两,分,铢"
陈壁土,两
板兰根,"g,None,钱"
万州黄药,两
细楮枝,两
白川,g
煎至,"毫升,碗"
菥蓂子,克
三七参,g
青礞石,"g,None,克"
大桉叶,g
干生地,"克,两,钱"
萆麻仁,两
鲜竹叶,"g,克"
干漆,"None,两,钱,分,克"
防风如克,None
乌药,"g,克,两5钱,钱,None,两,分"
生白术,"-15克,g,两"
大草乌,两半
野葡萄根,克
麋角屑,两
大孔出气,None
牡蛎粉,"g,分,两,克"
十灰散,钱
次安菖蒲,None
皂荚粉,g
砂糖,斤
生茜草,g
当归梢,"克,分"
真牛黄,分
生藕,g
环留行,g
猪苦胆,"个,只"
将罐口封固,None
水洗去浮者,None
西茵陈,g
高良麦,分
川木通,"分,g,两,None,克,钱半,两5钱,钱,钱6分,钱5分,斤,两半"
淮乌,个
琥珀末冲服甘草,g
生天南星,g
山红花根,None
烧存性,None
以银石铫炒尽硫黄气,None
炙花蛇,None
归梢,"克,钱"
煅出尽金色者方可用,钱
炒益智仁,两
生枳壳,"钱,克,两,钱半"
土白术,g
羊蹄草,g
入水与牙皂同煮,None
甘草书,None
熊筋,None
带衣花生仁,g
浸去酒,None
泡天雄,克
蛇退皮,条
萝卜干,两
炒王不留行,g
好醋浸,None
桔矾,g
附子片,钱
蝎,"None,个"
密蒙花,"g,两,None"
甲香,克
21,None
隔水蒸煮,None
茄子根,g
猪油,斤
虎环根,g
候冷用,斤
炒牛子,克
真京墨,两
干茄根,"克,g"
白芨,"g,两5钱,两,克,钱,None"
茯苓皮,"克,g,斤,None"
川芎当归,克
百合,"两,g,克,None,分,钱"
羊肺,"两,具"
可用茎叶,None
马蹄藤,None
白花蛇蛇草,g
青木香,"g,None,克"
白降条,两2钱
楮枝,None
阿司匹林,g
生干地黄茜根,两
磺胺嘧啶,g
柿霜,克
半豆铺复,None
柏末,钱
乌稍蛇,g
制川草乌,克
杉木节,g
黄檗,None
凡士林,两
香橡皮,g
白狗粪灰,两
只用南星,None
川蝎,两
菊花,"克,两,g,None,斤,两4钱,钱,千克,-15克,双,分"
青葙子,"两,None,克,分"
韭子种,两
淡竹叶,"None,g,钱,克,片,升,分,两"
地胆头,g
母鸡,只
爪巴止虎,g
白降丹,g
糯米,"kg,g,克,斗,粒,None,合"
茵陈蒿,"钱,两,克,g,None,两半,分"
半铺甑中,None
水瓜,"None,克"
用银罐入内,None
希签草,g
蚯蚓粪末,None
苍耳叶,None
槲寄生,"None,克,两,g"
蜡梅花,g
苦楝皮,None
广茂,克
漉出黄连,None
细研,None
绿豆白粉,克
胡椒粉,克
用黑豆,克
胭脂,钱
辛荑,"克,g,None,两"
加当归末,两
肥实者,斤
紫豆蔻,克
麸炒僵蚕,g
枸己子,g
老桑枝,g
炙乌蛇,g
人中白,"分,克,钱"
穿山甲珠,g
荫香强草皮,g
泽兰,"克,钱,None,g,两2钱半,两1分,两"
牛蒡根,"g,斤"
干木爪,两
白部,g
千金子,"g,两,分"
小豆大,None
芒硝,"克,g,None,两"
蒸百部,g
铁树叶,g
葳蕤肉,两
小胡麻,"两,克,钱,g,两半"
酒当归身,克
华阴细辛,克
甜瓜子,"两,公斤,克"
苇,g
料姜石,g
雄黄面,克
飞辰砂,钱
甜当归,g
鲜姜皮,克
杜仲炭,"斤8两,两2钱,斤"
去斑蝥,None
浙贝,"克,g,None,两,钱,个"
无名异,g
如鸡头子大,None
沙木,握
草果,"两半,克,g,两,个,斤,分,钱半,钱,两5钱,None,千克,钱2分"
加麝香,分
以地黄汁炒生姜滓,None
皮消,"克,两,None"
蕤仁霜,钱
脚子,None
川萆,g
蚣蜈,条
细叶香茶,g
去角,升
藏红花,克
山茵陈,None
牛蒡子,"g,克,两,钱,None,升,钱半,分"
碗合,None
生芝麻,合
铁,None
蔚金,对
独活白芷,克
煅熊胆,分
川楝子,"None,两,克,g,石,钱"
运志,g
梅冰片,"分,两4钱"
黄矾,两
荷叶,"张,g,角,合"
清夏,钱
胖大海,"None,g"
煮干,斤
涂生姜汁,None
金半夏,克
天灵盖,"两,None"
瓦盖不封,None
水淘,None
浆水浸半日,None
柳枝,"钱,两,克,None,斤,g,握,条"
萆解,None
作白幕如钱于壁上,None
贯众,"钱,None,两,g,斤,分"
犀角尖,克
石膏末,"克,钱"
凤仙透骨草,g
厚朴姜汁炒,g
川蜈蚣,条
金丝矾,None
山揸,g
角刺,分
石榴皮,"克,个,g,两"
叶细如剑脊者,None
海粉,"None,钱"
投入水中,None
盛之,None
桃枝,"钱,两,克,None,斤,g,握"
用香油炙酥,份
大川乌,"两,只,None"
酒浸,"克,None,两,分"
炒芥穗,钱
芜荑,"两,钱半,g,None,克,合,钱,分"
童便,"升,None,毫升,盏,碗"
杭巴戟,g
棕榈,"两,None"
枯白矾,克
大枫艾叶,g
炭火烧令烟尽,None
楮实子,"g,两,升"
带皮苓,None
北连翘,g
姜汁,"g,None"
白药子,g
研为膏,None
青娘子,两
黄明胶,"两,g"
川常山,"斤,千克"
莲子,"两,钱,None,g,个,克,斤,分"
壁钱窠,-7个
紫硇砂,钱
路路通,"克,g,个"
白梅肉,两
柏子仁,"克,两,None,g,斤,钱,两半,合,分"
川巴豆,g
白倍,g
土烧酒,斤
炒黄柏,g
防风通圣散,克
马牙消,"克,钱,两半,分,两"
用萝卜子,分
荷叶梗,寸
小柴胡汤加当归,None
麦,None
京枣,枚
香缘皮,克
生龙脑,两
苏木,"两5钱,None,g,钱,分,两,克"
蔓荆子,"克,g,两,None,钱,千克,升,分,合"
上沉香,"钱,克"
紫贝齿,"两,枚"
没药,"g,钱,两,None,公斤,克,分,两半"
白胶香,"None,两,克"
西洋参,"g,钱5分"
蟾酥,"克,钱,g,两,分,None"
炒知母,克
常山叶,g
乌喙,"两,克"
羊胫骨灰,分
金荞麦,g
白龙骨,"两,分,钱半,克,钱"
用油盏盖住,None
直防风,克
木鳖子仁,个
滑石地肤子,克
大个无油南星,两
荞麦面,两
味后下,方
制白术,g
菜苋,克
水晶,分
逐日换水,None
大川附,None
二活,g
川姜活,g
生干地黄,"克,两,斤,None,两半,分"
土别,None
常山,"None,克,分,两,钱"
两半,None
鹰粪白,None
荜拔,g
赤金箔,张
熬枯黑糖,两
东白薇,钱
候豆胀为度,None
淡茶栎根,None
桑虫,条
植物油,g
酥炙黄,None
赤小豆,"两,克,None,g,粒,分,合,斤"
松香,"两,克,升,斤,合,None,g,碗"
三棱,"g,钱,两,钱半,None,分,克,两5钱"
净坎气,条
南硼砂,"两,钱"
赤小豆半合,None
附片,"克,g,斤"
生芍,斤
瓜萎,g
侧柏,两
净桐油,g
小川芎,克
天蓼木,两
墨汁,毫升
野狸骨,两
罗苏,两
小春花,g
匀令漏气,None
全螟蚣,条
壁虎,"g,两,枚,条,克"
蒴藋,两
水飞朱砂,克
鸡卵壳,克
川椒炭,克
缩砂壳,克
搓,None
漂苍术,钱5分
川芎羌括,克
蝼蛄,枚
白马蹄,两
蓝子,两
紫花,g
姜制竹茹,g
乳香,"g,两,None,钱,公斤,克,分,字,-7分,斤"
鳖头,个
枯矾末,None
炙炙甘草,g
青啼补,g
去矾,克
用大豆蒸透,None
生蜈蚣,条
枣枝,g
穿心莲,None
鸡屎白,"None,升"
炒龙胆草,g
藿香叶,"钱,克,两,分,g,None"
蒡子,钱
猫儿项骨,两
郓薄荷,钱
马勃,"两,钱,克,None,g,分"
猪脂,"升,斤,千克"
水中陟厘,两
茯神,"克,钱,两,None,g,钱半,铢,分,两5钱"
山栀仁,"钱,钱半,None,两"
番秘,g
焦栀,"克,钱,None"
紫苏茎,两
新鲜马齿苋,克
干蟾皮,克
酸石榴皮,"克,分,片"
虎头骨,两
嫩松香,两
苏薄荷末,两
鲜石斛,None
苏木屑,钱
陈煮酒,None
化学发热剂,g
片松香,千克
百蒺藜,g
白芨片,g
鸡头肉,两
蔓荆,g
马兜铃根,两
有桂,钱半
牡丹,"两,两半"
瓦上微炒,None
去浮沉,None
银杏叶,g
白姜,"分,None"
生五灵脂,g
黄松节,None
紫英石,两
白夕利,g
炒干,两半
山慈茹,克
银柴胡,"钱,g"
青蒿汁,升
皂荚刺,None
伏龙肝,"两,分,枚,g,None,钱,克"
取浓汁,None
原蚕沙,"升,两"
山慈姑,"g,分,钱5分,钱"
木,g
炙半夏,None
玄参,"钱,两5钱,None,g,克,两,两4钱,钱5分,分,两6钱,石,两半,斤"
苦楝皮根,g
叶干打捶,g
醋和作饼子,None
可用野台参,克
皂角刺,"克,钱,分,g,个,两,条,None"
蜈蚣粉,g
甘遂,"两,钱5分,钱,克,None,分"
皂角仁,"None,克"
大风子肉,两
磁石,"None,两,g,石,两半,克"
草朴,两5钱
化橘红,"g,两"
生地炭,g
良姜,"钱,两5钱,两,克,None,g,分,两2钱,两3分"
软前胡,克
去头,None
童木通,g
水通,两
桑寄生,"钱5分,克,g,两,钱,None"
陈石灰,g
络通,g
零陵香,"两,两8钱,克,钱,分"
阿芙蓉,钱
炙草乌,g
冬虫夏草,g
米粉,"g,斗"
柿饼,None
芫花,"钱,两,None,g,升,合,分,克"
锉骰子大,两
淡干姜,"克,分"
真沉香,钱
生灵脂,两
陈葫芦,个
生切作,块
荠菜,钱
生姜汁浸,"分,None"
黑山栀,"钱,两,g,克"
老葱头,个
桑叶,"两,钱,克,None,片,g"
燎去毛,None
青风藤,"两5钱,g,两,None,克,钱"
煎水,斤
虎肢,对
煎取,升
蛇蜕皮,"条,两,分,寸"
复以葱,None
沉香粉,g
先将猪肚净洗,None
黑柴胡,g
土楝子炭,g
女贞子,"克,g,钱,两"
好豉,克
作,"分,合"
蓝实,两
柏白皮,斤
.阿胶,g
枯明矾粉,g
先以棕刷刷去尘土,None
嫩莲实,两
三梅片,None
杭菊花,克
檀香,"两5钱,克,g,None,斤9两,两,斤"
制草,"两,克"
至黄烟出为度,None
薏苡仁,"克,两,g,钱,石,None,分,斤,重"
枫香叶干粉,g
雄雀粪,两
甘油,"毫升,g"
用酒浸,None
草节,分
竹茹,"g,克,None,两,分,钱"
童便浸二次,克
酒防己,克
陇西当归,两
霍香,克
飞明雄,None
姜责,g
男子发,None
五枝膏,None
炒生地,g
鲜生地,"克,g"
石绿,两
薄荷素油,"None,g"
昌蒲,g
芎劳,克
麝香,"钱,克,分,两1分,两,钱5分,g,None,钱半,两8钱,厘,字"
南琥珀,两
为末,None
黄升,g
赤白芍,"克,g"
珍珠,"钱,克,g,None,分,两6钱,两"
紫苑,"g,两,分"
托盘子强根,g
鸡苏,两半
香附草,g
香橼,g
真山药,钱
1500,None
白茯,"None,钱"
土鳖甲,g
白茅根,"g,两,克,两半,石,None"
拌附子末,None
不细者,None
掠去沫,"克,None,两半,两,分"
灸杷叶,g
酒生地,g
去红花不用,None
蜜,"升,毫升,合,两,克"
朱砂,"两,钱半,钱,克,g,None,铢,分,钱5分,两半,石"
鳖头骨,钱
锅巴,"钱,g"
禹余粮,"两,两半,None,克"
鲜淡竹叶,片
四物汤加枳壳,None
诃梨勒皮,个
半夏,"克,两5钱,钱,两,g,None,-1两,两半,升,分,石,个,-5g,铢,斤,钱半,钱5分,枚,钱2分,份"
煅赤石脂,斤
煮干为末,None
台乌药,"克,g"
洋糖,钱
金银花浸膏液,ml
郁李仁,"两,两半,克,g,None,合"
白蛇皮,None
安南桂,克
毛射香,g
砂盆中慢火熬成膏,None
刮去粗皮,None
芩,g
黑丑,"两,钱5分,克,g,None,两半,钱"
初出卷荷,钱
青鱼胆,个
味以河水,碗
便香附,None
马鞭草,"g,None"
黑矾,"两,g,钱"
安息香,"两,克,两半,分,g,钱"
用炭火烧赤,None
制茅术,"g,两"
烛油,钱半
续断,"克,钱,两5钱,两,钱5分,g,None,斤,分"
黑豆汁搅开,None
葱白头,块
羊水,g
大川附子,枚
红霉素软膏,g
炙鳖甲,g
僵蚕,"g,两,钱半,两5钱,克,None,钱,个,两2钱,-2两,条,分,两半,钱5分"
制马前子,g
入艾青,None
生栀子,"两4钱,None,两,g,分"
干薯蓣,两
炙草.,g
杵为泥后,克
炙麻茸,g
猢狲头骨,两
去水,None
却以原盖子盖定,克
五灵脂,"g,两,None,钱,克,钱6分,斤,分"
蚌粉,None
乌梅,"枚,两,克,g,石,斤,个,分,None,钱"
用香油涂上焙干,条
鹿角,"None,斤,g,两,克"
叶生至未落,None
猪肚,个
狐肝,具
地骨皮,"g,克,两,None,分,钱,斤,两半,两5钱,钱5分,升,钱半"
将釜水仍洒甑中,None
牵牛粉,两
青连翘钱半,None
大濂珠,None
令南星透,None
炒葛根,g
卜子,"两,钱"
熟地萸,g
栀子仁,"两,两半,None,分,枚,钱"
黄精子,g
榆皮,升
竹叶,"None,克,钱半,g,升,片,把"
新针,个
蜈蚣,"条,None,g,钱,克,枚,对,两,钱半"
川厚朴,"两,g"
生山楂肉,g
粉甘草,"两,克,g,钱"
建粬,g
生地,"None,克,两5钱,g,钱,两,斤,分,钱5分,双,钱半,合,-3钱,两半,升,千克"
重阳煮干为度,None
包在精猪肉内煨过,None
不辣回根,None
白茯神,"两,None"
红娘子,"None,枚,个"
牛蒂子,g
沙枣仁,g
羊靥,对
炭酸,g
细末,g
紫草茸,"g,钱半"
郁金,"钱,两,克,g,分,-5g,两5钱,None"
紫丁皮,两5钱
野麻根,斤
扶芳藤,None
生薄荷,g
旱莲草,"克,g,钱半,钱,两"
姜制厚朴,克
西硼砂,钱
贯筋,两
糯稻米根,g
绯帛灰,两
发,分
以好醋淬之,None
龙骨,"两,None,两半,g,克,钱,分,斤"
明沙参,g
金银花,"克,g,None,两,两3钱,钱,石,分,两5钱,-60克"
土螫子,g
桂附理中汤,None
蒲黄,"两,None,g,分,合,克,钱"
乌鸡粪,分
甘草桂心,克
八月取根阴干,None
半夏曲,"两,克,钱,None,g"
烟胶,两
北艾,分
绿茶,g
黄处芪,g
神曲,"两,克,g,钱,斤,None,分"
千年健,"None,g"
紫菜,两
炙枇杷叶,g
蜗牛,"个,两,只"
炙全蝎,g
炒牛蒡子,g
白蘘荷,两
和,None
黑荆芥,两5钱
滑石块,g
小黑豆,合
蒺藜,"g,克,斤6两,两,斤,两半,None,分,钱,双,合"
川乌,"两,克,钱,g,个,None,石,两1分"
宿姜,两
蓖麻子,"两5钱,两,粒,钱,颗,克,g"
角刺末,钱
广香,"g,None"
鲜薄荷全草,斤
闹羊花子,克
沉香,"克,两,钱,钱半,None,g,分,份"
细桑枝,两
玫瑰膏子,斤
锁阳,"斤8两,两,克,钱,斤"
炸枯,None
血竭,"g,两,钱,公斤,None,克,重,钱5分,分,钱半"
菝葜,"分,两,g"
亦云,枚
黄精,"g,克,两"
生蒲黄,"克,None,g"
嫩射干,克
生芪,g
白芍钱半,None
昆黄芪,克
朱砂面,克
矾宁,g
白薇两半,None
鸡粪白,分
浸蒸,None
腊梅,g
布内盛,None
打碎,份
入汁内,None
地黄汁,升
放地上冷透出火毒,None
大青盐,"两,None,钱,块,克,分,g"
味脐尖,None
地肤子,"两,g,克,None,合,两半,钱"
面,"两,None"
侧柏炭,g
韭菜子,"升,合,克,钱,两,None"
石膏,"两,克,None,两3钱,g,-30克,钱,两半,分,铢,斤"
木防己,"kg,g,两"
鸡血藤,"克,None,g,kg"
炒当时,g
生紫菀,两
甘草如中指节,None
皂,克
味和作一处,None
桑白皮,"克,钱,g,None,两,分,钱5分"
川附片,"两,钱"
豆霜,钱
干木瓜,"两,克"
附,寸
干羌,None
肉苁容,两
黄柏根,None
丹麦参,g
阴干,"None,钱"
银消,两5钱
生麻黄,g
西秦九,g
盛,None
大蜈蚣,"g,条"
年健,钱
真香油,两
香藿,g
陈醋,"g,斤"
真珠末,两
黄牛角心,"两,None"
生虎骨,两
山乌豆,None
炒淡芩,g
代赭石,"钱,None,g,克,两,钱5分"
加热溶化,None
制川乌头,g
.肉桂,克
细曲,"g,kg"
蚕蜕纸,None
香鼓,g
连皮草果,两
北沙参,"两,克,g,石,钱,铢,None,钱5分"
土马鬃,两
密佗僧,钱
虎骨,"两,公斤,克,g,None,钱,具"
藜芦,"钱,None,两"
大粒朱砂,钱
黛蛤散,g
苍术陈土炒,g
金脑香,None
白英,"克,g"
川芎l,g
儿茶,"g,钱,None,两,克,分"
早枫荷,石
栀仁,"克,两,分"
鳖甲胶,克
淮膝,"g,钱半"
川乌尖,"克,g"
连翘花粉,两
猪蹄蜕,克
麦糵,"两,None"
盐柏,克
不以多少,None
炒山楂,"克,～15克"
白滑石,None
鸡苏苗,两
使君子仁,None
水洗,斤
以好醋煮,None
蜀胡椒,钱半
火尽放冷,None
皂子大,None
白芍浸膏液,ml
炒防风,g
牛黄,"克,分,钱5分,两,g,钱半,钱,两6钱,None,粒,两半"
生桑叶,g
荜茇,"g,两,None,克,分,两半"
蛰虫,g
羚羊骨,g
藿梗,分
子姜,g
南乳香,钱
生山楂片,克
用生姜汁,两
装入罐,None
若桔梗,钱
清酒,ml
生牛膝,斤
实白者,None
肥知母,克
枯矾粉,g
绍酒,克
双仁,"None,克,枚"
尖双仁,"None,枚,粒,两半,两,分"
败龟,"克,g,两"
不蛀皂角,"两,None"
取净肉,两
用炭火煅炉甘石通红,None
厚朴,"g,None,两,钱,克,两5钱,分,两半,斤,钱半,两3分"
净地龙,g
大京枣,千克
八日扎,g
朴消,"两,克,None,钱,两1分,升,分"
制全蝎,g
陈枳壳,分
冬瓜皮,"克,g,枚"
香附米,"克,两,钱"
火麻仁,"两,分,g,钱5分,克,合,两半,None,斤"
水煮三沸,克
榉皮,分
生姜汁浸透,两
蓝叶,"None,两"
云茯苓,"两,g,None"
飞雄黄,g
木香,"两5钱,g,两,None,分,克,钱半,钱,公斤,钱3分,钱5分,分5厘,两半,-10克"
大麦糵,两
槐花子,分
砂糖弹子大,None
阳起石,"None,分,g,钱,两,两半"
滤去滓,None
生玳瑁,"合,两"
水飞过,"None,两"
干全蝎,"两,个"
白盐,两
天花分,克
薤子,None
脂坯,None
厚桂,None
炙川乌,g
防己,"克,两,None,钱,分,g,铢,钱5分,两半,钱半"
棚砂,钱
去芦梢,None
泽漆叶,两
炙马兜铃,g
枸杞根子,斤
细瓷末,克
柴胡,"克,钱,None,两,g,两5钱,～9克,石,分,两半,钱5分,铢,升,-20g,钱半,钱2分"
沸汤洗,None
汤浸,None
生杜仲,"两,两5钱,钱,克,g"
蛇蜕灰,两
生槐花,g
紫梗,g
狗脊,"None,g,两"
白花蛇头,分
合佛手散,None
川芍,"g,两"
山楂,"两,None,克,g,钱5分,钱"
红糖白糖,None
沥青,斤
蝉花,克
杀丹,g
狗骨,g
苣胜子,None
海桐皮,"钱半,克,g,两,None,两半"
制附片,"g,钱"
切片焙干,None
土当归,两
豆粉,钱
板蓝根,"g,克,两,None"
藿香,"两,两5钱,None,克,钱半,钱,分,g,石"
熬至,分
大盐,分
生甘草,"g,None,克,分,钱,两,双"
生乌犀屑,两
次毕,None
根,斤
土银花,g
倾出胆汁相和,None
西瓜霜,"None,g"
红毛藤根,g
糯米同炒熟,两
焦槟榔,g
白山药,克
生当归身,克
老樟木,g
金钱白花蛇,"kg,条,g"
煨木香,g
拣择无泥土者,None
朴,None
制僵蚕,g
吴荣茯,g
忍名藤,g
赛葵,g
槐实子,两
生卷柏,g
用河水,碗
鲜茅根,"克,g,None"
前仁,克
土地骨皮,g
吴白术,两
真酥,克
或用黄酒煮透,钱
cc,None
净虫退,g
新瓦上焙干,None
日取出,None
白槟榔,"None,克,两半,两"
紫菀花,钱
紫箢,g
大蝙蝠,个
川生乌,g
生硼砂,钱
酥炙令焦,None
蔻米,"分,克"
以苎布包,None
味入瓷罐,None
三七粉,g
煎汤煮,None
炒竹茹,None
礞石,"克,两,钱,g"
盐花,钱
以盐汤润透,None
芦甘石,None
度,两半
煅中白,None
麻子仁,"g,克,两,合"
细生地,"克,g"
苍耳头,个
大腹,"克,分"
明朱砂,钱5分
真尖黄,None
槐荚子,两
山萸药,g
芦巴子,"两,None"
蒴翟,克
高粱米酒,ml
生山楂,"g,克"
大胡麻,"克,两,g,钱"
槐米,两5钱
节,"None,克"
芡仁,两
上梅片,钱
茶油清,斤
次下红花酒,None
用姜汁涂上焙干,条
炒地龙,"克,g"
牛子,"克,g,None"
木瓜,"g,两,克,个,None,钱,公斤,斤,斤8两,枚,-15克,分,两半"
酌予碎断,None
烧酒,碗
海风藤,"钱,两,克,g"
踯躅,两
黄药子,"两,g,kg"
香独活,克
红花,"g,两5钱,克,分,None,两,钱,～15克,至5钱,合,斤"
炒净,None
凤尾草,None
蚤环菌,g
麻绒,g
湿加,两
甘草稍,g
苦竹叶,"片,握"
地黄苗,克
鸡子白,枚
望月砂,None
栗子,None
黄柏面,两
葛花,"克,两"
银星石,None
生川军,g
青黛,"克,两,钱,g,石,分,None"
北姜,g
金线重楼,None
爁熟,None
鹤虱,"g,克,石,两"
鲜车前草,g
生明没药,"克,钱,g"
90,None
使军肉,g
真麻油,斤4两
草乌,"钱,两,None,g,克,斤"
入在木瓜中,克
泽兰叶,"None,g,两"
择白色新洁者,None
大川黄连,两
去骨皮,None
三七,"克,两,g,钱"
枳椇子,钱
土大黄,"斤,克"
白芷香附子,None
月以后收采,None
白术两半,None
大苦参,g
用盐,钱
绢袋盛,None
以酽醋,None
活性炭,g
槐角,"None,钱,两,克,g,斤"
独活,"两5钱,钱,两,g,分,克,两半,None,斤,钱5分,斤8两,钱半"
尖槟榔,"两,克"
去肠,None
川巴戟,两
鲜苦瓜,g
茯苓两半,None
一宿,None
桃条,None
泔浸,None
枣子,枚
草决明,"两,克,g,None,铢,两半,分"
香排草,斤
半字,None
南瓜藤炭,g
吴蓝子,两
切作片,None
母姜,两
蜀天雄,分
同煅—夜,None
掘地作坑子,None
无天麻,None
人指甲,g
脲素,g
黑豆,"None,克,分,斗,钱,合,升,两,颗,粒"
夏枯草,"克,钱,g,None,石,两"
马通中粟,铢
素艽,g
糖精,g
石膏三倍量,None
勿令焦,None
龙胆草钱半,None
莲须,克
以好醋,毫升
生薏米,g
榆面量用,None
斑蝥,"g,只,克,分,个,None,枚"
金钱草,"g,None"
合欢花,"钱,克"
姜皮,"g,钱,None"
白丁香,"克,钱,分"
八宝红灵丹,钱
栝蒌实,克
栀子皮,g
石,g
蟾蜍,"g,个,None,具"
去滓,None
又熬成膏取出,None
枝花,None
铁丝扎好,None
赤芍I,g
鲜冬瓜皮,克
石胆矾,两
蜡茶,两
盐黄柏,"克,g"
商黄柏,两
路通,克
拣出枣,None
五味子,"两,克,None,粒,分,钱,钱半,g,升,两2钱,个,铢,两半,钱5分"
血余灰,"克,钱"
生藕节,两
炭火煅出黑烟,None
红曲,"None,两,g"
又将童便浸,钱
半枝莲,"g,克"
决明,"g,分"
百草霜,"两,g,克,None"
牛乳,"合,毫升"
生枳,-15克
谷芽,"两,g,None,钱"
岁以上用,克
坚槟榔,钱
明阿胶,两
川贝末,g
浙母,g
广木香,"钱,两6钱,两,g,-5g,斤,克"
赤罽方圆,寸
煮蘸火煅醋淬,None
真辽人参,克
水飞候干,None
代之,None
以长流水,None
干碱,两
五加皮,"克,两5钱,钱,两,g,None,两半,分"
砂罐内醋煮极熟,None
饴糖,g
志子,g
象皮,"钱,两"
生姜汁,"升,毫升,合,-2盏"
枯萝卜,克
京元参,g
入盐,"合,克"
莲心,"两,克,撮,g"
飞,None
水杨酸,g
用净粉,钱
勿令透气,None
牛胆,None
蛇蜕半条,None
鲫鱼,"尾,个"
葱子,钱
天竺黄,"克,g,钱,两,钱半,None,分"
炒蔓荆,钱
水獭骨,两
研为细末,None
用蚯蚓泥固济,None
面裹煨,None
樱子,两
红豆蔻,"两,克"
麝香如巴豆大,None
九香虫,"g,对"
芜芩,g
拣参,克
炙粟壳,g
川当归,"两,钱半,None,克"
大当归,两
海螵蛸,"g,克,两,分,钱半,None,斤,钱"
阔叶十大功劳,g
紫胡,g
山萸,"钱,两"
煅月石,None
肉苁蓉,"克,两,None,两半,g,钱"
俱用嫩枝,升
煮,None
匣,None
酒拌湿,两
鲫鱼大者,条
风化消,"克,两3钱,钱半"
以真酥,两
