阿胶,3.0,白芍,6.0,当归,9.0,防风,3.0,僵蚕,6.0
玄参,15.625,当归,9.375,连翘,3.125,白芍,6.25,丹皮,6.25,荆芥,6.25,甘菊花,6.25,升麻,1.5625,天花粉,3.125
天麻,31.25,川芎,31.25,防风,31.25,细辛,31.25,白芷,31.25,川羌,31.25,川乌,31.25,芥穗,31.25,僵蚕,31.25,薄荷,93.75,全蝎,15.625,粉甘草,15.625,藿香,15.625,朱砂,15.625,麝香,3.125,珍珠,3.125,琥珀,3.125
白芍,1669.2705578573068,当归,10987.001312767188,生地,3091.7748686596155,熟地,1021.6623106185567,黄芩,1889.4297681242992,槐角,150.53893348623853,地榆,4241.899176747312,皂角仁,17.964285714285715,秦艽,31.94714411463664,防风,336.8507284846786,黄柏,1279.2662360594795,甘草,354.23781785240715,赤石脂,59.79433876967096
人参,6.25,天麻,6.25,防风,6.25,山药,6.25,地黄,6.25,甘草,6.25,琥珀,3.125,全蝎,1950.833678529755,僵蚕,4.6875,朱砂,4.6875,金箔,1265.775
生川乌,24.0,生草乌,24.0,乌药,24.0,白蔹,24.0,白芷,24.0,白芨,24.0,木鳖子,24.0,关木通,24.0,木瓜,24.0,三棱,24.0,莪术,24.0,当归,24.0,赤芍,24.0,肉桂,24.0,大黄,48.0,连翘,48.0,血竭,10.0,阿魏,10.0,乳香,6.0,没药,6.0,儿茶,6.0,薄荷脑,8.0,水杨酸甲酯,8.0,冰片,8.0
附子,30.0,人参,30.0,麻黄,30.0,黄芩,30.0,防己,30.0,香附,30.0,杏仁,30.0,川芎,30.0,当归,30.0,茯神,45.0,陈皮,30.0,防风,30.0,白芍,150.0,沉香,15.0,半夏,45.0,川乌,15.0,桂枝,30.0,白术,60.0,乌药,15.0,干姜,30.0,黄芪,90.0,甘草,30.0,熟地,30.0,生干地黄,30.0
花椒,250.0,甘菊花,218.75,大附子,156.25,旋覆花,156.25,苍术,125.0,草决明,93.75,芎?,62.5,紫巴戟,31.25
青葙子,31.25,草决明,31.25,葶苈子,31.25,车前子,31.25,五味子,31.25,枸杞子,31.25,地肤子,31.25,小胡麻,31.25,麦冬,31.25,生干地黄,31.25,细辛,31.25,肉桂,31.25,赤苓,31.25,泽泻,31.25,防风,31.25,黄芩,31.25
巴戟天,30.0,天冬,45.0,五味子,22.5,肉苁蓉,30.0,刮去粗皮,46.25,柏子仁,22.5,牛膝,22.5,菟丝子,30.0,远志,22.5,石斛,22.5,山药,22.5,防风,22.5,茯苓,22.5,人参,22.5,熟干地黄,30.0,覆盆子,22.5,石龙芮,22.5,萆薢,22.5,五加皮,22.5,天雄,30.0,续断,22.5,石南,22.5,杜仲,22.5,炙令微黄,1.0,沉香,30.0,蛇床子,22.5
细辛,6.0,白芷,3.0,雄黄,3.0
土茯苓,30.0,忍冬藤,9.0,生甘草,6.0,板蓝根,15.0,威灵仙,15.0,山豆根,9.0,重楼,15.0,白鲜皮,15.0
绿豆粉,2500.0,石膏,2500.0,滑石,250.0,白芷,250.0
