郁李仁,"两半,克,None,两,分"
光明砂,两半
玄精石,None
砂盆中慢火熬成膏,None
山栀仁,None
芩,g
黑丑,"g,两,分,斤,克,None"
青鱼胆,None
蜣螂,分
烂研,None
次入朱砂,None
川升麻,"两,克,分"
马鞭草,"g,两5钱"
青天葵,g
酒淘净,None
真苏子,两
安息香,g
木兰皮,斤
抹去沫,两
鹿蹄,只
糖精,g
钟乳石,两
用淫羊藿,斤
山慈菇,"克,两"
续断,"g,两,分,钱,None,克"
鹿衔草,g
地郁金,g
用生绢袋滤去滓,None
制苍术,g
熟人参,分
酥炙黄色,None
犀角汁,毫升
炙鳖甲,g
僵蚕,"None,克,g,两,个,钱,条"
板蓝根针剂,ml
京赤药,克
俟相乳入,None
白背叶根,g
生栀子,"-4钱,None,g,两"
粮白酒,g
炙草.,g
茯苓皮,"克,g,钱"
小川连,克
白薇,"g,克,两,分,千克"
蚕沙,"None,g"
鲜鱼腥草,g
五灵脂,"克,g,None,两"
去滓,None
炒槐米,克
犀角末,None
西香,钱
威灵仙,"克,两,g,钱,None,两5钱"
加藁本,None
生明矾,g
炒三仙,克
钩藤,"g,石,None,两,钱5分"
皂角荚,None
凡士林,g
没食子,"两,None"
炙干,None
片姜黄,钱
花椒,"g,两,分,None,粒,克,钱"
水牛角片,g
鸡内金,"克,g,枚"
炒葛根,g
川白姜,两
醉芩,None
炒铅粉,钱
栀子仁,"None,两,克,分,升"
麦粉,两
榆皮,None
竹叶,"None,g,克,握,片"
裹药,None
乌犀角,～24克
荠苨,两
芋梗,g
鲜凤仙花根叶,斤
槐米,"两5钱,g"
蜈蚣,"g,条,对,克"
川厚朴,g
山桅子,g
粉甘草,"克,两"
白芷,"克,g,钱,None,两,斤半,分,千克,钱半"
%乙醇,ml
炙马前子粉,g
仍将药汁去滓,None
地锦草,"钱,g"
去裙,None
白茯神,"两,None"
土地黄,两
犀角粉,g
二甲基砜,ml
木瓜,"钱,g,两5钱,两,None,分"
闹羊花,"分,钱"
款冬花,"两,克"
商陆,"两,None,g"
用河水浸,None
紫草茸,克
粳米半合,None
丹皮,"千克,g,None,克,两,钱,-5钱,～9克,升,双,分"
郁金,"None,钱,克,g,两"
日用火半秤,None
玫瑰花,"克,～15克,至5钱"
胡椒,"／2份,粒,None,钱,两"
旱莲草,"None,克,g"
猪苓,"克,两,g,None,钱,分,钱半"
倒钩棘针,分
无灰酒,None
养脏汤加炮附子,钱
把,None
火焙令干,None
渐渐添,None
煮后草药,None
墨,"克,None"
蜗牛壳,分
生白砒,克
金银花,"g,克,None,钱,两,石,钱5分,分"
炒藕节,g
别用水,斗
荆防,g
蒲公英,"g,克,钱,None"
半夏曲,"两,None"
干薄荷,克
轻粉,"g,钱,克,分,None,两"
以樗根皮代之,None
广三七,两
上药用酽醋,升
蚺蛇胆,分
酸模,g
神曲,"克,None,g,两,钱,两5钱"
千年健,两
用丁香插入孔内,None
侧柏叶,"克,两,None,g,钱"
丝棉炭,g
蝙蝠葛根,g
称重,两
鲜鸡蛋,个
出在乌鲁木齐,钱
全蝉蜕,g
中有子,粒
红信石,钱
羚羊粉,"克,分,g,None,两,两半,钱"
宣州木瓜,两
黑荆芥,"克,两5钱"
苍耳子,"克,g,两"
滑石块,克
只取霜,None
蒺藜,"克,钱,g,双,两,None,升,分"
诃黎勒皮,"两,分"
于灰池内坐瓶子令稳,None
川乌,"g,克,两,None,钱"
炒知母,g
蓖麻子,"两,钱,克,钱半"
香油,"克,None"
鹿角胶,"g,两"
甜石莲子,g
广香,g
味和白面裹,None
沉香,"g,两,钱,分,克,None,钱2分"
藿叶,钱
其所入金箔,None
欢皮,g
炙党参,钱
血竭,"g,分,钱"
菝葜,g
黄精,"钱,克,g"
金果榄,两
墨旱莲,g
卷柏,"两半,两,None,g"
丹参,"克,两,None,g,分,千克"
鸡粪白,两
天仙藤,"g,两"
白芍,"None,千克,克,g,两,钱5分,钱,分,两5钱,石,两半"
桑螵蛸,"g,分,两"
大青盐,"克,两,None,钱"
炒砂仁,g
地肤子,"克,g,两,None"
蕲艾叶,钱
韭菜子,"两,g,克"
石膏,"克,g,两,～120克,钱,～240克,None,双,分,块,两半"
日用熟炭火,斤
栀子,"千克,克,g,两,None,钱5分,钱,石,枚,分"
木防己,"g,两"
乱发,枚
陈面,两
干姜,"克,片,g,两,分,None,斤,两半,钱5分,钱,钱半"
杭青皮,None
陈蒜半条,None
九香虫,g
黄芍,g
白菊花,g
何首乌,"两,克,g,斤,None,钱"
车前子栀子仁,None
桑白皮,"克,None,g,两,两半,分"
焦杜仲,分
马齿菀,g
乌梅,"克,两,g,None,钱,升,个"
鸡骨草,g
非鼠粪也,钱
赤蒺藜,g
次日入锅文武火煎,None
蜂蜡,"～180克,钱,钱半,两,克"
%尼泊金乙酯酊,ml
芫花,"None,分"
油熬令黑,None
三月雪,g
松子仁,None
大蜈蚣,条
焦山楂,"g,None"
真关黄,分
荷叶炭,g
次入阳起石,None
锁阳,"两,g,None"
炒地榆,"克,g"
使君子,钱
天花粉,"克,～30克,g,钱,None,升,两,两1分"
代赭石,"两半,克,g,钱,钱半"
病毒灵剂,g
制川乌头,g
鹿茸,"两,分,钱,对,None,两半,具"
嫩鹿茸,None
每角,斤
茜根炭,g
宽筋藤,g
北沙参,"克,g,两半,None"
生槐米,g
去苗,None
沉香曲,g
北五味子,g
虎骨,两
漂铜绿,钱
黑铅,两
牛黄,"克,g,None,分,两,钱5分,钱"
藜芦,None
赤脚蜈蚣,条
白头翁,"g,克,None,两,分"
真沉香,钱
白英,g
生白药,g
儿茶,"分,g,钱,None"
以面裹煨熟,None
金樱子,g
牛髓,克
山楂,"克,g,None,钱,两"
栀仁,"克,两,None,钱半"
陈艾炭,g
川贝,"克,None,g,两,钱,～9克"
川芎钱半,None
淮膝,g
茅根炭,g
以无灰酒煮,None
制僵蚕,g
油朴,两
鲜茅根,"克,两,g"
苍术,"None,克,两,g,石,两5钱,钱,钱半,钱5分"
麦糵,两
豆熟为度,None
蓄瞿麦,g
炒三棱,"克,g"
鼠妇,g
半个,None
使君子仁,钱
故蘧蒢篾,两
滑石,"克,钱,g,None,两,钱半,分"
红藤,g
晒干为末,None
炒防风,g
黄牛乳,毫升
用童便,None
用瓷缸子纳,None
藿梗,"分,g"
槲寄生,"g,两,分"
芝硝,g
人指甲,钱
盐砂,钱
茯,None
芎?,"两,分,钱半"
辽宁沙参,克
.黄芩,千克
槐枝,"斗,两,钱,-3寸"
白糖,g
青葱,None
人参叶,g
双仁,"None,两"
白矾灰,两
尖双仁,"None,两,枚"
紫菀,"g,克,None,两"
鲜生地黄汁,升
象牙屑,两
更入后药,None
厚朴,"g,克,两5钱,石,两,钱半,斤,两半,钱,None,分,钱5分"
制没药,"钱,g"
朴消,两
若先以相和,None
谷芽,"钱半,钱"
炒瞿麦,分
大茴香,"两,克,钱"
羚羊角屑,"分,两,None"
瓜蒌,"克,g,两,None"
茄蒂,None
活脚鱼,个
榉皮,两
夏曲,钱
云茯苓,"g,钱"
吴茱萸,"g,None,钱,两,克,千克,升,合,分"
古铜末,两
木香,"g,两半,两,钱半,钱,分,克,None"
大麦糵,两
大黄后入,g
荆芥穗炭,g
用纸裹入湿土中培,None
阳起石,"g,两半,克,分"
煮熟,None
干全蝎,-7个
生姜汁炙,两
白蔻皮,克
防风,"None,克,两,g,斤,钱,两6钱,分,两半,钱5分"
罂粟,"分,两"
雄鼠骨,None
防己,"克,g,两,钱,分,两半,None"
大黄粉,g
生麦门冬,"克,升,两半"
泽漆叶,克
绢袋盛入,None
第二日用熟火,两
干柿,枚
柴胡,"None,克,g,钱5分,分,钱,石,两半,两"
川牛膝,"钱,g,两5钱,克,两,None"
炙僵蚕,克
生槐花,"g,克"
狗脊,"分,两,克"
菖根,g
以糯米,合
味以水,斗
大腹皮,"g,分,None,钱半,克,钱,两"
朝槐花,g
牛脑髓,个
下者居上,None
海桐皮,"g,两,克"
五味子粉,g
%山药,g
板蓝根,"g,两,克,-30克,～15克,至5钱,None"
藿香,"克,None,g,钱,分,两"
伏火灵砂,两半
生甘草,"None,克,钱,分,g,两"
功劳叶,None
粳米,"g,合,克"
草蔻,"枚,两,g,钱"
酽醋,升
石硫黄铁精,分
纯钩藤,钱
佛手,g
豨莶,钱
将砂细研,None
猴枣,克
火硝,"分,两,g"
生当归身,克
钓掉根,两
鲜鲫鱼,两
穿山甲,"g,克,两,None,钱,分"
罂粟壳,"g,个"
熟干地黄,"克,两,两半,分,None"
以木猪苓,克
荠芥,g
榴皮,g
豉心,合
制川军,g
黄芩钱半,None
前仁,g
土蜂窠,分
川军炭,克
马芹子,分
炒蒌皮,g
马勃,"None,克,g"
莲米,g
白槟榔,两
去豆晒干,None
以好酒浸,None
黑枣肉,两
赤苓,"两,None,克,g,分,钱"
真金箔,张
生甘蔗,g
红大戟,"克,两,None"
木胡桐泪,分
生荸荠,g
谷蘖,两
三七粉,g
用米醋浸七日,None
辣蓼,g
老苏梗,分
蝮蛇,None
有髓者佳,None
广陈皮钱半,None
木贼,"分,g,None,钱"
向日葵白茎,尺
麻子仁,克
白占,None
细生地,"克,g"
蛇蜕,"克,g,钱,分,钱半"
蛤蚧,对
胡桃仁,"枚,g,个,None"
芦巴子,"两,None"
真阿胶,None
虎帐,g
柴胡根,钱
白皮,g
大胡麻,"两,None,钱"
大腹皮末,None
75,None
周围钻孔,None
清炙草,分
鸱头,个
上梅片,份
白牵牛,"克,两,分"
古铜钱,文
牛子,"None,分,钱5分"
丹桂,None
贡桂,"钱,两"
海风藤,"双,g,钱"
樗白皮,"g,钱半"
黄药子,g
焦大黄,g
红花,"钱,克,两,None,～15克,至5钱,g,分,两5钱,石"
凤尾草,g
桃红,g
甘草稍,g
淡大芸,g
草龙胆,两
冬瓜子,"克,钱,g"
鸡子白,None
紫草皮,"克,钱"
白杨皮,握
以生绢滤去滓,None
艾叶,"分,None,克,g,两,升,钱"
留钟乳水,合
真蟾酥,"分5厘,分"
枫香,"克,分"
生铁锈,g
胡桐泪,两
白术钱半,None
牡蛎,"-25克,克,g,升,两,钱,None,分"
蔓菁根,两
白果,g
薄荷脑,"钱,分"
％酒精,毫升
同炒黄色,None
鹤虱,两
炮干姜,None
剁令极匀细微,None
净绿豆粉,两
枸杞叶,斤
草乌,"两,钱,克,g,None"
白信石,"克,None"
虾蟆灰,钱
泽兰叶,"两,钱"
麻黄浸膏,g
葱头,个
生甘遂,g
丁香皮,两
木鳖子仁,None
荜茇,"None,两"
