雄黄,"钱,两,None,克,分,g,两2钱,铢,千克,钱半"
紫草,"钱,克,g,升,None,两"
韭,两
草密,g
鹤肉,g
生麦牙,g
青黛末,钱
不去油,个
纸封晒干,两
人参,"克,None,钱,两,分,两半,～10克,g,钱半,钱5分,～6克,两5钱,斤,C0克,两1分,铢,钱2分,升"
小飞蓬,份
煮枣烂,None
鲜苋菜,两
乃得之方外秘传,None
六月雪,g
稀莶草,g
糯米粉,克
乌梢蛇,"g,两,分,克,None"
蕲蛇,"g,两,克,None,寸,分,钱,条"
人中黄,"钱,钱半,None,克"
？？草,两
野党参,克
党参,"克,两,g,None,两1钱,两5钱,钱,石,升"
四君子汤,g
防已,"g,两,钱"
龙葵,g
鸡膍胵里黄皮,枚
钟乳粉,"克,两"
紫草根,g
香菇,g
再熬至,升
橘,"两,分"
矮地茶,g
莽草,"分,克,两,None"
麝香草酚,None
海蛤粉,"克,g"
七,个
巴载,两
钱,两
黄酒,"ml,g,毫升"
胡蜂,g
鲜鸡肝,"枚,个"
炙黄芪,"g,克"
灵甘草,g
炙甲片,g
薤叶,克
飞面,两
苦参,"克,g,石,两半,斤,None,两,钱,分"
淮山经,g
黄米,两
川枳,g
八月扎,g
薯良,"g,份"
上除乌鸦外,None
黄葵子,分
附子大者,枚
炙黄艽,g
酸石榴花,分
稻香陈,g
放定,None
鲤鱼,"g,头,枚"
一字,两
白樟柳根,克
柳条,None
青木香丸,粒
度换水,None
麦芽,"两,None,克,钱,两4钱,钱半,g,钱7分,斤,分,升,两6钱"
捣筛粉,两
南山楂,"钱,两,克,两半"
焦苡仁,g
黄芪皮,g
陈仓米,"钱,粒,克,None"
鲜茉莉花,朵
同炒至黑色,两
大独活,克
甘草生姜,片
赤石脂心,克
赤芍,"两,克,None,g,两半,钱半,分,钱,斤,石"
醋枳壳,g
山风,g
饧水洗,None
鸡眼草,g
面粉,"克,g"
腊茶,两
生米仁,"斤,g"
于热油内煮,None
陈者尤佳,None
生黄芩,分
琥珀块,g
玉米须,"克,g"
翅,None
片姜黄,"g,克,两"
家菊,两
用生姜汁并酒合和,克
绿梅花,g
焦六曲,"钱,g"
铁棒锤叶,g
铜器蒸半日,None
川柴胡,钱
猪毛,两
鹭鹚花,None
六一散,"g,克,钱,None"
一生研,None
麝香肉,分
秋冬,None
四物汤加连翘,None
一向手研,None
香油,"None,g,毫升,两"
茨仁,g
桃仁泥,"钱,分,克"
佛手花,"分,g"
地骨白皮,"两,分"
夜明砂,"分,g,两"
木鳖子,"g,两,钱,个"
厚着面,None
桅子,"g,钱"
宣泽泻,"None,钱"
蜂蜡,"斤,两,None,g,钱"
柴石英,两
毛冬青,g
熟半夏,None
玉米,g
炒黑荆芥,"g,钱"
飞东丹,钱
陈辣椒,g
黄鹰粪,分
大地黄,两
装入雄猪肚内,None
生芝麻,克
如无黑豆,None
醋淬,"None,克,两"
大茴香,"钱,克,两,g"
栀子仁,"钱2分,枚,None,两,克,钱,分,合"
盐水炒黄柏,g
川雅连,g
味用水,斗
铁苋菜,g
大巴戟,"克,两"
大麻油,斤
羊桃根,两
白豆蔻仁,"两,钱5分,克"
着金箔,叶
炒楂曲,g
飞丹,"None,分"
金沸草,None
光连,钱
黄花菀,两
生龟版,两
茱萸,"两,None"
八月杠,g
青皮,"两,None,克,两5钱,分,钱,斤,g,两2钱,两半,钱半,钱7分"
焦山栀子,g
不出血,None
俟其融化,None
虎胫骨,"两,克"
白糖参,g
香仁,g
胡桃,"斤,两"
土银花,g
蜡面茶,两
火消,"两5钱,钱5分,两"
赤苓皮,克
淀粉,g
羊肉,"None,斤,千克"
王不留行,"克,g,钱,两,两半,分"
新罗,两
浇在艾上,None
鲮甲,两
金箔,"片,两,帖,叶"
水蛭,"g,None,分,两,克,枚,个"
芡实末,g
真薄荷叶,两
无灰好酒浸,None
丝瓜皮,克
樟丹,"None,两,钱5分,分,克,g,钱,钱半,斤"
白皮,g
三奇神曲,钱
槐白皮,None
鼠粪,分
参,钱
僵蚕l,g
取粪坑内蛆淘净,None
豹骨,两
去白膜,None
合子菜,None
刮去皴皮,None
炒鳖甲,g
冬葵,克
真粉,克
猪肾,"个,只"
豆蔻仁,"两6钱,钱"
取下焙干,None
红粉,g
青丝,None
面熟为度,None
猪膏,斤
用益智仁,两
真木瓜,两
炮干姜,两
茅粮,毫升
捶破,None
石斛,"两,克,None,钱,g,分,两6铢,两半"
日方黄芪,g
苇l,g
青叶,"g,两"
当归,"克,两,钱5分,钱,None,g,分,两5钱,钱半,斤,两半,～9克,升,条,石,钱2分,kg,两6钱,两18铢"
砒,钱
蚱蝉,枚
苋实,g
余月酒润,None
草决明子,克
肥升麻,两5钱
鸡肉金,g
炒莲肉,g
鸡蛋,个
蛋清,ml
芋头,g
灶心黄土,g
蓼芽胭脂,None
龙葵根,两
汉防己茯苓,克
盐酸小檗碱,g
银花炭,g
海狗鞭,"具,克,两,对"
合欢皮,g
米醋淬,None
取沉者,两
生阿胶,g
百合,"克,两,g,石,钱,两半,None,分"
黄连素,g
毕澄茄,"两,钱,钱半,g,分,克,None"
煮取,升
亦以桃柳枝搅匀,None
白酒,"ml,毫升,g"
酢浆草,g
大黄如鸡子大,None
油,"None,两"
苹果肉,g
蝙蝠葛根,g
汤洗,None
生苡米,"克,g"
用楮叶研自然汁涂却,None
醋炒延胡索,分
出油取霜,分
白豆腐,克
晚蚕沙,"g,分,None"
红曲,"克,千克,None"
桐油,None
南木香,"钱,克,钱半,None,两"
锅巴,g
有干姜,None
苦楝根,"两,None"
菜油,None
蓍草,g
茧黄,None
黑料豆,钱
生山栀,g
结猪苓,None
白芥子,"两,克,g,None,钱"
百药煎,"None,两,钱,克"
榆,两
陈附子皮,g
钤出良久,None
用白矾煎汤揉洗极净,None
野料豆,两
侧柏叶多用,None
黑蝉,None
砂仁,"两,None,个,g,克,两5钱,钱5分,钱,两6钱,分,粒,钱半,～3克,～10克,枚,合,重,两3钱"
同煮半日取出,克
切小块,None
带节麻黄,g
醋生地,g
煮掠去沫,两
紫葛,两
苁蓉,"克,两,分,两5钱,铢"
枇杷叶,"两,None,克,g,钱,～15克,分"
枇把叶,克
硫黄,"两,分,钱,克,None,g,两8钱"
高粱酒,g
鬼箭羽,"克,g,两,分,钱"
羚羊角屑,"两,克,两半,分"
青竹叶,片
鲜蓼草,斤
荆沥,"升,合"
山茱萸肉,"g,两,None,克"
将石飞,None
猬脑,分
八角金盘,g
研末冲服延胡索,g
鹿髓,两
真麝香,"钱5分,分"
茶叶,克
东山楂,钱
白梅干,个
粉干葛,克
鸡盹皮,g
罗卜子,分
老菱壳,g
半枚,None
耆草,g
鬼前羽,g
用脂麻炒,两
干姜皮,"克,g"
取头,克
滤取,升
桃心,枚
料酒,None
黄牛乳,升
炒杜仲,g
桂枝,"克,两,None,分,g,份,石,两半,钱,钱2分,斤半"
生枇杷叶,g
白芷梢,None
肺,个
饭上蒸,"两,克"
蘑菇,两
滤去滓净,None
杭芍药,g
小茴香,"两,克,分,两半,斤,g,None,两5钱,钱,钱半"
直候黄色,None
真神曲,克
或加肉桂,～6克
鸡肠,具
制厚朴,"钱半,g"
劈破,"None,克"
独头蒜,g
同炒黑色,None
盖此丸得此药,None
炙微黄焦,None
鹿街草,g
有毒烟出便塞却窍子,None
炒柴胡,g
羊角及蹄甲,g
煅百碤粉,g
炒川连,g
食醋,g
煅猪骨头粉,g
龟甲芍药,None
雌黄,"两,两2钱,分,两半"
炒薏苡仁,g
用手拌令匀,None
草豆蔻仁,"两,克,分"
以汤,盏
次入后药,None
蛇泡勒,g
乌鲗骨,钱
槐东南根,石
仙灵牌,克
甘蔗汁,"None,毫升"
升阳散火汤加羚羊角,None
无灰酒,升
大麦糵面,钱5分
件不以多少,None
建莲肉,"两,None,克"
棘针,枚
煎至,碗
不令与雌鸡同处,None
三七参,g
青礞石,"钱2分,钱"
淡豆豉钱半,None
狗头骨,枚
好墨,两
干漆,"两,钱,分,None,克"
大麦冬,两
用童便浸炒,两
醋淬酥,两
共,节
乌药,"分,两,None,钱,克,g,斤,钱7分,钱2分"
黑芥穗,"克,g"
面黄为度,None
麋角屑,克
牡蛎粉,"克,两半,两"
春秋,None
砂糖,"钱,两"
炙川芎,克
炒干姜,克
同杵为团,None
药水内,None
仙鹤草根,g
生藕,挺
小苗香,None
于瓦石器内与上,None
猪苦胆,个
代赫石,g
茱萸肉,两
石榴子,g
红花青藤,两
去砂石,None
珍珠草,g
川木通,"分,两,None,克,g,钱,两2钱,两半,两1分,钱半,钱5分"
玳瑁,"g,分"
芒硝粉,克
欢皮,g
鲜桃花瓣,克
用甘草,两
鲜荷叶,片
紫梢花,钱
炒益智仁,g
生枳壳,钱
皂角刺,"g,钱,克,两,None"
大甘草节,两
鲜天胡荽,g
杨芍药,两
熊筋,None
杜赤小豆,克
雄麋,只
去白瓢,两
用叶及花子,None
桔矾,g
七十五,None
蝎,分
密蒙花,"None,克,分,两,g"
托盘子强根,g
锉如指面大,斤
猪油,"None,g,斤"
候冷用,斤
办小豆,g
干茄根,两
荆芥子,None
白芨,"克,g,两,份,None,钱"
茯苓皮,"克,None,g"
木馒头,"g,两"
醋淬七次,None
羊肺,具
薏苡,"两,None"
二百四十,两
小柴胡汤,None
放深缸中,None
茴根,两
青木香,"两,g,克,分"
橙皮,钱
西瓜皮,克
平胃散加木香,None
姜汁罨,None
熬焦去滓,None
落鸦枪,None
柏末,分
烂杵,None
春夏,None
杉木节,两
床香,g
小黑豆,粒
蒴藋,"升,两"
萹竹,两
桂圆肉,"None,两,斤,克,g,枚,-5粒"
人参膏干粉,g
侧柏炭,g
玄茯苓,g
青葙子,"g,两,两半,None"
北姜,g
淡竹叶,"钱,克,g,片,分,None,握"
挂于有风之处,None
蛇蝉,两
糯米,"升,斗5升,None,两,克,合,kg,g,斤,分,粒"
倾入药味时亦用桃柳枝搅匀,None
茵陈蒿,"克,g,钱,None,两,石"
生草梢,石
麦芽面,克
石南,"两半,分"
切作,片
樗根自皮,None
槲寄生,"g,None,kg"
苦楝皮,g
二五味子,克
板兰根,g
倾入前药中,None
大白芍,g
焙干称,两
羊膝,g
筋并子,None
生槐花,"None,g"
味熬,None
同浸,None
枸己子,g
用薄荷叶,叶
广桂枝,None
墨鱼,克
油透再易纸,"None,两"
置坑中,None
泽兰,"克,g,kg,两6铢,两"
以浆水煮软,None
正广皮,克
与北五味子同炒干燥,None
百合花,g
地锦草,g
芒硝,"克,钱,g,None"
金蝉花,只
铁树叶,"克,g"
广皮炭,钱
白茯神,"钱半,两"
玄半夏,g
干猪粪,两
另捣为末,两
鳗鲡鱼,两
草乌,"个,两,克,g,None,钱"
苇,g
料姜石,克
以箸点药滴于水中不散为度,None
炙绵芪,g
煨大蒜,枚
西党参,"g,两,钱"
黄狗头骨,付
倒退虫,个
土朱砂,None
去须皮,None
黑豆,"斤,升,g,None,合,两,粒"
鲤鱼皮灰,两
以盐酒浸半月,两
浙贝,"两,g,钱,克"
千金霜,两
晒参,g
蒴藋根,两
无名异,"钱,两"
羧酸纤维素钠,g
五味子,"两,株,钱,克,g,None,粒,分,石,升,枚,两半,个,两2钱半,钱半,铢"
白蒄仁,g
射干,"升,g,两,克,两半,分"
乌鱼骨,None
牛乳,"合,毫升"
皮消,"克,分"
川古勇连,两
荞麦,g
蒜,"枚,两"
脚子,None
去须,None
青木瓜皮,None
麦芽曲,钱半
炒焦,两
后入蕤仁水飞,None
藏红花,两
拌蒸至,两
山茵陈,"克,两"
羊齿,g
柳枝皮,两
真川朴,克
东门上鸡头,枚
虫白蜡,g
香墨,两
雄鸡膊黄皮,具
川楝子,"None,两,分,克,g,石,斤2两,钱,斤"
梅冰片,分
黄矾,两
荷叶,"克,g,角,两"
鲜嫩藕,g
胖大海,g
涂生姜汁,None
紫河车粉,g
青石榴皮,None
田螺壳,None
蜜蒙花,None
天灵盖,"两,钱,分,枚"
煎沸取起,None
焦楂曲,g
萆解,克
急性子,钱
入香油,斤
茵芋,"克,两"
生麻,g
再煎透为度,None
太阴玄精,两
赤石子,克
鸡笼底垢,g
净轻粉,分
准山药,g
酒,"两,None"
嫩黄耆,两
抚川芎,克
石榴皮,"g,两5钱,钱,两,克"
山大戟,分
九一丹,g
螺儿青,None
炒蒲黄,"g,升"
铃子,g
半合,None
旱连草,g
同煮水尽,None
刺蓟,"两半,两"
倾入净细大瓷盘中,None
赤白芍,"None,g"
乱发如鸡子,枚
牛姜,钱
狗胆,枚
青化桂,"～6克,None,钱5分"
炙微黄,"两,None"
红信石,钱
芜荑,"钱,两5钱,None,克,两,铢,分"
童便,"克,None,毫升,两"
棕榈,"g,钱,把,两"
蝉蜕壳,枚
炭火烧令烟尽,None
楮实子,"克,两"
慢火炒干,None
带皮苓,g
独角柑,g
二十,两
白药子,"None,两,克,分"
蜇虫,g
退皮并双仁,两
一同银器内慢火熬药紫金色时,None
黄明胶,"钱,两"
以来,None
莲子,"克,两,None,两5钱,钱,g,斤,分,两1钱,升,钱半"
茯苓细粉,None
葫芦,g
路路通,g
去苗土,斗
露蜂房灰,分
草薢,g
雅黄连,g
马牙消,"两半,钱,分,克,两,None"
皂荚粉,g
炙内金,g
本有附子,分
炙粉草,两
以慢火煮附子,None
麦,钱
大蒜子,g
京枣,两
诃黎勒皮,"两,分"
次煎蒸,None
广青皮,两
苏木,"g,None,克,两,分,钱"
瓜萎仁,克
生茜草,g
蔓荆子,"g,升,石,None,分,克,两,钱,两半,钱半"
以朴消水浸,None
秋桔梗,g
烧令通赤,两
紫贝齿,"g,枚,分"
没药,"两,克,钱,g,None,钱半,钱5分,两半,分"
松针,两
白胶香,"钱,None,两"
西洋参,"克,g"
蕤仁,"分,钱,克,两"
炒子芩,g
乌喙,两
原麝,分
菊名石,两
白龙骨,"分,两,克,钱,None"
麦蘖面,克
川楝皮,g
荔枝核,"g,None,个,两"
生荆芥,g
大枣肉,g
醋炒香附,克
建膝,两5钱
当归梢,"分,克,None"
野山楂,克
斑蝥,"两,钱,None,个,克,对,分,只"
制白术,g
新罗人参,克
黄糖,g
红绵灰,克
真蕲艾,钱
蟋蟀,g
甜瓜子,"两,个"
小麦曲,两
常山,"分,钱,g,两,None"
清桐油,斤
冬白术,"钱,两"
指叶,g
桑寄和,g
大川乌,"两,None"
或用子,合
炒薏仁,"g,克"
构腾,g
油发,分
齐半夏,斤
小酒曲,钱
炙蟾皮,g
净连翘,"g,克"
奏皮,g
蛮姜,两1分
赤小豆,"两,克,g,None,钱1字,合,升,钱,石,-7枚,枚"
松香,"g,两,斤,None,钱,铢"
三棱,"None,分,两,钱,克,斤,g,千克,两半,钱7分"
南硼砂,钱
酒浆浸一夜,None
羊肚,个
羧羊胫骨髓,克
附片,"克,g,升,钱"
生芍,钱
瓜萎,g
侧柏,"两,钱半,克"
炙龟板,g
小川芎,g
去筋膜,"克,两"
山羊睾具,付
好酥,两
干虾蟆,个
草河东,g
川羌,"g,钱,两,分,克,None,钱5分,两半"
青子芩钱半,None
西茵陈,g
淋灰汁,None
全螟蚣,条
三故纸,克
壁虎,条
同炒黄,克
炒枯芩,g
虎头连项锁骨,None
晋矾,两
浮小麦,"g,None,克"
玫瑰花,g
狼牙,两
煨皂凡,g
蝼蛄,"g,只,枚,克"
白马蹄,两1分
蓝子,合
白金丸,g
蓼实,两
乳香,"两,None,克,钱,g,分,钱半,钱5分"
同姜片煮,None
黑豆皮,g
鸡粪,合
入粟米粥半盏,None
徐长卿,g
贡朴,两
猪肚大,个
密佗论僧,g
枣枝,"钱,厘"
急倾出,None
重汤煮烂取出,None
藿香叶,"克,钱,两,两半,分,None,钱半"
葫芦瓢,g
马勃,"g,两,克,分"
猪脂,"两,斤,克"
多,None
茯神,"两,两5钱,None,分,克,钱,g,两半,两2钱半,钱半,斤"
山栀仁,"分,两,None,钱半"
蛤粉炒,克
黄花子,钱
研烂成饼,None
旱莲萆,g
乌芋,g
杉皮炭,钱
垂杨柳,None
猪后悬蹄甲,枚
酸石榴皮,"两,分"
涂姜汁,"两,克"
虎头骨,"两,两半"
芡实粉,"两5钱,克"
高陆,g
松毛,g
鲜石斛,钱
味烧成灰,None
一半生姜汁制作饼,None
片松香,千克
白芨片,g
炒熟,粒
钩藤钩钱半,None
蔓荆,"两,None"
槐,两
牡丹,"两,分"
桂园肉,None
白葡萄干,g
同朴煮,None
银杏叶,g
白姜,None
白葵花,朵
鼠奶,g
淡香豉,g
黄松节,"两,克"
古字钱,文
剖麦冬,None
焦荷蒂,g
白狗粪,分
二味同厚朴一处,None
泥封,None
银柴胡,"克,g,两2钱,钱"
伏龙肝,"克,斤,钱,g,份,两"
切片子,None
榆根白皮,None
醋熟地,g
入酒,"斤,None"
猪胆粉,g
炙半夏,None
土粉沙参,两
旱莲子草,两
白鸡冠花,克
黄酒曲,克
新绛,None
煅鸡蛋壳,g
嫩桂枝,克
醋炙,钱
酸木瓜,克
蚂蚁,g
磁石,"None,g,分,两,克"
化橘红,g
荟芦,分
良姜,"两,个,钱半,两半,None,钱,两3分,钱1字,克,g,分,两5钱"
软前胡,钱
摈榔,g
酒延胡,g
以金箔,叶
厚半寸,None
生化汤加连翘,None
桑寄生,"克,两,g,钱,None"
陈石灰,g
苡仁米,g
零陵香,"g,两,None,分"
玳瑁屑,两半
诃梨勒,两
野葛,两
冬虫夏草,g
米粉,"None,克,g"
芫花,"两,g,分,钱,None,钱7分,克"
小续命汤去生姜,None
锉骰子大,两
华拨,g
姜夏,"钱,g,钱7分"
淡干姜,g
芡实,"克,None,两,斤,钱,两1钱,g,至5钱,～15克,两5钱,石,钱半"
去蒂,None
生灵脂,两
山白芷,克
鲜橘皮,～15克
枳壳灰,g
芸香,None
取出酒淬,None
樟树子,g
火煅起金花,None
生姜汁浸,"分,None"
黑山栀,"两,g,None,钱半"
枸杞茯苓,g
桑叶,"g,克,钱,两"
醋炒针砂,g
槿树皮,两
青风藤,"g,克,两"
禹余粮石,None
滤干,None
杭粉,"两,克"
蛇蜕皮,"克,条,分,两"
荷叶蒂,枚
金佗僧,两
生扁豆花,g
钟乳石粉,克
女贞子,"None,两,克,g"
洛粉,两
作,片
榜嘎,g
旧发网巾,None
生草鸟,斤
胶枣肉,克
将黑豆并青盐水,None
男子手磨成浓汁,None
檀香,"两,两半,克,g,None,两5钱,钱5分,钱"
制草,钱
加郁金末,None
薏苡仁,"克,两,None,钱,合,两1钱,g,千克,斤,石,分,两5钱"
削术,"斤,分"
雄雀粪,"分,两"
甘油,"毫升,ml"
九肋鳖甲,"None,克"
韭菜子,"钱,两,g,None,两半,分"
秦椒叶,两
大黑豆,升
炒橘核,g
雀脑,个
霍香,"g,克"
熏草,克
潼刺蒺藜,g
杭川芎,克
金星凤尾草,两
肉挂,两
嫩桑枝,两
与厚朴,None
石绿,"两,克"
石灰华,g
红木香,"钱5分,g"
红曲面,g
石上菖蒲,两
广枣,g
麝香,"两,None,厘,钱半,钱,克,铢,分,g,字,两5钱,粒,两2钱"
大枣桂,斤
陈丁香,两
草解,g
黄升,g
以醋淬,None
巴豆七百个,None
同生姜捣如泥堆,两
故纸,"两,g,钱,克"
赤蜜,克
珍珠,"钱,g,分,克,两,钱5分,字"
赤者石,g
紫苑,"g,分"
入药,None
鸡苏,"两,两半"
建菖蒲,"克,g"
龟膏,克
白敛,钱
香橼,"～15克,g"
真山药,两
夏用根节,None
细茶,克
独角金,g
白屈菜,g
舶上丁香皮,两
白茅根,"克,None,g,两,钱半,分,两半"
淮毛皮,两
水飞,"克,两,钱"
芜花,两
泉神曲,g
炒赤色,None
朱砂,"两,钱,克,None,分,g,钱半,铢,两8钱"
紫菀茸,"两,克"
禹余粮,"g,分,None,克,两"
醋浸炒,两
不用水洗,None
兜铃,两
生紫菀,g
桑,两
半夏,"钱,None,克,两,升,g,分,个,两半,钱半,钱5分,枚,石,斤,两1分,钱2分"
茅山苍术,"斤,None"
台乌药,g
生首乌,g
小麦芽,克
楝,两
郁李仁,"克,两,None,分"
安南桂,分
刮去粗皮,None
芩,g
煮姜味淡取出,None
草果子仁,两
新白面,钱匕
瓜儿血竭,"克,钱"
威喜丸,g
马鞭草,g
端午日粽子尖,枚
好茶,克
黑矾,"克,g,None,钱,斤,两"
1000,None
安息香,"两,g,None"
与蜜一同熬,None
冬藤,g
遍去滑,"两,None"
白菊花,"克,g,分,None,两2钱"
鲜斛,None
甑带灰,克
煨石膏,"两,克"
续断,"克,两,g,None,钱,分,两半,铢,两5钱,两2钱"
李根皮,g
萑香,g
日采,None
炙鳖甲,g
金橘饼,枚
僵蚕,"克,两,g,钱,两5钱,None,分,钱半,枚"
荞苨,两
慎勿烘炒,None
生栀子,"g,None"
用川椒末,克
艾炭,两
买花粉,g
煅瓦楞子,g
败棕,分
熟艾叶,两
佛手参,g
猢狲头骨,两
陈橘红,钱
甜茶,g
五灵脂,"两,克,钱,g,斤,None,钱7分,分"
蚌粉,None
以盐,两
豆霜,钱7分
炒三仙,g
熟甘草,克
净蜜,斤
地龙末,钱
狐肝,两
枸杞根白皮小,斤
地骨皮,"两,克,分,钱,g,None,钱半,两半"
江米面,千克
酥炙,"克,两"
炒葛根,g
卜子,"两,钱"
木猪苓,钱5分
楮,两
取出焙,None
墓头回,g
黄砚壳,None
竹叶,"克,None,g,升,握,两,片"
煮水干为度,None
可容巴豆丸,粒
参三七末,g
蜈蚣,"条,g,None,分,对,枚,两,寸"
川厚朴,"None,两,g,克,钱"
鲜扁豆花,克
蚯蚓粪,"升,克"
粉甘草,"None,g,克,钱半,钱,两"
建粬,g
麦夫炒山药,g
闾茹,"None,两"
滚浮水面,None
红娘子,"对,枚"
用生甘草水洒出火毒,None
醉鱼草根,g
纳银器中煎成霜,None
绵茵藤,g
干蓝,分
生鸡子白,枚
紫草茸,"克,两,钱,None,分"
佩兰梗,g
丹参,"克,g,None,升,片,钱,两,斤,两1分,分,石"
入窖不郁,None
盖,克
生薄荷,g
旱莲草,"g,克,None,两"
黄苍,g
汤洗七遍去涎,None
鲜生姜,"克,片,g"
把,None
柿霜,"两,克"
制石灰粉,g
将浸莲肉酒添水煮,None
蔓荆叶,钱
八珍汤,钱
凡土林,g
母猪蹄甲,两
蛜,"分,枚"
龙骨,"两半,两,分,克,None,g,钱"
竹沥,"g,合,升"
明沙参,"g,None"
金银花,"克,两,g,石,None,钱,斤,钱5分"
寮刀竹,g
蒲黄,"分,None,两,g,升,钱,克,钱5分"
白木槿花,克
半夏曲,"两半,两,克,分,钱,g,钱半,None"
葫芦须,分
味甘者佳,～60克
异功散加川苍术,None
绿茶,g
神曲,"None,两,克,两5钱,g,钱,钱半,块,钱7分,分,斤,两2钱"
千年健,None
麝香末,钱
以醋淬数次至黄色,None
煅烟出为度,None
茜草,"g,克,None,分,钱,两,斤"
蜗牛,两
煎令干,None
用酒洗净,None
柳无节病者一枝,None
生川乌,"g,两"
炙全蝎,g
马毛,两
棕衣,g
白蘘荷,两
鼠妇虫,合
黑荆芥,g
滑石块,钱
随意做成饼式,None
蒺藜,"克,g,双,钱,None,两,升,分,两1分,两半"
草条,g
川乌,"分,两,g,克,钱半,斤,钱,None,-2个"
哈士蟆,钱
宿姜,克
蓖麻子,"两,粒,钱,g"
孔,None
广香,g
逍遥散,None
去豆,"斤,None"
沉香,"两半,两,克,钱半,钱,分,g,斤,钱5分,钱1字,None,份,两5钱,钱2分"
老葱,"根,支"
铁落花,"kg,两"
血竭,"克,g,钱,None,两,分"
菝葜,g
上白茯苓,克
黄精,"两,g,克,钱,斤"
生蒲黄,"g,None,钱"
生芪,g
黑沙糖,斤
菊花,"克,斤,g,None,两,钱"
泔水浸,两
白蔻末,g
露蜂窠,两
猫瓜草,g
姜滓,None
朝东墙头草,None
君达莱,克
淘,None
螟蚣,条
白酒头浆,None
大青盐,"钱,枚,分,None,克,两,两2钱"
味脐尖,None
地肤子,"g,克,两,钱,None,两半"
面,两
粗碗盛,None
氧化锌粉,g
小儿发,两
竹茹,"两5钱,克,g,None,两,钱"
白梅花,两
石膏,"None,g,钱,两,克,两半,分,两1分,斤,钱5分"
如是,None
陈漆,升
泽泄,g
木防己,"两,分"
鸡血藤,"克,g,None,kg,两5钱,斤"
山羊肾,g
亚甲兰,g
金牛草,None
真朱砂,两
以麻油焙燥,None
桑白皮,"克,两,g,None,分,钱,钱半,升"
羊胆汁,g
金钱鱼,g
生山查,g
乌梅,"两,g,个,枚,None,克,石,钱半,分,钱7分,钱"
地胆头,g
比硝,None
干木瓜,"钱,克,两,None"
石三棱,两
阴干,None
小胡麻,"克,g,两,钱"
熬熟,两
生麻黄,g
炒酸枣人,g
大蜈蚣,条
枸跽子,g
制铜绿,分
豆卷,g
红枣桂圆,克
甘草,"克,分,两,None,钱,g,两8钱,两半,斤,两5钱,钱5分,～6克,钱半,升,石,份,文,两1分,钱7分,两18铢,寸,两2钱半"
陈海蜇,两
糖霜,两
代赭石,"克,g,None,钱,两"
水澄,None
用艾叶填满,None
细曲,"kg,g"
蚕蜕纸,None
江枣,g
北沙参,"克,g,石,钱,两,None,分,铢"
二陈汤二方相合,None
磨盘草,g
密佗僧,"钱,g"
猫人参,g
虎骨,"g,两,分,克,钱半,None,钱"
用瓦甑蒸,None
百部<酒浸,克
藜芦,"None,两半,钱,两"
味熬研极细,None
煅用炭,斤
甘草末,钱
突厥子两半,None
白蔻肉,None
新竹茹,g
石茱萸,两
白英,g
甘草枵,g
川芎l,g
儿茶,"g,None,钱,两,分,克"
石决明干者,None
山楂,"两,克,两5钱,钱半,None,两1钱,钱,分,g,斤,粒,升,两6钱,钱7分"
栀仁,None
以生姜自然汁搜饼子,None
半赤茯苓,两
茨实,g
鲜牡荆根,g
制僵蚕,g
生生乳,克
如无叶,None
麦糵,"两,分,钱半,钱"
丹参`,g
干麻,g
白花百合,两
瓜翠,None
炒山楂,"钱,None,g"
泡辣椒,克
薄切片子,None
俟天雨时用新净瓷器当空接取洗砚,None
使君子仁,"钱,两,克"
水洗,"None,分"
瓜蒂末,钱
日泻出粪水取起,None
酸榴皮,两
浑兰叶,g
曰倍若沉者,None
焦艾,钱
生桑叶,g
荜茇,"钱半,两,克,None,g,钱,分"
蛰虫,"g,None"
羚羊骨,石
藿梗,g
南乳香,"两,克"
好酒,None
赤脚蜈蚣,条
生山楂片,克
真柿霜,"两,克"
萝卜,～1000克
清酒,"ml,升"
研为粉,"None,两"
肥知母,分
楝条,None
人参叶,g
大豆同蒸干,None
荆芥,"g,钱,克,None,两,钱5分,握,分,斤"
生鸡内金,"钱半,g,克"
败龟,"分,两"
细研,None
厚朴,"两,None,克,分,钱,两5钱,斤,钱半,两3分,钱1字,g,两半,两1分,钱5分,千克,钱2分"
大枫子油,两
大京枣,千克
荠菜花,g
蔓菁花,None
红枣肉,"枚,None"
陈枳壳,"克,两5钱,分"
冬瓜皮,"克,g"
香附米,"斤,两,克,None,分,钱"
火麻仁,"g,克,两,石,None,升"
橄榄核,钱
蓝叶,"分,克"
云茯苓,"两,g,分"
柴地丁,g
炒杭芍,g
木香,"两,钱,两半,克,分,None,钱5分,g,斤,钱1字,～2克,石,钱半,两8钱,钱7分,两5钱,两1分,份"
大麦糵,"两,钱半,两半"
去茱萸,分
冬麻子,合
陈麦芽,克
瓜子金,None
阳起石,"两,克,None"
煮熟,None
水飞过,两
干全蝎,两
取下于土中埋,None
白盐,两
白豆蔻肉,钱
地道紫雪丹,分
苦参皮,钱5分
煨明天麻,钱
厚桂,"分,None"
炙川乌,g
炒乌梅肉,克
厚朴花,g
柞木,钱
上锉,None
干柿,枚
柴胡,"钱,克,None,g,两,分,升,石,两半,钱半,两5钱,钱5分,两2钱"
沸汤洗,两
桂附理中汤,None
川牛膝,"克,两,g,斤,钱5分,None,钱"
九菖蒲,两
紫梗,g
狗脊,"g,克,两,钱,None"
