雄黄,"钱,两,None,克,分,g,两2钱,铢,千克,钱半"
生姜汁制饼,两
煎膏,两
炒藕节,g
松叶,"g,克"
蒲公英,"g,升,两,～60克,None,克,斤"
细辛红花,None
桐子炭,钱
干薄荷,两
轻粉,"钱,两,克,字,分,g,钱匕,两半,None"
橘核,"g,两,钱"
晒露,None
广三七,"钱,g"
羊蹄菜,None
煅龙骨粉,g
杵碎,None
蜜涂,克
黑牵牛子,两
云白术,钱
大倍子,个
侧柏叶,"g,两,分,钱,None,克"
乌鸦,"两,只"
锅内旋添汤,None
紫稍花,两
同煮焙干,None
涂生姜汁炙,None
无花果,g
再以米粉蒸之,None
羚羊粉,"None,钱,两半,两,克,-5钱,分,g"
苍耳子,"克,g,钱,升,分,两"
入后药,None
倍,None
渍豉,升
大黄先煎,g
煅针砂,g
益元散,钱
烧令黑色,None
炒知母,"g,克"
或人乳,None
生草乌,g
鹿角胶,"两,钱,g,克,分,两半"
煎候沸,None
三蛇胆,g
银柴,钱
生犀角,两
净花,None
烊阿胶,g
慢火煮干,None
大黄荆芥,克
去芯莲子,克
雄黄末,钱
木猪苓亦作片,None
炙党参,g
置阴地令干,None
金果榄,"两,分"
墨旱莲,"g,两,分"
蜜曲律,两
不用甘草,None
真上好芦荟,两
黄牛骨髓,两
青膏,g
切短,None
天仙藤,克
黑衣,两
铁笕菜,g
壁虱,None
白芍,"两,分,钱5分,克,None,钱,斤,g,两7钱,两5钱,份,石,钱半,两半,钱2分,两1分,两3钱"
鲮鲤鱼,两
桑螵蛸,"g,枚,None,分,个,两"
姜汁拌,分
女莓,两
焦蜜,g
菘菜子,升
言五倍子与沉香,钱
仍将鸡骨酥油和原汁或酒炙酥为末,None
炙枳实,g
栀子,"克,两,g,None,钱,分,枚,钱半,升"
放新瓦上焙干,None
谷草,g
乱发,"两,分"
干姜,"None,两,克,分,两半,g,铢,片,斤,钱,钱半,～100克,～9克,钱5分,石,两2钱,两5钱,块,两6钱"
二芽,g
泡参,"钱,g,None"
细研上药令极细,None
生商陆,升
小白菜,克
硼酸,g
生黄柏,g
用黑豆煮干,None
野狐肠连心肺,None
去水,None
盆复之,None
茅柏根,g
换泔,None
鸡骨草,g
生地,"两,克,两5钱,分,钱,None,千克,g,石,两半,钱5分,斤,升,斤12两"
路通,克
象鳖,个
青粱米,合
郁金,"两,克,g,合,None,分,石,钱,两5钱"
蛋白干,两3钱
血竭末,g
扁豆子,g
牛,None
山药粉,克
焦山楂,"None,钱7分,钱,克,g"
补中益气汤加地榆,两
地栗粉,"克,钱5分"
硫酸镁,g
炒面,斤
锁阳,"两,g,钱半,克"
同煮何首乌干,None
鹭鸶藤,两
使君子,"两,钱,钱半,克,None,g,个,两半"
去毛净,两
生姜自然汁炒熟,None
酒生地黄,g
菟线子,克
嫩鹿茸,两
内,两
上绵耆,两
红花地桃花,g
熟附,g
川贝,"克,钱,两5钱,分,两,None,g"
北五味子,"克,g,两,None,钱"
金蝎,g
黑铅,两
牛黄,"钱,分,None,克,两,g,钱5分,两1分,钱2分,钱匕"
料酒葱姜,None
鲜马齿苋,g
真酥油,斤
核桃,个
姜粉,g
蒲黄炒阿胶,g
赤鲤鱼鳞,两
才倾入前紫金色药内,None
生白药,g
煅赤皂矾,g
摊巴豆在内如作夹子,None
金樱子,"克,None,两,g,钱"
上锉碎,None
真漏芦,钱
炒酸枣仁,"克,g"
大斤,None
蜀黄耆,两
贡白术,"g,两半"
人中臼,克
白芜荑,两
生大枣,g
川熟附,None
焦木,g
水红花,g
云母粉,两
生代赭石,g
小麦蘖,两
饭上蒸晒,None
炮黑姜,～6克
半枝莲,"克,g"
血金炭,g
以白酒作引,None
令姜汁干尽,None
鱼骨,两
厚丹,g
虾蟆皮,张
人指甲,钱
臭樗皮,两
净择水洗,None
一百六,两
别捣为末,None
茯,None
芎?,"斤,两,两半,分,钱半,钱,None"
黄艽,g
肥枣,个
桂心细辛,两
槐枝,"斤,厘,钱,None,两"
白糖,"千克,两,None,克,斤,g"
如太烧手,None
焦栀仁,克
南芡实,两
炙首乌,g
洋榧肉,两
象牙屑,g
北五加皮,-9g
制没药,g
白姜灰,克
狗茎,具
鸡内金末,克
谷芽,"克,钱半,两6钱,两,钱,None,g"
紫薇花,None
烧生姜,None
忍冬叶,g
大穿山甲,两
海南沉香,g
夏曲,钱
黑嘴白鸭,只
吴茱萸,"两,合,克,钱,None,g,分,升,钱半,铢,粒"
二面针,g
生南瓜,g
猪,None
桔便,g
有枳实,铢
淮枣,None
呋喃西林,g
生姜汁炙,"两,None"
威灵仙,"两,克,g,钱,分,两半,两5钱"
防风,"克,两,g,钱,分,None,钱半,升,两5钱,两半,钱5分,斤"
钳出,None
晾干,None
罂粟,"g,钱5分,克,两,分,钱"
枫枝,两
紫珠草,g
陈曲末,两
苦楝子粉,g
纯白牛毛,钱
鸡膍胵中黄皮,枚
大椒,"钱半,钱1字,克"
烧灰存性,None
川芎炒,克
乙醇,毫升
苏枋木,分
水煮数,None
辰茯神,两5钱
川心连,g
胭脂炭,钱
全,None
先煎,None
大腹皮,"克,分,两,None,g,钱,钱半"
陆英,两
花香油,g
桃无节病者一枝,None
空青,"两,分"
干蜗牛,个
赤鲤鱼皮,两
中附子,枚
同上,None
蒸时用黑豆,升
川百药煎,"个,None"
沸汤浸一昼夜,None
缩砂仁·猪苓,克
滤去沙,None
柽叶,斤
功劳叶,g
粳米,"升,None,克,合,两,g,～100克"
上官粉,钱5分
草蔻,"两,枚,分,克,两5钱,两半,g,个,None,钱"
藿菜,克
樟柳根,"升,None"
别用汤洗去矾,None
莲花青皮,克
甜当归,g
胡黄莲,g
扁豆衣,"克,g"
佛手,"克,钱,g,None"
酒炒杜仲,克
锦地罗,两
苏方木,None
铁精,分
生石决明,g
北梗,"克,钱半"
连子心,g
牛胶,钱
蒜白,斤
分四制,两
熟干地黄,"两,克,分,None,两半,升"
饴糖,"毫升,g"
大醋,升
三仙,"两,g"
辛荑花,"g,克"
瓜萎根,克
金楔子,克
槐角子,None
李子树胶,钱
生犀末,None
炒蒌皮,g
地栗沙,两
金扁柏,g
明雄黄,"两,钱5分,钱"
闭口者,两
锅粑,g
赤苓,"None,分,克,两,g,钱,钱半,两半"
莶草,两
韭根,把
生姜屑,两
红大戟,"两,g,None,钱7分,克,钱"
以醋,升
萆乌,g
谷蘖,克
上药先以盐泥固济炉子,None
白干姜,None
鳖甲尖,克
辣蓼,g
正雅连,克
黑齐穗,g
玉叶金花,g
木贼,"克,分,None,两,g"
柯子,g
寻骨风,g
入粟米,克
蛇衔,两
锉半寸长,None
荸荠粉,g
用纸数重裹捶,"None,两"
干姜切作片子,None
盐泽泻,两
蛤蚧,"对,两"
人乳拌,克
胡桃仁,两
白糯米,"千克,斤"
真阿胶,"两,钱,分"
虎帐,g
雌鹿,只
干净地纸上摊之,None
半条,None
醋衣,两
清炙草,"分,克"
仓粟米,合
捣令烂,None
乌蔹莓,"克,g"
古铜钱,文
炒穿山甲,g
莪大夏,g
赤龙鳞,分
藁木,None
煨白果,粒
樗白皮,"千克,g,钱,None"
青陈皮,g
子净洗,None
松墨,两
焦大黄,g
入盐,两半
人工牛黄,None
用线缝合,None
菖蒲膏,钱5分
葱木,g
黄柏末,None
食盐味精,None
冬瓜子,"两,g,斤"
锅焦,"克,斤"
熟皮消,克
普鲁卡因,g
虫梢,钱
山桔根,g
猪脬,g
拔多愈妙,None
京芍药,钱
酒炒大黄,g
枫香,"钱,两"
生熟地黄,"两,None"
寄生尾,None
牡蛎,"克,两,None,g,钱,分"
白果,"粒,克,g"
勿令透气,None
白凤仙花,None
炒鸡内金,g
谷糵,两
同炒黄色,"None,克"
鲜竹笋,None
大枫子仁,钱
入甘石内,None
生螃蟹,个
捣碎细研,两
鲜兖州卷柏,g
紫补,钱
生斑蝥,个
浸入童便内,None
酒军炭,g
粉滑石,克
黄土,钱
龙齿末,分
白前,"两半,g,两,分,None"
豆烂换好者,None
童便浸一宿,克
蒸豆烂,None
白藿,g
怀生地,"钱,克,两,None"
豆蔻,"钱,克,g,None"
牙硝,两
辣桂,"克,None,分"
清水煮烊,None
生姜母,None
土木香,g
海藻,"g,升,克,两,两半,钱半,None"
炙口耆,钱
水银,"None,两,钱,斤,钱半,两半,铢,g"
蛮姜末,钱
干金鳖,g
晒九次,克
枯萝卜,"g,克"
%血竭,g
置土坑中,None
牛旁子,克
乳酸钙,None
莲子汤,g
炒薏仁米,两5钱
鸷鸟骨,钱
健曲,g
胡枝子,g
和皮切,None
真灵磁石,粒
词子,g
地鳖虫,"克,g,钱"
巴戟天,"两,克,g,钱,None,分,两半,斤"
砂糖或细盐,None
乃能收敛周身顽涎,None
灯心草,"根,g,None,钱半,钱,寸,两,分,茎"
又切作,块
东党参,两
葶苈子,"克,两,None,g,钱,分,两1分,钱7分"
台党参,g
入巴豆,两
力子,None
罨,None
母丁香,"钱,克,个,两,分,-7枚"
净香附,"两,钱半"
每个用中,节
面裹煨,None
酒精,g
鼠骨,副
生薯药,两
韭菜,克
官桂肉,钱
拣净,克
茜草炭,g
山桅子,"g,克"
揉浓汁去滓,None
炒木鳖壳,g
东洋参,分
硬脂酸镁,g
三日,None
枸杞根皮,斤
鼠屎,-7枚
射菵,分
拌酒蒸晒,None
四叶参,g
丹皮炭,g
炒砂仁,g
白苏子,g
佛手相,g
明雄,"两,钱"
猪牙皂角,"None,挺,分,克"
涂生姜炙,None
川羌活,"None,钱"
用法酒,升
巴霜,None
硼砂,"g,钱,钱5分,克,两,None,字,分"
水磨雄黄,两
豆粉,"两,克"
黑炮姜,克
干牛胆,两
鲜生地,"两,克,钱"
橘络,g
姜厚朴,"g,克"
黄柏,"克,分,两,None,至5钱,～15克,g,份,钱,钱5分,千克,两半,钱半,斤"
钩藤皮,"两1分,两"
大半夏,"两,克,钱,个"
狗宝,"分,钱"
小柴胡汤加山栀子,None
生姜自然汁浸,None
通赤为度,None
蜜半盏,None
川苦楝,两
羊子肝,"None,两"
去滓,克
细切,"None,两,分"
芒荟,g
炒米仁,"两,g"
瓜儿竭,钱
曲,"克,g,两"
蒸熟地,None
细砂仁,克
梨汁,"None,毫升"
清炙枇杷叶,g
黄毛鹿茸,两
制何首乌,"None,g"
热地黄,克
辛荑,"None,g,克"
又同捣,None
去滑,"两,None"
饼药,盏
白瓷药,两
红丝,None
藤杜仲,g
冷水浸,两
藤梨根,g
入人乳再蒸,克
姜炭L,克
山楂片,g
匀令过火,None
蛇床子,"两,g,钱2分,铢"
九层风,g
与半夏同捣烂,"分,克"
90,None
炙桂枝,g
大当归,两
车前草,"克,None,g,两,握"
桑椹子,g
黑丑牛,钱
咱黄连,g
焦子芩,g
漉出,None
为末,"两,None,克"
白茄根,两
凌霄花,"g,两"
炒丹参,g
精食盐,g
末石脂,g
川面姜,两
白米面,千克
入瓦罐内,None
芝麻油,g
铅粉,"两,克,钱,None,分"
熟山药,g
黄苓,g
松石蕊,g
熟蒲黄,g
海蛤,"两,分"
用酸醋淬透,两
生香附,两
炙军,钱
麦冬,"两,钱,克,分,两5钱,None,g,石,两半,两2钱半,钱5分,升,斤,钱2分,斤4两,两2钱"
桑花叶,两
连皮大腹槟榔,枚
全蝎,"尾,分,钱,两,枚,g,个,克,只,None,钱5分,-7枚"
指甲,None
煎成粥,None
甘州枸杞子,两
麻黄粉,g
新罗参,两半
厚川柏,克
四物汤加黄柏,None
珍珠层粉,g
苯甲酸钠,"两6钱,g"
醇酒,升
捣筛为末,None
香榧草,g
次碳酸铋,g
净枣皮,两
白茯芩,"分,克"
破故子,"两,None,克,g,钱,两5钱,钱1字,钱半,分,斤"
食盐,"None,g,钱,分"
同茯苓,None
边翘,g
炒薏末,g
葵花,None
别研,None
黑丑,"克,两,g,None,千克,斤,两半,分,钱"
紫苏茎叶,"克,g,两1分,两"
日干或焙干,None
远志,"克,两,None,分,g,钱半,钱,钱5分,石,斤,两半,铢"
炒党参,"克,g"
绿豆,"g,粒"
力子于,None
巴豆仁,"g,粒"
贴壁上候干,None
莱菔子,"两,克,钱,分,斤,None,g,～10克"
用糯米粥浸一次饭久,None
干水蛭,枚
白蜂蜜,ml
大参,None
白云苓,"克,None,两5钱"
红辣椒,g
净黄泥,None
生附子,g
卷柏,"g,两"
竹刀切片,None
刺猬皮,"枚,两,None,分"
鲜垂盆草,g
水牛角,"g,None,克"
郁金l,g
可烧得,钱
六味地黄汤加柴胡,None
刮铜绿,分
大黄后下枳壳,g
雌鸡,只
实白者,None
煅西月石,两
南沙参,"g,克"
鲜泽漆,g
白茯,"两5钱,None"
生薏苡仁,g
倒其缸内,None
炼酥铜,钱
鲤鱼鳞,两
未干用青盐,两
鲜贯众,克
嫩细柳条,None
菟丝子炒杜仲,g
乱发灰,"分,两,克"
生何首乌,g
人参川芎,克
糯稻根,"石,g"
绞股蓝,g
牛胆南星,"两,克"
玉竹,"两,None,石,g,～20克,分,钱,克"
焦山查,g
煅硼砂,g
捣成饼,"两,None"
肉豆蔻,"钱,个,两,枚,两半,克,钱半,g,None,升,分"
乾蝎,两
苍术炭,g
一方加小茴香,None
附子小,None
蔗浆,毫升
炒黑干姜,分
阿魏,"分,钱,None,两,克,块"
孩儿骨,钱半
熟薏仁,g
以酒同炒,None
碱花,g
寒水石,"g,两,两半,克,钱,None,分"
鸡矢藤,g
陈广皮,"g,None"
菟丝子,"None,克,g,两,石,两5钱,两半,钱半,斤,两4钱,钱"
怀熟地黄,两
饭甑内蒸熟,None
木棉花,g
水红花子,"g,克"
腌猪骨,None
白花蛇虫草,g
酒炒川柏,None
用生姜,"两,斤,克"
白木耳,g
蒸熟,两
鲜青松毛,g
可铁刺,钱
蟾蜍炭,g
蜜,"升,两,毫升,合,斤,None,克,匙"
生葛根汁,合
五味子打碎,g
香茅,分
生玳瑁,钱5分
小桑枝,g
车前子,"两,g,克,分,钱,None,升,石,钱半,两2钱半,两半"
葛根,"克,钱5分,None,两,g,升,钱半,钱,分,两半,两5钱"
杏仁依本方加,None
九豆子,g
猪牙皂荚,两
炒黄,None
捣烂取汁,None
捣研,None
大麦蘖曲,克
榴根皮,升
杜仲,"两,None,两半,克,g,钱,分,钱半,铢,钱5分,两5钱,斤"
青果炭,g
14,钱
菔子,两
恒山,"分,两,两半"
雄蜒蚰,条
珍珠末,"两,None,分"
稍干,None
蒸两遍,None
地榆粉,g
净麻黄,钱
炒刺猬皮,g
大朱砂,钱
茅花,None
厚薄如钱,斤
%酒精,两
舶上茴香,"两,克"
犀角屑,"分,两,克,钱,两半"
紫石英,"None,g,分,两,克"
木香后下,g
炒白芥子,"克,g"
犀角,"两,钱,None,分,钱半,克"
煮甘草味淡取出,None
鲜芦根,g
京墨,钱
醋白芍,"g,钱"
黄皮树叶,g
鲜银花,克
枣肉,"克,两"
好川乌,枚
椿白皮,"两,克"
知母,"钱2分,克,两,分,None,g,钱,-5钱,两1分,两5钱"
别直参,钱
蜣螂,"g,枚,个,分"
五脂灵膏,g
湿纸裹,None
橘皮白,None
粟米,"千克,斤,撮,合,两半"
飞辰砂,钱5分
用山黄土蒸之,None
味熬至,升
鹿茄茸,"两,具"
真怀山药,克
沉香与附子,None
将地黄汁炒生姜滓,None
倾去巴豆不用,None
大剂,克
甜百部,两
桑百皮,g
太子参,"g,克,None"
淘净去土,None
大蛇蜕,条
以线系定盒子内,None
豆衣,g
蛇胆,g
猪蹄,只
炒黄柏,"g,钱"
好贝母,两
苏木面,克
炙陈皮,g
炒车前子,g
入干瓷盆内,None
怀中藤,g
生白芨,g
野台参,"钱,克"
芙蓉叶,克
桔皮茯苓,g
干侧柏,钱
米泔浸,"克,None"
鳖头,个
稀蔹草,g
粘子,钱
土元,"g,None,个,钱"
中把,None
鸡子,"个,枚"
汗防己,g
椿荚,两
川花粉,g
甘遂,"两,g,分,钱,None,钱7分,克"
封固,None
春砂仁,"钱,两5钱,g"
将药放在叶上,None
椒仁,两
250,None
碳酸氢钠,None
生月石,两2钱
獖猪心,个
炙罂粟壳,g
制半夏,"克,g,两,钱"
将铜绿研细,None
好人参,两
一同研细,None
一肉蔻,克
紫花地丁,"g,None,克"
麦饭石,分
真黄明胶,g
生耆,"两,钱"
明参,g
熟虎,两
槟榔川乌,两
武夷茶,钱
姜连,"分,钱半"
洋金条,g
陈皮粉,g
甚有奇功,None
制大黄,"克,g"
蕲竹叶,g
真龙骨,两
去心膜,None
地薄荷,两
干膝,两
金耳环,g
大蜘蛛,"枚,只"
地芫荽,两
黄狗骨头,两
