杏,蒌,桔,耆,二母,桑白皮,防己,百合,薏苡仁,地骨皮,葶苈子,五味子,草
桔梗,甘草,青黛,百部,山豆根,人参,茯苓,天花粉
马牙消,茯苓,麦冬,干山药,甘草,寒水石,冰片,朱砂
黄连,当归身,麦冬,茯苓,甘草,朱砂,冰片
珍珠,牛黄,麝香,冰片,珊瑚,玛瑙,熊胆,青鱼胆,炉甘石,海螵蛸,黄连,荸荠粉,蕤仁霜
车前子,瞿麦,扁蓄,滑石,山栀子仁,甘草,川木通,大黄
车前子,瞿麦,扁蓄,滑石,山栀子仁,甘草,川木通,大黄
紫花地丁,甘菊花
石膏,大黄,生甘草,知母,玄明粉,陈仓米
知母,石膏,甘草,粳米,人参
白术,赤苓,人参,甘草
天花粉,刮去粗皮,磨细末,筛过极细末,将绢袋盛,用清水中洗,出浆出滓,澄清换水,去苦,河南真绿豆粉,苏州薄荷叶,层层间隔,封瓶口,入锅内,隔水煮,炷香为度,取起冷定,开瓶筛,檀香,白石英,白硼砂,白豆蔻,玄明粉,白石膏,柿霜,轻粉
生地,麦冬,知母,石膏,玄参,天花粉,牛膝,大黄,甘草
荆芥,生地,黄连,净花,连翘,防风,黄芩,桔梗,甘草,栀子,力子,黄柏,玄参,竹叶
黄芩,黄连,连翘,川贝,桔梗,栀子,金银花,力子,生地,甘草,红花,竹叶
半夏,天南星,石膏,香附,栀子
薄荷,火硝,没食子,冰片,玄明粉,硼砂,大青盐
知母,川贝,天冬,麦冬,薏苡仁,五味子,甘草,桔梗,马兜铃,百合,阿胶,薄荷
知母,川贝,天冬,麦冬,款花,天花粉,薏苡仁,五味子,甘草,兜铃,紫菀,百合,桔梗,阿胶,当归,地黄,紫苏,薄荷
槐角,当归,生地,黄芩,黄柏,侧柏叶,枳壳,地榆,荆芥,防风,黄连,川芎,干姜,乌梅
川芎,当归,生地,白芍,麦冬,天冬,川贝,茯苓,桔梗,五味子,地骨皮,甘草
芒消,青黛,石膏,寒水石,朴消,火硝,甘草,马牙消
鳖甲全个,党参,玄参,黄芪,紫菀,天冬,麦冬,熟地,生地,地骨皮,山药,川贝,知母,百合,柏子仁,黄柏,白芍,橘红,丹皮,桔梗,赤苓,杏仁,香附,当归,五味子,秦艽,天花粉,黄芩,黑山栀,枸杞子,柴胡,郁金,白术,川芎,蒲黄,桑白皮,黄连,半夏,胆南星,甘草,苏子,薄荷,牡蛎,乌梅
桑白皮,熟地,人参,紫菀,黄芪,五味子
柴胡,升麻,黄芪,当归身,甘草,红花
酒生地,麦冬,当归,白芍,酸枣仁,远志,甘草
大黑豆,何首乌,茯苓,大青盐,甘草
黄柏,酒拌,知母,酒拌炒,败龟版,锁阳,枸杞子,熟地,干姜
黄柏,知母,熟地,龟板,白芍,陈皮,牛膝,锁阳,当归,虎骨
败龟版,黄柏,知母,侧柏叶,枸杞子,五味子,杜仲,砂仁,甘草
黄芪,人参,甘草,当归身,柴胡,陈皮,白术,升麻,葛根
石膏,大青盐,黄柏,花椒,去目,杜仲
柴胡,川芎,白芍青皮,枳壳,甘草,香附,当归,龙胆草,木香,砂仁
银柴胡,栀子,连翘,生地,胡连,赤芍,龙胆草,青皮,甘草
柴胡,黄芩,人参,生地,当归,赤芍,连翘,甘草,栀子
川芎,当归,白芍,生地,柴胡,黄芩,栀子,天花粉,防风,牛蒡子,连翘,甘草节
柴胡,青蒿,秦艽,白芍,丹皮,地骨皮,鳖甲,知母,黄芩,甘草,童便,胡连
柴胡,夏枯草,紫花地丁,黄芩,白芍,芒消,野菊花,郁金,大黄,半夏,甘草
生地,丹皮,青皮,石膏,荆芥,防风,甘草
牛黄,琥珀,朱砂,雄黄,胆南星,礞石,沉香,犀角,黄芩,大黄,天麻,石菖蒲,僵蚕,蝉蜕,猪心
人中白,细柏末,玄明粉,白硼砂,西瓜霜,明石膏,年取出,用黄连,煎汤飞,腰雄精,大梅片,上青黛,熊胆
生熟川军,芦荟,青黛,柴胡,龙胆草,黄芩,栀子,当归,青皮,青木香,杜胆星,麝香
人参,黄连,当归身,白芍,川芎,木香,白豆蔻
当归,白芍,生地,川芎,秦艽,黄芩,丹皮,焦栀,续断,薄荷,甘草,茯苓
熟地,知母,黄柏,龟板,猪脊髓
生玳瑁,生山栀,细木通,竹沥,广郁金,青连翘,丹皮,生姜汁,鲜石菖蒲计,小匙,紫金片
丹参,当归,白术,天冬,麦冬,川贝,陈皮,知母,甘草,石菖蒲,黄连,五味子
当归,生地,玄参,黄连,黄芩,黄柏,黄芪,浙贝,牡蛎,酸枣仁,浮小麦
当归,龙胆草,芦荟,青黛,栀子,黄连,黄芩,黄柏,大黄,木香,麝香
生地,栀子,川木通,甘草,灯心草,淡竹根
连翘,黄连,栀子,关木通,玄参,天花粉,赤芍,大黄,黄芩,滑石
地肤草,大黄,知母,黄芩,茯苓,白芍,枳实,升麻,通草,甘草
鲜地黄,当归身,白芍,枸杞子,天冬,麦冬,川芎,丹皮,莲子,知母,地骨皮,人参,甘草
鲜地黄汁,当归,白芍,枸杞子,天冬,川芎,麦冬,莲子,丹皮,知母,地骨皮,人参,甘草
鲜地黄,以,为则,当归身,白芍,枸杞子,天冬,川芎,麦冬,莲子,丹皮,知母,地骨皮,人参,甘草
生地,白藕,牛乳
甘草,半夏,麦冬,白芍,玄参,牡蛎,五味子
人参,茯苓,远志,石菖蒲,海蛤粉,黄柏,樗白皮,青黛
麦冬,黄连,苇根汁,玄参,黄柏,银花露,细生地,黄芩,生甘草
麝香,珍珠,熊胆,冰片,琥珀,炉甘石,硼砂,青葙子,谷精草,桑叶,菊花,密蒙花,草决明,蔓荆子,苍耳子,蚕砂,蒺藜,薄荷,大黄,黄芩,黄连,黄柏,龙胆草,栀子,知母,车前子,生地,赤芍,当归,丹皮,荆芥,防风,青蒿,石菖蒲,茯苓,金银花,连翘,甘草,玄参,枳壳,苦丁茶,枸杞子,木贼,望月砂
猪胆膏,枯矾,黄连粉,樟脑
麦冬,天冬,地骨皮,丹皮
天冬,麦冬
生地,麦冬,酸枣仁,生甘草,玄参,黄连,茯苓,川木通
怀地黄,酒浸,九蒸九晒,白术,败龟版,酥炙脆,黄柏,酒浸,春秋一日半,夏一日,知母,当归,生地,酒浸软,竹刀切,山萸肉,水润,白芍,茯苓,人参,绵黄耆,山药,陈皮,五味子,枸杞子,破故子,菟丝子,蒸熟,杵,杜仲,牛膝,苁蓉,酒浸一宿,酥炙黄,虎胫骨
栀子,白芍,当归,甘菊花,女贞子,地骨皮,丹皮,青黛,石斛
陈皮,净米泔水洗,略去白,锉片晒干,先用枳壳,去瓤净,煎浓汁,拌橘皮,浸透,次日蒸透晒干,用甘草,照前煎汤,浸蒸晒干,用款冬花,去芦梗净,用水照前煎浸蒸晒,用桔梗,去芦净,用水照上浸,浓汁煎,去滓,加白硼砂,玄明粉,大青盐,入汁化开,照前拌酒,蒸透晒干,用竹沥浸拌,照前蒸晒,用梨汁浸拌,照前蒸晒,用姜汁,萝卜汁浸拌,沉香,檀香,山楂米,百药煎,细茶,乌梅,白硼砂,五味子,人参,天花粉,薄荷,半夏
陈皮,白术,茯苓,甘草,半夏曲,川贝,枳壳,神曲,桔梗,黄芩,玄明粉,香附
陈皮,白术,茯苓,甘草,半夏曲,川贝,枳壳,神曲,桔梗,黄芩,玄明粉,香附
防风,川芎,当归,白芍,大黄,薄荷,麻黄,连翘,芒消,石膏,黄芩,桔梗,滑石,甘草,荆芥,白术,栀子
南沙参,北沙参,天冬,麦冬,百合,生地,金银花,黄芩,白茅根,白花蛇舌草,鱼腥草,铁树叶,薏苡仁,陈皮
黄柏,砂仁,甘草
黄柏,甘草,砂仁,苁蓉,莲须,芡实
荆芥,薄荷,玄参,防风,白芷,蕤仁,白芍,栀子,葛根,连翘,当归,黄芩,柴胡,升麻,车前子,生地,木贼,细辛,枸杞子,桑白皮,夏枯草,黄连,菊花,石决明,蒺藜,白术,香附米,黄柏
桑叶,紫菀,犀角屑,生甘草,款冬花,百合,杏仁,阿胶,川贝,金银花,熟地,人参
紫草,巴戟天,白芍,淫羊藿,麦冬,五味子,当归,知母,竹叶
生地,丹皮,黄芩,赤芍,柴胡,泽泻,青蒿,连翘,川楝子,半夏,车前子,金银花,生栀子,败酱草,重楼,广角粉
