雄黄,"克,None,分,g,个,钱,两"
朱砂面,克
腊梅,g
打碎,None
淘,None
白芍,"钱,两,g,克,～10g,钱2分,斤,None,分,石,两半,钱半,钱5分,两5钱,两4钱,两3钱"
地黄汁,"合,升"
蛮虫,g
大青盐,"两,钱,克,None"
－黄芪,g
地肤子,"g,两半"
鲜莱菔,千克
韭菜子,"g,分"
石膏,"克,～45克,None,两,两3钱,钱,g,～240克,～20克,两半,分,两5钱"
栀子,"None,两半,克,两,g,钱,分,枚,升,石,个"
乱发,团
陈面,两
干姜,"钱,两,克,片,g,None,块,分,两半"
用川椒,份
蚂蚁,g
大知母,g
盐黄柏,"两,克,g"
黄芍,g
皂,克
大风子肉,克
桑白皮,"None,钱,克,两,g,石,两半"
广木香,"两,钱,g"
去水,None
乌梅,"枚,个,两,两5钱,克,g,None,分,钱"
鸡骨草,g
干木瓜,克
维生素B,g
%冰片,g
浙苓,钱
郁金,"钱,～5g,两,克,None,g"
芫花,两
玄参心,克
西秦九,g
大蜈蚣,g
紫皮大蒜,只
象皮粉,g
锁阳,"两,克"
甘草,"钱,两,斤,克,None,分,g,～5g,两8钱,两半,寸,两1分,钱5分,两4钱,钱半"
牵牛头末,钱5分
使君子,"g,克,两"
另研,两
明参,g
天荞麦根,g
用五味子,两
天花粉,"钱,斤,克,两,g,None,两4钱,钱2分,分"
代赭石,"克,g,钱"
藏青果,None
鹿茸,"两,None,g,两2钱,个"
生蛤粉,None
煅月石,g
童尿浸炒,份
熟附,None
川贝,"None,钱,分,两,克,g"
北五味子,None
虎骨,"克,两"
牛黄,"克,分,g,钱,两"
赤白何首乌,克
核桃,个
黛蛤散,g
河水,碗
北沙参,"克,None,g,两"
石茱萸,两
儿茶,"钱,g,分,克,None"
金樱子,"g,克"
山楂,"两,克,g,两半,None,两5钱"
栀仁,None
黑蒲黄,g
淡豆豉,"克,两,升,g,None"
制僵蚕,g
鲜茅根,g
麦糵,"两,None"
白芜荑,钱
炒山楂,g
焦黄柏,克
乃取出细研,None
真秋石,克
红藤,"g,None"
澄淀成粉晒干,None
生龙牡,g
荜茇,"两,钱"
用童便,"升,克"
球为度,None
藜芦,"两,克"
藿梗,g
鸡子黄,"枚,g,个"
加白硼砂,钱
芝硝,g
橄榄,"克,g"
方炉甘石,克
白蜂蜜,千克
川归,分
焰消,克
照前煎汤,None
槐枝,"两,寸"
肥知母,g
白糖,g
西砂仁,钱
人参叶,g
双仁,None
真鹿角胶,钱
尖双仁,None
紫菀,"钱,两,克,g,分"
厚朴,"钱,两5钱,克,g,None,两半,两,分"
朴消,"None,两,钱"
用无灰好酒,None
忍冬,None
去目,钱
金礞石,g
冬瓜皮,"克,g"
香附米,"钱,克,None"
火麻仁,克
猪筒骨,枚
硇砂,"克,两,钱,分,None,钱5分"
球成晒干,None
蓝叶,None
云茯苓,g
吴茱萸,"两,克,g,None,分,两半,两8钱,升"
炒杭芍,g
木香,"None,克,g,钱,钱半,分,两"
大麦糵,两
凤仙草半株,None
荆芥穗炭,g
用乌豆,千克
阳起石,"钱,g"
中青皮,钱
又以火消末滚在泥球上,None
除去前,截
防风,"None,钱,克,两,分,两6钱,g,两半,两1分"
商,None
男子黑发,两
煨明天麻,钱
罂粟,"克,两"
生地黄自然汁,斤
紫珠草,g
防己,"None,克,g,两"
白酒枳实,g
禹余粮石,两
厚朴花,g
生麦门冬,"两,克"
球,None
桔,None
柴胡,"钱,分,克,～20g,两,g,None,两半,两5钱,钱5分"
生地.丹皮,None
川牛膝,"两,两半,g,石,钱半,克,钱"
九菖蒲,两
合欢木皮,两
狗脊,"两,g,分"
葛根汁,None
莳萝子,两
桃丹,克
先煎,None
烂研,None
地锦,斤
大腹皮,"g,None,分,钱5分,钱,两"
空青,两
陈干香橼,个
姜参,g
菇荑,钱
鱼鳔,克
炒苍术,g
板蓝根,"克,g,None,石"
藿香,"None,g,两,钱5分"
鳖甲全个,None
木香半皂子大,None
生甘草,"克,钱,两,None,分,g"
日收,None
粳米,"克,合,～100克,g,撮"
草蔻,"两,钱,分,g"
樟柳根,两
生山栀,"钱,g"
西瓜霜,钱
水煮半日,None
佛手,g
取出洗去灰土,None
生石决明,g
石决明,"钱,g,克"
新布裹,克
蜜浸,None
醋炒延胡,两
白藕,升
罂粟壳,g
熟干地黄,"克,两,None"
榴皮,g
羊桃根,两
制川军,g
水润,两
炒牛膝,克
酒蒸,两
赤苓,"None,两,克,g,分,钱,两半"
真金箔,片
掘地坑,None
红大戟,"g,None,两半"
农吉利,"两,g"
三七粉,g
辣蓼,两
正雅连,"克,钱"
礞石,"克,g"
过夜不必守之,None
马勃,"克,None,g"
煅枯矾石,g
酒蒸大黄,克
火煅红,None
净米泔水洗,None
麻子仁,克
香附,"None,两,克,钱,斤,g,分,钱5分,钱2分"
<汤浸,None
细生地,"克,g"
荸荠粉,"克,None,g"
翻转入炉,None
苏梗,"g,钱5分,分"
胡桃仁,克
芦巴子,None
粉干葛,克
真珠末,分
刺力,g
生山楂,g
大胡麻,"两,克"
蟾酥,"分,钱"
俱取入炉甘石内为妙,None
猪膀胱,个
上梅片,g
金铃,个
洗净切片,None
牛子,"克,None"
苍术皮,g
明乳香末,钱
田三七粉,g
海风藤,"g,克"
七粉,g
樗白皮,"两,克"
黄药子,"g,两"
红花,"None,g,两,两5钱,分,钱5分,钱"
二母,None
甘草稍,g
冬瓜子,g
随炉中炭火化完为度,None
望月砂,None
上青黛,钱
金龟莲,g
八里麻,g
蜂窠鹤虱,钱
杭菊花,石
葛花,"g,两"
鲜仙人掌去刺,g
杜荠粉,钱
茨菇,钱
生川军,"克,g"
青黛,"钱,None,g,两,克,分"
用人乳汁炙,斤
牡蛎,"钱,克,g,两,两3钱"
白果,"个,g"
薄荷脑,None
鹤虱,"两,钱"
拌橘皮,None
川栋子,g
防,两
水牛角类粉,g
生山药,"g,两"
葱头,个
绿炉甘石,None
照前蒸晒,None
三七,"g,钱5分,None"
童便,"None,杯"
白前,"g,两"
去明粉,g
大虾蟆,个
以汁尽为度,None
槐角,"钱,两,None"
粉白南星,两
杜仲炭,"两,两2钱"
尖槟榔,克
水银,"钱,两,克,分"
乌鱼骨,"克,两"
炙鸡内金,g
去苦,None
%血竭,g
金莲花,克
草决明,"None,两,g,克,两半,钱"
用水照前煎浸蒸晒,None
封瓶口,None
实黄芩,克
纸裹,None
桃胶,分
地鳖虫,"钱,g"
生知母,克
小者,个
每个切,片
穿破石,g
灯心草,"None,茎,尺"
大乌头,个
又切作,块
火煅令红去火,None
夏枯草,"g,钱,两,克,None,双"
葶苈子,"None,g,两"
力子,None
照前拌酒,None
母丁香,"克,钱,两,两2钱"
莲须,"钱,两5钱,克"
曲头棘刺,-7枚
王不留行,两
明石膏,钱
金钱草,g
硫磺,g
合欢花,克
浙贝,"克,g"
黍粘,钱
猪脂油,两
芎?,"两,分,两半,None"
桂技,None
甘州枸杞,克
炷香为度,None
炭火,斤
煎令熟,None
鲜绿豆,g
松花粉,升
焦桅子,g
牛胆星,两
欢花,g
枸杞枝,寸
石韦,"克,g,两"
辛荑,g
九香虫,g
川羌活,"克,钱"
硼砂,"两,None,钱,g"
出浆出滓,None
生藕节,g
微炒,None
黄柏,"None,钱,两,克,g,两5钱,两4钱,分,斤"
半枝莲,"g,克"
决明,g
酒拌炒,两
百草霜,"克,None,钱,两"
看成黑糟,None
谷芽,g
荆芥,"None,钱,克,分,两,g"
羊子肝,None
细切,"两,None"
皮消,克
干生地,钱
黄松木节,两
生鸡内金,钱
五加皮,"克,None,钱,两"
饴糖,g
润元参,g
象皮,克
樟丹,"None,克,两,分,g"
大杭冬,克
生螃蟹,个
京元参,None
莲心,"克,g"
麝香,"克,分,g,None,厘,钱,两,字"
去瓤净,None
五谷虫,"两,克"
龟膏,克
牛胆,None
山药,"两,None,钱半,克,钱,g,两2钱,分,升"
鲫鱼,个
蛇床子,"g,分,克,两,None"
京三棱末,两
天竺黄,"克,g,分,钱,钱5分"
湿漆,两
水化拌令得所,None
车前草,g
桑椹子,g
洋庄,克
大陈半夏,两
羊肾,具
雌黄,"钱,两,分"
绿石,g
肉桂粉,g
大半夏,两
拣参,克
炙粟壳,g
生煎耆,两
川当归,None
浮小麦,"克,g"
姜汁浸,"克,None"
荠菜花,g
如鸡子,None
海螵蛸,"克,两,g,None"
铅粉,"钱,两,克,分,g"
黄苓,g
韭白,两
酥炙脆,两
山萸,"g,None"
川椒炒,份
紫苏茎叶,"两半,两"
肉苁蓉,"两半,克,g,两,钱,None"
入汁化开,None
煎汤飞,None
焦枳壳,None
全蝎,"钱,克,g,只,个,枚"
珍珠,"克,None,g,分,粒,钱"
糯杆,g
生西庄,两
别研细,None
风化消,克
大黄耆,两
黑牵牛,"克,None,钱"
以透为度,None
陈枳壳,克
川槿皮,g
干荷叶,两
大蚕豆,粒
取净末,钱
破故子,"两,None,g,克,钱"
食盐,两
如有缝以泥补之,None
鲜地黄汁,升
羚羊角屑,"两,None"
