雄黄,"克,None,分,g,个,钱,两"
黑灵脂,两
骨碎补,"None,g,钱,两"
鸡苏薄荷,两
白占,None
新罗拣参,None
升硫,钱6分
白芥子,"两,克,石,两半,g"
百药煎,钱
姜,片
元胡,"g,两,None,钱"
炒山桅,g
江南香,g
生锦纹,克
砂仁,"None,克,两,钱,g,分,粒"
蛇衔,两
猪牙皂荚,挺
党参,"两,克,g,钱"
花生米,枚
蜂蜡,"g,钱,两"
大蒜,"两,头,升"
苁蓉,"None,钱,两,分"
枇杷叶,"g,两,克,分"
怀牛膝,"g,两,克,钱5分,钱"
硫黄,"克,分,两,钱半,钱"
倾入药汁内,None
雷丸,两
鬼箭羽,"g,两"
鹿头肉,斤
去滓用汁,克
新鲜猪胆汁,g
牛膝拌蒸,None
山茱萸肉,"两,g,钱"
角牛,g
切细,None
白薇,"两,g"
益智仁,"钱,克,g,分,None"
木鳖子,"克,两,钱"
鸦片,分
骨石,g
丝瓜络,g
山奈,g
竹刀切,两
狼毒,两
萝卜汁浸拌,None
福泽泻,g
青橘叶,匙
去丝,克
醋煮,None
开取盒子,None
去火候冷,None
盐水浸炒,份
瓜儿血竭,克
代赭,两
取头,克
少少糊在纸外,None
苦丁茶,"None,克"
上广皮,None
蛜蜥,两
蒸透晒干,None
炒杜仲,g
桂枝,"g,None,克,钱,两"
白莲藕汁,斤
土槿皮,"g,克"
白芍青皮,克
小茴香,"两,None,钱5分,g,克"
用水照上浸,None
煅左顾牡蛎,两
滤取细汁,None
用川芎?,份
地肤草,克
牛乳汁,斤
鲜竹叶,None
将绢袋盛,None
龙齿,"两,分,None"
生桑皮,克
松节,g
乳香半皂子大,None
山栀子,"克,g,两,None"
盛贮晒干,None
南硼砂,钱
野菊花,g
桂圆肉,"克,g,钱"
姜黄,"克,钱,g"
甘蔗汁,None
密陀僧,"克,分,两"
建莲肉,"克,两4钱"
海金砂,"g,克"
蟾皮粉,g
牛藤,g
如冬月只用,两
白木槿花,克
青礞石,g
干槐枝,None
晒参,g
没工,None
姜汁炒厚朴,钱
考山栀,g
白槿花,g
炒柴胡,g
干漆,"克,两"
大麦冬,"g,None"
白颈蚯蚓,条
锦庄黄,克
乌药,"克,g,钱,两,None"
生白术,g
枯白矾,钱半
麋角屑,克
牡蛎粉,"克,两半"
海粉,两
地榆,"钱,两,g,None,克,钱半"
浸半湿时杵成饼,None
法夏,g
鬼臼,两
炒干姜,"克,石"
荞麦面,两
大蓟,g
白松香,None
白人参,g
灰火煨香熟,None
如无鱼胆,None
玳瑁花,g
川木通,"斤,克,None,钱,两5钱,分,g,两"
踯躅,两
黄柏末,克
渐贝母,g
为则,None
小枳实,克
取起又煅又淬,None
白杨,个
用甘草,两
生黄芪,g
牡丹,"两,分"
大葱汁,None
酒芍,两
用盐水,克
炒益智仁,两
大炉,None
皂角刺,"g,斤,分,None"
萝卜汁,升
京墨,钱
青蒿,"克,None,g,石"
真川连,～18克
用清水中洗,None
椒目,"两,分"
滴水和搜,None
炙五味子,g
珊瑚,"克,分"
冰片,"字,分,克,None,g,钱,分5厘"
生龙齿,g
寒水石粉,克
密蒙花,"None,g"
%轻粉,g
以童便浸透炼熟,None
马兜铃,"分,克"
猪油,两
绵黄耆,"两,None"
继木,克
炒山栀,g
白芨,"两,g,克,钱"
茯苓皮,"g,克"
川乌头,两
竹叶,"None,克,片,张,g,升"
青木香,"钱,None"
生地,"克,None,钱,两,升,～9克,钱半,g,石,斤,分,两半,钱5分"
去翅足,None
僵蚕半字,None
白晒参,g
柿霜,两
琥珀,"克,None,g,两,分,钱"
鸡膍胵里黄皮,枚
荗,None
生蒲黄,"克,g"
蒴藋,两
水磨雄黄,两
侧柏炭,g
菊花,"None,钱,两,两4钱,克,g,分"
青葙子,"None,钱,两,分,两半,合"
淡竹叶,"张,钱,克,g,升"
怀地黄,None
去芦梗净,两
糯米,"g,合,两,升"
炒地榆,g
以后于乳钵内并酒,None
茵陈蒿,"None,克,石,g,钱,两"
甘草末,两
败蒲,两
制乳没,g
北杏,g
槲寄生,g
胆南星,"钱,克,两,g"
板兰根,"克,g"
橄榄核,枚
山桅子,g
积实,分
知母,"克,分,钱,两,None,g,钱5分,两5钱"
白附子,"克,g,分"
炙白前,g
川椒炭,钱
好黄丹,克
生杭芍,g
京楂肉,钱
白石脂,两
泽兰,"两,克"
焦山栀,g
北味,钱
赤石脂,"两,g,None,分,两半"
地耳草,g
白面,钱
绿色炉甘石,分
酒浸一宿,None
芒硝,"None,g"
鲜生地黄汁,升
五倍子,"两,g,克,None"
小胡麻,"g,克,两"
草龙胆,"克,两"
苍耳草,两
草乌,"None,两,g,钱,克,个"
安南星在内,None
苇,g
120,None
白芨粉,g
瘪桃干,g
甜当归,g
鲜姜皮,克
青香藤,g
姜皮,"g,None"
马钱子,两
千年健,g
五味子,"None,粒,钱,两,克,个,g,两半,分,两2钱,钱5分,枚"
草果,"g,钱,克,两,None"
煅通红,None
牛乳,"升,g"
乌贼鱼骨,两
荞麦,g
大约炉甘石,斤
鲜石菖蒲计,None
大茎,None
蔷薇花,g
用净粉,钱
氧化锌,g
小麦面,两
马屁勃,None
羊齿,分
牛蒡子,"克,None,钱,g,石"
泽泻,"克,两5钱,两,None,g,钱,分,两半"
用款冬花,None
生薏仁,g
煅熊胆,分
川楝子,"克,g,两,钱,分,None"
白鸭通,合
杵,两
荷叶,"克,g"
蜜水浸,None
瞿麦,"斤,克,g,两"
煮干,None
涂生姜汁,"分,None"
紫河车粉,g
川黄柏,"两,克,g"
姜片,片
姜淀粉,None
柳枝,"两,寸"
胆星钱半,None
茵芋,两
生麻,g
元,None
铁线练定,None
天冬,"钱,钱5分,两,克,None,g,两半,两5钱"
生丹砂末,钱
又次矾汁,None
熟牛膝,两
嫩黄耆,两
石榴皮,两
山大戟,分
白粳米,合
炒蒲黄,g
革草,g
维生素E,g
小生地,～30克
蛇含石,钱
虎睛,对
旱连草,g
独活,"两,分,克,g,钱,None,两1分"
入酒中淬,None
寻骨风,g
入前三味调匀,None
制女贞,g
芜荑,"两,分"
鲜刮淡竹茹,两
细面,None
次令软,None
楮实子,克
炒延胡,g
白药子,两
艾叶,"两,g,None,分"
黄明胶,"两,None"
鹿角,两
莲子,"两,克,g,None,个,升"
赤石脂泥缝纸筋,None
擀作饼子,None
路路通,"克,g"
木防已,分
用桔梗,None
柏子仁,"两,克,g,None"
葱白,"两,None,g"
胆子矾,分
薄荷,"两,分,钱,None,克,两4钱,g"
用川黄连,钱
可分作,-5个
马牙消,"钱,None,两"
心白者用,None
夏一日,None
山桅,"克,g"
伸筋草,g
穿山甲,"两,克,g,两6钱,钱,分,None,片"
肉桂,"钱,克,None,g,分,两,-2钱,两4钱,两半"
腰雄精,钱
元胡粉,g
巴戟天,"克,两,分,g"
络石藤,g
番八仁,克
甘菊花,"两,钱,克"
苏木,"两,钱"
瓜萎仁,钱
百术,g
蔓荆子,"None,两,克,g,分,石"
大豆,克
姜汁和作饼,两
山豆根,钱
桔梗,"钱,None,分,两,克,两4钱,g"
紫贝齿,g
没药,"克,None,g,钱,两,分"
鲜槐枝,None
白敛,两
大力,g
黄芩姜半夏,g
白胶香,"两,两1分"
西洋参,g
土黄,钱
南天竹,g
玉生,克
白龙骨,两
冬葵子,"g,升,两"
生白芍,"g,两,克"
茅山术,克
即以醋沃之,None
伏龙肝,"两,None"
大冰片,钱
虎仗,g
伏时,None
山茱肉,钱
制附块,g
熟艾,升
龙涎粉,两
商陆根,两
生干地黄,"None,两,斤"
附子,"g,None,克,分,两,钱,只,枚,两半,个,钱半"
常山,"None,两"
炉可炼炉甘石,-3斤
草,None
山栀仁,克
益母草,"两,克,g,两5钱,斤"
煎浓汁,碗
杏仁,"两,粒,两半,None,克,石,g,钱,枚,个,分"
甘枸杞子,"两,None"
以碗,个
炒黑蚕砂,两
熟硫黄,钱
净连翘,克
酥炙黄,两
苦参片,g
赤小豆,"两,合,粒,g"
松香,"两1分,斤,g,克"
味同入绢袋中,None
三棱,"None,g,克,钱,两,分"
连心麦冬,克
黄连末,"钱,斤"
秦艽,"两,克,钱,g,分,None,两半,钱5分"
附片,g
露蜂房,"g,个,两,分"
蓬茂,克
白前根,g
侧柏,钱
小黄米明流烧酒,斤
活鲤鱼,g
血余炭,"g,None,钱"
曝干,None
将炉甘石煅红,None
川羌,"两,钱,克,两5钱,g,钱2分,None,两半,钱半"
丹皮钱半,None
次用好酒拌,None
壁虎,枚
王不留行籽,g
硫黄指大,块
去芦净,两
晋矾,两
猪心,具
玫瑰花,g
炙紫菀,g
茅根汁,升
锦灯笼,"克,g"
乳香,"克,None,g,钱,钱5分,两,钱半,分"
茶叶一小撮,None
白硼砂,"钱,分"
小野鸡尾,g
去矾,克
黑豆衣,g
徐长卿,g
猪苓,"g,分,克,钱,None,两,钱半"
明没药,钱
鲜牛胆汁,g
再炖干药水,None
黄连,"两,克,None,钱,g,～6克,两7钱,两2钱,分,升,斤,两半,钱5分,-3钱"
藿香叶,"g,两半,两,None"
蒡子,钱
杜蘅,两半
亲手修台风干,None
鸡蛋清,"None,个"
黄酒,升
猪脂,"两,克"
茯神,"两,克,g,分,钱,两半,None"
湿纸包,None
木蝴蝶,g
香附末,两
猪后悬蹄甲,两
高良姜,"两,克"
醋甘遂,g
虎头骨,"分,两"
山栀子仁,"斤,克,两"
黄芪桑,g
黄精,"g,克"
巴豆,"None,个,钱,粒,g,两"
